1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
"$1,500",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,500'}]",73850 Fairway Dr,"Palm Desert, CA 92260",,https://www.apartments.com/73850-fairway-dr-palm-desert-ca-unit-238/l123wmf/,503,503 Sq Ft,Palm Desert,,Condos,CA
,,"$5,900",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,900'}]",433 Iris Ave,"Newport Beach, CA 92625",,https://www.apartments.com/433-iris-ave-newport-beach-ca/94l3v14/,"2,035","2,035 Sq Ft",Newport Beach,,Condos,CA
,"$2,350",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,350'}]",1313 Zeus,"West Covina, CA 91790",,https://www.apartments.com/1313-zeus-west-covina-ca-unit-2/b2vylvc/,"1,692","1,692 Sq Ft",West Covina,,Condos,CA
,"$2,400",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]",280 Laurel Ave,"Brea, CA 92821",,https://www.apartments.com/280-laurel-ave-brea-ca-unit-1/tehhhmc/,"1,308","1,308 Sq Ft",Brea,,Condos,CA
,"$2,000",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]",153 Falls Ct,"Palm Desert, CA 92211",,https://www.apartments.com/153-falls-ct-palm-desert-ca/pvqw98r/,"1,330","1,330 Sq Ft",Palm Desert,,Condos,CA
,"$2,300",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]",2073 Via Alba,"Palm Desert, CA 92260",,https://www.apartments.com/2073-via-alba-palm-desert-ca/r2zcht1/,"1,961","1,961 Sq Ft",Palm Desert,,Condos,CA
,"$2,300",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]",5349 Algarrobo,"Laguna Woods, CA 92637",,https://www.apartments.com/5349-algarrobo-laguna-woods-ca-unit-p/f4brv4r/,989,989 Sq Ft,Laguna Woods,,Condos,CA
,,,"$4,800",Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,800'}]",182 Bright Poppy,"Irvine, CA 92618",,https://www.apartments.com/182-bright-poppy-irvine-ca/dzdnx6j/,"2,019","2,019 Sq Ft",Irvine,,Condos,CA
,,,"$5,695",Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$5,695'}]",5015 River Ave,"Newport Beach, CA 92663",,https://www.apartments.com/5015-river-ave-newport-beach-ca/c4xnd3e/,"2,300","2,300 Sq Ft",Newport Beach,,Condos,CA
,,,"$5,695",Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$5,695'}]",4821 River Ave,"Newport Beach, CA 92663",,https://www.apartments.com/4821-river-ave-newport-beach-ca/xjxgfsq/,"2,190","2,190 Sq Ft",Newport Beach,,Condos,CA
,,"$4,750",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,750'}]",4819 River Ave,"Newport Beach, CA 92663",,https://www.apartments.com/4819-river-ave-newport-beach-ca/5kkqevp/,"1,623","1,623 Sq Ft",Newport Beach,,Condos,CA
,"$9,500",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$9,500'}]",1130 Broad St,"San Luis Obispo, CA 93401",,https://www.apartments.com/1130-broad-st-san-luis-obispo-ca-unit-202/cns7eff/,"1,050","1,050 Sq Ft",San Luis Obispo,,Condos,CA
,,"$2,300",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,300'}]",38521 Oaktree Loop,"Murrieta, CA 92562",,https://www.apartments.com/38521-oaktree-loop-murrieta-ca/z59m1tw/,"1,865","1,865 Sq Ft",Murrieta,,Condos,CA
"$1,100",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,100'}]",522 N Spring St,"Lake Elsinore, CA 92530",,https://www.apartments.com/522-n-spring-st-lake-elsinore-ca-unit-1/9esqxt5/,900,900 Sq Ft,Lake Elsinore,,Condos,CA
,"$1,850",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,850'}]",9890 Highland Ave,"Rancho Cucamonga, CA 91737",,https://www.apartments.com/9890-highland-ave-rancho-cucamonga-ca-unit-c/cs0vf3d/,915,915 Sq Ft,Rancho Cucamonga,,Condos,CA
,"$2,250",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,250'}]",5055 Twilight Canyon Rd,"Yorba Linda, CA 92887",,https://www.apartments.com/5055-twilight-canyon-rd-yorba-linda-ca-unit-34e/ejkzm4n/,"1,252","1,252 Sq Ft",Yorba Linda,,Condos,CA
,$945,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$945'}]",150 E Lakeshore Dr,"Lake Elsinore, CA 92530",,https://www.apartments.com/150-e-lakeshore-dr-lake-elsinore-ca-unit-30/ld511mf/,800,800 Sq Ft,Lake Elsinore,,Condos,CA
,"$2,000",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]",791 Shalimar Dr,"Costa Mesa, CA 92627",,https://www.apartments.com/791-shalimar-dr-costa-mesa-ca-unit-4d/hllytm0/,700,700 Sq Ft,Costa Mesa,,Condos,CA
