1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,"$4,000",,,,Apr 6,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$4,000'}]",Santa Monica,"1034 Bay St, Santa Monica, CA 90405",1 Month Lease,https://www.apartments.com/1034-bay-st-santa-monica-ca/46m4ppk/,900,900 Sq Ft,CA,Houses,90405
"$2,200",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}]",Burbank,"Burbank, CA 91501",12 Month Lease,https://www.apartments.com/521-e-fairmount-rd-burbank-ca/p31bqys/,500,500 Sq Ft,CA,Houses,91501
"$2,650",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,650'}]",Los Angeles,"Los Angeles, CA 90046",1 Month Lease,https://www.apartments.com/8260-gould-ave-los-angeles-ca/8jc4y40/,675,675 Sq Ft,CA,Houses,90046
,,"$3,100",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,100'}]",Buena Park,"Buena Park, CA 90621",12 Month Lease,https://www.apartments.com/6443-verdi-dr-buena-park-ca/w53nnzh/,"1,353","1,353 Sq Ft",CA,Houses,90621
,"$2,150",,,,Apr 12,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,150'}]",Roseville,"Roseville, CA 95661",,https://www.apartments.com/1623-woodhill-dr-roseville-ca/gdxx9jx/,"1,299","1,299 Sq Ft",CA,Houses,95661
,,"$25,000",,,May 4,4 BAs,"[{'bedroom_type': '3 Beds', 'price': '$25,000'}]",Los Angeles,"Los Angeles, CA 90069",1 Month Lease,https://www.apartments.com/1271-st-ives-pl-los-angeles-ca/lvhf7md/,"4,401","4,401 Sq Ft",CA,Houses,90069
,,"$2,750",,,Apr 30,1 BA,"[{'bedroom_type': '3 Beds', 'price': '$2,750'}]",Los Angeles,"7330 Rhea Ave, Los Angeles, CA 91335",12 Month Lease,https://www.apartments.com/7330-rhea-ave-los-angeles-ca/sp1ts37/,"1,100","1,100 Sq Ft",CA,Houses,91335
,"$5,850",,,,May 1,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,850'}]",Los Angeles,"2415 Meadow Valley Ter, Los Angeles, CA 90039",12 Month Lease,https://www.apartments.com/2415-meadow-valley-ter-los-angeles-ca/l2xwq8e/,"1,456","1,456 Sq Ft",CA,Houses,90039
,,"$4,950",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,950'}]",Los Angeles,"2241 N Beachwood Dr, Los Angeles, CA 90068",,https://www.apartments.com/2241-n-beachwood-dr-los-angeles-ca/tnzmmbb/,"2,007","2,007 Sq Ft",CA,Houses,90068
,,,,"$19,995",Available Now,6½ BAs,"[{'bedroom_type': '4+ Beds', 'price': '$19,995'}]",Santa Monica,"1126 Yale St, Santa Monica, CA 90403",,https://www.apartments.com/1126-yale-st-santa-monica-ca/vv3l8ef/,"4,700","4,700 Sq Ft",CA,Houses,90403
"$2,595",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,595'}]",Santa Monica,"1543 11th St, Santa Monica, CA 90401",,https://www.apartments.com/1543-11th-st-santa-monica-ca/4rrv28h/,695,695 Sq Ft,CA,Houses,90401
,,,"$3,100",,Available Now,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,100'}]",Pasadena,"3832 Mountain View Ave, Pasadena, CA 91107",12 Month Lease,https://www.apartments.com/3832-mountain-view-ave-pasadena-ca/gdtcy9w/,"1,500","1,500 Sq Ft",CA,Houses,91107
,,"$1,050",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,050'}]",Bakersfield,"Bakersfield, CA 93304",12 Month Lease,https://www.apartments.com/2920-dore-dr-bakersfield-ca/3dlqs6g/,"1,400","1,400 Sq Ft",CA,Houses,93304
