1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,"$3,400",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,400'}]",Los Angeles,"Los Angeles, CA 90066",12 Month Lease,https://www.apartments.com/12616-pacific-ave-los-angeles-ca-unit-3/3lwt9jf/,"1,267","1,267 Sq Ft",CA,,Condos,90066
,"$2,700",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]",San Diego,"San Diego, CA 92108",12 Month Lease,https://www.apartments.com/2150-camino-de-la-reina-san-diego-ca-unit-202/dhsbf3j/,"1,025","1,025 Sq Ft",CA,,Condos,92108
,"$6,200",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$6,200'}]",Santa Monica,"122 Ocean Park Blvd, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/122-ocean-park-blvd-santa-monica-ca-unit-410/3gdbkdd/,"1,502","1,502 Sq Ft",CA,,Condos,90405
"$2,500",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,500'}]",Culver City,"Culver City, CA 90230",12 Month Lease,https://www.apartments.com/6275-canterbury-dr-culver-city-ca-unit-304/3q6hz8f/,807,807 Sq Ft,CA,,Condos,90230
,,,,,Available Now,1 BA,"[{'bedroom_type': 'Studio', 'price': '$3,000'}]",San Jose,"San Jose, CA 95128",12 Month Lease,https://www.apartments.com/334-santana-row-san-jose-ca-unit-242/58gf98n/,734,734 Sq Ft,CA,"$3,000",Condos,95128
,"$2,895",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,895'}]",Santa Monica,"1744 10th St, Santa Monica, CA 90404",12 Month Lease,https://www.apartments.com/1744-10th-st-santa-monica-ca-unit-4/cp47h3g/,"1,100","1,100 Sq Ft",CA,,Condos,90404
,"$3,250",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,250'}]",Los Angeles,"8145 Redlands St, Los Angeles, CA 90293",12 Month Lease,https://www.apartments.com/8145-redlands-st-los-angeles-ca-unit-104/9w20ez5/,"1,336","1,336 Sq Ft",CA,,Condos,90293
,"$2,985",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,985'}]",Sherman Oaks,"14530 Benefit St, Sherman Oaks, CA 91403",12 Month Lease,https://www.apartments.com/14530-benefit-st-sherman-oaks-ca-unit-102/9p1h955/,"1,500","1,500 Sq Ft",CA,,Condos,91403
,,"$3,495",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,495'}]",San Diego,"San Diego, CA 92106",12 Month Lease,https://www.apartments.com/1150-anchorage-ln-san-diego-ca-unit-205/bygg969/,"1,658","1,658 Sq Ft",CA,,Condos,92106
,"$2,495",,,,Jul 1,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,495'}]",Davis,"Davis, CA 95618",12 Month Lease,https://www.apartments.com/5042-glide-dr-davis-ca-unit-8/cb4yb4e/,"1,108","1,108 Sq Ft",CA,,Condos,95618
,"$3,200",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,200'}]",West Hollywood,"1010 Palm Ave, West Hollywood, CA 90069",12 Month Lease,https://www.apartments.com/1010-palm-ave-west-hollywood-ca-unit-306/c3epe4e/,"1,000","1,000 Sq Ft",CA,,Condos,90069
"$2,050",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,050'}]",San Ramon,"San Ramon, CA 94583",12 Month Lease,https://www.apartments.com/265-reflections-dr-san-ramon-ca-unit-21/0fqs863/,624,624 Sq Ft,CA,,Condos,94583
,"$1,050",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,050'}]",Oakhurst,"Oakhurst, CA 93644",12 Month Lease,https://www.apartments.com/49400-river-park-rd-oakhurst-ca-unit-57/n6ysdjm/,"1,064","1,064 Sq Ft",CA,,Condos,93644
,,"$5,800",,,Apr 24,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,800'}]",Los Angeles,"907 S Shenandoah St, Los Angeles, CA 90035",12 Month Lease,https://www.apartments.com/907-s-shenandoah-st-los-angeles-ca-unit-ph-401/b1h9l9c/,"1,800","1,800 Sq Ft",CA,,Condos,90035
"$2,498",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,498'}]",Los Angeles,"Los Angeles, CA 90027",12 Month Lease,https://www.apartments.com/1537-n-serrano-ave-los-angeles-ca-unit-1531/pgnxlst/,800,800 Sq Ft,CA,,Condos,90027
,,"$3,300",,,Jul 1,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,300'}]",Walnut Creek,"Walnut Creek, CA 94597",12 Month Lease,https://www.apartments.com/576-pimlico-ct-walnut-creek-ca-unit/04jmmy3/,"1,480","1,480 Sq Ft",CA,,Condos,94597
,"$2,800",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]",Oceanside,"Oceanside, CA 92054",12 Month Lease,https://www.apartments.com/104-wisconsin-ave-oceanside-ca-unit-7/rddxgl0/,996,996 Sq Ft,CA,,Condos,92054
,"$4,995",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,995'}]",San Diego,"San Diego, CA 92101",12 Month Lease,https://www.apartments.com/1388-kettner-blvd-san-diego-ca-unit-701/dn7s9nh/,"1,448","1,448 Sq Ft",CA,,Condos,92101
"$1,950",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,950'}]",Los Angeles,"Los Angeles, CA 91607",12 Month Lease,https://www.apartments.com/5437-corteen-pl-los-angeles-ca-unit-215/hj96tq0/,850,850 Sq Ft,CA,,Condos,91607
"$2,295",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,295'}]",Emeryville,"Emeryville, CA 94608",12 Month Lease,https://www.apartments.com/8-captain-dr-emeryville-ca-unit-355/4p6zfdh/,687,687 Sq Ft,CA,,Condos,94608
,,"$2,450",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,450'}]",Santa Ana,"3635 W Camile St, Santa Ana, CA 92704",12 Month Lease,https://www.apartments.com/3635-w-camile-st-santa-ana-ca-unit-c/xw222sp/,"1,300","1,300 Sq Ft",CA,,Condos,92704
,,,"$5,400",,Available Now,4 BAs,"[{'bedroom_type': '4 Beds', 'price': '$5,400'}]",Los Angeles,"Los Angeles, CA 90049",12 Month Lease,https://www.apartments.com/12000-goshen-ave-los-angeles-ca-unit-106/x72lssm/,"1,910","1,910 Sq Ft",CA,,Condos,90049
,"$2,100",,,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]",Santa Ana,"Santa Ana, CA 92706",24 Month Lease,https://www.apartments.com/2227-n-broadway-santa-ana-ca-unit-e/2426kg8/,"1,000","1,000 Sq Ft",CA,,Condos,92706
,"$5,550",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,550'}]",Marina del Rey,"Marina del Rey, CA 90292",6 Month Lease,https://www.apartments.com/4215-glencoe-ave-marina-del-rey-ca-unit-115/lnf9xdf/,"1,440","1,440 Sq Ft",CA,,Condos,90292
"$2,200",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}]",Irvine,"Irvine, CA 92612",12 Month Lease,https://www.apartments.com/3151-watermarke-pl-irvine-ca-unit-3151/9fz07s7/,854,854 Sq Ft,CA,,Condos,92612
,"$1,575",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,575'}]",Palm Springs,"Palm Springs, CA 92264",12 Month Lease,https://www.apartments.com/2601-s-broadmoor-dr-palm-springs-ca-unit-48/hhefn42/,"1,200","1,200 Sq Ft",CA,,Condos,92264
,"$2,695",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,695'}]",San Diego,"San Diego, CA 92101",12 Month Lease,https://www.apartments.com/700-w-e-st-san-diego-ca-unit-107/0p6v6b0/,"1,000","1,000 Sq Ft",CA,,Condos,92101
,"$4,650",,,,May 1,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,650'}]",Los Angeles,"11830 Mayfield Ave, Los Angeles, CA 90049",12 Month Lease,https://www.apartments.com/11830-mayfield-ave-los-angeles-ca-unit-102/hn139b3/,"1,800","1,800 Sq Ft",CA,,Condos,90049
,"$2,800",,,,May 1,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]",Los Angeles,"10817 Whipple St, Los Angeles, CA 91602",12 Month Lease,https://www.apartments.com/10817-whipple-st-los-angeles-ca-unit-4/3qfzyzd/,"1,840","1,840 Sq Ft",CA,,Condos,91602
,,"$3,500",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]",Ontario,"Ontario, CA 91761",12 Month Lease,https://www.apartments.com/2785-e-berry-loop-privado-ontario-ca-unit-8/qfdwqgz/,"1,746","1,746 Sq Ft",CA,,Condos,91761
,"$4,500",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]",San Francisco,"San Francisco, CA 94107",12 Month Lease,https://www.apartments.com/555-4th-st-san-francisco-ca-unit-523/1nxcfm6/,"1,000","1,000 Sq Ft",CA,,Condos,94107
,,"$4,000",,,May 15,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,000'}]",Long Beach,"1400 E Ocean Blvd, Long Beach, CA 90802",12 Month Lease,https://www.apartments.com/1400-e-ocean-blvd-long-beach-ca-unit-2410/4ftmcwk/,"1,400","1,400 Sq Ft",CA,,Condos,90802
"$1,500",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,500'}]",San Jose,"San Jose, CA 95116",6 Month Lease,https://www.apartments.com/283-mccreery-ave-san-jose-ca-unit-suit-a/5s6cs3p/,250,250 Sq Ft,CA,,Condos,95116
,,"$1,995",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,995'}]",Rancho Cucamonga,"Rancho Cucamonga, CA 91730",12 Month Lease,https://www.apartments.com/7319-belpine-pl-rancho-cucamonga-ca-unit-15/xyppykm/,"1,275","1,275 Sq Ft",CA,,Condos,91730
,"$1,500",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,500'}]",Sacramento,"Sacramento, CA 95841",12 Month Lease,https://www.apartments.com/5061-rhode-island-dr-sacramento-ca-unit-3/6mdxp6r/,840,840 Sq Ft,CA,,Condos,95841
,"$2,395",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,395'}]",Orange,"Orange, CA 92865",12 Month Lease,https://www.apartments.com/16591-e-buena-vista-ave-orange-ca-unit-a/z5b4hlz/,"1,189","1,189 Sq Ft",CA,,Condos,92865
