Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
3,7,AppleValley,"13222 Mohawk Rd APT 1, Apple Valley, CA 92308",Multi Family,https://www.zillow.com/homedetails/13222-Mohawk-Rd-APT-1-Apple-Valley-CA-92308/2082511288_zpid/,Apartment for sale,"$325,900","2,058",CA,13222 Mohawk Rd APT 1,1952,"$322,927",$158,92308
4,6,PorterRanch,"18257 Chatsworth St, Porter Ranch, CA 91326",Multi Family,https://www.zillow.com/homedetails/18257-Chatsworth-St-Porter-Ranch-CA-91326/20160333_zpid/,Apartment for sale,"$1,299,995","3,126",CA,18257 Chatsworth St,1959,"$1,270,809",$416,91326
3,6,Visalia,"3244 S Woodland St, Visalia, CA 93277",Multi Family,https://www.zillow.com/homedetails/3244-S-Woodland-St-Visalia-CA-93277/16253281_zpid/,Apartment for sale,"$319,900","2,483",CA,3244 S Woodland St,1984,"$308,675",$129,93277
--,Studio,Milpitas,"287/289 Marylinn Dr, Milpitas, CA 95035",Multi Family,https://www.zillow.com/homedetails/287-289-Marylinn-Dr-Milpitas-CA-95035/2082511562_zpid/,Apartment for sale,"$1,150,000","1,860",CA,287/289 Marylinn Dr,1961,"$1,159,999",$618,95035
6,5,Pasadena,"326 -332 S Rosemead Blvd, Pasadena, CA 91107",Multi Family,https://www.zillow.com/homedetails/326-332-S-Rosemead-Blvd-Pasadena-CA-91107/2088683569_zpid/,Apartment for sale,"$1,388,000","4,846",CA,326 -332 S Rosemead Blvd,1936,"$1,361,996",$286,91107
17,Studio,Venice,"16 Thornton Ave, Venice, CA 90291",Multi Family,https://www.zillow.com/homedetails/16-Thornton-Ave-Venice-CA-90291/2082511734_zpid/,Apartment for sale,"$5,000,000","9,546",CA,16 Thornton Ave,1913,"$4,879,567",$524,90291
4,5,Reseda,"19525 Elkwood St, Reseda, CA 91335",Multi Family,https://www.zillow.com/homedetails/19525-Elkwood-St-Reseda-CA-91335/19906289_zpid/,Apartment for sale,"$849,990","2,077",CA,19525 Elkwood St,1953,"$849,992",$409,91335
8,9,Paramount,"8116 Howe St, Paramount, CA 90723",Multi Family,https://www.zillow.com/homedetails/8116-Howe-St-Paramount-CA-90723/21056802_zpid/,Apartment for sale,"$1,200,000","3,685",CA,8116 Howe St,1966,"$1,198,697",$326,90723
4,3,LosAngeles,"5122 Huntington Dr S, Los Angeles, CA 90032",Multi Family,https://www.zillow.com/homedetails/5122-Huntington-Dr-S-Los-Angeles-CA-90032/2082512517_zpid/,Apartment for sale,"$1,149,000","3,400",CA,5122 Huntington Dr S,1911,"$1,167,870",$338,90032
4,4,SantaPaula,"1142 Ojai Rd # 42, Santa Paula, CA 93060",Multi Family,https://www.zillow.com/homedetails/1142-Ojai-Rd-42-Santa-Paula-CA-93060/2082512818_zpid/,Apartment for sale,"$790,000","2,046",CA,1142 Ojai Rd # 42,1971,"$779,210",$386,93060
--,Studio,SanFrancisco,"1666 1670 Union St, San Francisco, CA 94123",Multi Family,https://www.zillow.com/homedetails/1666-1670-Union-St-San-Francisco-CA-94123/2082512828_zpid/,Apartment for sale,"$2,700,000","3,020",CA,1666 1670 Union St,1950,"$2,700,281",$894,94123
--,Studio,Ceres,"3229 9th St, Ceres, CA 95307",Multi Family,https://www.zillow.com/homedetails/3229-9th-St-Ceres-CA-95307/300257855_zpid/,Apartment for sale,"$725,000","3,869",CA,3229 9th St,2007,"$707,959",$187,95307
