Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
3,2,SanDiego,"1155 Pacific Beach Dr, San Diego, CA 92109",Condo,https://www.zillow.com/homedetails/1155-Pacific-Beach-Dr-San-Diego-CA-92109/16921159_zpid/,Condo for sale,"$925,000","1,514",CA,1155 Pacific Beach Dr,1982,"$789,316",$611,92109
1.5,2,Bakersfield,"1433 Gemini Ct, Bakersfield, CA 93309",Condo,https://www.zillow.com/homedetails/1433-Gemini-Ct-Bakersfield-CA-93309/18945909_zpid/,Condo for sale,"$125,000","1,088",CA,1433 Gemini Ct,1979,"$119,785",$115,93309
1.5,2,Bakersfield,"4701 Belle Ter APT F, Bakersfield, CA 93309",Condo,https://www.zillow.com/homedetails/4701-Belle-Ter-APT-F-Bakersfield-CA-93309/18945666_zpid/,Condo for sale,"$110,000",966,CA,4701 Belle Ter APT F,1972,"$120,327",$114,93309
3,3,Irvine,"28 Marigold # 19, Irvine, CA 92614",Condo,https://www.zillow.com/homedetails/28-Marigold-19-Irvine-CA-92614/25752145_zpid/,Condo for sale,"$699,000","1,422",CA,28 Marigold # 19,1983,"$707,565",$492,92614
1,1,LagunaHills,"25661 Indian Hill Ln UNIT C, Laguna Hills, CA 92653",Condo,https://www.zillow.com/homedetails/25661-Indian-Hill-Ln-UNIT-C-Laguna-Hills-CA-92653/79808327_zpid/,Condo for sale,"$370,000",720,CA,25661 Indian Hill Ln UNIT C,1984,"$334,874",$514,92653
2,2,LosAngeles,"645 W 9th St APT 715, Los Angeles, CA 90015",Condo,https://www.zillow.com/homedetails/645-W-9th-St-APT-715-Los-Angeles-CA-90015/89143904_zpid/,Condo for sale,"$675,000",960,CA,645 W 9th St APT 715,2006,None,$703,90015
2,2,LosAngeles,"980 S Oxford Ave UNIT 101, Los Angeles, CA 90006",Condo,https://www.zillow.com/homedetails/980-S-Oxford-Ave-UNIT-101-Los-Angeles-CA-90006/84634410_zpid/,Condo for sale,"$629,000","1,180",CA,980 S Oxford Ave UNIT 101,2008,None,$533,90006
1,2,LosAngeles,"9600 Van Nuys Blvd UNIT 113, Los Angeles, CA 91402",Condo,https://www.zillow.com/homedetails/9600-Van-Nuys-Blvd-UNIT-113-Los-Angeles-CA-91402/20128271_zpid/,Condo for sale,"$302,597",816,CA,9600 Van Nuys Blvd UNIT 113,1981,"$296,602",$371,91402
2,2,SantaRosa,"2589 Vallejo St, Santa Rosa, CA 95405",Condo,https://www.zillow.com/homedetails/2589-Vallejo-St-Santa-Rosa-CA-95405/15764060_zpid/,Condo for sale,"$359,000","1,096",CA,2589 Vallejo St,1972,"$359,003",$328,95405
2,2,Pomona,"45 Carriage Way, Pomona, CA 91766",Condo,https://www.zillow.com/homedetails/45-Carriage-Way-Pomona-CA-91766/21667550_zpid/,Condo for sale,"$299,900",980,CA,45 Carriage Way,1983,"$299,900",$306,91766
2,1,LosAngeles,"10724 Wilshire Blvd APT 503, Los Angeles, CA 90024",Condo,https://www.zillow.com/homedetails/10724-Wilshire-Blvd-APT-503-Los-Angeles-CA-90024/20504513_zpid/,Condo for sale,"$735,000",962,CA,10724 Wilshire Blvd APT 503,1989,"$751,220",$764,90024
