Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
3,3,HuntingtonBeach,"17671 Brittany Ln # 84, Huntington Beach, CA 92647",Condo,https://www.zillow.com/homedetails/17671-Brittany-Ln-84-Huntington-Beach-CA-92647/25682256_zpid/,Condo for sale,"$445,000","1,048",CA,17671 Brittany Ln # 84,1971,"$445,002",$425,92647
2,2,LagunaWoods,"3106 Via Serena S UNIT O, Laguna Woods, CA 92637",Condo,https://www.zillow.com/homedetails/3106-Via-Serena-S-UNIT-O-Laguna-Woods-CA-92637/25682506_zpid/,Condo for sale,"$300,000","1,079",null,3106 Via Serena S UNIT O,1972,None,null,92637
1,1,Orange,"700 E Lake Dr UNIT 11, Orange, CA 92866",Condo,https://www.zillow.com/homedetails/700-E-Lake-Dr-UNIT-11-Orange-CA-92866/25663735_zpid/,Condo for sale,"$379,900",768,CA,700 E Lake Dr UNIT 11,1979,"$379,900",$495,92866
1,2,SealBeach,"1701 Tam Oshanter Rd # M12-11H, Seal Beach, CA 90740",Cooperative,https://www.zillow.com/homedetails/1701-Tam-Oshanter-Rd-M12-11H-Seal-Beach-CA-90740/2082346195_zpid/,Co-op for sale,"$318,000","1,150",null,1701 Tam Oshanter Rd # M12-11H,1962,"$318,000",null,90740
2,2,HaciendaHeights,"2300 S Hacienda Blvd APT E2, Hacienda Heights, CA 91745",Condo,https://www.zillow.com/homedetails/2300-S-Hacienda-Blvd-APT-E2-Hacienda-Heights-CA-91745/21449093_zpid/,Condo for sale,"$368,500","1,129",CA,2300 S Hacienda Blvd APT E2,1972,"$368,500",$326,91745
2,2,Torrance,"22841 Nadine Cir UNIT B, Torrance, CA 90505",Condo,https://www.zillow.com/homedetails/22841-Nadine-Cir-UNIT-B-Torrance-CA-90505/21277376_zpid/,Condo for sale,"$489,900","1,117",CA,22841 Nadine Cir UNIT B,1963,"$489,904",$439,90505
1,2,WalnutCreek,"1316 Rockledge Ln APT 8, Walnut Creek, CA 94595",Condo,https://www.zillow.com/homedetails/1316-Rockledge-Ln-APT-8-Walnut-Creek-CA-94595/18553852_zpid/,Condo for sale,"$435,500","1,095",CA,1316 Rockledge Ln APT 8,1964,"$435,500",$398,94595
1,1,HuntingtonBeach,"18262 Parkview Ln APT 202, Huntington Beach, CA 92648",Condo,https://www.zillow.com/homedetails/18262-Parkview-Ln-APT-202-Huntington-Beach-CA-92648/25703893_zpid/,Condo for sale,"$265,000",593,CA,18262 Parkview Ln APT 202,1984,"$262,626",$447,92648
2,2,Fremont,"1960 Barrymore Cmn APT I, Fremont, CA 94538",Condo,https://www.zillow.com/homedetails/1960-Barrymore-Cmn-APT-I-Fremont-CA-94538/152884699_zpid/,Condo for sale,"$638,000",991,CA,1960 Barrymore Cmn APT I,1981,"$641,831",$644,94538
2,2,LosAngeles,"836 S Bundy Dr APT 307, Los Angeles, CA 90049",Condo,https://www.zillow.com/homedetails/836-S-Bundy-Dr-APT-307-Los-Angeles-CA-90049/20469016_zpid/,Condo for sale,"$849,000","1,266",CA,836 S Bundy Dr APT 307,1969,"$857,532",$671,90049
3,3,LosAngeles,"14035 Astoria St UNIT 129, Los Angeles, CA 91342",Condo,https://www.zillow.com/homedetails/14035-Astoria-St-UNIT-129-Los-Angeles-CA-91342/20069934_zpid/,Condo for sale,"$420,000","1,589",CA,14035 Astoria St UNIT 129,1992,"$420,336",$264,91342
1,1,Fullerton,"400 N Acacia Ave UNIT D34, Fullerton, CA 92831",Condo,https://www.zillow.com/homedetails/400-N-Acacia-Ave-UNIT-D34-Fullerton-CA-92831/63117942_zpid/,Condo for sale,"$268,000",677,CA,400 N Acacia Ave UNIT D34,1965,"$268,001",$396,92831
3,3,SanGabriel,"1258 Elm Ave, San Gabriel, CA 91775",Condo,https://www.zillow.com/homedetails/1258-Elm-Ave-San-Gabriel-CA-91775/2091240680_zpid/,Foreclosure,"$499,900","1,660",CA,1258 Elm Ave,2005,"$403,209",$301,91775
