Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,3,Lakewood,"2111 Del Bay St, Lakewood, CA 90712",Single Family,https://www.zillow.com/homedetails/2111-Del-Bay-St-Lakewood-CA-90712/21170383_zpid/,House for sale,"4,782 sqft",4782,"$595,000 ","1,539",CA,2111 Del Bay St,1969,"$596,325 ",$387 ,90712
5,4,LosAngeles,"1523 3/8 N Doheny Dr, Los Angeles, CA 90069",Single Family,https://www.zillow.com/homedetails/1523-3-8-N-Doheny-Dr-Los-Angeles-CA-90069/20799813_zpid/,House for sale,"10,441 sqft",10441,"$3,495,000 ","4,800",CA,1523 3/8 N Doheny Dr,1961,"$3,382,257 ",$728 ,90069
3,4,Fresno,"2945 N Thorne Ave, Fresno, CA 93704",Single Family,https://www.zillow.com/homedetails/2945-N-Thorne-Ave-Fresno-CA-93704/18737357_zpid/,House for sale,"5,623 sqft",5623,"$379,000 ","2,384",CA,2945 N Thorne Ave,1939,"$374,202 ",$159 ,93704
2,3,LongBeach,"2008 Petaluma Ave, Long Beach, CA 90815",Single Family,https://www.zillow.com/homedetails/2008-Petaluma-Ave-Long-Beach-CA-90815/21208087_zpid/,House for sale,"5,993 sqft",5993,"$475,000 ","1,356",CA,2008 Petaluma Ave,1953,None,null,90815
1,3,Lakewood,"2929 Fairman St, Lakewood, CA 90712",Single Family,https://www.zillow.com/homedetails/2929-Fairman-St-Lakewood-CA-90712/21166857_zpid/,House for sale,"6,002 sqft",6002,"$559,900 ","1,210",CA,2929 Fairman St,1952,"$561,680 ",$463 ,90712
2,2,LosAngeles,"2810 Malcolm Ave, Los Angeles, CA 90064",Single Family,https://www.zillow.com/homedetails/2810-Malcolm-Ave-Los-Angeles-CA-90064/20461659_zpid/,House for sale,"5,248 sqft",5248,"$1,199,000 ","1,163",CA,2810 Malcolm Ave,1945,"$1,228,243 ","$1,031 ",90064
3,4,LosAltos,"1715 Christina Dr, Los Altos, CA 94024",Single Family,https://www.zillow.com/homedetails/1715-Christina-Dr-Los-Altos-CA-94024/19621261_zpid/,House for sale,0.25 acres,10890,"$2,695,000 ","2,577",CA,1715 Christina Dr,1966,"$2,746,942 ","$1,046 ",94024
2,3,CanogaPark,"7951 Variel Ave, Canoga Park, CA 91304",Single Family,https://www.zillow.com/homedetails/7951-Variel-Ave-Canoga-Park-CA-91304/19910017_zpid/,House for sale,"7,592 sqft",7592,"$599,950 ","1,354",CA,7951 Variel Ave,1957,"$599,954 ",$443 ,91304
8,5,LosAngeles,"1860 N Doheny Dr, Los Angeles, CA 90069",Single Family,https://www.zillow.com/homedetails/1860-N-Doheny-Dr-Los-Angeles-CA-90069/20799694_zpid/,House for sale,0.53 acres,23086.8,"$13,995,000 ","8,200",CA,1860 N Doheny Dr,2019,"$12,573,594 ","$1,707 ",90069
2,3,Livermore,"1435 Heather Ln, Livermore, CA 94551",Single Family,https://www.zillow.com/homedetails/1435-Heather-Ln-Livermore-CA-94551/24940844_zpid/,House for sale,"8,097 sqft",8097,"$699,000 ","1,540",CA,1435 Heather Ln,1971,"$707,000 ",$454 ,94551
2,4,Chino,"3764 Alicia St, Chino, CA 91710",Single Family,https://www.zillow.com/homedetails/3764-Alicia-St-Chino-CA-91710/17546075_zpid/,House for sale,"4,647 sqft",4647,"$495,000 ","1,300",CA,3764 Alicia St,1972,"$493,510 ",$381 ,91710
2,3,Fullerton,"2038 W Cherry Ave, Fullerton, CA 92833",Single Family,https://www.zillow.com/homedetails/2038-W-Cherry-Ave-Fullerton-CA-92833/25153734_zpid/,House for sale,"6,120 sqft",6120,"$519,900 ","1,069",CA,2038 W Cherry Ave,1954,"$521,674 ",$486 ,92833
8,6,Calabasas,"5512 Villawood Cir, Calabasas, CA 91302",Single Family,https://www.zillow.com/homedetails/5512-Villawood-Cir-Calabasas-CA-91302/19883559_zpid/,House for sale,0.37 acres,16117.2,"$2,699,000 ","6,382",CA,5512 Villawood Cir,1990,"$2,586,307 ",$423 ,91302
3,3,LosAngeles,"3124 Barbara Ct, Los Angeles, CA 90068",Single Family,https://www.zillow.com/homedetails/3124-Barbara-Ct-Los-Angeles-CA-90068/20045802_zpid/,House for sale,"3,641 sqft",3641,"$899,000 ","1,785",CA,3124 Barbara Ct,1928,"$921,512 ",$504 ,90068
7,6,LaJolla,"9811 Black Gold Rd, La Jolla, CA 92037",Single Family,https://www.zillow.com/homedetails/9811-Black-Gold-Rd-La-Jolla-CA-92037/16834387_zpid/,House for sale,0.82 acres,35719.2,"$12,800,000 ","7,777",CA,9811 Black Gold Rd,2019,"$11,666,122 ","$1,646 ",92037
2,3,Livermore,"1970 Helsinki Way, Livermore, CA 94550",Single Family,https://www.zillow.com/homedetails/1970-Helsinki-Way-Livermore-CA-94550/24934888_zpid/,House for sale,"10,001 sqft",10001,"$850,000 ","1,648",CA,1970 Helsinki Way,1972,"$857,863 ",$516 ,94550
9,7,BeverlyHills,"820 N Roxbury Dr, Beverly Hills, CA 90210",Single Family,https://www.zillow.com/homedetails/820-N-Roxbury-Dr-Beverly-Hills-CA-90210/20521422_zpid/,House for sale,0.49 acres,21344.4,"$17,995,000 ","9,212",CA,820 N Roxbury Dr,1927,"$16,895,287 ","$1,953 ",90210
1,2,Berkeley,"3000 Acton St, Berkeley, CA 94702",Single Family,https://www.zillow.com/homedetails/3000-Acton-St-Berkeley-CA-94702/24830695_zpid/,House for sale,"5,118 sqft",5118,"$749,000 ",960,CA,3000 Acton St,1923,"$910,000 ",$780 ,94702
1,3,SouthLakeTahoe,"2223 Rainbow Rd, South Lake Tahoe, CA 96150",Single Family,https://www.zillow.com/homedetails/2223-Rainbow-Rd-South-Lake-Tahoe-CA-96150/2112111112_zpid/,House for sale,0.48 acres,20908.8,"$225,000 ","1,205",CA,2223 Rainbow Rd,1960,"$219,705 ",$187 ,96150
2,3,Hayward,"27942 Ingram Pl, Hayward, CA 94544",Single Family,https://www.zillow.com/homedetails/27942-Ingram-Pl-Hayward-CA-94544/24983912_zpid/,House for sale,"7,562 sqft",7562,"$599,888 ","1,587",CA,27942 Ingram Pl,1950,"$634,882 ",$378 ,94544
1,2,Whittier,"12532 Pacific Pl, Whittier, CA 90602",Single Family,https://www.zillow.com/homedetails/12532-Pacific-Pl-Whittier-CA-90602/21428547_zpid/,House for sale,"2,988 sqft",2988,"$399,900 ",572,CA,12532 Pacific Pl,1923,None,$699 ,90602
2,3,Brea,"908 Willow Dr, Brea, CA 92821",Single Family,https://www.zillow.com/homedetails/908-Willow-Dr-Brea-CA-92821/25367460_zpid/,House for sale,"6,050 sqft",6050,"$599,999 ","1,410",CA,908 Willow Dr,1954,"$600,265 ",$426 ,92821
2,2,CanyonCountry,"20171 Shadow Island Dr, Canyon Country, CA 91351",Single Family,https://www.zillow.com/homedetails/20171-Shadow-Island-Dr-Canyon-Country-CA-91351/2146859687_zpid/,House for sale,"3,001 sqft",3001,"$169,000 ","1,234",CA,20171 Shadow Island Dr,1990,"$169,026 ",$137 ,91351
9,5,LosAngeles,"600 Perugia Way, Los Angeles, CA 90077",Single Family,https://www.zillow.com/homedetails/600-Perugia-Way-Los-Angeles-CA-90077/20526721_zpid/,House for sale,0.57 acres,24829.2,"$19,950,000 ","9,458",CA,600 Perugia Way,2019,"$17,299,610 ","$2,109 ",90077
3,4,Glendale,"1804 Vickers Dr, Glendale, CA 91208",Single Family,https://www.zillow.com/homedetails/1804-Vickers-Dr-Glendale-CA-91208/20818881_zpid/,House for sale,"7,004 sqft",7004,"$1,049,000 ","2,902",CA,1804 Vickers Dr,1938,"$1,067,372 ",$361 ,91208
2,3,RoyalOaks,"1439 San Miguel Canyon Rd, Royal Oaks, CA 95076",Single Family,https://www.zillow.com/homedetails/1439-San-Miguel-Canyon-Rd-Royal-Oaks-CA-95076/19363344_zpid/,House for sale,2.71 acres,118047.6,"$499,000 ","1,401",CA,1439 San Miguel Canyon Rd,1949,"$499,001 ",$356 ,95076
8,5,BeverlyHills,"1335 Carla Ln, Beverly Hills, CA 90210",Single Family,https://www.zillow.com/homedetails/1335-Carla-Ln-Beverly-Hills-CA-90210/20534743_zpid/,House for sale,0.49 acres,21344.4,"$21,995,000 ","12,050",CA,1335 Carla Ln,2019,"$19,349,733 ","$1,825 ",90210
3,4,SantaMonica,"2336 Pier Ave, Santa Monica, CA 90405",Single Family,https://www.zillow.com/homedetails/2336-Pier-Ave-Santa-Monica-CA-90405/20472575_zpid/,House for sale,"7,004 sqft",7004,"$1,885,000 ","2,506",CA,2336 Pier Ave,1938,"$1,912,581 ",$752 ,90405
2,3,SanJose,"1931 Los Gatos Almaden Rd, San Jose, CA 95124",Single Family,https://www.zillow.com/homedetails/1931-Los-Gatos-Almaden-Rd-San-Jose-CA-95124/19675043_zpid/,House for sale,"6,425 sqft",6425,"$989,999 ","1,233",CA,1931 Los Gatos Almaden Rd,1959,None,$803 ,95124
1,1,Berkeley,"1633 La Vereda Rd, Berkeley, CA 94709",Single Family,https://www.zillow.com/homedetails/1633-La-Vereda-Rd-Berkeley-CA-94709/24839690_zpid/,House for sale,"2,548 sqft",2548,"$795,000 ",852,CA,1633 La Vereda Rd,1932,"$954,583 ",$933 ,94709
2,3,Stockton,"743 Yerba Buena Ave, Stockton, CA 95210",Single Family,https://www.zillow.com/homedetails/743-Yerba-Buena-Ave-Stockton-CA-95210/15282837_zpid/,House for sale,"6,080 sqft",6080,"$249,000 ","1,424",CA,743 Yerba Buena Ave,1967,"$242,270 ",$175 ,95210
2,4,Riverside,"19632 Capital Peak Ln, Riverside, CA 92508",Single Family,https://www.zillow.com/homedetails/19632-Capital-Peak-Ln-Riverside-CA-92508/59418750_zpid/,House for sale,"6,969 sqft",6969,"$515,000 ","2,470",CA,19632 Capital Peak Ln,2003,"$510,777 ",$209 ,92508
2,4,Riverside,"19632 Capital Peak Ln, Riverside, CA 92508",Single Family,https://www.zillow.com/homedetails/19632-Capital-Peak-Ln-Riverside-CA-92508/59418750_zpid/,House for sale,"6,969 sqft",6969,"$515,000 ","2,470",CA,19632 Capital Peak Ln,2003,"$510,777 ",$209 ,92508
3,4,LosAltos,"1715 Christina Dr, Los Altos, CA 94024",Single Family,https://www.zillow.com/homedetails/1715-Christina-Dr-Los-Altos-CA-94024/19621261_zpid/,House for sale,0.25 acres,10890,"$2,695,000 ","2,577",CA,1715 Christina Dr,1966,"$2,746,942 ","$1,046 ",94024
1,1,Berkeley,"1633 La Vereda Rd, Berkeley, CA 94709",Single Family,https://www.zillow.com/homedetails/1633-La-Vereda-Rd-Berkeley-CA-94709/24839690_zpid/,House for sale,"2,548 sqft",2548,"$795,000 ",852,CA,1633 La Vereda Rd,1932,"$954,583 ",$933 ,94709
3,4,Glendale,"1804 Vickers Dr, Glendale, CA 91208",Single Family,https://www.zillow.com/homedetails/1804-Vickers-Dr-Glendale-CA-91208/20818881_zpid/,House for sale,"7,004 sqft",7004,"$1,049,000 ","2,902",CA,1804 Vickers Dr,1938,"$1,067,372 ",$361 ,91208
1,2,Berkeley,"3000 Acton St, Berkeley, CA 94702",Single Family,https://www.zillow.com/homedetails/3000-Acton-St-Berkeley-CA-94702/24830695_zpid/,House for sale,"5,118 sqft",5118,"$749,000 ",960,CA,3000 Acton St,1923,"$910,000 ",$780 ,94702
3,4,SantaRosa,"3510 Ridgeview Dr, Santa Rosa, CA 95404",Single Family,https://www.zillow.com/homedetails/3510-Ridgeview-Dr-Santa-Rosa-CA-95404/15869791_zpid/,House for sale,1.14 acres,49658.4,"$1,295,000 ","1,957",CA,3510 Ridgeview Dr,1966,"$1,315,051 ",$662 ,95404
10,7,LosAngeles,"1006 Chantilly Rd, Los Angeles, CA 90077",Single Family,https://www.zillow.com/homedetails/1006-Chantilly-Rd-Los-Angeles-CA-90077/20529214_zpid/,House for sale,0.56 acres,24393.6,"$14,950,000 ","10,000",CA,1006 Chantilly Rd,2016,"$13,537,274 ","$1,495 ",90077
15,10,Malibu,"22800 Pacific Coast Hwy, Malibu, CA 90265",Single Family,https://www.zillow.com/homedetails/22800-Pacific-Coast-Hwy-Malibu-CA-90265/135467248_zpid/,House for sale,0.71 acres,30927.6,"$45,000,000 ","10,442",CA,22800 Pacific Coast Hwy,1954,None,"$4,310 ",90265
5,4,SanDiego,"12303 Rue Fountainbleau, San Diego, CA 92131",Single Family,https://www.zillow.com/homedetails/12303-Rue-Fountainbleau-San-Diego-CA-92131/16827040_zpid/,House for sale,0.71 acres,30927.6,"$1,685,000 ","4,614",CA,12303 Rue Fountainbleau,1991,"$1,660,999 ",$365 ,92131
3,6,LosGatos,"134 Belridge Dr, Los Gatos, CA 95032",Single Family,https://www.zillow.com/homedetails/134-Belridge-Dr-Los-Gatos-CA-95032/19747434_zpid/,House for sale,"10,863 sqft",10863,"$1,625,000 ","2,448",CA,134 Belridge Dr,1965,"$1,679,168 ",$664 ,95032
2,3,Stockton,"743 Yerba Buena Ave, Stockton, CA 95210",Single Family,https://www.zillow.com/homedetails/743-Yerba-Buena-Ave-Stockton-CA-95210/15282837_zpid/,House for sale,"6,080 sqft",6080,"$249,000 ","1,424",CA,743 Yerba Buena Ave,1967,"$242,270 ",$175 ,95210
2,3,MissionViejo,"21691 Consejos, Mission Viejo, CA 92691",Single Family,https://www.zillow.com/homedetails/21691-Consejos-Mission-Viejo-CA-92691/25638984_zpid/,House for sale,"7,548 sqft",7548,"$649,900 ","1,120",CA,21691 Consejos,1977,"$649,903 ",$580 ,92691
2,4,WoodlandHills,"23728 Tiara St, Woodland Hills, CA 91367",Single Family,https://www.zillow.com/homedetails/23728-Tiara-St-Woodland-Hills-CA-91367/19880509_zpid/,House for sale,"7,548 sqft",7548,"$889,000 ","1,939",CA,23728 Tiara St,1959,"$895,929 ",$458 ,91367
4,3,StudioCity,"3895 Berry Dr, Studio City, CA 91604",Single Family,https://www.zillow.com/homedetails/3895-Berry-Dr-Studio-City-CA-91604/20030737_zpid/,House for sale,"10,014 sqft",10014,"$1,395,000 ","2,090",CA,3895 Berry Dr,1946,"$1,391,090 ",$667 ,91604
2,4,SanJose,"5872 Cadiz Dr, San Jose, CA 95123",Single Family,https://www.zillow.com/homedetails/5872-Cadiz-Dr-San-Jose-CA-95123/64947288_zpid/,House for sale,"9,639 sqft",9639,"$899,000 ","1,321",CA,5872 Cadiz Dr,1971,"$917,464 ",$681 ,95123
