Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
--,Studio,Bakersfield,"4700 Maybrook Ave, Bakersfield, CA 93313",Multi Family,https://www.zillow.com/homedetails/4700-Maybrook-Ave-Bakersfield-CA-93313/18992292_zpid/,Apartment for sale,"$557,000","4,459",CA,4700 Maybrook Ave,1979,"$544,000",$125,93313
--,Studio,DalyCity,"763 Templeton Ave, Daly City, CA 94014",Multi Family,https://www.zillow.com/homedetails/763-Templeton-Ave-Daly-City-CA-94014/15462716_zpid/,Apartment for sale,"$1,655,000","1,300",CA,763 Templeton Ave,1964,"$1,629,661","$1,273",94014
--,Studio,SanFrancisco,"2301 Webster St, San Francisco, CA 94115",Multi Family,https://www.zillow.com/homedetails/2301-Webster-St-San-Francisco-CA-94115/2092594990_zpid/,Apartment for sale,"$3,750,000","4,880",CA,2301 Webster St,1900,"$3,732,553",$768,94115
5,10,Berkeley,"1611 Russell St, Berkeley, CA 94703",Multi Family,https://www.zillow.com/homedetails/1611-Russell-St-Berkeley-CA-94703/299072717_zpid/,Apartment for sale,"$2,500,000","3,758",CA,1611 Russell St,1961,"$2,577,124",$665,94703
2,4,LosAngeles,"10210 Haas Ave, Los Angeles, CA 90047",Multi Family,https://www.zillow.com/homedetails/10210-Haas-Ave-Los-Angeles-CA-90047/20963684_zpid/,Apartment for sale,"$625,000","1,778",CA,10210 Haas Ave,1947,"$625,309",$352,90047
3,3,SanDiego,"3735 Herman Ave, San Diego, CA 92104",Multi Family,https://www.zillow.com/homedetails/3735-Herman-Ave-San-Diego-CA-92104/2129600195_zpid/,Apartment for sale,"$1,195,000","2,000",CA,3735 Herman Ave,1922,"$1,186,720",$598,92104
3,2,Oceanside,"4661 Cordoba Way, Oceanside, CA 92056",Multi Family,https://www.zillow.com/homedetails/4661-Cordoba-Way-Oceanside-CA-92056/16623710_zpid/,Apartment for sale,"$630,000","2,094",CA,4661 Cordoba Way,1984,"$625,722",$301,92056
3,4,SanDiego,"6820 Amherst St, San Diego, CA 92115",Multi Family,https://www.zillow.com/homedetails/6820-Amherst-St-San-Diego-CA-92115/295355614_zpid/,Apartment for sale,"$739,000",--,CA,6820 Amherst St,2000,"$731,601",No Data,92115
--,Studio,SantaCruz,"236 Walnut Ave, Santa Cruz, CA 95060",Multi Family,https://www.zillow.com/homedetails/236-Walnut-Ave-Santa-Cruz-CA-95060/16106063_zpid/,Apartment for sale,"$1,650,000","2,985",CA,236 Walnut Ave,1883,"$1,637,584",$553,95060
16,12,LosAngeles,"1621 Malcolm Ave, Los Angeles, CA 90024",Multi Family,https://www.zillow.com/homedetails/1621-Malcolm-Ave-Los-Angeles-CA-90024/20505316_zpid/,Apartment for sale,"$9,900,000","11,134",CA,1621 Malcolm Ave,2019,"$9,639,020",$889,90024
4,8,Berkeley,"2875 California St, Berkeley, CA 94703",Multi Family,https://www.zillow.com/homedetails/2875-California-St-Berkeley-CA-94703/299072718_zpid/,Apartment for sale,"$2,100,000","2,998",CA,2875 California St,1957,"$2,439,891",$700,94703
4,5,SanClemente,"322 W Avenida Palizada, San Clemente, CA 92672",Multi Family,https://www.zillow.com/homedetails/322-W-Avenida-Palizada-San-Clemente-CA-92672/25599024_zpid/,Apartment for sale,"$2,050,000","3,096",CA,322 W Avenida Palizada,1963,"$1,955,510",$662,92672
5,8,Pomona,"2441 Chanslor St # A-D, Pomona, CA 91766",Multi Family,https://www.zillow.com/homedetails/2441-Chanslor-St-A-D-Pomona-CA-91766/2082481460_zpid/,Apartment for sale,"$829,000","3,818",CA,2441 Chanslor St # A-D,1963,"$819,883",$217,91766
2,4,SanFrancisco,"1390 92 33rd Ave, San Francisco, CA 94122",Multi Family,https://www.zillow.com/homedetails/1390-92-33rd-Ave-San-Francisco-CA-94122/2082481543_zpid/,Apartment for sale,"$1,589,000","2,276",CA,1390 92 33rd Ave,1947,"$1,787,113",$698,94122
