Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
7,5,PebbleBeach,"3290 17 Mile Dr, Pebble Beach, CA 93953",Single Family,https://www.zillow.com/homedetails/3290-17-Mile-Dr-Pebble-Beach-CA-93953/2085889209_zpid/,House for sale,2.02 acres,87991.2,"$34,900,000","8,862",CA,3290 17 Mile Dr,1991,"$32,627,712","$3,938",93953
2,4,Concord,"865 Saint John Cir, Concord, CA 94518",Single Family,https://www.zillow.com/homedetails/865-Saint-John-Cir-Concord-CA-94518/18368251_zpid/,House for sale,"6,616 sqft",6616.0,"$685,000","1,712",CA,865 Saint John Cir,1967,"$692,486",$400,94518
3,4,Lancaster,"42103 Capistrano Pl, Lancaster, CA 93536",Single Family,https://www.zillow.com/homedetails/42103-Capistrano-Pl-Lancaster-CA-93536/20310203_zpid/,House for sale,0.27 acres,11761.2,"$379,900","2,683",CA,42103 Capistrano Pl,1994,None,$142,93536
6,5,WoodlandHills,"4921 Azucena Rd, Woodland Hills, CA 91364",Single Family,https://www.zillow.com/homedetails/4921-Azucena-Rd-Woodland-Hills-CA-91364/19900115_zpid/,House for sale,1.13 acres,49222.799999999996,"$3,499,000","6,208",CA,4921 Azucena Rd,2003,"$3,290,450",$564,91364
4,4,Murrieta,"23427 Fern Pl, Murrieta, CA 92562",Single Family,https://www.zillow.com/homedetails/23427-Fern-Pl-Murrieta-CA-92562/54964394_zpid/,House for sale,0.43 acres,18730.8,"$639,900","3,852",CA,23427 Fern Pl,2002,"$633,689",$166,92562
5,4,SantaBarbara,"848 Hot Springs Rd, Santa Barbara, CA 93108",Single Family,https://www.zillow.com/homedetails/848-Hot-Springs-Rd-Santa-Barbara-CA-93108/15880535_zpid/,House for sale,2.45 acres,106722.00000000001,"$29,000,000","11,947",CA,848 Hot Springs Rd,2014,"$27,465,180","$2,427",93108
1,3,LosAngeles,"1630 7th Ave, Los Angeles, CA 90019",Single Family,https://www.zillow.com/homedetails/1630-7th-Ave-Los-Angeles-CA-90019/20602327_zpid/,House for sale,"5,458 sqft",5458.0,"$675,000","1,506",CA,1630 7th Ave,1911,"$704,129",$448,90019
2,3,SanLuisObispo,"2684 Johnson Ave, San Luis Obispo, CA 93401",Single Family,https://www.zillow.com/homedetails/2684-Johnson-Ave-San-Luis-Obispo-CA-93401/15387311_zpid/,House for sale,"10,606 sqft",10606.0,"$649,000","1,730",CA,2684 Johnson Ave,1945,"$649,000",$375,93401
3,4,Vacaville,"382 Marna Dr, Vacaville, CA 95687",Single Family,https://www.zillow.com/homedetails/382-Marna-Dr-Vacaville-CA-95687/15719431_zpid/,House for sale,"7,405 sqft",7405.0,"$475,000","2,124",CA,382 Marna Dr,1988,"$475,003",$224,95687
2,3,Temecula,"46535 Peach Tree St, Temecula, CA 92592",Single Family,https://www.zillow.com/homedetails/46535-Peach-Tree-St-Temecula-CA-92592/95783620_zpid/,House for sale,"5,227 sqft",5227.0,"$435,000","1,663",CA,46535 Peach Tree St,2010,"$435,000",$262,92592
3,4,Upland,"1498 Winston Ct, Upland, CA 91786",Single Family,https://www.zillow.com/homedetails/1498-Winston-Ct-Upland-CA-91786/17567925_zpid/,House for sale,"9,940 sqft",9940.0,"$570,000","1,858",CA,1498 Winston Ct,1974,"$566,193",$307,91786
2,3,Concord,"1273 Coventry Rd, Concord, CA 94518",Single Family,https://www.zillow.com/homedetails/1273-Coventry-Rd-Concord-CA-94518/18340011_zpid/,House for sale,"6,538 sqft",6538.0,"$515,000","1,130",CA,1273 Coventry Rd,1953,"$528,205",$456,94518
3,4,Irvine,"3582 Claremont St, Irvine, CA 92614",Single Family,https://www.zillow.com/homedetails/3582-Claremont-St-Irvine-CA-92614/25481333_zpid/,House for sale,0.26 acres,11325.6,"$849,900","2,373",CA,3582 Claremont St,1969,"$845,645",$358,92614
3,3,Altadena,"1850 E Altadena Dr, Altadena, CA 91001",Single Family,https://www.zillow.com/homedetails/1850-E-Altadena-Dr-Altadena-CA-91001/20917636_zpid/,House for sale,0.47 acres,20473.199999999997,"$1,199,000","1,707",CA,1850 E Altadena Dr,1946,"$1,222,664",$702,91001
2,2,Fairfax,"53 Madrone Rd, Fairfax, CA 94930",Single Family,https://www.zillow.com/homedetails/53-Madrone-Rd-Fairfax-CA-94930/19238175_zpid/,House for sale,"4,356 sqft",4356.0,"$599,000","1,161",CA,53 Madrone Rd,1952,None,$516,94930
2,3,Fresno,"2111 E Emilie Ave, Fresno, CA 93730",Single Family,https://www.zillow.com/homedetails/2111-E-Emilie-Ave-Fresno-CA-93730/18648097_zpid/,House for sale,"7,200 sqft",7200.0,"$389,999","2,040",CA,2111 E Emilie Ave,1997,"$382,570",$191,93730
3,5,PorterRanch,"19553 Bermuda St, Porter Ranch, CA 91326",Single Family,https://www.zillow.com/homedetails/19553-Bermuda-St-Porter-Ranch-CA-91326/20158810_zpid/,House for sale,0.39 acres,16988.4,"$1,250,000","3,080",CA,19553 Bermuda St,1967,"$1,250,002",$406,91326
2,3,Concord,"1273 Coventry Rd, Concord, CA 94518",Single Family,https://www.zillow.com/homedetails/1273-Coventry-Rd-Concord-CA-94518/18340011_zpid/,House for sale,"6,538 sqft",6538.0,"$515,000","1,130",CA,1273 Coventry Rd,1953,"$528,205",$456,94518
1,2,Berkeley,"2307 Mcgee Ave, Berkeley, CA 94703",Single Family,https://www.zillow.com/homedetails/2307-Mcgee-Ave-Berkeley-CA-94703/24834899_zpid/,House for sale,"2,308 sqft",2308.0,"$750,000",706,CA,2307 Mcgee Ave,1916,"$911,810","$1,062",94703
2,3,SanFrancisco,"2111 40th Ave, San Francisco, CA 94116",Single Family,https://www.zillow.com/homedetails/2111-40th-Ave-San-Francisco-CA-94116/15117139_zpid/,House for sale,"1,746 sqft",1746.0,"$1,038,000","1,342",CA,2111 40th Ave,1947,"$1,330,117",$773,94116
2,4,LaMirada,"15619 Fada Dr, La Mirada, CA 90638",Single Family,https://www.zillow.com/homedetails/15619-Fada-Dr-La-Mirada-CA-90638/21398121_zpid/,House for sale,"6,207 sqft",6207.0,"$675,000","2,056",CA,15619 Fada Dr,1957,"$681,082",$328,90638
7,5,PebbleBeach,"3290 17 Mile Dr, Pebble Beach, CA 93953",Single Family,https://www.zillow.com/homedetails/3290-17-Mile-Dr-Pebble-Beach-CA-93953/2085889209_zpid/,House for sale,2.02 acres,87991.2,"$34,900,000","8,862",CA,3290 17 Mile Dr,1991,"$32,627,712","$3,938",93953
3,3,LosAngeles,"146 1/2 S Hayworth Ave, Los Angeles, CA 90048",Single Family,https://www.zillow.com/homedetails/146-1-2-S-Hayworth-Ave-Los-Angeles-CA-90048/135713024_zpid/,House for sale,"1,230 sqft",1230.0,"$1,399,000","1,880",CA,146 1/2 S Hayworth Ave,2016,"$1,406,376",$744,90048
2,4,Aptos,"225 Coronado Dr, Aptos, CA 95003",Single Family,https://www.zillow.com/homedetails/225-Coronado-Dr-Aptos-CA-95003/16137970_zpid/,House for sale,"9,365 sqft",9365.0,"$839,000","1,498",CA,225 Coronado Dr,1976,"$839,003",$560,95003
3,4,Irvine,"3582 Claremont St, Irvine, CA 92614",Single Family,https://www.zillow.com/homedetails/3582-Claremont-St-Irvine-CA-92614/25481333_zpid/,House for sale,0.26 acres,11325.6,"$849,900","2,373",CA,3582 Claremont St,1969,"$845,645",$358,92614
4,4,LosAngeles,"4055 W 59th Pl, Los Angeles, CA 90043",Single Family,https://www.zillow.com/homedetails/4055-W-59th-Pl-Los-Angeles-CA-90043/20335438_zpid/,House for sale,"5,431 sqft",5431.0,"$900,000","2,533",CA,4055 W 59th Pl,1929,"$900,006",$355,90043
3,4,Oakland,"241 Capricorn Ave, Oakland, CA 94611",Single Family,https://www.zillow.com/homedetails/241-Capricorn-Ave-Oakland-CA-94611/24818234_zpid/,House for sale,"5,135 sqft",5135.0,"$875,000","1,499",CA,241 Capricorn Ave,1938,None,$584,94611
2,4,Oxnard,"3820 San Simeon Ave, Oxnard, CA 93033",Single Family,https://www.zillow.com/homedetails/3820-San-Simeon-Ave-Oxnard-CA-93033/16404672_zpid/,House for sale,"6,107 sqft",6107.0,"$489,900","1,588",CA,3820 San Simeon Ave,1966,"$489,902",$309,93033
5,4,SanDiego,"7543 Delfina, San Diego, CA 92127",Single Family,https://www.zillow.com/homedetails/7543-Delfina-San-Diego-CA-92127/54905104_zpid/,House for sale,"7,897 sqft",7897.0,"$1,249,000","3,570",CA,7543 Delfina,2003,"$1,240,667",$350,92127
3,4,SanMarino,"1730 Banning Way, San Marino, CA 91108",Single Family,https://www.zillow.com/homedetails/1730-Banning-Way-San-Marino-CA-91108/20700271_zpid/,House for sale,"6,098 sqft",6098.0,"$1,688,000","2,563",CA,1730 Banning Way,1954,"$1,721,785",$659,91108
