Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,2,Anaheim,"986 S Sutter Creek Rd # 59, Anaheim, CA 92804",Townhouse,https://www.zillow.com/homedetails/986-S-Sutter-Creek-Rd-59-Anaheim-CA-92804/25677091_zpid/,Townhouse for sale,871 sqft,871.0,"$259,900","1,224",CA,986 S Sutter Creek Rd # 59,1980,"$259,902",$212,92804
2,2,CostaMesa,"936 Hollow Brook Ln # 124, Costa Mesa, CA 92626",Townhouse,https://www.zillow.com/homedetails/936-Hollow-Brook-Ln-124-Costa-Mesa-CA-92626/25714835_zpid/,Townhouse for sale,No Data,871.0,"$385,000","1,270",CA,936 Hollow Brook Ln # 124,1976,"$385,003",$303,92626
3,2,SanDiego,"9475 Questa Pointe, San Diego, CA 92126",Townhouse,https://www.zillow.com/homedetails/9475-Questa-Pointe-San-Diego-CA-92126/16820236_zpid/,Townhouse for sale,7.34 acres,319730.39999999997,"$525,000","1,171",CA,9475 Questa Pointe,1994,"$525,000",$448,92126
2,3,Irvine,"18 Briarwood # 70, Irvine, CA 92604",Townhouse,https://www.zillow.com/homedetails/18-Briarwood-70-Irvine-CA-92604/25723418_zpid/,Townhouse for sale,No Data,319730.39999999997,"$550,000","1,121",CA,18 Briarwood # 70,1978,"$545,603",$491,92604
2,3,CostaMesa,"3413 Meadow Brk # 60, Costa Mesa, CA 92626",Townhouse,https://www.zillow.com/homedetails/3413-Meadow-Brk-60-Costa-Mesa-CA-92626/25714771_zpid/,Townhouse for sale,"1,324 sqft",1324.0,"$409,000","1,324",CA,3413 Meadow Brk # 60,1976,"$409,659",$309,92626
2,3,CostaMesa,"3424 Pinebrook # 86, Costa Mesa, CA 92626",Townhouse,https://www.zillow.com/homedetails/3424-Pinebrook-86-Costa-Mesa-CA-92626/25714797_zpid/,Townhouse for sale,No Data,1324.0,"$424,900","1,324",CA,3424 Pinebrook # 86,1976,"$425,888",$321,92626
3,3,Anaheim,"6233 E Quartz Ln, Anaheim, CA 92807",Townhouse,https://www.zillow.com/homedetails/6233-E-Quartz-Ln-Anaheim-CA-92807/25165169_zpid/,Townhouse for sale,"3,497 sqft",3497.0,"$625,000","1,652",CA,6233 E Quartz Ln,1985,"$625,002",$378,92807
4,4,Cerritos,"11820 E Solana Pl, Cerritos, CA 90703",Townhouse,https://www.zillow.com/homedetails/11820-E-Solana-Pl-Cerritos-CA-90703/124132220_zpid/,Townhouse for sale,0.48 acres,20908.8,"$654,900","1,849",CA,11820 E Solana Pl,2015,"$649,659",$354,90703
3,2,MontereyPark,"156 Casuda Canyon Dr APT F, Monterey Park, CA 91754",Townhouse,https://www.zillow.com/homedetails/156-Casuda-Canyon-Dr-APT-F-Monterey-Park-CA-91754/20660171_zpid/,Townhouse for sale,3.19 acres,138956.4,"$508,000","1,272",CA,156 Casuda Canyon Dr APT F,1974,"$508,004",$399,91754
3,4,Hayward,"27752 Hummingbird Ct, Hayward, CA 94545",Townhouse,https://www.zillow.com/homedetails/27752-Hummingbird-Ct-Hayward-CA-94545/24989510_zpid/,Townhouse for sale,"1,319 sqft",1319.0,"$579,000","1,656",CA,27752 Hummingbird Ct,1971,"$604,805",$350,94545
2,2,Tustin,"1722 Mitchell Ave APT 114, Tustin, CA 92780",Townhouse,https://www.zillow.com/homedetails/1722-Mitchell-Ave-APT-114-Tustin-CA-92780/25473390_zpid/,Townhouse for sale,"1,115 sqft",1115.0,"$418,000","1,024",CA,1722 Mitchell Ave APT 114,1965,"$412,776",$408,92780
2,2,Fremont,"38627 Cherry Ln APT 57, Fremont, CA 94536",Townhouse,https://www.zillow.com/homedetails/38627-Cherry-Ln-APT-57-Fremont-CA-94536/25019231_zpid/,Townhouse for sale,14.9 acres,649044.0,"$390,900",929,CA,38627 Cherry Ln APT 57,1974,"$390,902",$421,94536
2,3,Pleasanton,"3087 Tonopah Cir, Pleasanton, CA 94588",Townhouse,https://www.zillow.com/homedetails/3087-Tonopah-Cir-Pleasanton-CA-94588/25077980_zpid/,Townhouse for sale,"1,655 sqft",1655.0,"$649,999","1,220",CA,3087 Tonopah Cir,1978,"$650,223",$533,94588
3,3,SanDiego,"3275 1st Ave, San Diego, CA 92103",Townhouse,https://www.zillow.com/homedetails/3275-1st-Ave-San-Diego-CA-92103/140314106_zpid/,Coming soon,No Data,1655.0,"$1,045,000","1,756",CA,3275 1st Ave,2007,"$944,350",$595,92103
2,3,GardenGrove,"6962 Almondine Dr, Garden Grove, CA 92845",Townhouse,https://www.zillow.com/homedetails/6962-Almondine-Dr-Garden-Grove-CA-92845/25315676_zpid/,Townhouse for sale,"2,678 sqft",2678.0,"$524,800","1,448",CA,6962 Almondine Dr,1974,"$524,802",$362,92845
4,3,Anaheim,"672 S Melrose St, Anaheim, CA 92805",Townhouse,https://www.zillow.com/homedetails/672-S-Melrose-St-Anaheim-CA-92805/111426190_zpid/,Townhouse for sale,"1,001 sqft",1001.0,"$600,000","1,570",CA,672 S Melrose St,2009,"$600,001",$382,92805
2,3,LagunaNiguel,"29542 Pelican Way, Laguna Niguel, CA 92677",Townhouse,https://www.zillow.com/homedetails/29542-Pelican-Way-Laguna-Niguel-CA-92677/25698870_zpid/,Townhouse for sale,No Data,1001.0,"$680,000","1,514",CA,29542 Pelican Way,1977,"$674,220",$449,92677
3,3,SanJose,"612 Hermes Ct, San Jose, CA 95111",Townhouse,https://www.zillow.com/homedetails/612-Hermes-Ct-San-Jose-CA-95111/19738439_zpid/,Townhouse for sale,"2,330 sqft",2330.0,"$624,888","1,466",CA,612 Hermes Ct,1989,"$625,830",$426,95111
