Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
3,3,Encinitas,"281 Countrywood Ln, Encinitas, CA 92024",Townhouse,https://www.zillow.com/homedetails/281-Countrywood-Ln-Encinitas-CA-92024/16715352_zpid/,Townhouse for sale,13.8 acres,601128.0,"$750,000","1,394",CA,281 Countrywood Ln,1973,"$744,063",$538,92024
3.5,4,Milpitas,"A3-2, Parkside at Tarob Court, Milpitas, CA 95035",Townhouse,https://www.zillow.com/community/parkside-at-tarob-court/2084371575_zpid/,New construction,No Data,601128.0,"$1,186,995+","1,782",CA,A3-2 Plan,2019,"$1,157,358",$666,95035
2.5,3,Simi Valley,"Plan One, The Westerly, Simi Valley, CA 93065",Townhouse,https://www.zillow.com/community/westerly/2089228916_zpid/,New construction,No Data,601128.0,"$499,990+","1,393",CA,Plan One Plan,2019,"$660,620",$359,93065
2.5,2,Oakland,"Residence 1, Oakland - Station House South, Oakland, CA 94607",Townhouse,https://www.zillow.com/community/oakland-station-house-south/2088887056_zpid/,New construction,No Data,601128.0,"$769,990+","1,644",CA,Residence 1 Plan,2019,"$843,759",$468,94607
3,4,LosAngeles,"20719 Lemarsh St UNIT D, Los Angeles, CA 91311",Townhouse,https://www.zillow.com/homedetails/20719-Lemarsh-St-UNIT-D-Los-Angeles-CA-91311/20169724_zpid/,Townhouse for sale,8.01 acres,348915.6,"$529,000","1,539",CA,20719 Lemarsh St UNIT D,1966,"$529,001",$344,91311
2,2,Placerville,"1336 Village Ln # 246, Placerville, CA 95667",Townhouse,https://www.zillow.com/homedetails/1336-Village-Ln-246-Placerville-CA-95667/2082372748_zpid/,Townhouse for sale,"5,227 sqft",5227.0,"$270,000","1,092",CA,1336 Village Ln # 246,1987,"$267,326",$247,95667
3,2,LosAngeles,"10030 Owensmouth Ave UNIT 5, Los Angeles, CA 91311",Townhouse,https://www.zillow.com/homedetails/10030-Owensmouth-Ave-UNIT-5-Los-Angeles-CA-91311/20171964_zpid/,Townhouse for sale,4.03 acres,175546.80000000002,"$425,999","1,401",CA,10030 Owensmouth Ave UNIT 5,1979,"$426,000",$304,91311
4,4,Yorba Linda,"Residence 4, Loma Vista   Primrose, Yorba Linda, CA 92886",Townhouse,https://www.zillow.com/community/loma-vista-primrose/2082868307_zpid/,New construction,No Data,175546.80000000002,"$734,990+","1,794",CA,Residence 4 Plan,2019,"$731,461",$410,92886
2,2,SanBernardino,"1747 Lomas Privadas Dr, San Bernardino, CA 92404",Townhouse,https://www.zillow.com/homedetails/1747-Lomas-Privadas-Dr-San-Bernardino-CA-92404/17248234_zpid/,Townhouse for sale,"2,238 sqft",2238.0,"$329,000","2,241",CA,1747 Lomas Privadas Dr,1981,"$323,815",$147,92404
1,2,SanJose,"1323 Scossa Ave UNIT 1, San Jose, CA 95118",Townhouse,https://www.zillow.com/homedetails/1323-Scossa-Ave-UNIT-1-San-Jose-CA-95118/19759383_zpid/,Townhouse for sale,"3,489 sqft",3489.0,"$499,000",810,CA,1323 Scossa Ave UNIT 1,1970,"$506,128",$616,95118
3.5,3,AlpineMeadows,"400 Squaw Creek Rd # 822/824, Alpine Meadows, CA 96146",Townhouse,https://www.zillow.com/homedetails/400-Squaw-Creek-Rd-822-824-Alpine-Meadows-CA-96146/2082373468_zpid/,Townhouse for sale,195 acres,8494200.0,"$1,150,000","1,970",CA,400 Squaw Creek Rd # 822/824,1990,"$1,103,999",$584,96146
3,3,Milpitas,"Residence 6 Prynt, Prynt in Milpitas, Milpitas, CA 95035",Townhouse,https://www.zillow.com/community/prynt-in-milpitas/2082501403_zpid/,New construction,No Data,3267.0,"$1,042,000+","1,786",CA,Residence 6 Prynt Plan,2019,"$1,053,280",$583,95035
2,2,HuntingtonBeach,"4698 Heil Ave, Huntington Beach, CA 92649",Townhouse,https://www.zillow.com/homedetails/4698-Heil-Ave-Huntington-Beach-CA-92649/2082373779_zpid/,Townhouse for sale,No Data,3267.0,"$495,000","1,054",CA,4698 Heil Ave,1971,"$495,001",$470,92649
2,2,Tustin,"1722 Mitchell Ave APT 114, Tustin, CA 92780",Townhouse,https://www.zillow.com/homedetails/1722-Mitchell-Ave-APT-114-Tustin-CA-92780/25473390_zpid/,Townhouse for sale,"1,115 sqft",1115.0,"$418,000","1,024",CA,1722 Mitchell Ave APT 114,1965,"$412,776",$408,92780
3,3,CastroValley,"5354 Briar Ridge Dr, Castro Valley, CA 94552",Townhouse,https://www.zillow.com/homedetails/5354-Briar-Ridge-Dr-Castro-Valley-CA-94552/24915788_zpid/,Townhouse for sale,"1,075 sqft",1075.0,"$699,999","1,619",CA,5354 Briar Ridge Dr,1978,"$712,680",$432,94552
3,3,SimiValley,"1525 Patricia Ave UNIT 2, Simi Valley, CA 93065",Townhouse,https://www.zillow.com/homedetails/1525-Patricia-Ave-UNIT-2-Simi-Valley-CA-93065/250068091_zpid/,Townhouse for sale,932 sqft,932.0,"$499,990","1,444",CA,1525 Patricia Ave UNIT 2,2017,"$495,485",$346,93065
3,2,Sunnyvale,"865 Carlisle Way APT 123, Sunnyvale, CA 94087",Townhouse,https://www.zillow.com/homedetails/865-Carlisle-Way-APT-123-Sunnyvale-CA-94087/82961448_zpid/,Townhouse for sale,"2,199 sqft",2199.0,"$1,099,950","1,120",CA,865 Carlisle Way APT 123,2007,"$1,131,304",$982,94087
2,2,Irvine,"Residence 2, Travata   Aldea, Irvine, CA 92618",Townhouse,https://www.zillow.com/community/travata-aldea/2088186184_zpid/,New construction,No Data,2199.0,"$759,990+","1,527",CA,Residence 2 Plan,2019,"$811,475",$498,92618
3,3,Alameda,"1116 Island Dr, Alameda, CA 94502",Townhouse,https://www.zillow.com/homedetails/1116-Island-Dr-Alameda-CA-94502/24866830_zpid/,Townhouse for sale,"1,694 sqft",1694.0,"$835,000","1,730",CA,1116 Island Dr,1970,"$880,006",$483,94502
3,3,Chula Vista,"Plan 3, Suwerte, Chula Vista, CA 91915",Townhouse,https://www.zillow.com/community/suwerte/2087663803_zpid/,New construction,No Data,1733.0,"$423,900+","1,652",CA,Plan 3 Plan,2019,"$512,788",$257,91915
3,2,Dana Point,"Strands 2030, South Cove, Dana Point, CA 92629",Townhouse,https://www.zillow.com/community/south-cove/2085317819_zpid/,New construction,No Data,1733.0,"$1,249,990+","2,030",CA,Strands 2030 Plan,2019,"$1,200,064",$616,92629
3,3,Inglewood,"Residence 2, Parallel at Grace Park, Inglewood, CA 90301",Townhouse,https://www.zillow.com/community/parallel-at-grace-park/2082405470_zpid/,New construction,No Data,1733.0,"$878,990+","2,027",CA,Residence 2 Plan,2019,"$878,994",$434,90301
3,3,Chino,"Residence Two, The Landings   Waypoint, Chino, CA 91708",Townhouse,https://www.zillow.com/community/landings-waypoint/2082500932_zpid/,New construction,No Data,1733.0,"$397,990+","1,485",CA,Residence Two Plan,2019,"$396,106",$268,91708
2.5,3,Union City,"Plan 6, Union City - The Sugarmill, Union City, CA 94587",Townhouse,https://www.zillow.com/community/union-city-sugarmill/2083704396_zpid/,New construction,No Data,1733.0,"$879,990+","1,964",CA,Plan 6 Plan,2019,"$866,635",$448,94587
3,3,Dublin,"Residence Four, Boulevard   Union, Dublin, CA 94568",Townhouse,https://www.zillow.com/community/boulevard-union/2087975422_zpid/,New construction,No Data,1733.0,"$895,000+","1,933",CA,Residence Four Plan,2019,"$886,181",$463,94568
2,2,Stockton,"1611 Porter Way, Stockton, CA 95207",Townhouse,https://www.zillow.com/homedetails/1611-Porter-Way-Stockton-CA-95207/63097954_zpid/,Townhouse for sale,744 sqft,744.0,"$225,000","1,194",CA,1611 Porter Way,1985,"$213,803",$188,95207
3,2,Alhambra,"829 S Stoneman Ave APT A, Alhambra, CA 91801",Townhouse,https://www.zillow.com/homedetails/829-S-Stoneman-Ave-APT-A-Alhambra-CA-91801/20710220_zpid/,Townhouse for sale,"1,742 sqft",1742.0,"$579,888","1,648",CA,829 S Stoneman Ave APT A,1991,"$579,893",$352,91801
3,3,SanDiego,"9219 Lake Murray Blvd UNIT A, San Diego, CA 92119",Townhouse,https://www.zillow.com/homedetails/9219-Lake-Murray-Blvd-UNIT-A-San-Diego-CA-92119/16868157_zpid/,Townhouse for sale,No Data,1742.0,"$529,000","1,745",CA,9219 Lake Murray Blvd UNIT A,1986,"$527,705",$303,92119
3,3,NewportBeach,"2716 Hilltop Dr # 56, Newport Beach, CA 92660",Townhouse,https://www.zillow.com/homedetails/2716-Hilltop-Dr-56-Newport-Beach-CA-92660/25711767_zpid/,For sale by owner,"1,890 sqft",1890.0,"$1,390,000","1,889",CA,2716 Hilltop Dr # 56,1977,"$1,359,995",$736,92660
3,3,ThousandOaks,"1014 Larry Ct, Thousand Oaks, CA 91320",Townhouse,https://www.zillow.com/homedetails/1014-Larry-Ct-Thousand-Oaks-CA-91320/16468059_zpid/,Townhouse for sale,"1,354 sqft",1354.0,"$659,000","2,081",CA,1014 Larry Ct,1997,"$653,009",$317,91320
2,2,Clayton,"1367 Shell Ln, Clayton, CA 94517",Townhouse,https://www.zillow.com/homedetails/1367-Shell-Ln-Clayton-CA-94517/18356266_zpid/,Townhouse for sale,"3,484 sqft",3484.0,"$539,000","1,145",CA,1367 Shell Ln,1993,"$539,004",$471,94517
3,3,Dublin,"Residence Three, Boulevard   Downing, Dublin, CA 94568",Townhouse,https://www.zillow.com/community/boulevard-downing/2083235821_zpid/,New construction,No Data,3484.0,"$874,880+","2,238",CA,Residence Three Plan,2019,"$868,941",$391,94568
3,3,LosAngeles,"4832 Balboa Ave UNIT A, Los Angeles, CA 91316",Townhouse,https://www.zillow.com/homedetails/4832-Balboa-Ave-UNIT-A-Los-Angeles-CA-91316/19993278_zpid/,Townhouse for sale,0.44 acres,19166.4,"$739,000","1,783",CA,4832 Balboa Ave UNIT A,1974,"$739,002",$414,91316
2,2,San Diego,"Plan 12, Bayside Cove, San Diego, CA 92109",Townhouse,https://www.zillow.com/community/bayside-cove/2083217708_zpid/,New construction,No Data,19166.4,"$1,179,900+","1,177",CA,Plan 12 Plan,2019,"$1,141,930","$1,002",92109
3,3,MenloPark,"700 Sand Hill Cir, Menlo Park, CA 94025",Townhouse,https://www.zillow.com/homedetails/700-Sand-Hill-Cir-Menlo-Park-CA-94025/15599968_zpid/,Townhouse for sale,"1,951 sqft",1951.0,"$1,995,000","2,070",CA,700 Sand Hill Cir,1976,"$1,998,633",$964,94025
3,3,CostaMesa,"3350 Via Trentino, Costa Mesa, CA 92626",Townhouse,https://www.zillow.com/homedetails/3350-Via-Trentino-Costa-Mesa-CA-92626/64527908_zpid/,Townhouse for sale,"1,707 sqft",1707.0,"$815,000","1,707",CA,3350 Via Trentino,2004,"$804,503",$477,92626
3.5,3,Rancho Cucamonga,"Residence 1998, Palazzo at Day Creek Square, Rancho Cucamonga, CA 91739",Townhouse,https://www.zillow.com/community/palazzo-at-day-creek-square/2085277410_zpid/,New construction,No Data,1707.0,"$575,225+","1,998",CA,Residence 1998 Plan,2019,"$564,737",$288,91739
3,3,SantaBarbara,"1011 Rinconada Rd APT E, Santa Barbara, CA 93101",Townhouse,https://www.zillow.com/homedetails/1011-Rinconada-Rd-APT-E-Santa-Barbara-CA-93101/2082377218_zpid/,Townhouse for sale,"2,178 sqft",2178.0,"$1,875,000","2,340",CA,1011 Rinconada Rd APT E,2003,"$1,839,285",$801,93101
3,3,GardenGrove,"6867 Almondine Dr, Garden Grove, CA 92845",Townhouse,https://www.zillow.com/homedetails/6867-Almondine-Dr-Garden-Grove-CA-92845/25315652_zpid/,Townhouse for sale,"1,690 sqft",1690.0,"$499,900","1,460",CA,6867 Almondine Dr,1974,"$499,903",$342,92845
2,2,LemonGrove,"2340 Massachusetts Ave APT 16, Lemon Grove, CA 91945",Townhouse,https://www.zillow.com/homedetails/2340-Massachusetts-Ave-APT-16-Lemon-Grove-CA-91945/17016406_zpid/,Townhouse for sale,2 acres,87120.0,"$330,000","1,032",CA,2340 Massachusetts Ave APT 16,1982,"$330,000",$320,91945
2,2,LemonGrove,"2350 Massachusetts Ave APT 9, Lemon Grove, CA 91945",Townhouse,https://www.zillow.com/homedetails/2350-Massachusetts-Ave-APT-9-Lemon-Grove-CA-91945/17016399_zpid/,Townhouse for sale,2 acres,87120.0,"$330,000","1,060",CA,2350 Massachusetts Ave APT 9,1982,"$330,001",$311,91945
2.5,3,Rancho Mission Viejo,"Residence 4Y, Modena at Esencia, Rancho Mission Viejo, CA 92694",Townhouse,https://www.zillow.com/community/modena-at-esencia/2087609209_zpid/,New construction,No Data,87120.0,"$664,990+","1,962",CA,Residence 4Y Plan,2019,"$823,288",$339,92694
2.5,3,Corona,"Residence 2, Citron at Bedford, Corona, CA 92883",Townhouse,https://www.zillow.com/community/citron-at-bedford/2087893227_zpid/,New construction,No Data,87120.0,"$382,000+","1,381",CA,Residence 2 Plan,2019,"$483,672",$277,92883
4,3,LosAngeles,"12917 Valleyheart Dr UNIT 10, Los Angeles, CA 91604",Townhouse,https://www.zillow.com/homedetails/12917-Valleyheart-Dr-UNIT-10-Los-Angeles-CA-91604/20029585_zpid/,Townhouse for sale,0.47 acres,20473.199999999997,"$849,000","2,463",CA,12917 Valleyheart Dr UNIT 10,1997,"$844,877",$345,91604
2.5,3,San Diego,"Residence 2, Tesoro at Vista del Sur, San Diego, CA 92154",Townhouse,https://www.zillow.com/community/tesoro-at-vista-del-sur/2087807505_zpid/,New construction,No Data,20473.199999999997,"$400,000+","1,485",CA,Residence 2 Plan,2019,"$505,520",$269,92154
3,4,Riverside,"Three, Harris Farm, Riverside, CA 92504",Townhouse,https://www.zillow.com/community/harris-farm/2087755120_zpid/,New construction,No Data,20473.199999999997,"$424,990+","1,939",CA,Three Plan,2019,"$477,532",$219,92504
3,3,LosAngeles,"21901 Lassen St UNIT 98, Los Angeles, CA 91311",Townhouse,https://www.zillow.com/homedetails/21901-Lassen-St-UNIT-98-Los-Angeles-CA-91311/20172516_zpid/,Townhouse for sale,3.88 acres,169012.8,"$450,000","1,558",CA,21901 Lassen St UNIT 98,1976,"$450,002",$289,91311
