Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
3,3,SantaClarita,"18726 Vista Del Canon UNIT A, Santa Clarita, CA 91321",Townhouse,https://www.zillow.com/homedetails/18726-Vista-Del-Canon-UNIT-A-Santa-Clarita-CA-91321/20214949_zpid/,Townhouse for sale,1.19 acres,51836.399999999994,"$400,000","1,176",CA,18726 Vista Del Canon UNIT A,1990,"$400,002",$340,91321
2,3,Bellflower,"17632 Regency Cir, Bellflower, CA 90706",Townhouse,https://www.zillow.com/homedetails/17632-Regency-Cir-Bellflower-CA-90706/21173517_zpid/,Townhouse for sale,2.34 acres,101930.4,"$432,500","1,189",CA,17632 Regency Cir,1973,"$436,974",$364,90706
3.5,4,Dublin,"Residence 2, Apex in Dublin, Dublin, CA 94568",Townhouse,https://www.zillow.com/community/apex-in-dublin/2088647905_zpid/,New construction,No Data,862.0,"$886,000+","1,879",CA,Residence 2 Plan,2019,"$863,669",$472,94568
3,2,Aptos,"365 Village Creek Rd, Aptos, CA 95003",Townhouse,https://www.zillow.com/homedetails/365-Village-Creek-Rd-Aptos-CA-95003/16136147_zpid/,Townhouse for sale,"1,089 sqft",1089.0,"$639,000","1,442",CA,365 Village Creek Rd,1990,"$639,005",$443,95003
2,2,ElSobrante,"511 Del Valle Cir, El Sobrante, CA 94803",Townhouse,https://www.zillow.com/homedetails/511-Del-Valle-Cir-El-Sobrante-CA-94803/18523359_zpid/,Townhouse for sale,428 sqft,428.0,"$349,000","1,046",CA,511 Del Valle Cir,1980,"$357,310",$334,94803
2,3,Riverside,"2750 Persimmon Pl, Riverside, CA 92506",Townhouse,https://www.zillow.com/homedetails/2750-Persimmon-Pl-Riverside-CA-92506/17847202_zpid/,Townhouse for sale,"3,920 sqft",3920.0,"$412,000","1,570",CA,2750 Persimmon Pl,1976,"$412,001",$262,92506
3,3,SanDiego,"5885 Reo Ter UNIT D, San Diego, CA 92139",Townhouse,https://www.zillow.com/homedetails/5885-Reo-Ter-UNIT-D-San-Diego-CA-92139/52520681_zpid/,Townhouse for sale,4 acres,174240.0,"$395,000","1,344",CA,5885 Reo Ter UNIT D,1981,"$399,477",$294,92139
2,2,Fremont,"The Walnut, Enclave at Mission Falls, Fremont, CA 94539",Townhouse,https://www.zillow.com/community/enclave-at-mission-falls/2082919845_zpid/,New construction,No Data,174240.0,"$994,990+","2,035",CA,The Walnut Plan,2019,"$980,464",$489,94539
3,3,SanMarcos,"1878 Matin Cir UNIT 134, San Marcos, CA 92069",Townhouse,https://www.zillow.com/homedetails/1878-Matin-Cir-UNIT-134-San-Marcos-CA-92069/16686937_zpid/,Townhouse for sale,No Data,174240.0,"$515,000","1,750",CA,1878 Matin Cir UNIT 134,1991,"$512,570",$294,92069
3,2,Milpitas,"1176 California Cir, Milpitas, CA 95035",Townhouse,https://www.zillow.com/homedetails/1176-California-Cir-Milpitas-CA-95035/300480191_zpid/,Townhouse for sale,"1,524 sqft",1524.0,"$835,000","1,236",CA,1176 California Cir,2019,"$835,003",$676,95035
2,2,Oxnard,"2257 Martinique Ln, Oxnard, CA 93035",Townhouse,https://www.zillow.com/homedetails/2257-Martinique-Ln-Oxnard-CA-93035/16387910_zpid/,Townhouse for sale,"1,058 sqft",1058.0,"$659,000","1,459",CA,2257 Martinique Ln,1985,"$654,855",$452,93035
3,4,OlympicValley,"244 Palisades Cir # 27, Olympic Valley, CA 96146",Townhouse,https://www.zillow.com/homedetails/244-Palisades-Cir-27-Olympic-Valley-CA-96146/2082395886_zpid/,Townhouse for sale,No Data,1058.0,"$979,000","2,001",CA,244 Palisades Cir # 27,2019,"$947,419",$489,96146
4,3,LaCrescenta,"4201 Pennsylvania Ave UNIT J2, La Crescenta, CA 91214",Townhouse,https://www.zillow.com/homedetails/4201-Pennsylvania-Ave-UNIT-J2-La-Crescenta-CA-91214/2082396122_zpid/,Townhouse for sale,1.15 acres,50093.99999999999,"$769,000","1,931",CA,4201 Pennsylvania Ave UNIT J2,2019,"$769,007",$398,91214
