Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,2,DesertHotSprings,"66860 Yucca Dr, Desert Hot Springs, CA 92240",Multi Family,https://www.zillow.com/homedetails/66860-Yucca-Dr-Desert-Hot-Springs-CA-92240/2116399363_zpid/,Apartment for sale,"$230,000","1,296",CA,66860 Yucca Dr,1964,"$230,000",$177,92240
12,10,WestHollywood,"1016 N Curson Ave, West Hollywood, CA 90046",Multi Family,https://www.zillow.com/homedetails/1016-N-Curson-Ave-West-Hollywood-CA-90046/2097272393_zpid/,Apartment for sale,"$3,890,000","8,368",CA,1016 N Curson Ave,1964,"$3,705,774",$465,90046
4,6,LosAngeles,"1443 W 82nd St, Los Angeles, CA 90047",Multi Family,https://www.zillow.com/homedetails/1443-W-82nd-St-Los-Angeles-CA-90047/20948184_zpid/,For sale by owner,"$629,000","2,375",CA,1443 W 82nd St,1926,"$635,293",$265,90047
14,24,PicoRivera,"8202 Rosemead Blvd, Pico Rivera, CA 90660",Multi Family,https://www.zillow.com/homedetails/8202-Rosemead-Blvd-Pico-Rivera-CA-90660/2082454588_zpid/,Apartment for sale,"$3,995,000","12,336",CA,8202 Rosemead Blvd,1974,"$3,841,346",$324,90660
6,7,Glendale,"1819 Sherer Ln, Glendale, CA 91208",Multi Family,https://www.zillow.com/homedetails/1819-Sherer-Ln-Glendale-CA-91208/250338369_zpid/,Apartment for sale,"$2,099,000","3,335",CA,1819 Sherer Ln,1925,"$2,069,766",$629,91208
4,5,ThousandOaks,"2661 Los Robles Rd, Thousand Oaks, CA 91362",Multi Family,https://www.zillow.com/homedetails/2661-Los-Robles-Rd-Thousand-Oaks-CA-91362/16477539_zpid/,Apartment for sale,"$1,225,000","1,912",CA,2661 Los Robles Rd,1947,"$1,188,944",$641,91362
4,8,SanBernardino,"164 E Olive St, San Bernardino, CA 92410",Multi Family,https://www.zillow.com/homedetails/164-E-Olive-St-San-Bernardino-CA-92410/17224882_zpid/,Apartment for sale,"$514,500","3,216",CA,164 E Olive St,1964,"$513,939",$160,92410
9,9,LosAngeles,"1174 N Madison Ave, Los Angeles, CA 90029",Multi Family,https://www.zillow.com/homedetails/1174-N-Madison-Ave-Los-Angeles-CA-90029/2082456378_zpid/,Apartment for sale,"$2,175,000","5,700",CA,1174 N Madison Ave,1931,"$2,146,475",$382,90029
24,12,LosAngeles,"644 N Normandie Ave, Los Angeles, CA 90004",Multi Family,https://www.zillow.com/homedetails/644-N-Normandie-Ave-Los-Angeles-CA-90004/20781089_zpid/,Apartment for sale,"$6,200,000","17,615",CA,644 N Normandie Ave,2019,"$6,011,304",$352,90004
4,4,ElMonte,"12055 Conference St, El Monte, CA 91732",Multi Family,https://www.zillow.com/homedetails/12055-Conference-St-El-Monte-CA-91732/21592606_zpid/,Apartment for sale,"$779,000","2,078",CA,12055 Conference St,1952,"$779,005",$375,91732
2,4,Victorville,"16772 Verde St, Victorville, CA 92395",Multi Family,https://www.zillow.com/homedetails/16772-Verde-St-Victorville-CA-92395/17476560_zpid/,Apartment for sale,"$250,000","1,343",CA,16772 Verde St,1932,"$248,486",$186,92395
4,3,ManhattanBeach,"4108 Highland Ave, Manhattan Beach, CA 90266",Multi Family,https://www.zillow.com/homedetails/4108-Highland-Ave-Manhattan-Beach-CA-90266/135292068_zpid/,Apartment for sale,"$2,900,000","3,682",CA,4108 Highland Ave,1990,"$2,843,423",$788,90266
--,4,Tulare,"517 N Welch Dr, Tulare, CA 93274",Multi Family,https://www.zillow.com/homedetails/517-N-Welch-Dr-Tulare-CA-93274/16268138_zpid/,Apartment for sale,"$190,000","1,504",CA,517 N Welch Dr,1951,"$190,000",$126,93274
