Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
3,3,LosAngeles,"2844 1/2 Griffin Ave, Los Angeles, CA 90031",Single Family,https://www.zillow.com/homedetails/2844-1-2-Griffin-Ave-Los-Angeles-CA-90031/2082407830_zpid/,House for sale,"2,138 sqft",2138,"$699,000 ","1,705",CA,2844 1/2 Griffin Ave,2019,"$709,229 ",$410 ,90031
2,4,Redding,"2912 Hawn Ave, Redding, CA 96002",Single Family,https://www.zillow.com/homedetails/2912-Hawn-Ave-Redding-CA-96002/15235073_zpid/,House for sale,0.25 acres,10890,"$279,900 ","1,835",CA,2912 Hawn Ave,1975,"$273,871 ",$153 ,96002
2,3,GardenGrove,"7721 Amy Ave, Garden Grove, CA 92841",Single Family,https://www.zillow.com/homedetails/7721-Amy-Ave-Garden-Grove-CA-92841/25233035_zpid/,House for sale,"8,276 sqft",8276,"$649,000 ","1,200",CA,7721 Amy Ave,1958,"$649,002 ",$541 ,92841
3,5,Bakersfield,"5115 Hartnett Ct, Bakersfield, CA 93306",Single Family,https://www.zillow.com/homedetails/5115-Hartnett-Ct-Bakersfield-CA-93306/63923184_zpid/,House for sale,0.41 acres,17859.6,"$482,000 ","2,988",CA,5115 Hartnett Ct,2004,"$474,518 ",$161 ,93306
2,4,MountainHouse,"527 Kristin Way, Mountain House, CA 95391",Single Family,https://www.zillow.com/homedetails/527-Kristin-Way-Mountain-House-CA-95391/61348973_zpid/,House for sale,"10,127 sqft",10127,"$579,000 ","2,004",CA,527 Kristin Way,2004,"$579,001 ",$289 ,95391
2,3,Glendora,"1311 S Bender Ave, Glendora, CA 91740",Single Family,https://www.zillow.com/homedetails/1311-S-Bender-Ave-Glendora-CA-91740/21640060_zpid/,House for sale,"7,927 sqft",7927,"$525,000 ","1,094",CA,1311 S Bender Ave,1956,"$525,085 ",$480 ,91740
2,4,SanJose,"1651 Honeysuckle Dr, San Jose, CA 95122",Single Family,https://www.zillow.com/homedetails/1651-Honeysuckle-Dr-San-Jose-CA-95122/19730468_zpid/,House for sale,"5,388 sqft",5388,"$785,000 ","1,352",CA,1651 Honeysuckle Dr,1968,"$796,804 ",$581 ,95122
2,4,SantaBarbara,"183 San Federico Ave, Santa Barbara, CA 93111",Single Family,https://www.zillow.com/homedetails/183-San-Federico-Ave-Santa-Barbara-CA-93111/15906620_zpid/,House for sale,"6,969 sqft",6969,"$885,000 ","1,561",CA,183 San Federico Ave,1965,"$868,142 ",$567 ,93111
1,2,SanLeandro,"16052 Berkshire Rd, San Leandro, CA 94578",Single Family,https://www.zillow.com/homedetails/16052-Berkshire-Rd-San-Leandro-CA-94578/24893614_zpid/,House for sale,"5,784 sqft",5784,"$599,900 ","1,002",CA,16052 Berkshire Rd,1949,"$636,566 ",$599 ,94578
2,3,SanFrancisco,"1445 14th Ave, San Francisco, CA 94122",Single Family,https://www.zillow.com/homedetails/1445-14th-Ave-San-Francisco-CA-94122/15105727_zpid/,House for sale,"3,184 sqft",3184,"$1,695,000 ","1,838",CA,1445 14th Ave,1924,None,$922 ,94122
