Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
--,Studio,Richmond,"1175 26th St, Richmond, CA 94804",Multi Family,https://www.zillow.com/homedetails/1175-26th-St-Richmond-CA-94804/18541965_zpid/,Apartment for sale,"$749,000","3,183",CA,1175 26th St,1962,"$782,654",$235,94804
--,4,Visalia,"1833 W Whitendale Ave, Visalia, CA 93277",Multi Family,https://www.zillow.com/homedetails/1833-W-Whitendale-Ave-Visalia-CA-93277/16255009_zpid/,Apartment for sale,"$235,000","2,069",CA,1833 W Whitendale Ave,1978,"$228,648",$114,93277
7,11,SanPedro,"755 W 30th St, San Pedro, CA 90731",Multi Family,https://www.zillow.com/homedetails/755-W-30th-St-San-Pedro-CA-90731/2082428145_zpid/,Apartment for sale,"$1,890,000","5,679",CA,755 W 30th St,1961,"$1,872,279",$333,90731
5,7,HuntingtonBeach,"16711 Blanton Ln, Huntington Beach, CA 92649",Multi Family,https://www.zillow.com/homedetails/16711-Blanton-Ln-Huntington-Beach-CA-92649/25299296_zpid/,Apartment for sale,"$2,050,000","5,124",CA,16711 Blanton Ln,1977,"$2,002,764",$400,92649
3,6,HuntingtonPark,"6310 Passaic St, Huntington Park, CA 90255",Multi Family,https://www.zillow.com/homedetails/6310-Passaic-St-Huntington-Park-CA-90255/21072501_zpid/,Apartment for sale,"$670,000","2,132",CA,6310 Passaic St,1922,"$665,526",$314,90255
5,11,Richmond,"634 Bissell Ave, Richmond, CA 94801",Multi Family,https://www.zillow.com/homedetails/634-Bissell-Ave-Richmond-CA-94801/82799317_zpid/,Apartment for sale,"$995,000","4,800",CA,634 Bissell Ave,1911,"$1,053,562",$207,94801
1,4,SantaBarbara,"715 Wentworth Ave, Santa Barbara, CA 93101",Multi Family,https://www.zillow.com/homedetails/715-Wentworth-Ave-Santa-Barbara-CA-93101/45648780_zpid/,For sale by owner,"$895,000","1,200",CA,715 Wentworth Ave,1915,"$870,777",$746,93101
--,Studio,Redding,"2113/2119 Bechelli Ln, Redding, CA 96002",Multi Family,https://www.zillow.com/homedetails/2113-2119-Bechelli-Ln-Redding-CA-96002/2082429232_zpid/,Apartment for sale,"$335,000",--,CA,2113/2119 Bechelli Ln,No Data,"$329,037",No Data,96002
6,6,Fresno,"960 E Mckinley Ave, Fresno, CA 93728",Multi Family,https://www.zillow.com/homedetails/960-E-Mckinley-Ave-Fresno-CA-93728/2091815441_zpid/,Apartment for sale,"$550,000","3,890",CA,960 E Mckinley Ave,1951,"$548,097",$141,93728
4,6,LosAngeles,"2611 Vineyard Ave, Los Angeles, CA 90016",Multi Family,https://www.zillow.com/homedetails/2611-Vineyard-Ave-Los-Angeles-CA-90016/20594009_zpid/,Apartment for sale,"$985,000","2,888",CA,2611 Vineyard Ave,1935,"$985,001",$341,90016
