Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
3,4,Oakland,"2032 57th Ave, Oakland, CA 94621",Multi Family,https://www.zillow.com/homedetails/2032-57th-Ave-Oakland-CA-94621/24789302_zpid/,Apartment for sale,"$395,000","1,588",CA,2032 57th Ave,1925,"$427,834",$249,94621
1,5,SanFrancisco,"1671 1673 45th Ave, San Francisco, CA 94122",Multi Family,https://www.zillow.com/homedetails/1671-1673-45th-Ave-San-Francisco-CA-94122/2082421522_zpid/,Apartment for sale,"$450,000","2,684",CA,1671 1673 45th Ave,1900,None,$168,94122
3,3,LosAngeles,"489 Nassau Ct, Los Angeles, CA 90063",Multi Family,https://www.zillow.com/homedetails/489-Nassau-Ct-Los-Angeles-CA-90063/20651588_zpid/,For sale by owner,"$395,000","2,405",CA,489 Nassau Ct,1921,"$512,071",$164,90063
3,6,RedwoodCity,"47 Hemlock Ave, Redwood City, CA 94061",Multi Family,https://www.zillow.com/homedetails/47-Hemlock-Ave-Redwood-City-CA-94061/15566522_zpid/,Apartment for sale,"$800,000","1,050",CA,47 Hemlock Ave,1910,"$828,305",$762,94061
5,8,Oakland,"1076 59th St, Oakland, CA 94608",Multi Family,https://www.zillow.com/homedetails/1076-59th-St-Oakland-CA-94608/24754854_zpid/,Apartment for sale,"$2,800,000","7,061",CA,1076 59th St,1885,"$3,013,610",$397,94608
2,4,SanFrancisco,"401 403 42nd Ave, San Francisco, CA 94121",Multi Family,https://www.zillow.com/homedetails/401-403-42nd-Ave-San-Francisco-CA-94121/2082381638_zpid/,Apartment for sale,"$1,199,000","2,600",CA,401 403 42nd Ave,1948,"$1,375,305",$461,94121
2,4,Oakland,"5929 Laird Ave, Oakland, CA 94605",Multi Family,https://www.zillow.com/homedetails/5929-Laird-Ave-Oakland-CA-94605/2082481997_zpid/,Apartment for sale,"$599,000","2,160",CA,5929 Laird Ave,1924,"$702,789",$277,94605
4,6,SanDiego,"4005 Epsilon St, San Diego, CA 92113",Multi Family,https://www.zillow.com/homedetails/4005-Epsilon-St-San-Diego-CA-92113/125788175_zpid/,Apartment for sale,"$550,000","1,777",CA,4005 Epsilon St,2006,"$548,571",$310,92113
3,4,LongBeach,"6261 Rose Ave, Long Beach, CA 90805",Multi Family,https://www.zillow.com/homedetails/6261-Rose-Ave-Long-Beach-CA-90805/21148219_zpid/,Apartment for sale,"$599,000","1,933",CA,6261 Rose Ave,1939,"$599,003",$310,90805
3,5,Montebello,"116 S 18th St, Montebello, CA 90640",Multi Family,https://www.zillow.com/homedetails/116-S-18th-St-Montebello-CA-90640/21079633_zpid/,Apartment for sale,"$650,000","1,828",CA,116 S 18th St,1947,None,$356,90640
2,4,LosAngeles,"3435 London St, Los Angeles, CA 90026",Multi Family,https://www.zillow.com/homedetails/3435-London-St-Los-Angeles-CA-90026/20738442_zpid/,Apartment for sale,"$675,000","1,112",CA,3435 London St,1922,"$693,710",$607,90026
5,9,SanFrancisco,"2106 2108 Broadway St, San Francisco, CA 94115",Multi Family,https://www.zillow.com/homedetails/2106-2108-Broadway-St-San-Francisco-CA-94115/2082377412_zpid/,Apartment for sale,"$8,288,000","7,950",CA,2106 2108 Broadway St,1938,"$8,404,265","$1,043",94115
4,7,LosAngeles,"1762 W 48th St, Los Angeles, CA 90062",Multi Family,https://www.zillow.com/homedetails/1762-W-48th-St-Los-Angeles-CA-90062/20570308_zpid/,Apartment for sale,"$699,997","2,624",CA,1762 W 48th St,1910,"$699,998",$267,90062
4,6,Ontario,"416 W Francis St, Ontario, CA 91762",Multi Family,https://www.zillow.com/homedetails/416-W-Francis-St-Ontario-CA-91762/17582748_zpid/,Apartment for sale,"$529,000","2,057",CA,416 W Francis St,1947,"$524,050",$257,91762
2,4,LosAngeles,"6882 Camrose Dr, Los Angeles, CA 90068",Multi Family,https://www.zillow.com/homedetails/6882-Camrose-Dr-Los-Angeles-CA-90068/20793866_zpid/,Apartment for sale,"$1,550,000","2,917",CA,6882 Camrose Dr,1923,"$1,550,014",$531,90068
3,4,ManhattanBeach,"323 29th St, Manhattan Beach, CA 90266",Multi Family,https://www.zillow.com/homedetails/323-29th-St-Manhattan-Beach-CA-90266/20420979_zpid/,Apartment for sale,"$2,900,000","2,785",CA,323 29th St,1963,"$2,900,026","$1,041",90266
14,12,PalmSprings,"1420 N Indian Canyon Dr, Palm Springs, CA 92262",Multi Family,https://www.zillow.com/homedetails/1420-N-Indian-Canyon-Dr-Palm-Springs-CA-92262/2082352099_zpid/,Apartment for sale,"$1,588,800","5,700",CA,1420 N Indian Canyon Dr,1939,"$1,523,378",$279,92262
2,4,LosAngeles,"906 Parkman Ave, Los Angeles, CA 90026",Multi Family,https://www.zillow.com/homedetails/906-Parkman-Ave-Los-Angeles-CA-90026/20745402_zpid/,Apartment for sale,"$1,100,000","1,880",CA,906 Parkman Ave,1937,"$1,116,373",$585,90026
5,6,LosAngeles,"1570 La Baig Ave, Los Angeles, CA 90028",Multi Family,https://www.zillow.com/homedetails/1570-La-Baig-Ave-Los-Angeles-CA-90028/20792287_zpid/,Apartment for sale,"$3,250,000","3,360",CA,1570 La Baig Ave,1953,"$3,137,034",$967,90028
--,6,LagunaBeach,"683 Sleepy Hollow Ln, Laguna Beach, CA 92651",Multi Family,https://www.zillow.com/homedetails/683-Sleepy-Hollow-Ln-Laguna-Beach-CA-92651/2082370507_zpid/,Apartment for sale,"$19,800,000","7,000",CA,683 Sleepy Hollow Ln,1963,"$19,228,958","$2,829",92651
3,3,Pomona,"1105 E Grand Ave, Pomona, CA 91766",Multi Family,https://www.zillow.com/homedetails/1105-E-Grand-Ave-Pomona-CA-91766/2082621077_zpid/,Apartment for sale,"$288,000","1,341",CA,1105 E Grand Ave,1990,"$288,000",$215,91766
2,4,Sacramento,"1715 13th St, Sacramento, CA 95811",Multi Family,https://www.zillow.com/homedetails/1715-13th-St-Sacramento-CA-95811/25783269_zpid/,Apartment for sale,"$475,000","1,740",CA,1715 13th St,1870,"$475,002",$273,95811
3,6,SanDiego,"525 25th St, San Diego, CA 92102",Multi Family,https://www.zillow.com/homedetails/525-25th-St-San-Diego-CA-92102/295336654_zpid/,Apartment for sale,"$600,000","1,661",CA,525 25th St,1918,"$480,001",$361,92102
4,5,Venice,"205 5th Ave, Venice, CA 90291",Multi Family,https://www.zillow.com/homedetails/205-5th-Ave-Venice-CA-90291/20451465_zpid/,Apartment for sale,"$2,195,000","2,743",CA,205 5th Ave,1929,"$2,173,792",$800,90291
2,4,SanFrancisco,"3655 16th St, San Francisco, CA 94114",Multi Family,https://www.zillow.com/homedetails/3655-16th-St-San-Francisco-CA-94114/2082794089_zpid/,Apartment for sale,"$968,000","1,785",CA,3655 16th St,1900,"$1,247,015",$542,94114
6,7,SanFrancisco,"321 323 Crestmont Dr, San Francisco, CA 94131",Multi Family,https://www.zillow.com/homedetails/321-323-Crestmont-Dr-San-Francisco-CA-94131/2082342231_zpid/,Apartment for sale,"$2,680,000","4,210",CA,321 323 Crestmont Dr,1964,"$2,834,428",$637,94131
5,6,MarinaDelRey,"14 Westwind St, Marina Del Rey, CA 90292",Multi Family,https://www.zillow.com/homedetails/14-Westwind-St-Marina-Del-Rey-CA-90292/20487594_zpid/,Apartment for sale,"$2,000,000","3,534",CA,14 Westwind St,1968,"$1,896,410",$566,90292
2,4,Vista,"1100 Starview Dr, Vista, CA 92084",Multi Family,https://www.zillow.com/homedetails/1100-Starview-Dr-Vista-CA-92084/16636760_zpid/,Apartment for sale,"$489,000","1,464",CA,1100 Starview Dr,1939,"$486,898",$334,92084
6,8,Fresno,"4136 N Thesta St, Fresno, CA 93726",Multi Family,https://www.zillow.com/homedetails/4136-N-Thesta-St-Fresno-CA-93726/2103582801_zpid/,Apartment for sale,"$300,000","4,224",CA,4136 N Thesta St,1967,"$300,002",$71,93726
2,4,LosAngeles,"3902 Legion Ln, Los Angeles, CA 90039",Multi Family,https://www.zillow.com/homedetails/3902-Legion-Ln-Los-Angeles-CA-90039/20750558_zpid/,Apartment for sale,"$1,249,000","1,845",CA,3902 Legion Ln,1950,"$1,299,886",$677,90039
3,4,LosAngeles,"5439 6th Ave, Los Angeles, CA 90043",Multi Family,https://www.zillow.com/homedetails/5439-6th-Ave-Los-Angeles-CA-90043/20564061_zpid/,Apartment for sale,"$600,000","2,320",CA,5439 6th Ave,1921,"$604,677",$259,90043
3,5,Fullerton,"3261 Arbol Dr, Fullerton, CA 92835",Multi Family,https://www.zillow.com/homedetails/3261-Arbol-Dr-Fullerton-CA-92835/25359898_zpid/,Apartment for sale,"$1,249,000","3,406",CA,3261 Arbol Dr,1951,"$1,232,802",$367,92835
2,4,Oakland,"3500 Maple Ave, Oakland, CA 94602",Multi Family,https://www.zillow.com/homedetails/3500-Maple-Ave-Oakland-CA-94602/24769903_zpid/,Apartment for sale,"$698,000","1,680",CA,3500 Maple Ave,1900,"$784,494",$415,94602
2,4,SanPedro,"645 W 16th St, San Pedro, CA 90731",Multi Family,https://www.zillow.com/homedetails/645-W-16th-St-San-Pedro-CA-90731/21308319_zpid/,Apartment for sale,"$599,000","1,508",CA,645 W 16th St,1947,"$599,005",$397,90731
3,5,Ventura,"84 N Palm St, Ventura, CA 93001",Multi Family,https://www.zillow.com/homedetails/84-N-Palm-St-Ventura-CA-93001/16324893_zpid/,Apartment for sale,"$1,045,000","2,256",CA,84 N Palm St,1896,"$999,565",$463,93001
--,Studio,Linda,"1954 Country Club Ct, Linda, CA 95901",Multi Family,https://www.zillow.com/homedetails/1954-Country-Club-Ct-Linda-CA-95901/215330781_zpid/,Apartment for sale,"$399,000","3,392",CA,1954 Country Club Ct,1983,"$388,456",$118,95901
2,6,LosAngeles,"1425 S Berendo St, Los Angeles, CA 90006",Multi Family,https://www.zillow.com/homedetails/1425-S-Berendo-St-Los-Angeles-CA-90006/20603564_zpid/,Apartment for sale,"$875,000","2,234",CA,1425 S Berendo St,1906,"$882,183",$392,90006
--,7,SanDiego,"824 826 Abc Sapphire St, San Diego, CA 92109",Multi Family,https://www.zillow.com/homedetails/824-826-Abc-Sapphire-St-San-Diego-CA-92109/2082319122_zpid/,Apartment for sale,"$2,395,000",--,CA,824 826 Abc Sapphire St,1965,"$2,342,069",No Data,92109
--,Studio,SanFrancisco,"124 Teddy Ave, San Francisco, CA 94134",Multi Family,https://www.zillow.com/homedetails/124-Teddy-Ave-San-Francisco-CA-94134/2087511523_zpid/,Apartment for sale,"$799,500","1,275",CA,124 Teddy Ave,1916,"$874,506",$627,94134
2,6,LosAngeles,"136 E 118th Pl, Los Angeles, CA 90061",Multi Family,https://www.zillow.com/homedetails/136-E-118th-Pl-Los-Angeles-CA-90061/20975636_zpid/,Apartment for sale,"$499,000",1,CA,136 E 118th Pl,1924,"$500,972","$499,000",90061
6,6,Downey,"8034 7th St, Downey, CA 90241",Multi Family,https://www.zillow.com/homedetails/8034-7th-St-Downey-CA-90241/250340954_zpid/,Apartment for sale,"$1,440,000","3,536",CA,8034 7th St,1957,"$1,440,006",$407,90241
