Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,2,Irvine,"Residence 3, Travata   Aldea, Irvine, CA 92618",Townhouse,https://www.zillow.com/community/travata-aldea/2088186181_zpid/,New construction,No Data,866.0,"$864,990+","1,910",CA,Residence 3 Plan,2019,"$945,532",$453,92618
3,2,Dana Point,"Strands 2038, South Cove, Dana Point, CA 92629",Townhouse,https://www.zillow.com/community/south-cove/2085317820_zpid/,New construction,No Data,866.0,"$1,299,990+","2,038",CA,Strands 2038 Plan,2019,"$1,248,690",$638,92629
3.5,3,La Habra,"Residence 1, Skylark, La Habra, CA 90631",Townhouse,https://www.zillow.com/community/skylark/2085742334_zpid/,New construction,No Data,866.0,"$599,000+","1,979",CA,Residence 1 Plan,2019,"$592,530",$303,90631
3,2,Los Alamitos,"The Griffin - Plan 1A, Oak Walk, Los Alamitos, CA 90721",Townhouse,https://www.zillow.com/community/oak-walk/2082626078_zpid/,New construction,No Data,866.0,"$646,990+","1,326",CA,The Griffin - Plan 1A Plan,2019,"$640,549",$488,90721
4,4,Whittier,"4, Candlewood Villas, Whittier, CA 90604",Townhouse,https://www.zillow.com/community/candlewood-villas/2083038170_zpid/,New construction,No Data,866.0,"$608,880+","2,088",CA,4 Plan,2019,"$608,881",$292,90604
4,3,Covina,"Plan 4 Townhome, Covina - Atwood, Covina, CA 91723",Townhouse,https://www.zillow.com/community/covina-atwood/2083185037_zpid/,New construction,No Data,866.0,"$569,990+","2,006",CA,Plan 4 Townhome Plan,2019,"$566,004",$284,91723
4,4,Santa Clara,"Loyola, One Lawrence Station, Santa Clara, CA 95054",Townhouse,https://www.zillow.com/community/one-lawrence-station/2082369566_zpid/,New construction,No Data,866.0,"$1,499,995+","2,049",CA,Loyola Plan,2019,"$1,486,520",$732,95054
3.5,4,Hayward,"Residence 4, Mission Crossing, Hayward, CA 94544",Townhouse,https://www.zillow.com/community/mission-crossing/2084012536_zpid/,New construction,No Data,866.0,"$798,450+","2,184",CA,Residence 4 Plan,2019,"$790,267",$366,94544
4,4,Newark,"Residence 4, Lighthouse, Newark, CA 94560",Townhouse,https://www.zillow.com/community/lighthouse/2082743743_zpid/,New construction,No Data,866.0,"$1,109,880+","2,109",CA,Residence 4 Plan,2019,"$1,100,525",$526,94560
4,3,Mountain View,"Residence 9B Enhanced, Estancia, Mountain View, CA 94040",Townhouse,https://www.zillow.com/community/estancia/2085396413_zpid/,New construction,No Data,866.0,"$1,869,880+","2,008",CA,Residence 9B Enhanced Plan,2019,"$1,818,047",$931,94040
3,4,Brentwood,"Muros with Loft, Barcelona, Brentwood, CA 94513",Townhouse,https://www.zillow.com/community/barcelona/2084312581_zpid/,New construction,No Data,866.0,"$519,990+","1,989",CA,Muros with Loft Plan,2019,"$519,992",$261,94513
2,2,MissionViejo,"22868 Via Pimiento # 4I, Mission Viejo, CA 92691",Townhouse,https://www.zillow.com/homedetails/22868-Via-Pimiento-4I-Mission-Viejo-CA-92691/25683376_zpid/,Townhouse for sale,914 sqft,914.0,"$369,900",932,CA,22868 Via Pimiento # 4I,1971,"$367,090",$397,92691
3,3,SantaClara,"2588 Knightsbridge Ln, Santa Clara, CA 95051",Townhouse,https://www.zillow.com/homedetails/2588-Knightsbridge-Ln-Santa-Clara-CA-95051/19553486_zpid/,Townhouse for sale,"1,685 sqft",1685.0,"$989,500","1,334",CA,2588 Knightsbridge Ln,1973,"$1,002,025",$742,95051
4,3,IndianWells,"75416 Augusta Dr, Indian Wells, CA 92210",Townhouse,https://www.zillow.com/homedetails/75416-Augusta-Dr-Indian-Wells-CA-92210/18093430_zpid/,Townhouse for sale,"6,098 sqft",6098.0,"$499,000","2,773",CA,75416 Augusta Dr,1986,"$484,415",$180,92210
3.5,3,Fremont,"Locale Rowhome Plan 2, Locale at State Street, Fremont, CA 94538",Townhouse,https://www.zillow.com/community/locale-at-state-street/2087430310_zpid/,New construction,No Data,6098.0,"$898,000+","1,411",CA,Locale Rowhome Plan 2 Plan,2019,"$873,490",$636,94538
4,4,ThousandOaks,"2351 Chiquita Ln, Thousand Oaks, CA 91362",Townhouse,https://www.zillow.com/homedetails/2351-Chiquita-Ln-Thousand-Oaks-CA-91362/69046730_zpid/,Townhouse for sale,845 sqft,845.0,"$599,900","2,206",CA,2351 Chiquita Ln,2006,"$585,148",$272,91362
3,2,LaderaRanch,"35 Palladium Ln, Ladera Ranch, CA 92694",Townhouse,https://www.zillow.com/homedetails/35-Palladium-Ln-Ladera-Ranch-CA-92694/63120220_zpid/,Townhouse for sale,2.75 acres,119790.0,"$529,000","1,449",CA,35 Palladium Ln,2005,"$526,351",$365,92694
