Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
3,3,Pasadena,"320 San Miguel Rd, Pasadena, CA 91105",Single Family,https://www.zillow.com/homedetails/320-San-Miguel-Rd-Pasadena-CA-91105/20858959_zpid/,House for sale,0.26 acres,11325.6,"$2,275,000 ","2,760",CA,320 San Miguel Rd,1951,"$2,275,000 ",$824 ,91105
2,3,GrassValley,"14829 Stinson Dr, Grass Valley, CA 95949",Single Family,https://www.zillow.com/homedetails/14829-Stinson-Dr-Grass-Valley-CA-95949/19440221_zpid/,House for sale,0.34 acres,14810.4,"$310,000 ","1,310",CA,14829 Stinson Dr,1981,"$310,001 ",$237 ,95949
3,4,AlisoViejo,"25 Wellington Pl, Aliso Viejo, CA 92656",Single Family,https://www.zillow.com/homedetails/25-Wellington-Pl-Aliso-Viejo-CA-92656/51674659_zpid/,House for sale,"3,001 sqft",3001,"$799,000 ","1,866",CA,25 Wellington Pl,1999,"$789,588 ",$428 ,92656
6,5,GranadaHills,"12009 Longacre Ave, Granada Hills, CA 91344",Single Family,https://www.zillow.com/homedetails/12009-Longacre-Ave-Granada-Hills-CA-91344/250330679_zpid/,House for sale,0.9 acres,39204,"$11,589,000 ","10,492",CA,12009 Longacre Ave,2016,None,"$1,105 ",91344
10,6,NewportBeach,"2136 E Balboa Blvd, Newport Beach, CA 92661",Single Family,https://www.zillow.com/homedetails/2136-E-Balboa-Blvd-Newport-Beach-CA-92661/25135918_zpid/,House for sale,"9,600 sqft",9600,"$27,500,000 ","9,867",CA,2136 E Balboa Blvd,2018,"$25,235,294 ","$2,787 ",92661
3,4,LosAngeles,"4101 Parva Ave, Los Angeles, CA 90027",Single Family,https://www.zillow.com/homedetails/4101-Parva-Ave-Los-Angeles-CA-90027/20811872_zpid/,House for sale,0.34 acres,14810.4,"$3,700,000 ","3,177",CA,4101 Parva Ave,1936,"$3,700,006 ","$1,165 ",90027
12,7,HiddenHills,"5889 Jed Smith Rd, Hidden Hills, CA 91302",Single Family,https://www.zillow.com/homedetails/5889-Jed-Smith-Rd-Hidden-Hills-CA-91302/19882707_zpid/,House for sale,1.67 acres,72745.2,"$14,995,000 ","12,251",CA,5889 Jed Smith Rd,2008,"$14,058,325 ","$1,224 ",91302
1,2,Hayward,"24628 Soto Rd, Hayward, CA 94544",Single Family,https://www.zillow.com/homedetails/24628-Soto-Rd-Hayward-CA-94544/24980622_zpid/,House for sale,"5,662 sqft",5662,"$329,000 ",820,CA,24628 Soto Rd,1940,"$353,619 ",$401 ,94544
2,3,Clovis,"382 W Goshen Ave, Clovis, CA 93611",Single Family,https://www.zillow.com/homedetails/382-W-Goshen-Ave-Clovis-CA-93611/18798031_zpid/,House for sale,"7,771 sqft",7771,"$349,900 ","1,650",CA,382 W Goshen Ave,1995,"$338,236 ",$212 ,93611
2,3,SanJose,"458 Madison Dr, San Jose, CA 95123",Single Family,https://www.zillow.com/homedetails/458-Madison-Dr-San-Jose-CA-95123/19822369_zpid/,House for sale,"6,464 sqft",6464,"$849,950 ","1,143",CA,458 Madison Dr,1968,"$889,947 ",$744 ,95123
6,5,SantaBarbara,"4141 Mariposa Dr, Santa Barbara, CA 93110",Single Family,https://www.zillow.com/homedetails/4141-Mariposa-Dr-Santa-Barbara-CA-93110/15905039_zpid/,House for sale,1.5 acres,65340,"$4,895,000 ","6,355",CA,4141 Mariposa Dr,1979,"$4,570,890 ",$770 ,93110
2,4,Fontana,"17340 Montgomery Ave, Fontana, CA 92336",Single Family,https://www.zillow.com/homedetails/17340-Montgomery-Ave-Fontana-CA-92336/17331688_zpid/,House for sale,"7,200 sqft",7200,"$335,000 ","1,432",CA,17340 Montgomery Ave,1980,"$335,000 ",$234 ,92336
2,3,Riverside,"3376 Grampion Rd, Riverside, CA 92507",Single Family,https://www.zillow.com/homedetails/3376-Grampion-Rd-Riverside-CA-92507/17864857_zpid/,House for sale,"7,840 sqft",7840,"$363,900 ","1,128",CA,3376 Grampion Rd,1956,"$363,900 ",$323 ,92507
9,6,LagunaBeach,"2431 Riviera Dr, Laguna Beach, CA 92651",Single Family,https://www.zillow.com/homedetails/2431-Riviera-Dr-Laguna-Beach-CA-92651/25141041_zpid/,House for sale,0.48 acres,20908.8,"$44,000,000 ","10,000",CA,2431 Riviera Dr,1996,"$39,494,627 ","$4,400 ",92651
2,4,DesertHotSprings,"66023 4th St, Desert Hot Springs, CA 92240",Single Family,https://www.zillow.com/homedetails/66023-4th-St-Desert-Hot-Springs-CA-92240/69262415_zpid/,House for sale,"6,534 sqft",6534,"$224,999 ","1,743",CA,66023 4th St,2005,"$225,000 ",$129 ,92240
9,7,StudioCity,"11560 Dilling St, Studio City, CA",Single Family,https://www.zillow.com/homedetails/11560-Dilling-St-Studio-City-CA-91604/20027046_zpid/,New construction,0.38 acres,16552.8,"$7,381,000 ","9,733",CA,11560 Dilling St,2017,"$6,468,560 ",$758 ,null
2,4,Reseda,"17746 Baltar St, Reseda, CA 91335",Single Family,https://www.zillow.com/homedetails/17746-Baltar-St-Reseda-CA-91335/19902304_zpid/,House for sale,"7,139 sqft",7139,"$485,000 ","1,192",CA,17746 Baltar St,1954,"$493,960 ",$407 ,91335
