Bath,Bed,City,Full_address,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Price,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
3,3,Manteca,"3482 Rapallo Way, Manteca, CA",Townhouse,https://www.zillow.com/homedetails/3482-Rapallo-Way-Manteca-CA-95337/111086594_zpid/,New construction,"6,021 sqft",6021.0,"$587,242","2,586",CA,3482 Rapallo Way,2019,"$577,135",$227,null
4,4,Sylmar,"13228 Klein Ct, Sylmar, CA 91342",Townhouse,https://www.zillow.com/homedetails/13228-Klein-Ct-Sylmar-CA-91342/244115038_zpid/,Townhouse for sale,0.47 acres,20473.199999999997,"$479,950","1,780",CA,13228 Klein Ct,2017,"$479,951",$270,91342
4,4,Hayward,"25301 Parklane Dr, Hayward, CA",Townhouse,https://www.zillow.com/homedetails/25301-Parklane-Dr-Hayward-CA-94544/2082340748_zpid/,New construction,No Data,20473.199999999997,"$779,950","2,041",CA,25301 Parklane Dr,No Data,"$818,526",$382,null
3,3,Murrieta,"Residence 1725, Savanna Pointe at Santa Rosa Highlands, Murrieta, CA 92562",Townhouse,https://www.zillow.com/community/savanna-pointe-at-santa-rosa-highlands/2085277370_zpid/,New construction,No Data,20473.199999999997,"$380,250+","1,725",CA,Residence 1725 Plan,2019,"$375,369",$220,92562
3.5,3,Milpitas,"Plan 2, Ellison Park, Milpitas, CA 95035",Townhouse,https://www.zillow.com/community/ellison-park/2083554468_zpid/,New construction,No Data,20473.199999999997,"$1,249,000+","2,035",CA,Plan 2 Plan,2019,"$1,223,699",$614,95035
2,2,WestCovina,"3860 Sycamore St, West Covina, CA 91792",Townhouse,https://www.zillow.com/homedetails/3860-Sycamore-St-West-Covina-CA-91792/21687431_zpid/,Townhouse for sale,1.63 acres,71002.79999999999,"$395,000","1,147",CA,3860 Sycamore St,1983,"$395,002",$344,91792
2.5,3,San Diego,"A-1, Avella at Civita, San Diego, CA 92108",Townhouse,https://www.zillow.com/community/avella-at-civita/2084166512_zpid/,New construction,No Data,71002.79999999999,"$799,995+","1,512",CA,A-1 Plan,2019,"$775,027",$529,92108
1,2,Carmichael,"2360 Via Camino Ave, Carmichael, CA 95608",Townhouse,https://www.zillow.com/homedetails/2360-Via-Camino-Ave-Carmichael-CA-95608/26096150_zpid/,Townhouse for sale,683 sqft,683.0,"$209,000",972,CA,2360 Via Camino Ave,1972,"$206,564",$215,95608
3,2,Irvine,"Residence 2, C2E, Irvine, CA 92614",Townhouse,https://www.zillow.com/community/c2e/2085244302_zpid/,New construction,No Data,683.0,"$719,900+","1,414",CA,Residence 2 Plan,2019,"$708,251",$509,92614
2.5,3,Chula Vista,"Residence 3, Monterra at Otay Ranch, Chula Vista, CA 91913",Townhouse,https://www.zillow.com/community/monterra-at-otay-ranch/2085200612_zpid/,New construction,No Data,683.0,"$498,990+","1,828",CA,Residence 3 Plan,2019,"$491,793",$273,91913
