1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,,"$12,500",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$12,500'}]",Santa Monica,"42 Sea Colony Dr, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/42-sea-colony-dr-santa-monica-ca/2bmkt0b/,"1,855","1,855 Sq Ft",CA,Townhomes,90405
,"$3,150",,,,Nov 15,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,150'}]",Redondo Beach,"1915 Speyer Ln, Redondo Beach, CA 90278",12 Month Lease,https://www.apartments.com/1915-speyer-ln-redondo-beach-ca/4rmrclk/,"1,100","1,100 Sq Ft",CA,Townhomes,90278
,,"$4,500",,,Nov 15,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]",Santa Monica,"1437 16th St, Santa Monica, CA 90404",12 Month Lease,https://www.apartments.com/1437-16th-st-santa-monica-ca/k22yvq8/,"1,800","1,800 Sq Ft",CA,Townhomes,90404
,"$2,525",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,525'}]",Los Angeles,"4527 Coldwater Canyon Ave, Los Angeles, CA 91604",12 Month Lease,https://www.apartments.com/4527-coldwater-canyon-ave-los-angeles-ca/1jbv0q4/,"1,100","1,100 Sq Ft",CA,Townhomes,91604
,,"$2,990",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,990'}]",Glendale,"1241 N Central Ave, Glendale, CA 91202",12 Month Lease,https://www.apartments.com/1241-n-central-ave-glendale-ca/1c80w56/,10,10 Sq Ft,CA,Townhomes,91202
,"$3,250",,,,Nov 5,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,250'}]",Los Angeles,"125 S Harper Ave, Los Angeles, CA 90048",12 Month Lease,https://www.apartments.com/125-s-harper-ave-los-angeles-ca/vd348lf/,"1,200","1,200 Sq Ft",CA,Townhomes,90048
,"$5,395",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,395'}]",Beverly Hills,"9958 Durant Dr, Beverly Hills, CA 90212",12 Month Lease,https://www.apartments.com/9958-durant-dr-beverly-hills-ca/37r88je/,"1,750","1,750 Sq Ft",CA,Townhomes,90212
"$4,188",,,,,Nov 1,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$4,188'}]",Los Angeles,"8117 Waring Ave, Los Angeles, CA 90046",12 Month Lease,https://www.apartments.com/8117-waring-ave-los-angeles-ca/f2ppqpt/,"2,544","2,544 Sq Ft",CA,Townhomes,90046
,,"$8,900",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$8,900'}]",Manhattan Beach,"84 Manhattan Ave, Manhattan Beach, CA 90266",1 Month Lease,https://www.apartments.com/84-manhattan-ave-manhattan-beach-ca/dxwxbll/,"2,200","2,200 Sq Ft",CA,Townhomes,90266
,,"$12,950",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$12,950'}]",Manhattan Beach,"98 Manhattan Ave, Manhattan Beach, CA 90266",1 Month Lease,https://www.apartments.com/98-manhattan-ave-manhattan-beach-ca/e2qnhzm/,"2,200","2,200 Sq Ft",CA,Townhomes,90266
,,"$8,900",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$8,900'}]",Hermosa Beach,"331 11th St, Hermosa Beach, CA 90254",1 Month Lease,https://www.apartments.com/331-11th-st-hermosa-beach-ca/x93rewp/,"1,600","1,600 Sq Ft",CA,Townhomes,90254
,"$2,200",,,,Nov 15,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]",Costa Mesa,"602 Center St, Costa Mesa, CA 92627",12 Month Lease,https://www.apartments.com/602-center-st-costa-mesa-ca/mgwsckl/,"1,000","1,000 Sq Ft",CA,Townhomes,92627
,,"$2,895",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,895'}]",Woodland Hills,"21931 Burbank Blvd, Woodland Hills, CA 91367",12 Month Lease,https://www.apartments.com/21931-burbank-blvd-woodland-hills-ca/vygkg5f/,"1,500","1,500 Sq Ft",CA,Townhomes,91367
,"$2,290",,,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,290'}]",Los Angeles,"1109 S Sherbourne Dr, Los Angeles, CA 90035",12 Month Lease,https://www.apartments.com/1109-s-sherbourne-dr-los-angeles-ca/mztc4ml/,"1,300","1,300 Sq Ft",CA,Townhomes,90035
,"$2,395",,,,Nov 1,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,395'}]",Los Angeles,"936 S Serrano Ave, Los Angeles, CA 90006",12 Month Lease,https://www.apartments.com/936-s-serrano-ave-los-angeles-ca/3e68ezg/,1,1 Sq Ft,CA,Townhomes,90006
,,"$4,299",,,Available Now,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,299'}]",Pasadena,"480 S Los Robles Ave, Pasadena, CA 91101",12 Month Lease,https://www.apartments.com/480-s-los-robles-ave-pasadena-ca/h37h701/,"1,700","1,700 Sq Ft",CA,Townhomes,91101
,,"$3,000",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]",Covina,"275 W Center St, Covina, CA 91723",12 Month Lease,https://www.apartments.com/275-w-center-st-covina-ca/y6ltjwt/,"1,800","1,800 Sq Ft",CA,Townhomes,91723
"$3,100",,,,,Nov 1,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,100'}]",Santa Monica,"848 17th St, Santa Monica, CA 90403",1 Month Lease,https://www.apartments.com/848-17th-st-santa-monica-ca/ms9jhjj/,400,400 Sq Ft,CA,Townhomes,90403
,,"$13,000",,,Available Now,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$13,000'}]",Manhattan Beach,"116 40th St, Manhattan Beach, CA 90266",12 Month Lease,https://www.apartments.com/116-40th-st-manhattan-beach-ca/47pg8th/,"2,100","2,100 Sq Ft",CA,Townhomes,90266
,,,"$7,500",,Available Now,3½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$7,500'}]",Manhattan Beach,"447 23rd Pl, Manhattan Beach, CA 90266",12 Month Lease,https://www.apartments.com/447-23rd-pl-manhattan-beach-ca/w1jqgrl/,"2,236","2,236 Sq Ft",CA,Townhomes,90266
,,"$2,400",,,Nov 15,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,400'}]",Montebello,"336 Ridge Terrace Ln, Montebello, CA 90640",,https://www.apartments.com/336-ridge-terrace-ln-montebello-ca/cdksgzf/,"1,500","1,500 Sq Ft",CA,Townhomes,90640
,"$3,495",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,495'}]",Los Angeles,"3244 Barham Blvd, Los Angeles, CA 90068",12 Month Lease,https://www.apartments.com/3244-barham-blvd-los-angeles-ca/h268w12/,"1,105","1,105 Sq Ft",CA,Townhomes,90068
,,"$3,200",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,200'}]",Glendale,"700 E Garfield Ave, Glendale, CA 91205",12 Month Lease,https://www.apartments.com/700-e-garfield-ave-glendale-ca/crbvbeg/,"1,545","1,545 Sq Ft",CA,Townhomes,91205
,,"$4,200",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,200'}]",Glendale,"1816 Orchard Ave, Glendale, CA 91206",12 Month Lease,https://www.apartments.com/1816-orchard-ave-glendale-ca/t4ljpec/,"1,783","1,783 Sq Ft",CA,Townhomes,91206
,,"$2,200",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,200'}]",Bell Gardens,"6045 Quinn St, Bell Gardens, CA 90201",12 Month Lease,https://www.apartments.com/6045-quinn-st-bell-gardens-ca/lkqyf3f/,"1,800","1,800 Sq Ft",CA,Townhomes,90201
,"$6,500",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$6,500'}]",Santa Monica,"1044 Grant St, Santa Monica, CA 90405",,https://www.apartments.com/1044-grant-st-santa-monica-ca/0hj7kp1/,"1,100","1,100 Sq Ft",CA,Townhomes,90405
,"$3,750",,,,Nov 1,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,750'}]",Los Angeles,"1741 S Westgate Ave, Los Angeles, CA 90025",,https://www.apartments.com/1741-s-westgate-ave-los-angeles-ca/prqt0wt/,950,950 Sq Ft,CA,Townhomes,90025
,,"$4,190",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,190'}]",Redondo Beach,"2003 Mathews Ave, Redondo Beach, CA 90278",12 Month Lease,https://www.apartments.com/2003-mathews-ave-redondo-beach-ca/dsq8dqk/,"1,575","1,575 Sq Ft",CA,Townhomes,90278
,"$2,750",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,750'}]",Redondo Beach,"1922 Curtis Ave, Redondo Beach, CA 90278",12 Month Lease,https://www.apartments.com/1922-curtis-ave-redondo-beach-ca/cr9z6gd/,"1,000","1,000 Sq Ft",CA,Townhomes,90278
,,,"$4,300",,Available Now,2½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,300'}]",Redondo Beach,"1821 Belmont Ln, Redondo Beach, CA 90278",12 Month Lease,https://www.apartments.com/1821-belmont-ln-redondo-beach-ca/jhwjwc7/,"1,900","1,900 Sq Ft",CA,Townhomes,90278
,"$4,200",,,,Apr 1,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,200'}]",Palm Springs,"1801 S La Paloma, Palm Springs, CA 92264",1 Month Lease,https://www.apartments.com/1801-s-la-paloma-palm-springs-ca/vwyc5kd/,"1,700","1,700 Sq Ft",CA,Townhomes,92264
,,"$3,000",,,Available Now,1½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]",Los Angeles,"2838 Boulder St, Los Angeles, CA 90033",12 Month Lease,https://www.apartments.com/2838-boulder-st-los-angeles-ca/7wrm4ky/,"1,100","1,100 Sq Ft",CA,Townhomes,90033
,,"$2,900",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,900'}]",Arcadia,"900 N 1st Ave, Arcadia, CA 91006",12 Month Lease,https://www.apartments.com/900-n-1st-ave-arcadia-ca/sygqdg7/,"1,750","1,750 Sq Ft",CA,Townhomes,91006
,,"$2,695",,,Nov 15,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,695'}]",Huntington Beach,"17181 Elm Ln, Huntington Beach, CA 92647",,https://www.apartments.com/17181-elm-ln-huntington-beach-ca/3wp6lvd/,1,1 Sq Ft,CA,Townhomes,92647
,"$3,000",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]",Redondo Beach,"1721 Van Horne Ln, Redondo Beach, CA 90278",6 Month Lease,https://www.apartments.com/1721-van-horne-ln-redondo-beach-ca/2ryn5n9/,"1,200","1,200 Sq Ft",CA,Townhomes,90278
"$6,300",,,,,Available Now,1½ BAs,"[{'bedroom_type': '1 Bed', 'price': '$6,300'}]",Los Angeles,"660 Rose Ave, Los Angeles, CA 90291",12 Month Lease,https://www.apartments.com/660-rose-ave-los-angeles-ca/1e0cme4/,"1,800","1,800 Sq Ft",CA,Townhomes,90291
,,"$5,500",,,Nov 1,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,500'}]",Calabasas,"4705 Park Jacaranda, Calabasas, CA 91302",12 Month Lease,https://www.apartments.com/4705-park-jacaranda-calabasas-ca/tf35f2c/,"2,068","2,068 Sq Ft",CA,Townhomes,91302
,"$2,295",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,295'}]",Lakewood,"20824 Arline Ave, Lakewood, CA 90715",12 Month Lease,https://www.apartments.com/20824-arline-ave-lakewood-ca/8c6gcw0/,"1,000","1,000 Sq Ft",CA,Townhomes,90715
,"$2,195",,,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,195'}]",Lakewood,"20818 Arline Ave, Lakewood, CA 90715",12 Month Lease,https://www.apartments.com/20818-arline-ave-lakewood-ca/y3wm6jr/,950,950 Sq Ft,CA,Townhomes,90715
,,"$2,500",,,Available Now,1½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]",Lawndale,"4302 W 145th St, Lawndale, CA 90260",12 Month Lease,https://www.apartments.com/4302-w-145th-st-lawndale-ca/7tqg3ny/,"1,900","1,900 Sq Ft",CA,Townhomes,90260
,"$5,500",,,,Nov 1,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$5,500'}]",Manhattan Beach,"3408 Alma Ave, Manhattan Beach, CA 90266",3 Month Lease,https://www.apartments.com/3408-alma-ave-manhattan-beach-ca/63s7rlr/,"1,100","1,100 Sq Ft",CA,Townhomes,90266
,"$2,666",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,666'}]",Agoura Hills,"4026 Yankee Dr, Agoura Hills, CA 91301",12 Month Lease,https://www.apartments.com/4026-yankee-dr-agoura-hills-ca/zv29wlx/,"1,000","1,000 Sq Ft",CA,Townhomes,91301
,"$2,495",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,495'}]",Los Angeles,"12217 Moorpark St, Los Angeles, CA 91604",12 Month Lease,https://www.apartments.com/12217-moorpark-st-los-angeles-ca/zn4x23x/,"1,100","1,100 Sq Ft",CA,Townhomes,91604
,"$3,900",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,900'}]",Manhattan Beach,"1521 Artesia Blvd, Manhattan Beach, CA 90266",12 Month Lease,https://www.apartments.com/1521-artesia-blvd-manhattan-beach-ca/lbfnxze/,"1,635","1,635 Sq Ft",CA,Townhomes,90266
,,"$5,200",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,200'}]",Beverly Hills,"120 S Crescent Dr, Beverly Hills, CA 90212",12 Month Lease,https://www.apartments.com/120-s-crescent-dr-beverly-hills-ca/l016qbd/,"1,950","1,950 Sq Ft",CA,Townhomes,90212
,"$2,685",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,685'}]",Long Beach,"45 59th Pl, Long Beach, CA 90803",12 Month Lease,https://www.apartments.com/45-59th-pl-long-beach-ca/9r80cm4/,800,800 Sq Ft,CA,Townhomes,90803
