1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
"$1,700",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}]",Los Angeles,"23451 Strathern St, Los Angeles, CA 91304",12 Month Lease,https://www.apartments.com/23451-strathern-st-los-angeles-ca/gxpxf4y/,400,400 Sq Ft,CA,Houses,91304
,,"$3,995",,,Available Now,4 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,995'}]",Burbank,"527 Delaware Rd, Burbank, CA 91504",12 Month Lease,https://www.apartments.com/527-delaware-rd-burbank-ca/j77g916/,"2,000","2,000 Sq Ft",CA,Houses,91504
,"$2,950",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,950'}]",North Hollywood,"11137 Califa St, North Hollywood, CA 91601",12 Month Lease,https://www.apartments.com/11137-califa-st-north-hollywood-ca/gh294nx/,950,950 Sq Ft,CA,Houses,91601
,,"$3,000",,,Oct 30,1 BA,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]",Los Angeles,"1957 Thurman Ave, Los Angeles, CA 90016",12 Month Lease,https://www.apartments.com/1957-thurman-ave-los-angeles-ca/ys7t3bs/,"1,000","1,000 Sq Ft",CA,Houses,90016
"$1,700",,,,,Dec 1,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}]",Topanga,"860 Old Topanga Canyon Rd, Topanga, CA 90290",6 Month Lease,https://www.apartments.com/860-old-topanga-canyon-rd-topanga-ca/h5sr7w1/,368,368 Sq Ft,CA,Houses,90290
,"$1,295",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,295'}]",Running Springs,"31474 Pleasant Dr, Running Springs, CA 92382",12 Month Lease,https://www.apartments.com/31474-pleasant-dr-running-springs-ca/pl3g4nv/,810,810 Sq Ft,CA,Houses,92382
,,"$3,995",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,995'}]",Pasadena,"3069 San Pasqual St, Pasadena, CA 91107",12 Month Lease,https://www.apartments.com/3069-san-pasqual-st-pasadena-ca/vb0c2wd/,"2,059","2,059 Sq Ft",CA,Houses,91107
,"$3,700",,,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,700'}]",Los Angeles,"3749 Laurel Canyon Blvd, Los Angeles, CA 91604",,https://www.apartments.com/3749-laurel-canyon-blvd-los-angeles-ca/n2kntzp/,"1,480","1,480 Sq Ft",CA,Houses,91604
,,,,"$8,500",Available Now,5 BAs,"[{'bedroom_type': '4+ Beds', 'price': '$8,500'}]",Los Angeles,"1480 S Durango Ave, Los Angeles, CA 90035",12 Month Lease,https://www.apartments.com/1480-s-durango-ave-los-angeles-ca/y64svtv/,"3,200","3,200 Sq Ft",CA,Houses,90035
,,"$3,999",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,999'}]",Los Angeles,"706 W 29th St, Los Angeles, CA 90731",12 Month Lease,https://www.apartments.com/706-w-29th-st-los-angeles-ca/l4fgxmd/,"1,350","1,350 Sq Ft",CA,Houses,90731
,,,"$5,500",,Available Now,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$5,500'}]",Los Angeles,"1603 Sargent Pl, Los Angeles, CA 90026",12 Month Lease,https://www.apartments.com/1603-sargent-pl-los-angeles-ca/f8kfq2s/,"1,844","1,844 Sq Ft",CA,Houses,90026
"$1,850",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}]",Los Angeles,"2666 Loosmore St, Los Angeles, CA 90065",12 Month Lease,https://www.apartments.com/2666-loosmore-st-los-angeles-ca/rc1m5v3/,680,680 Sq Ft,CA,Houses,90065
,,"$3,250",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,250'}]",Los Angeles,"11056 Art St, Los Angeles, CA 91352",12 Month Lease,https://www.apartments.com/11056-art-st-los-angeles-ca/g932v9z/,"1,500","1,500 Sq Ft",CA,Houses,91352
,,"$2,995",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,995'}]",Los Angeles,"18009 Bullock St, Los Angeles, CA 91316",12 Month Lease,https://www.apartments.com/18009-bullock-st-los-angeles-ca/3prp78e/,"1,257","1,257 Sq Ft",CA,Houses,91316
,,,,"$5,999",Dec 1,2 BAs,"[{'bedroom_type': '4+ Beds', 'price': '$5,999'}]",San Diego,"3304 Baltimore St, San Diego, CA 92117",1 Month Lease,https://www.apartments.com/3304-baltimore-st-san-diego-ca/l9t3ydd/,"1,826","1,826 Sq Ft",CA,Houses,92117
"$2,350",,,,,Nov 1,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,350'}]",Los Angeles,"227 S St Andrews Pl, Los Angeles, CA 90004",12 Month Lease,https://www.apartments.com/227-s-st-andrews-pl-los-angeles-ca/7dzbw8y/,700,700 Sq Ft,CA,Houses,90004
,,"$5,500",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,500'}]",Los Angeles,"1222 Cabrillo Ave, Los Angeles, CA 90291",12 Month Lease,https://www.apartments.com/1222-cabrillo-ave-los-angeles-ca/j148ge4/,"1,400","1,400 Sq Ft",CA,Houses,90291
