1 Bed,2 Beds,3 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,,"$9,900 ",15-Feb,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$9,900'}]",Santa Monica,"125 Pacific St, Santa Monica, CA 90405",1 Month Lease,https://www.apartments.com/125-pacific-st-santa-monica-ca-unit-7/fkxks4v/,"1,770","1,770 Sq Ft",CA,,Condos,90405
,"$1,450 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,450'}]",Lancaster,"44520 15th St E, Lancaster, CA 93535",12 Month Lease,https://www.apartments.com/44520-15th-st-e-lancaster-ca-unit-11/jdmz3y4/,"1,062","1,062 Sq Ft",CA,,Condos,93535
"$1,600 ",,,1-Nov,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,600'}]",Agoura Hills,"28915 Thousand Oaks Blvd, Agoura Hills, CA 91301",12 Month Lease,https://www.apartments.com/28915-thousand-oaks-blvd-agoura-hills-ca-unit-297/9x51gk5/,604,604 Sq Ft,CA,,Condos,91301
"$2,100 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,100'}]",Malibu,"6453 Kanan Dume Rd, Malibu, CA 90265",12 Month Lease,https://www.apartments.com/6453-kanan-dume-rd-malibu-ca-unit-a/trczpc9/,700,700 Sq Ft,CA,,Condos,90265
"$2,900 ",,,13-Dec,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,900'}]",Santa Monica,"2311 4th St, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/2311-4th-st-santa-monica-ca-unit-202/sssj7m4/,690,690 Sq Ft,CA,,Condos,90405
,"$5,995 ",,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,995'}]",Santa Monica,"2222 Neilson Way, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/2222-neilson-way-santa-monica-ca-unit-101/db3l71h/,"1,818","1,818 Sq Ft",CA,,Condos,90405
,,"$3,800 ",Available Now,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,800'}]",Los Angeles,"333 S Manhattan Pl, Los Angeles, CA 90020",12 Month Lease,https://www.apartments.com/333-s-manhattan-pl-los-angeles-ca-unit-3/42ysjqh/,"1,500","1,500 Sq Ft",CA,,Condos,90020
,"$3,500 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]",Los Angeles,"1115 S Elm Dr, Los Angeles, CA 90035",12 Month Lease,https://www.apartments.com/1115-s-elm-dr-los-angeles-ca-unit-413/95h24y5/,"1,100","1,100 Sq Ft",CA,,Condos,90035
,"$3,150 ",,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,150'}]",Los Angeles,"6120 Eleanor Ave, Los Angeles, CA 90038",12 Month Lease,https://www.apartments.com/6120-eleanor-ave-los-angeles-ca-unit-1/qhmc3cx/,"1,000","1,000 Sq Ft",CA,,Condos,90038
,"$3,395 ",,1-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,395'}]",Santa Monica,"1101 Lincoln Blvd, Santa Monica, CA 90403",12 Month Lease,https://www.apartments.com/1101-lincoln-blvd-santa-monica-ca-unit-2b/x3gzf1q/,"1,100","1,100 Sq Ft",CA,,Condos,90403
,"$4,500 ",,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]",Pacific Palisades,"17368 W Sunset Blvd, Pacific Palisades, CA 90272",12 Month Lease,https://www.apartments.com/17368-w-sunset-blvd-pacific-palisades-ca-unit-303/2h9nceb/,700,700 Sq Ft,CA,,Condos,90272
,"$3,800 ",,1-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,800'}]",Redondo Beach,"130 The Village, Redondo Beach, CA 90277",12 Month Lease,https://www.apartments.com/130-the-village-redondo-beach-ca-unit-207/jny6505/,"1,328","1,328 Sq Ft",CA,,Condos,90277
,"$4,600 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,600'}]",Hermosa Beach,"113 Monterey Blvd, Hermosa Beach, CA 90254",12 Month Lease,https://www.apartments.com/113-monterey-blvd-hermosa-beach-ca-unit-113/bzdk3jc/,"1,100","1,100 Sq Ft",CA,,Condos,90254
,"$4,600 ",,1-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,600'}]",Hermosa Beach,"115 Monterey Blvd, Hermosa Beach, CA 90254",12 Month Lease,https://www.apartments.com/115-monterey-blvd-hermosa-beach-ca-unit-115/dpwmhgh/,"1,100","1,100 Sq Ft",CA,,Condos,90254
,"$2,450 ",,3-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,450'}]",Dana Point,"20 Corniche Dr, Dana Point, CA 92629",0 Month Lease,https://www.apartments.com/20-corniche-dr-dana-point-ca-unit-4/y7vh36r/,"1,200","1,200 Sq Ft",CA,,Condos,92629
"$3,200 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,200'}]",Santa Monica,"2721 2nd St, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/2721-2nd-st-santa-monica-ca-unit-111/3gdek9e/,643,643 Sq Ft,CA,,Condos,90405
,"$2,600 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]",Culver City,"6225 Canterbury Dr, Culver City, CA 90230",12 Month Lease,https://www.apartments.com/6225-canterbury-dr-culver-city-ca-unit-104/mnkg0ql/,"1,074","1,074 Sq Ft",CA,,Condos,90230
"$1,700 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}]",Los Angeles,"5525 Canoga Ave, Los Angeles, CA 91367",12 Month Lease,https://www.apartments.com/5525-canoga-ave-los-angeles-ca-unit-215/xtmywqq/,610,610 Sq Ft,CA,,Condos,91367
,,"$11,900 ",Available Now,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$11,900'}]",Los Angeles,"10601 Wilshire Blvd, Los Angeles, CA 90024",12 Month Lease,https://www.apartments.com/10601-wilshire-blvd-los-angeles-ca-unit-901/bqtyknc/,"2,500","2,500 Sq Ft",CA,,Condos,90024
,,"$4,395 ",Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,395'}]",West Hollywood,"833 N Edinburgh Ave, West Hollywood, CA 90046",12 Month Lease,https://www.apartments.com/833-n-edinburgh-ave-west-hollywood-ca-unit-ph9/n8czqsn/,"1,483","1,483 Sq Ft",CA,,Condos,90046
,"$3,350 ",,6-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,350'}]",West Hollywood,"833 N Edinburgh Ave, West Hollywood, CA 90046",12 Month Lease,https://www.apartments.com/833-n-edinburgh-ave-west-hollywood-ca-unit-107/lc6876e/,"1,100","1,100 Sq Ft",CA,,Condos,90046
,,"$4,350 ",30-Nov,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,350'}]",Los Angeles,"1234 Armacost Ave, Los Angeles, CA 90025",12 Month Lease,https://www.apartments.com/1234-armacost-ave-los-angeles-ca-unit-104/fn97hds/,"1,375","1,375 Sq Ft",CA,,Condos,90025
"$2,400 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,400'}]",Los Angeles,"215 W 7th St, Los Angeles, CA 90014",12 Month Lease,https://www.apartments.com/215-w-7th-st-los-angeles-ca-unit-608/4w9115l/,860,860 Sq Ft,CA,,Condos,90014
,,"$4,500 ",1-Dec,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]",Redondo Beach,"1800 S Pacific Coast Hwy, Redondo Beach, CA 90277",1 Month Lease,https://www.apartments.com/1800-s-pacific-coast-hwy-redondo-beach-ca-unit-84/xjn6qsp/,"1,500","1,500 Sq Ft",CA,,Condos,90277
,,"$3,599 ",15-Nov,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,599'}]",Los Angeles,"2420 W Sunset Blvd, Los Angeles, CA 90026",12 Month Lease,https://www.apartments.com/2420-w-sunset-blvd-los-angeles-ca-unit-4/00b0z32/,"1,200","1,200 Sq Ft",CA,,Condos,90026
"$2,999 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,999'}]",Santa Monica,"515 San Vicente Blvd, Santa Monica, CA 90402",12 Month Lease,https://www.apartments.com/515-san-vicente-blvd-santa-monica-ca-unit-b/pr5ysgt/,679,679 Sq Ft,CA,,Condos,90402
,"$4,000 ",,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,000'}]",Los Angeles,"540 Kelton Ave, Los Angeles, CA 90024",12 Month Lease,https://www.apartments.com/540-kelton-ave-los-angeles-ca-unit-404/fers24t/,"1,200","1,200 Sq Ft",CA,,Condos,90024
,"$2,695 ",,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,695'}]",Van Nuys,"6601 Woodley Ave, Van Nuys, CA 91406",12 Month Lease,https://www.apartments.com/6601-woodley-ave-van-nuys-ca-unit-6/zl9g68w/,"1,160","1,160 Sq Ft",CA,,Condos,91406
,,"$2,750 ",Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,750'}]",Los Angeles,"5500 Owensmouth Ave, Los Angeles, CA 91367",12 Month Lease,https://www.apartments.com/5500-owensmouth-ave-los-angeles-ca-unit-215/9zx8f04/,"1,020","1,020 Sq Ft",CA,,Condos,91367
,,"$3,195 ",Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,195'}]",Redondo Beach,"706 N Prospect Ave, Redondo Beach, CA 90277",12 Month Lease,https://www.apartments.com/706-n-prospect-ave-redondo-beach-ca-unit-1/1zvrd66/,"1,250","1,250 Sq Ft",CA,,Condos,90277
,"$3,395 ",,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,395'}]",Seal Beach,"1623 E Seal Way, Seal Beach, CA 90740",9 Month Lease,https://www.apartments.com/1623-e-seal-way-seal-beach-ca-unit-b/jd002v7/,"1,106","1,106 Sq Ft",CA,,Condos,90740
"$2,065 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,065'}]",Los Angeles,"6151 Orange St, Los Angeles, CA 90048",12 Month Lease,https://www.apartments.com/6151-orange-st-los-angeles-ca-unit-113/pmnqvwv/,780,780 Sq Ft,CA,,Condos,90048
,"$2,799 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,799'}]",Los Angeles,"5315 Bellingham Ave, Los Angeles, CA 91607",12 Month Lease,https://www.apartments.com/5315-bellingham-ave-los-angeles-ca-unit-103/qqxl59y/,"1,060","1,060 Sq Ft",CA,,Condos,91607
"$2,275 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,275'}]",Santa Monica,"2308 Schader Dr, Santa Monica, CA 90404",12 Month Lease,https://www.apartments.com/2308-schader-dr-santa-monica-ca-unit-203/8q09rh3/,613,613 Sq Ft,CA,,Condos,90404
,,"$5,400 ",Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,400'}]",Santa Monica,"813 15th St, Santa Monica, CA 90403",1 Month Lease,https://www.apartments.com/813-15th-st-santa-monica-ca-unit-c/dv72whj/,"1,500","1,500 Sq Ft",CA,,Condos,90403
,"$1,950 ",,29-Oct,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,950'}]",Santa Clarita,"24496 Valle Del Oro, Santa Clarita, CA 91321",4 Month Lease,https://www.apartments.com/24496-valle-del-oro-santa-clarita-ca-unit-201/49h4tbj/,819,819 Sq Ft,CA,,Condos,91321
"$2,200 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}]",Los Angeles,"8163 Redlands St, Los Angeles, CA 90293",12 Month Lease,https://www.apartments.com/8163-redlands-st-los-angeles-ca-unit-4/r1sqmp0/,703,703 Sq Ft,CA,,Condos,90293
,,"$4,500 ",Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]",Los Angeles,"1220 Manning Ave, Los Angeles, CA 90024",12 Month Lease,https://www.apartments.com/1220-manning-ave-los-angeles-ca-unit-9/hkh28j0/,"1,400","1,400 Sq Ft",CA,,Condos,90024
,,"$5,700 ",Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,700'}]",Santa Monica,"1228 14th St, Santa Monica, CA 90404",12 Month Lease,https://www.apartments.com/1228-14th-st-santa-monica-ca-unit-101/h9fdcw3/,"1,600","1,600 Sq Ft",CA,,Condos,90404
,,"$2,000 ",1-Nov,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,000'}]",Paramount,"8612 Elburg St, Paramount, CA 90723",6 Month Lease,https://www.apartments.com/8612-elburg-st-paramount-ca-unit-a/bmydn08/,"1,131","1,131 Sq Ft",CA,,Condos,90723
,"$3,600 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,600'}]",Los Angeles,"10326 Almayo Ave, Los Angeles, CA 90064",12 Month Lease,https://www.apartments.com/10326-almayo-ave-los-angeles-ca-unit-301/whc2q1l/,"1,320","1,320 Sq Ft",CA,,Condos,90064
"$2,700 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,700'}]",Long Beach,"1750 E Ocean Blvd, Long Beach, CA 90802",12 Month Lease,https://www.apartments.com/1750-e-ocean-blvd-long-beach-ca-unit-506/24dcj1c/,827,827 Sq Ft,CA,,Condos,90802
"$2,195 ",,,1-Nov,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,195'}]",Los Angeles,"3756 Bagley Ave, Los Angeles, CA 90034",12 Month Lease,https://www.apartments.com/3756-bagley-ave-los-angeles-ca-unit-102/qm651yz/,693,693 Sq Ft,CA,,Condos,90034
,"$5,000 ",,10-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,000'}]",Los Angeles,"2307 Fox Hills Dr, Los Angeles, CA 90064",12 Month Lease,https://www.apartments.com/2307-fox-hills-dr-los-angeles-ca-unit-203/z3549ey/,"1,650","1,650 Sq Ft",CA,,Condos,90064
,,"$9,995 ",Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$9,995'}]",Santa Monica,"914 5th St, Santa Monica, CA 90403",12 Month Lease,https://www.apartments.com/914-5th-st-santa-monica-ca-unit-d/fb101gr/,"2,162","2,162 Sq Ft",CA,,Condos,90403
"$1,590 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,590'}]",Los Angeles,"21800 Schoenborn St, Los Angeles, CA 91304",12 Month Lease,https://www.apartments.com/21800-schoenborn-st-los-angeles-ca-unit-258/1jrzkh7/,511,511 Sq Ft,CA,,Condos,91304
"$1,300 ",,,9-Nov,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,300'}]",Los Angeles,"3968 Inglewood Blvd, Los Angeles, CA 90066",12 Month Lease,https://www.apartments.com/3968-inglewood-blvd-los-angeles-ca-unit-1/9phgpw6/,400,400 Sq Ft,CA,,Condos,90066
"$1,850 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}]",Los Angeles,"314 W 5th St, Los Angeles, CA 90013",12 Month Lease,https://www.apartments.com/314-w-5th-st-los-angeles-ca-unit-1119/frkdwnv/,700,700 Sq Ft,CA,,Condos,90013
"$1,850 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}]",Los Angeles,"314 W 5th St, Los Angeles, CA 90013",12 Month Lease,https://www.apartments.com/314-w-5th-st-los-angeles-ca-unit-206/q5q74py/,810,810 Sq Ft,CA,,Condos,90013
,"$2,850 ",,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]",Los Angeles,"5868 Bowcroft St, Los Angeles, CA 90016",12 Month Lease,https://www.apartments.com/5868-bowcroft-st-los-angeles-ca-unit-4/yc8kg9v/,910,910 Sq Ft,CA,,Condos,90016
,"$5,250 ",,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,250'}]",Los Angeles,"11740 Sunset Blvd, Los Angeles, CA 90049",12 Month Lease,https://www.apartments.com/11740-sunset-blvd-los-angeles-ca-unit-43/ymvjcyr/,"2,139","2,139 Sq Ft",CA,,Condos,90049
,"$4,395 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,395'}]",Santa Monica,"415 Montana Ave, Santa Monica, CA 90403",12 Month Lease,https://www.apartments.com/415-montana-ave-santa-monica-ca-unit-104/f1kwjtv/,"1,200","1,200 Sq Ft",CA,,Condos,90403
,,"$3,750 ",Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,750'}]",Burbank,"434 E Cedar Ave, Burbank, CA 91501",12 Month Lease,https://www.apartments.com/434-e-cedar-ave-burbank-ca-unit-101/0dte393/,"1,600","1,600 Sq Ft",CA,,Condos,91501
,"$3,300 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]",Los Angeles,"725 S Barrington Ave, Los Angeles, CA 90049",12 Month Lease,https://www.apartments.com/725-s-barrington-ave-los-angeles-ca-unit-211/ef620dp/,"1,500","1,500 Sq Ft",CA,,Condos,90049
,"$2,880 ",,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,880'}]",Santa Monica,"1222 Princeton St, Santa Monica, CA 90404",1 Month Lease,https://www.apartments.com/1222-princeton-st-santa-monica-ca-unit-3/ednfkqm/,829,829 Sq Ft,CA,,Condos,90404
,"$3,985 ",,1-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,985'}]",Los Angeles,"11970 Montana Ave, Los Angeles, CA 90049",12 Month Lease,https://www.apartments.com/11970-montana-ave-los-angeles-ca-unit-106/l08q8xe/,"1,361","1,361 Sq Ft",CA,,Condos,90049
,"$4,650 ",,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,650'}]",Los Angeles,"10465 Eastborne Ave, Los Angeles, CA 90024",12 Month Lease,https://www.apartments.com/10465-eastborne-ave-los-angeles-ca-unit-306/w0hl7sk/,"1,847","1,847 Sq Ft",CA,,Condos,90024
"$2,200 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}]",Long Beach,"325 W 3rd St, Long Beach, CA 90802",12 Month Lease,https://www.apartments.com/325-w-3rd-st-long-beach-ca-unit-402/slv39b4/,710,710 Sq Ft,CA,,Condos,90802
,"$4,200 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,200'}]",West Hollywood,"906 N Doheny Dr, West Hollywood, CA 90069",12 Month Lease,https://www.apartments.com/906-n-doheny-dr-west-hollywood-ca-unit-511/g6166gx/,"1,153","1,153 Sq Ft",CA,,Condos,90069
,"$8,500 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$8,500'}]",Los Angeles,"10777 Wilshire Blvd, Los Angeles, CA 90024",12 Month Lease,https://www.apartments.com/10777-wilshire-blvd-los-angeles-ca-unit-510/d1yzs0j/,1,1 Sq Ft,CA,,Condos,90024
,,"$3,800 ",Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,800'}]",Los Angeles,"13308 Valleyheart Dr, Los Angeles, CA 91423",24 Month Lease,https://www.apartments.com/13308-valleyheart-dr-los-angeles-ca-unit-301/d8g05xl/,"1,780","1,780 Sq Ft",CA,,Condos,91423
,,"$4,600 ",Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,600'}]",Marina del Rey,"4344 Glencoe Ave, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/4344-glencoe-ave-marina-del-rey-ca-unit-2/zw75p5y/,"1,585","1,585 Sq Ft",CA,,Condos,90292
,,"$5,800 ",Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,800'}]",Santa Monica,"1513 Berkeley St, Santa Monica, CA 90404",12 Month Lease,https://www.apartments.com/1513-berkeley-st-santa-monica-ca-unit-3/74n3c3z/,"1,700","1,700 Sq Ft",CA,,Condos,90404
,"$2,400 ",,1-Jan,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]",Los Angeles,"1691 261st St, Los Angeles, CA 90710",12 Month Lease,https://www.apartments.com/1691-261st-st-los-angeles-ca-unit-4/qelxc5x/,"1,175","1,175 Sq Ft",CA,,Condos,90710
,,"$6,500 ",1-Nov,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]",Malibu,"29500 Heathercliff Rd, Malibu, CA 90265",12 Month Lease,https://www.apartments.com/29500-heathercliff-rd-malibu-ca-unit-167/jbzvtz4/,"1,600","1,600 Sq Ft",CA,,Condos,90265
,,"$13,500 ",30-Nov,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$13,500'}]",Manhattan Beach,"4214 The Strand, Manhattan Beach, CA 90266",1 Month Lease,https://www.apartments.com/4214-the-strand-manhattan-beach-ca-unit-0/flskj0t/,"1,500","1,500 Sq Ft",CA,,Condos,90266
"$3,250 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,250'}]",Los Angeles,"939 Hilgard Ave, Los Angeles, CA 90024",1 Month Lease,https://www.apartments.com/939-hilgard-ave-los-angeles-ca-unit/1ej7m26/,859,859 Sq Ft,CA,,Condos,90024
,"$3,750 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,750'}]",Hermosa Beach,"963 1st St, Hermosa Beach, CA 90254",12 Month Lease,https://www.apartments.com/963-1st-st-hermosa-beach-ca-unit-5/0vtbfx3/,"1,800","1,800 Sq Ft",CA,,Condos,90254
"$3,600 ",,,Available Now,2 BAs,"[{'bedroom_type': '1 Bed', 'price': '$3,600'}]",Beverly Hills,"9950 Durant Dr, Beverly Hills, CA 90212",12 Month Lease,https://www.apartments.com/9950-durant-dr-beverly-hills-ca-unit-501/prx155v/,"1,109","1,109 Sq Ft",CA,,Condos,90212
,"$3,900 ",,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,900'}]",Beverly Hills,"9950 Durant Dr, Beverly Hills, CA 90212",12 Month Lease,https://www.apartments.com/9950-durant-dr-beverly-hills-ca-unit-306/2er81w9/,"1,119","1,119 Sq Ft",CA,,Condos,90212
,"$3,850 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,850'}]",West Hollywood,"8380 Waring Ave, West Hollywood, CA 90069",12 Month Lease,https://www.apartments.com/8380-waring-ave-west-hollywood-ca-unit-108/d5fzx0k/,"1,292","1,292 Sq Ft",CA,,Condos,90069
,"$4,050 ",,1-Nov,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,050'}]",Los Angeles,"1246 Armacost Ave, Los Angeles, CA 90025",12 Month Lease,https://www.apartments.com/1246-armacost-ave-los-angeles-ca-unit-ph-7/3hy7gse/,"1,360","1,360 Sq Ft",CA,,Condos,90025
"$2,200 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}]",Los Angeles,"1311 N Mansfield Ave, Los Angeles, CA 90028",12 Month Lease,https://www.apartments.com/1311-n-mansfield-ave-los-angeles-ca-unit-b/bwdm3s8/,650,650 Sq Ft,CA,,Condos,90028
,"$4,000 ",,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$4,000'}]",Santa Monica,"2510 4th St, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/2510-4th-st-santa-monica-ca-unit-a/b3yhgj8/,900,900 Sq Ft,CA,,Condos,90405
,"$2,550 ",,1-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,550'}]",Los Angeles,"6039 Craner Ave, Los Angeles, CA 91606",12 Month Lease,https://www.apartments.com/6039-craner-ave-los-angeles-ca-unit-101/2f8g0eb/,"1,100","1,100 Sq Ft",CA,,Condos,91606
"$2,650 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,650'}]",Los Angeles,"11645 Montana Ave, Los Angeles, CA 90049",12 Month Lease,https://www.apartments.com/11645-montana-ave-los-angeles-ca-unit-108/jvhvdr6/,689,689 Sq Ft,CA,,Condos,90049
,"$4,400 ",,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,400'}]",Los Angeles,"1636 S Beverly Glen Blvd, Los Angeles, CA 90024",12 Month Lease,https://www.apartments.com/1636-s-beverly-glen-blvd-los-angeles-ca-unit-301/ec3xhnn/,"1,500","1,500 Sq Ft",CA,,Condos,90024
,"$3,200 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,200'}]",Culver City,"7303 Raintree Cir, Culver City, CA 90230",12 Month Lease,https://www.apartments.com/7303-raintree-cir-culver-city-ca-unit-7303/gcnr0cy/,"1,105","1,105 Sq Ft",CA,,Condos,90230
"$2,200 ",,,Available Now,1½ BAs,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}]",Pasadena,"277 Pleasant St, Pasadena, CA 91101",12 Month Lease,https://www.apartments.com/277-pleasant-st-pasadena-ca-unit-301/6j1pvst/,882,882 Sq Ft,CA,,Condos,91101
"$1,200 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,200'}]",Los Angeles,"533 S St Andrews Pl, Los Angeles, CA 90020",6 Month Lease,https://www.apartments.com/533-s-st-andrews-pl-los-angeles-ca-unit-321/hex5dt2/,700,700 Sq Ft,CA,,Condos,90020
,"$3,775 ",,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,775'}]",Beverly Hills,"165 N Swall Dr, Beverly Hills, CA 90211",12 Month Lease,https://www.apartments.com/165-n-swall-dr-beverly-hills-ca-unit-105b/hkmhx30/,"1,000","1,000 Sq Ft",CA,,Condos,90211
,"$1,715 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,715'}]",San Diego,"3854 46th St, San Diego, CA 92105",12 Month Lease,https://www.apartments.com/3854-46th-st-san-diego-ca-unit-1/81zkg53/,950,950 Sq Ft,CA,,Condos,92105
"$1,750 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}]",Lawndale,"4633 Marine Ave, Lawndale, CA 90260",12 Month Lease,https://www.apartments.com/4633-marine-ave-lawndale-ca-unit-223/mf1cz6j/,640,640 Sq Ft,CA,,Condos,90260
,"$4,250 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,250'}]",Beverly Hills,"133 S Oakhurst Dr, Beverly Hills, CA 90212",12 Month Lease,https://www.apartments.com/133-s-oakhurst-dr-beverly-hills-ca-unit-206/j1t9465/,"1,700","1,700 Sq Ft",CA,,Condos,90212
,"$2,550 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,550'}]",Mission Viejo,"23 Dietes Ct, Mission Viejo, CA 92694",12 Month Lease,https://www.apartments.com/23-dietes-ct-mission-viejo-ca-unit-0/hzrv4d2/,"1,102","1,102 Sq Ft",CA,,Condos,92694
"$4,400 ",,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$4,400'}]",Santa Monica,"101 California Ave, Santa Monica, CA 90403",6 Month Lease,https://www.apartments.com/101-california-ave-santa-monica-ca-unit-303/bbesxdb/,674,674 Sq Ft,CA,,Condos,90403
,"$8,500 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$8,500'}]",West Hollywood,"838 N Doheny Dr, West Hollywood, CA 90069",12 Month Lease,https://www.apartments.com/838-n-doheny-dr-west-hollywood-ca-unit-1001/50563eq/,"1,478","1,478 Sq Ft",CA,,Condos,90069
