1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,"$2,300",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]",Los Angeles,"1279 E 127th St, Los Angeles, CA 90059",12 Month Lease,https://www.apartments.com/1279-e-127th-st-los-angeles-ca/xtp8zvq/,"1,087","1,087 Sq Ft",CA,Houses,90059
,,,"$4,300",,Available Now,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,300'}]",Glendale,"1009 N Isabel St, Glendale, CA 91207",,https://www.apartments.com/1009-n-isabel-st-glendale-ca/fx4366v/,"1,651","1,651 Sq Ft",CA,Houses,91207
,,"$3,200",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,200'}]",Carson,"19409 Fariman Dr, Carson, CA 90746",,https://www.apartments.com/19409-fariman-dr-carson-ca/qtt6s6z/,"1,465","1,465 Sq Ft",CA,Houses,90746
,,,"$3,500",,Available Now,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,500'}]",Chatsworth,"21736 Mayan Dr, Chatsworth, CA 91311",12 Month Lease,https://www.apartments.com/21736-mayan-dr-chatsworth-ca/pfftcgr/,"1,822","1,822 Sq Ft",CA,Houses,91311
,,"$4,200",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,200'}]",La Crescenta-Montrose,"2300 Barton Ln, La Crescenta-Montrose, CA 91020",,https://www.apartments.com/2300-barton-ln-la-crescenta-montrose-ca/bsj6dfb/,"2,600","2,600 Sq Ft",CA,Houses,91020
,"$2,200",,,,Nov 16,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]",Torrance,"1577 W 208th St, Torrance, CA 90501",,https://www.apartments.com/1577-w-208th-st-torrance-ca/7t7zvmw/,900,900 Sq Ft,CA,Houses,90501
,,"$3,600",,,Nov 1,1 BA,"[{'bedroom_type': '3 Beds', 'price': '$3,600'}]",Los Angeles,"8046 Westlawn Ave, Los Angeles, CA 90045",,https://www.apartments.com/8046-westlawn-ave-los-angeles-ca/63lmyev/,980,980 Sq Ft,CA,Houses,90045
,,"$3,049",,,Nov 1,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,049'}]",Los Angeles,"19526 Haynes St, Los Angeles, CA 91335",12 Month Lease,https://www.apartments.com/19526-haynes-st-los-angeles-ca/z1686xx/,"1,443","1,443 Sq Ft",CA,Houses,91335
,,"$3,900",,,Nov 1,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,900'}]",Los Angeles,"12861 Panama St, Los Angeles, CA 90066",12 Month Lease,https://www.apartments.com/12861-panama-st-los-angeles-ca/j5q8rb6/,"1,000","1,000 Sq Ft",CA,Houses,90066
,"$2,900",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,900'}]",Los Angeles,"6225 Melvin Ave, Los Angeles, CA 91335",12 Month Lease,https://www.apartments.com/6225-melvin-ave-los-angeles-ca/ndf2zwm/,"1,200","1,200 Sq Ft",CA,Houses,91335
,,,,"$6,000",Available Now,5 BAs,"[{'bedroom_type': '4+ Beds', 'price': '$6,000'}]",Tarzana,"6225 Melvin Ave, Tarzana, CA 91335",12 Month Lease,https://www.apartments.com/6225-melvin-ave-tarzana-ca/4wp03rh/,"5,500","5,500 Sq Ft",CA,Houses,91335
