1 Bed,2 Beds,3 Beds,4 Beds,Bedroom_Info,City_Rent,Full_Address,Property_Name_Rent,Rent_link,State_Rent,Studio,Type,Zip_code
"$2,662 ","$3,078 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,620'}, {'bedroom_type': '1 Bed', 'price': '$2,662'}, {'bedroom_type': '2 Beds', 'price': '$3,078'}]",Santa Monica,"1519 6th St, Santa Monica, CA 90401",Living at Santa Monica,https://www.apartments.com/living-at-santa-monica-santa-monica-ca/zre61pw/,CA,"$2,620 ",Apartment,90401
"$1,816 ","$2,006 ",,,"[{'bedroom_type': '1 Bed', 'price': '$1,816'}, {'bedroom_type': '2 Beds', 'price': '$2,006'}]",Richmond,"3400 Richmond Pky, Richmond, CA 94806",BELLA VISTA AT HILLTOP,https://www.apartments.com/bella-vista-at-hilltop-richmond-ca/m449jlj/,CA,,Apartment,94806
"$2,085 ","$2,375 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,875'}, {'bedroom_type': '1 Bed', 'price': '$2,085'}, {'bedroom_type': '2 Beds', 'price': '$2,375'}]",Fremont,"5016 Paseo Padre Pky, Fremont, CA 94555",Ardenwood Forest Rental Condos,https://www.apartments.com/ardenwood-forest-rental-condos-fremont-ca/8nbehh1/,CA,"$1,875 ",Apartment,94555
"$2,290 ","$2,699 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,905'}, {'bedroom_type': '1 Bed', 'price': '$2,290'}, {'bedroom_type': '2 Beds', 'price': '$2,699'}]",Anaheim,"255 N Anaheim Blvd, Anaheim, CA 92805",Alexan CTR City,https://www.apartments.com/alexan-ctr-city-anaheim-ca/nmxg77n/,CA,"$1,905 ",Apartment,92805
"$2,045 ","$2,699 ","$4,675 ",,"[{'bedroom_type': 'Studio', 'price': '$1,949'}, {'bedroom_type': '1 Bed', 'price': '$2,045'}, {'bedroom_type': '2 Beds', 'price': '$2,699'}, {'bedroom_type': '3 Beds', 'price': '$4,675'}]",Los Angeles,"725 S Bixel St, Los Angeles, CA 90017",The Medici,https://www.apartments.com/the-medici-los-angeles-ca/ln7xd0d/,CA,"$1,949 ",Apartment,90017
"$2,414 ","$3,319 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,799'}, {'bedroom_type': '1 Bed', 'price': '$2,414'}, {'bedroom_type': '2 Beds', 'price': '$3,319'}, {'bedroom_type': '3 Beds', 'price': None}]",San Diego,"1601 Broadway, San Diego, CA 92101",Broadstone Makers Quarter,https://www.apartments.com/broadstone-makers-quarter-san-diego-ca/zd2drxy/,CA,"$1,799 ",Apartment,92101
"$1,299 ","$1,440 ",,,"[{'bedroom_type': '1 Bed', 'price': '$1,299'}, {'bedroom_type': '2 Beds', 'price': '$1,440'}]",Sacramento,"2500 Fair Oaks Blvd, Sacramento, CA 95825",THE RETRO,https://www.apartments.com/the-retro-sacramento-ca/cm44ftf/,CA,,Apartment,95825
"$2,873 ","$3,304 ",,,"[{'bedroom_type': '1 Bed', 'price': '$2,873'}, {'bedroom_type': '2 Beds', 'price': '$3,304'}]",Sunnyvale,"745 S Bernardo Ave, Sunnyvale, CA 94087",CITRA,https://www.apartments.com/citra-sunnyvale-ca/d71y2lh/,CA,,Apartment,94087
"$2,120 ","$2,425 ",,,"[{'bedroom_type': '1 Bed', 'price': '$2,120'}, {'bedroom_type': '2 Beds', 'price': '$2,425'}]",San Ramon,"12355 Alcosta Blvd, San Ramon, CA 94583",Country Brook Rental Condos,https://www.apartments.com/country-brook-rental-condos-san-ramon-ca/04m18g2/,CA,,Apartment,94583
"$1,895 ","$2,390 ","$3,500 ",,"[{'bedroom_type': '1 Bed', 'price': '$1,895'}, {'bedroom_type': '2 Beds', 'price': '$2,390'}, {'bedroom_type': '3 Beds', 'price': '$3,500'}]",San Diego,"6555 Ambrosia Dr, San Diego, CA 92124",The Village Mission Valley,https://www.apartments.com/the-village-mission-valley-san-diego-ca/4pt04hj/,CA,,Apartment,92124
