1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,"$3,500",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]",10 Tanoak Ct,"Corte Madera, CA 94925",,https://www.apartments.com/10-tanoak-ct-corte-madera-ca/k1jktkc/,"1,226","1,226 Sq Ft",Corte Madera,,Townhomes,CA
,"$2,095",,,Nov 1,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,095'}]",1565 Elm St,"Livermore, CA 94551",,https://www.apartments.com/1565-elm-st-livermore-ca/dd19dek/,800,800 Sq Ft,Livermore,,Townhomes,CA
,,"$2,600",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]",2402 Northrop Ave,"2402 Northrop Ave, Sacramento, CA 95825",,https://www.apartments.com/3-br-2-bath-duplex-2402-northrop-avenue-sacramento-ca/v4gp4td/,"1,326","1,326 Sq Ft",Sacramento,,Townhomes,CA
,,"$2,600",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]",2400 Northrop Ave,"2400 Northrop Ave, Sacramento, CA 95825",,https://www.apartments.com/3-br-2-bath-duplex-2400-northrop-avenue-sacramento-ca/9g14qz5/,"1,326","1,326 Sq Ft",Sacramento,,Townhomes,CA
,,"$2,400",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,400'}]",4316 St Charles Pl,"Concord, CA 94521",,https://www.apartments.com/4316-st-charles-pl-concord-ca/gf0t1zz/,"1,253","1,253 Sq Ft",Concord,,Townhomes,CA
,,,"$2,950",Available Now,3½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$2,950'}]",3268 Fennel Ln,"3268 Fennel Ln, San Luis Obispo, CA 93401",,https://www.apartments.com/exquisite-new-townhome-with-ridge-views-san-luis-obispo-ca/mm645zk/,"2,150","2,150 Sq Ft",San Luis Obispo,,Townhomes,CA
,"$3,150",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,150'}]",37824 Bright Common,"Fremont, CA 94536",,https://www.apartments.com/37824-bright-common-fremont-ca/n655zrn/,"1,513","1,513 Sq Ft",Fremont,,Townhomes,CA
,"$2,800",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]",208 Paloma Ave,"San Rafael, CA 94901",,https://www.apartments.com/208-paloma-ave-san-rafael-ca/hpj46l2/,,,San Rafael,,Townhomes,CA
,,"$3,499",,Available Now,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,499'}]",461 Desert Holly St,"Milpitas, CA 95035",,https://www.apartments.com/461-desert-holly-st-milpitas-ca/k6wg398/,"1,660","1,660 Sq Ft",Milpitas,,Townhomes,CA
,,"$2,950",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,950'}]",6028 Capriana Common,"Fremont, CA 94555",,https://www.apartments.com/6028-capriana-common-fremont-ca/qzs5rhz/,"1,693","1,693 Sq Ft",Fremont,,Townhomes,CA
,,"$4,800",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,800'}]",728 Great Hwy,"728 Great Hwy, San Francisco, CA 94121",,https://www.apartments.com/3-bedroom-in-san-francisco-ca-94121-san-francisco-ca/6cjkf9v/,,,San Francisco,,Townhomes,CA
,,"$3,450",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,450'}]",186 Miramonte Dr,"Moraga, CA 94556",,https://www.apartments.com/186-miramonte-dr-moraga-ca/n9ewxrq/,"1,742","1,742 Sq Ft",Moraga,,Townhomes,CA
,,"$3,100",,Jan 31,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,100'}]",1328 Shell Ln,"Clayton, CA 94517",,https://www.apartments.com/1328-shell-ln-clayton-ca/71ms43w/,"1,355","1,355 Sq Ft",Clayton,,Townhomes,CA
,"$9,750",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$9,750'}]",800 Indiana Ave,"Los Angeles, CA 90291",,https://www.apartments.com/800-indiana-ave-los-angeles-ca/3yfth4d/,,,Los Angeles,,Townhomes,CA
"$1,850",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}]",6646 Farmdale Ave,"Los Angeles, CA 91606",,https://www.apartments.com/6646-farmdale-ave-los-angeles-ca/9xmjt56/,,,Los Angeles,,Townhomes,CA
