1 Bed,2 Beds,3 Beds,4 Beds,Bedroom_Info,City_Rent,Full_Address,Property_Name_Rent,Rent_link,State_Rent,Studio,Type,Zip_code
"$2,060 ","$2,425 ","$3,085 ",,"[{'bedroom_type': '1 Bed', 'price': '$2,060'}, {'bedroom_type': '2 Beds', 'price': '$2,425'}, {'bedroom_type': '3 Beds', 'price': '$3,085'}]",Ventura,"10896 Telegraph Rd, Ventura, CA 93004",Parklands Apartments,https://www.apartments.com/parklands-apartments-ventura-ca/4e1ys7k/,CA,,Apartment,93004
"$1,475 ","$1,700 ",,,"[{'bedroom_type': '1 Bed', 'price': '$1,475'}, {'bedroom_type': '2 Beds', 'price': '$1,700'}]",Rancho Cucamonga,"8950 Arrow Route Rt, Rancho Cucamonga, CA 91730",Vineyard Village,https://www.apartments.com/vineyard-village-rancho-cucamonga-ca/pe78q7s/,CA,,Apartment,91730
"$2,140 ","$2,170 ","$2,500 ",,"[{'bedroom_type': '1 Bed', 'price': '$2,140'}, {'bedroom_type': '2 Beds', 'price': '$2,170'}, {'bedroom_type': '3 Beds', 'price': '$2,500'}]",Oceanside,"4795 Frazee Rd, Oceanside, CA 92057",Capella at Rancho Del Oro Luxury Apartment...,https://www.apartments.com/capella-at-rancho-del-oro-luxury-apartment-oceanside-ca/6c3h6js/,CA,,Apartment,92057
,,,,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t1 Bed\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n2 Beds\t\t\t\t\t\t\t\t\t\t', 'price': None}]",Redwood City,"333 Main St, Redwood City, CA 94063",Township,https://www.apartments.com/township-redwood-city-ca/pexrw6r/,CA,,Apartment,94063
"$2,619 ","$3,556 ",,,"[{'bedroom_type': '1 Bed', 'price': '$2,619'}, {'bedroom_type': '2 Beds', 'price': '$3,556'}]",Walnut Creek,"161 N Civic Dr, Walnut Creek, CA 94596",Brio,https://www.apartments.com/brio-walnut-creek-ca/crd10je/,CA,,Apartment,94596
"$3,995 ","$5,672 ",,,"[{'bedroom_type': 'Studio', 'price': '$3,213'}, {'bedroom_type': '1 Bed', 'price': '$3,995'}, {'bedroom_type': '2 Beds', 'price': '$5,672'}]",San Francisco,"500 Folsom St, San Francisco, CA 94105",500 Folsom,https://www.apartments.com/500-folsom-san-francisco-ca/81mv0f0/,CA,"$3,213 ",Apartment,94105
"$3,835 ","$4,650 ",,,"[{'bedroom_type': '1 Bed', 'price': '$3,835'}, {'bedroom_type': '2 Beds', 'price': '$4,650'}]",Playa Vista,"12855 Runway Rd, Playa Vista, CA 90094",Villas at Playa Vista - Montecito,https://www.apartments.com/villas-at-playa-vista-montecito-playa-vista-ca/1r1yrb7/,CA,,Apartment,90094
"$5,191 ","$7,421 ","$18,595 ",,"[{'bedroom_type': 'Studio', 'price': '$3,097'}, {'bedroom_type': '1 Bed', 'price': '$5,191'}, {'bedroom_type': '2 Beds', 'price': '$7,421'}, {'bedroom_type': '3 Beds', 'price': '$18,595'}]",Los Angeles,"6245 Wilshire Blvd, Los Angeles, CA 90048",Vision on Wilshire,https://www.apartments.com/vision-on-wilshire-los-angeles-ca/4085lyh/,CA,"$3,097 ",Apartment,90048
"$3,749 ","$4,497 ",,,"[{'bedroom_type': '1 Bed', 'price': '$3,749'}, {'bedroom_type': '2 Beds', 'price': '$4,497'}]",Mountain View,"2020 W El Camino Real, Mountain View, CA 94040",Verve,https://www.apartments.com/verve-mountain-view-ca/dfw92yk/,CA,,Apartment,94040
"$3,692 ","$4,795 ",,,"[{'bedroom_type': '1 Bed', 'price': '$3,692'}, {'bedroom_type': '2 Beds', 'price': '$4,795'}, {'bedroom_type': '3 Beds', 'price': None}]",San Francisco,"1395 22nd St, San Francisco, CA 94107",The Landing,https://www.apartments.com/the-landing-san-francisco-ca/3gg6h5e/,CA,,Apartment,94107
"$2,150 ","$3,342 ","$3,999 ",,"[{'bedroom_type': '1 Bed', 'price': '$2,150'}, {'bedroom_type': '2 Beds', 'price': '$3,342'}, {'bedroom_type': '3 Beds', 'price': '$3,999'}]",Oxnard,"3851 Harbour Island Ln, Oxnard, CA 93035",The Reserve at Seabridge,https://www.apartments.com/the-reserve-at-seabridge-oxnard-ca/3rj2xrg/,CA,,Apartment,93035
