1 Bed,2 Beds,3 Beds,4 Beds,Bedroom_Info,City_Rent,Full_Address,Property_Name_Rent,Rent_link,State_Rent,Studio,Type,Zip_code
"$2,024 ","$2,522 ","$3,361 ",,"[{'bedroom_type': 'Studio', 'price': '$1,904'}, {'bedroom_type': '1 Bed', 'price': '$2,024'}, {'bedroom_type': '2 Beds', 'price': '$2,522'}, {'bedroom_type': '3 Beds', 'price': '$3,361'}]",Huntington Beach,"7521 Edinger Ave, Huntington Beach, CA 92647",The Residences at Bella Terra,https://www.apartments.com/the-residences-at-bella-terra-huntington-beach-ca/0j895w0/,CA,"$1,904 ",Apartment,92647
"$3,021 ","$4,196 ","$4,795 ",,"[{'bedroom_type': '1 Bed', 'price': '$3,021'}, {'bedroom_type': '2 Beds', 'price': '$4,196'}, {'bedroom_type': '3 Beds', 'price': '$4,795'}]",Huntington Beach,"21034 Pacific Coast Hwy, Huntington Beach, CA 92648",The Residences at Pacific City,https://www.apartments.com/the-residences-at-pacific-city-huntington-beach-ca/7439tbz/,CA,,Apartment,92648
"$1,887 ","$2,232 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,578'}, {'bedroom_type': '1 Bed', 'price': '$1,887'}, {'bedroom_type': '2 Beds', 'price': '$2,232'}, {'bedroom_type': '3 Beds', 'price': None}]",Costa Mesa,"2700 Peterson Pl, Costa Mesa, CA 92626",Harbor at Mesa Verde,https://www.apartments.com/harbor-at-mesa-verde-costa-mesa-ca/d1w2dll/,CA,"$1,578 ",Apartment,92626
"$2,325 ","$3,168 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,000'}, {'bedroom_type': '1 Bed', 'price': '$2,325'}, {'bedroom_type': '2 Beds', 'price': '$3,168'}]",Los Angeles,"1213-1237 S Olive St, Los Angeles, CA 90015",OLiVE DTLA,https://www.apartments.com/olive-dtla-los-angeles-ca/rgrexc3/,CA,"$2,000 ",Apartment,90015
"$2,685 ","$4,391 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,368'}, {'bedroom_type': '1 Bed', 'price': '$2,685'}, {'bedroom_type': '2 Beds', 'price': '$4,391'}]",Los Angeles,"3033 Wilshire Blvd, Los Angeles, CA 90010",3033 Wilshire,https://www.apartments.com/3033-wilshire-los-angeles-ca/gzgnzfx/,CA,"$2,368 ",Apartment,90010
"$2,600 ","$2,879 ","$3,882 ",,"[{'bedroom_type': '1 Bed', 'price': '$2,600'}, {'bedroom_type': '2 Beds', 'price': '$2,879'}, {'bedroom_type': '3 Beds', 'price': '$3,882'}]",Santa Clara,"730-730 Agnew Rd, Santa Clara, CA 95054",River Terrace,https://www.apartments.com/river-terrace-santa-clara-ca/dcr4v1l/,CA,,Apartment,95054
"$1,583 ","$1,815 ","$2,164 ",,"[{'bedroom_type': 'Studio', 'price': None}, {'bedroom_type': '1 Bed', 'price': '$1,583'}, {'bedroom_type': '2 Beds', 'price': '$1,815'}, {'bedroom_type': '3 Beds', 'price': '$2,164'}]",Rancho Cucamonga,"8200 Haven Ave, Rancho Cucamonga, CA 91730",Verano at Rancho Cucamonga Town Square,https://www.apartments.com/verano-at-rancho-cucamonga-town-square-rancho-cucamonga-ca/gjejlfy/,CA,,Apartment,91730
"$1,545 ","$1,799 ","$1,949 ",,"[{'bedroom_type': '1 Bed', 'price': '$1,545'}, {'bedroom_type': '2 Beds', 'price': '$1,799'}, {'bedroom_type': '3 Beds', 'price': '$1,949'}]",Roseville,"700 Gibson Dr, Roseville, CA 95678",The Terraces at Highland Reserve,https://www.apartments.com/the-terraces-at-highland-reserve-roseville-ca/h3xpl40/,CA,,Apartment,95678
"$1,570 ","$1,820 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,370'}, {'bedroom_type': '1 Bed', 'price': '$1,570'}, {'bedroom_type': '2 Beds', 'price': '$1,820'}]",Anaheim,"1540 W Ball Rd, Anaheim, CA 92802",Regency Plaza,https://www.apartments.com/regency-plaza-anaheim-ca/wqetxll/,CA,"$1,370 ",Apartment,92802
"$1,832 ","$2,176 ",,,"[{'bedroom_type': '1 Bed', 'price': '$1,832'}, {'bedroom_type': '2 Beds', 'price': '$2,176'}]",San Diego,"12435 Heatherton Ct, San Diego, CA 92128",Ridgewood Village,https://www.apartments.com/ridgewood-village-san-diego-ca/ge6y56w/,CA,,Apartment,92128
