1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,"$5,300",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,300'}]",Santa Monica,"Santa Monica, CA 90403",12 Month Lease,https://www.apartments.com/916-15th-st-santa-monica-ca/5bpq06p/,"1,375","1,375 Sq Ft",CA,Townhomes,90403
,"$2,200",,,,Nov 5,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]",Los Angeles,"Los Angeles, CA 90038",12 Month Lease,https://www.apartments.com/6136-eleanor-ave-los-angeles-ca/v1f4csg/,900,900 Sq Ft,CA,Townhomes,90038
,"$2,795",,,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,795'}]",Burbank,"Burbank, CA 91504",12 Month Lease,https://www.apartments.com/1912-grismer-ave-burbank-ca/0hb2vh2/,"1,160","1,160 Sq Ft",CA,Townhomes,91504
,,,"$7,750",,Nov 1,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$7,750'}]",San Francisco,"San Francisco, CA 94110",12 Month Lease,https://www.apartments.com/2722-folsom-st-san-francisco-ca/4w9wgvh/,"1,600","1,600 Sq Ft",CA,Townhomes,94110
,"$3,750",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,750'}]",Los Angeles,"Los Angeles, CA 90049",12 Month Lease,https://www.apartments.com/11734-montana-ave-los-angeles-ca/h56d200/,"1,656","1,656 Sq Ft",CA,Townhomes,90049
,"$2,995",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,995'}]",Los Angeles,"Los Angeles, CA 91367",12 Month Lease,https://www.apartments.com/6254-shoup-ave-los-angeles-ca/knryhe8/,"1,520","1,520 Sq Ft",CA,Townhomes,91367
,,"$4,800",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,800'}]",Palo Alto,"Palo Alto, CA 94306",12 Month Lease,https://www.apartments.com/670-san-antonio-rd-palo-alto-ca/dwtdftj/,"1,400","1,400 Sq Ft",CA,Townhomes,94306
,,"$2,650",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,650'}]",Fremont,"Fremont, CA 94536",12 Month Lease,https://www.apartments.com/37588-glenmoor-dr-fremont-ca/ecffskp/,"1,200","1,200 Sq Ft",CA,Townhomes,94536
,"$3,495",,,,Dec 14,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,495'}]",Los Angeles,"Los Angeles, CA 90034",12 Month Lease,https://www.apartments.com/9211-harlow-ave-los-angeles-ca/fk9eh1v/,"1,150","1,150 Sq Ft",CA,Townhomes,90034
,"$3,695",,,,Dec 14,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,695'}]",Los Angeles,"Los Angeles, CA 90034",12 Month Lease,https://www.apartments.com/3343-s-durango-ave-los-angeles-ca/l44g6md/,"1,150","1,150 Sq Ft",CA,Townhomes,90034
,,"$5,950",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,950'}]",San Mateo,"San Mateo, CA 94401",,https://www.apartments.com/320-grand-blvd-san-mateo-ca/5hqrjdn/,"1,600","1,600 Sq Ft",CA,Townhomes,94401
,"$2,900",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,900'}]",San Diego,"San Diego, CA 92109",,https://www.apartments.com/822-island-ct-san-diego-ca/8lhdyv1/,850,850 Sq Ft,CA,Townhomes,92109
,,"$4,600",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,600'}]",Redwood City,"Redwood City, CA 94061",12 Month Lease,https://www.apartments.com/1573-oxford-st-redwood-city-ca/f1bsgvt/,"1,570","1,570 Sq Ft",CA,Townhomes,94061
,"$3,600",,,,Dec 1,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,600'}]",South San Francisco,"South San Francisco, CA 94080",3 Month Lease,https://www.apartments.com/627-stonegate-dr-south-san-francisco-ca/mh9kc1h/,"1,336","1,336 Sq Ft",CA,Townhomes,94080
,"$2,800",,,,Nov 4,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]",Los Angeles,"Los Angeles, CA 90048",12 Month Lease,https://www.apartments.com/618-s-crescent-heights-blvd-los-angeles-ca/zljkk4w/,"1,400","1,400 Sq Ft",CA,Townhomes,90048
