Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Multi-family home for sale,"$1,875,000","6637 Del Playa Dr, Goleta, CA 93117",6637 Del Playa Dr,Goleta,CA,93117,34.409367,-119.86006,"2,440",null,null,Multiple Occupancy,1988,6 spaces,null,$768,"$1,874,158","$4,800/mo",https://www.zillow.com/homedetails/6637-Del-Playa-Dr-Goleta-CA-93117/15913607_zpid/
Multi-family home for sale,"$559,900","2526 W 2nd Ave, San Bernardino, CA 92407",2526 W 2nd Ave,San Bernardino,CA,92407,34.163741,-117.358796,"4,750",null,null,Multiple Occupancy,1935,1 space,null,$118,"$589,904","$2,100/mo",https://www.zillow.com/homedetails/2526-W-2nd-Ave-San-Bernardino-CA-92407/17345628_zpid/
Multi-family home for sale,"$310,000","73950 Santa Rosa Way, Palm Desert, CA 92260",73950 Santa Rosa Way,Palm Desert,CA,92260,33.728114,-116.374757,"1,572",null,null,Multiple Occupancy,1966,2 spaces,null,$197,null,null,https://www.zillow.com/homedetails/73950-Santa-Rosa-Way-Palm-Desert-CA-92260/2077715918_zpid/
Multi-family home for sale,"$599,000","1365 33rd Ave, Los Angeles, CA 90011",1365 33rd Ave,Los Angeles,CA,90011,null,null,"2,403",null,null,Multiple Occupancy,1907,No Data,null,$249,null,null,https://www.zillow.com/homedetails/1365-33rd-Ave-Los-Angeles-CA-90011/2077651988_zpid/
Multi-family home for sale,"$289,000","200 E Big Bear Blvd, Big Bear City, CA 92314",200 E Big Bear Blvd,Big Bear City,CA,92314,34.260934,-116.843625,"1,344",null,null,Multiple Occupancy,1976,No Data,null,$215,"$247,207","$1,100/mo",https://www.zillow.com/homedetails/200-E-Big-Bear-Blvd-Big-Bear-City-CA-92314/17389342_zpid/
Multi-family home for sale,"$899,000","5916 Rosemead Blvd, Temple City, CA 91780",5916 Rosemead Blvd,Temple City,CA,91780,34.106872,-118.073268,"1,727",null,null,Multiple Occupancy,1940,2 spaces,null,$521,"$912,830","$3,000/mo",https://www.zillow.com/homedetails/5916-Rosemead-Blvd-Temple-City-CA-91780/20733328_zpid/
Multi-family home for sale,"$1,895,000","3848 Huron Ave, Culver City, CA 90232",3848 Huron Ave,Culver City,CA,90232,34.013743,-118.412582,"3,054",null,null,Multiple Occupancy,1951,2 spaces,null,$620,null,null,https://www.zillow.com/homedetails/3848-Huron-Ave-Culver-City-CA-90232/250332419_zpid/
Multi-family home for sale,"$439,000","3201 Springe St, Nice, CA 95464",3201 Springe St,Nice,CA,95464,39.123681,-122.851511,"2,950",null,null,Multiple Occupancy,1965,2 spaces,null,$149,"$623,883","$1,445/mo",https://www.zillow.com/homedetails/3201-Springe-St-Nice-CA-95464/19087926_zpid/
Multi-family home for sale,"$200,000","18932 Chestnut St, Woodbridge, CA 95258",18932 Chestnut St,Woodbridge,CA,95258,38.155161,-121.306204,640,null,null,Multiple Occupancy,1943,No Data,null,$313,"$270,770","$1,500/mo",https://www.zillow.com/homedetails/18932-Chestnut-St-Woodbridge-CA-95258/15256059_zpid/
Multi-family home for sale,"$820,000","1811 N Bush St, Santa Ana, CA 92706",1811 N Bush St,Santa Ana,CA,92706,33.761623,-117.865999,"3,600",null,null,Multiple Occupancy,1920,2 spaces,null,$228,"$1,125,747","$3,000/mo",https://www.zillow.com/homedetails/1811-N-Bush-St-Santa-Ana-CA-92706/25091481_zpid/
Multi-family home for sale,"$930,000","567 Forrest Blf, Encinitas, CA 92024",567 Forrest Blf,Encinitas,CA,92024,33.05554,-117.266947,"1,943",null,null,Multiple Occupancy,1991,4 spaces,null,$479,"$930,003","$3,502/mo",https://www.zillow.com/homedetails/567-Forrest-Blf-Encinitas-CA-92024/16717448_zpid/
