Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Townhouse for sale,"$789,000","415 Oak Ave, Redwood City, CA 94061",415 Oak Ave,Redwood City,CA,94061,37.474452,-122.226857,870,0.42 Acres,18295.2,Townhouse,1980,No Data,null,$907,null,null,https://www.zillow.com/homedetails/415-Oak-Ave-Redwood-City-CA-94061/2077624511_zpid/
Townhouse for sale,"$745,000","2402 Aviation Blvd Unit D, Redondo Beach, CA 90278",2402 Aviation Blvd UNIT D,Redondo Beach,CA,90278,33.876994,-118.379643,"1,296",0.52 Acres,22651.2,Townhouse,1978,2 spaces,null,$575,"$746,541","$3,300/mo",https://www.zillow.com/homedetails/2402-Aviation-Blvd-UNIT-D-Redondo-Beach-CA-90278/20405480_zpid/
Townhouse for sale,"$399,000","222 Manuel Ct, Bay Point, CA 94565",222 Manuel Ct,Bay Point,CA,94565,38.032507,-121.977831,"1,206","1,851 sqft",1851.0,Townhouse,1988,1 space,null,$331,null,null,https://www.zillow.com/homedetails/222-Manuel-Ct-Bay-Point-CA-94565/18338091_zpid/
Townhouse for sale,"$1,480,000","1132 Pheasant Hill Way, San Jose, CA 95120",1132 Pheasant Hill Way,San Jose,CA,95120,37.198268,-121.847727,"2,532","5,061 sqft",5061.0,Townhouse,1998,2 spaces,null,$585,"$1,410,443","$4,351/mo",https://www.zillow.com/homedetails/1132-Pheasant-Hill-Way-San-Jose-CA-95120/19768537_zpid/
For sale by owner,"$589,900","15 Whitworth St, Mission Viejo, CA 92694",15 Whitworth St,Mission Viejo,CA,92694,33.550798,-117.636215,"1,695",1 sqft,1.0,Townhouse,2002,2 spaces,null,$348,"$598,583","$3,000/mo",https://www.zillow.com/homedetails/15-Whitworth-St-Mission-Viejo-CA-92694/61499975_zpid/
Townhouse for sale,"$499,900","30902 Clubhouse Dr Unit 44k, Laguna Niguel, CA 92677",30902 Clubhouse Dr UNIT 44K,Laguna Niguel,CA,92677,33.515047,-117.720107,"1,024","1,001 sqft",1001.0,Townhouse,1989,1 space,null,$488,"$493,774","$2,500/mo",https://www.zillow.com/homedetails/30902-Clubhouse-Dr-UNIT-44K-Laguna-Niguel-CA-92677/246150560_zpid/
Townhouse for sale,"$439,999","1722 Mitchell Ave Apt 176, Tustin, CA 92780",1722 Mitchell Ave APT 176,Tustin,CA,92780,33.728151,-117.815696,"1,248","1,341 sqft",1341.0,Townhouse,1965,3 spaces,null,$353,"$440,444","$2,550/mo",https://www.zillow.com/homedetails/1722-Mitchell-Ave-APT-176-Tustin-CA-92780/25473317_zpid/
Townhouse for sale,"$699,000","1200 Weepinggate Ln, San Jose, CA 95136",1200 Weepinggate Ln,San Jose,CA,95136,37.260209,-121.830033,"1,296","1,237 sqft",1237.0,Townhouse,1971,No Data,null,$539,"$730,000","$2,995/mo",https://www.zillow.com/homedetails/1200-Weepinggate-Ln-San-Jose-CA-95136/19818084_zpid/
Townhouse for sale,"$799,000","15237 Weddington St #3, Sherman Oaks, CA 91411",15237 Weddington St #3,Sherman Oaks,CA,91411,34.167429,-118.465351,"2,000","10,454 sqft",10454.0,Townhouse,2015,2 spaces,null,$400,"$839,934","$3,500/mo",https://www.zillow.com/homedetails/15237-Weddington-St-3-Sherman-Oaks-CA-91411/145642061_zpid/
Townhouse for sale,"$925,000","9 Danville Oak Pl, Danville, CA 94526",9 Danville Oak Pl,Danville,CA,94526,37.827625,-122.007037,"1,708",968 sqft,968.0,Townhouse,1992,1 space,null,$542,null,null,https://www.zillow.com/homedetails/9-Danville-Oak-Pl-Danville-CA-94526/18432031_zpid/
Townhouse for sale,"$527,999","4504 Jamestown Dr, Yorba Linda, CA 92886",4504 Jamestown Dr,Yorba Linda,CA,92886,33.895545,-117.828358,"1,190",779 sqft,779.0,Townhouse,1965,2 spaces,null,$444,"$533,669","$2,437/mo",https://www.zillow.com/homedetails/4504-Jamestown-Dr-Yorba-Linda-CA-92886/25374036_zpid/
Townhouse for sale,"$625,000","1852 Cannon Dr, Walnut Creek, CA 94597",1852 Cannon Dr,Walnut Creek,CA,94597,37.921889,-122.093708,"1,263","1,001 sqft",1001.0,Townhouse,1972,2 spaces,null,$495,"$625,004","$2,850/mo",https://www.zillow.com/homedetails/1852-Cannon-Dr-Walnut-Creek-CA-94597/18405606_zpid/
Townhouse for sale,"$449,000","2352 Altisma Way Unit 20, Carlsbad, CA 92009",2352 Altisma Way UNIT 20,Carlsbad,CA,92009,33.095854,-117.256043,920,1.04 Acres,45302.4,Townhouse,1974,1 space,null,$488,"$449,001","$2,250/mo",https://www.zillow.com/homedetails/2352-Altisma-Way-UNIT-20-Carlsbad-CA-92009/16655679_zpid/
Townhouse for sale,"$638,000","225 Milky Way, Irvine, CA 92618",225 Milky Way,Irvine,CA,92618,33.697484,-117.69091,"1,231",500 sqft,500.0,Townhouse,2018,2 spaces,null,$518,"$631,865","$2,800/mo",https://www.zillow.com/homedetails/225-Milky-Way-Irvine-CA-92618/2089320108_zpid/
Townhouse for sale,"$544,900","6371 Joaquin Murieta Ave Apt C, Newark, CA 94560",6371 Joaquin Murieta Ave APT C,Newark,CA,94560,37.517845,-122.001049,"1,132",818 sqft,818.0,Townhouse,1981,No Data,null,$481,"$547,902","$2,600/mo",https://www.zillow.com/homedetails/6371-Joaquin-Murieta-Ave-APT-C-Newark-CA-94560/25060232_zpid/
Townhouse for sale,"$585,000","813 S Anaheim Blvd Unit 101, Anaheim, CA 92805",813 S Anaheim Blvd UNIT 101,Anaheim,CA,92805,33.826308,-117.911305,"1,540",No Data,null,Townhouse,2015,3 spaces,null,$380,"$567,229","$2,975/mo",https://www.zillow.com/homedetails/813-S-Anaheim-Blvd-UNIT-101-Anaheim-CA-92805/157965716_zpid/
Townhouse for sale,"$519,999","9778 Charing Cross Dr, Huntington Beach, CA 92646",9778 Charing Cross Dr,Huntington Beach,CA,92646,33.672796,-117.957445,"1,144",880 Acres,38332800.0,Townhouse,1964,1 space,null,$455,"$527,586","$2,700/mo",https://www.zillow.com/homedetails/9778-Charing-Cross-Dr-Huntington-Beach-CA-92646/25279111_zpid/
