Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Multi-family home for sale,"$795,000","2952 W Avenue 34, Los Angeles, CA 90065",2952 W Avenue 34,Los Angeles,CA,90065,34.117079,-118.238664,"1,328",null,null,Multiple Occupancy,1930,2 spaces,null,$599,"$801,543","$2,800/mo",https://www.zillow.com/homedetails/2952-W-Avenue-34-Los-Angeles-CA-90065/20758424_zpid/
Multi-family home for sale,"$499,000","5106 Woodlawn Ave, Los Angeles, CA 90011",5106 Woodlawn Ave,Los Angeles,CA,90011,33.996262,-118.272534,"1,864",null,null,Multiple Occupancy,1895,3 spaces,null,$268,"$494,504","$2,500/mo",https://www.zillow.com/homedetails/5106-Woodlawn-Ave-Los-Angeles-CA-90011/20616575_zpid/
Multi-family home for sale,"$930,000","1846 W 25th St, Los Angeles, CA 90018",1846 W 25th St,Los Angeles,CA,90018,34.033382,-118.304595,"2,423",null,null,Multiple Occupancy,1914,6 spaces,null,$384,"$911,371","$2,500/mo",https://www.zillow.com/homedetails/1846-W-25th-St-Los-Angeles-CA-90018/20594712_zpid/
Multi-family home for sale,"$759,000","1884 N 5th St, Concord, CA 94519",1884 N 5th St,Concord,CA,94519,37.980515,-122.019617,"1,284",null,null,Multiple Occupancy,1930,No Data,null,$591,null,null,https://www.zillow.com/homedetails/1884-N-5th-St-Concord-CA-94519/18346772_zpid/
Multi-family home for sale,"$589,900","1401 Clela Ave, Los Angeles, CA 90022",1401 Clela Ave,Los Angeles,CA,90022,34.013666,-118.162968,"1,739",null,null,Multiple Occupancy,1946,2 spaces,null,$339,"$644,170","$2,337/mo",https://www.zillow.com/homedetails/1401-Clela-Ave-Los-Angeles-CA-90022/20655135_zpid/
Multi-family home for sale,"$1,800,000","821 Milwood Ave, Venice, CA 90291",821 Milwood Ave,Venice,CA,90291,33.994924,-118.461958,"2,028",null,null,Multiple Occupancy,1913,2 spaces,null,$888,"$2,425,821","$4,600/mo",https://www.zillow.com/homedetails/821-Milwood-Ave-Venice-CA-90291/20451856_zpid/
For sale by owner,"$2,300,000","741 Muskingum Ave, Pacific Palisades, CA 90272",741 Muskingum Ave,Pacific Palisades,CA,90272,34.048428,-118.536319,"1,110",null,null,Multiple Occupancy,1951,1 space,null,"$2,072","$2,994,414","$6,500/mo",https://www.zillow.com/homedetails/741-Muskingum-Ave-Pacific-Palisades-CA-90272/20541792_zpid/
Multi-family home for sale,"$875,000","2526 S Dunsmuir Ave, Los Angeles, CA 90016",2526 S Dunsmuir Ave,Los Angeles,CA,90016,34.033313,-118.358851,"2,112",null,null,Multiple Occupancy,1924,3 spaces,null,$414,"$999,257","$3,000/mo",https://www.zillow.com/homedetails/2526-S-Dunsmuir-Ave-Los-Angeles-CA-90016/20584835_zpid/
Multi-family home for sale,"$1,750,000","1032 W Edgeware Rd, Los Angeles, CA 90026",1032 W Edgeware Rd,Los Angeles,CA,90026,34.07179,-118.254752,"3,051",null,null,Multiple Occupancy,1992,3 spaces,null,$574,"$1,037,683","$3,000/mo",https://www.zillow.com/homedetails/1032-W-Edgeware-Rd-Los-Angeles-CA-90026/20740102_zpid/
Multi-family home for sale,"$150,000","1927 Lake St, Bakersfield, CA 93305",1927 Lake St,Bakersfield,CA,93305,35.374946,-118.972194,"1,844",null,null,Multiple Occupancy,1925,2 spaces,null,$81,"$239,907","$1,225/mo",https://www.zillow.com/homedetails/1927-Lake-St-Bakersfield-CA-93305/18936541_zpid/
Multi-family home for sale,"$559,000","918 E 76th St, Los Angeles, CA 90001",918 E 76th St,Los Angeles,CA,90001,33.970932,-118.257895,"5,103",null,null,Multiple Occupancy,1948,5 spaces,null,$110,"$501,662","$2,595/mo",https://www.zillow.com/homedetails/918-E-76th-St-Los-Angeles-CA-90001/20941236_zpid/
Multi-family home for sale,"$639,000","16256 Avenida Venusto Unit A, San Diego, CA 92128",16256 Avenida Venusto UNIT A,San Diego,CA,92128,33.009822,-117.075797,"1,632",null,null,Multiple Occupancy,1991,4 spaces,null,$392,"$659,734","$2,900/mo",https://www.zillow.com/homedetails/16256-Avenida-Venusto-UNIT-A-San-Diego-CA-92128/16745299_zpid/
Multi-family home for sale,"$1,169,000","3908 E 5th St, Long Beach, CA 90814",3908 E 5th St,Long Beach,CA,90814,33.772341,-118.146896,"2,587",null,null,Multiple Occupancy,1949,4 spaces,null,$452,"$974,378","$2,488/mo",https://www.zillow.com/homedetails/3908-E-5th-St-Long-Beach-CA-90814/21223161_zpid/
Multi-family home for sale,"$635,000","6023 Allston St, Los Angeles, CA 90022",6023 Allston St,Los Angeles,CA,90022,34.016429,-118.143266,"1,484",null,null,Multiple Occupancy,1950,2 spaces,null,$428,"$519,396","$2,225/mo",https://www.zillow.com/homedetails/6023-Allston-St-Los-Angeles-CA-90022/21080805_zpid/
Multi-family home for sale,"$299,900","3454 Oak Creek Rd, Mojave, CA 93501",3454 Oak Creek Rd,Mojave,CA,93501,35.05351,-118.1944,"3,044",null,null,Multiple Occupancy,1986,No Data,null,$99,"$244,743",$970/mo,https://www.zillow.com/homedetails/3454-Oak-Creek-Rd-Mojave-CA-93501/19023578_zpid/
Multi-family home for sale,"$259,000","116 Fresno Ave, Modesto, CA 95351",116 Fresno Ave,Modesto,CA,95351,37.630432,-121.001667,"1,000",null,null,Multiple Occupancy,1925,3 spaces,null,$259,"$267,046","$1,325/mo",https://www.zillow.com/homedetails/116-Fresno-Ave-Modesto-CA-95351/16066942_zpid/
Multi-family home for sale,"$559,990","403 E 43rd St, Los Angeles, CA 90011",403 E 43rd St,Los Angeles,CA,90011,34.005935,-118.268326,"1,697",null,null,Multiple Occupancy,1903,2 spaces,null,$330,"$559,991","$2,700/mo",https://www.zillow.com/homedetails/403-E-43rd-St-Los-Angeles-CA-90011/20618340_zpid/
Multi-family home for sale,"$269,900","704 N Garden St, Visalia, CA 93291",704 N Garden St,Visalia,CA,93291,36.337271,-119.289813,"1,590",null,null,Multiple Occupancy,1951,2 spaces,null,$170,"$175,129","$1,250/mo",https://www.zillow.com/homedetails/704-N-Garden-St-Visalia-CA-93291/16237607_zpid/
Multi-family home for sale,"$429,000","24084 Falconer Dr, Murrieta, CA 92562",24084 Falconer Dr,Murrieta,CA,92562,33.590358,-117.201181,"1,646",null,null,Multiple Occupancy,1988,2 spaces,null,$261,"$420,953","$2,400/mo",https://www.zillow.com/homedetails/24084-Falconer-Dr-Murrieta-CA-92562/18175453_zpid/
Multi-family home for sale,"$519,000","675 Leonard Ave, Los Angeles, CA 90022",675 Leonard Ave,Los Angeles,CA,90022,34.019822,-118.142653,"1,013",null,null,Multiple Occupancy,1935,2 spaces,null,$512,"$527,752","$2,085/mo",https://www.zillow.com/homedetails/675-Leonard-Ave-Los-Angeles-CA-90022/21082701_zpid/
Multi-family home for sale,"$455,000","5512 Sandpiper Ct, Stockton, CA 95207",5512 Sandpiper Ct,Stockton,CA,95207,37.99701,-121.32646,"1,075",null,null,Multiple Occupancy,1976,4 spaces,null,$423,"$369,872","$1,595/mo",https://www.zillow.com/homedetails/5512-Sandpiper-Ct-Stockton-CA-95207/15306563_zpid/
