Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Condo for sale,"$565,000","2323 Huntington St Apt 1004, Huntington Beach, CA 92648",2323 Huntington St APT 1004,Huntington Beach,CA,92648,33.678206,-117.996098,973,null,null,Condo,1978,2 spaces,$400/mo,$581,"$568,885","$2,400/mo",https://www.zillow.com/homedetails/2323-Huntington-St-APT-1004-Huntington-Beach-CA-92648/25735381_zpid/
Condo for sale,"$316,000","3414 Thunder Dr, Oceanside, CA 92056",3414 Thunder Dr,Oceanside,CA,92056,33.183251,-117.287613,866,null,null,Condo,1974,2 spaces,$285/mo,$365,"$317,990","$1,850/mo",https://www.zillow.com/homedetails/3414-Thunder-Dr-Oceanside-CA-92056/16621526_zpid/
Condo for sale,"$265,000","1414 Pajaro Ave Apt 41, Manteca, CA 95336",1414 Pajaro Ave APT 41,Manteca,CA,95336,37.818127,-121.227298,896,null,null,Condo,1976,1 space,$425/mo,$296,"$266,622","$1,550/mo",https://www.zillow.com/homedetails/1414-Pajaro-Ave-APT-41-Manteca-CA-95336/15355319_zpid/
For sale by owner,"$460,000","19558 Laroda Ln, Santa Clarita, CA 91350",19558 Laroda Ln,Santa Clarita,CA,91350,34.445936,-118.478446,"1,440",null,null,Condo,2005,2 spaces,$180/mo,$319,"$446,514","$2,600/mo",https://www.zillow.com/homedetails/19558-Laroda-Ln-Santa-Clarita-CA-91350/79797744_zpid/
Condo for sale,"$539,000","2530 Coventry Cir #88, Fullerton, CA 92833",2530 Coventry Cir #88,Fullerton,CA,92833,33.898566,-117.969802,"1,181",null,null,Condo,1980,2 spaces,$336/mo,$456,"$545,959","$2,600/mo",https://www.zillow.com/homedetails/2530-Coventry-Cir-88-Fullerton-CA-92833/25670060_zpid/
Condo for sale,"$998,000","1688 Pine St #w-1006, San Francisco, CA 94109",1688 Pine St #W-1006,San Francisco,CA,94109,37.789553,-122.423278,689,null,null,Condo,2016,No Data,$659/mo,"$1,448","$987,483","$3,500/mo",https://www.zillow.com/homedetails/1688-Pine-St-W-1006-San-Francisco-CA-94109/241585677_zpid/
Condo for sale,"$450,000","206 Teague Dr, San Dimas, CA 91773",206 Teague Dr,San Dimas,CA,91773,34.100317,-117.803074,"1,320",null,null,Condo,1981,2 spaces,$330/mo,$341,"$450,003","$2,400/mo",https://www.zillow.com/homedetails/206-Teague-Dr-San-Dimas-CA-91773/21527931_zpid/
Condo for sale,"$305,000","1178 Carlsbad Pl, Ventura, CA 93003",1178 Carlsbad Pl,Ventura,CA,93003,34.263328,-119.220379,903,null,null,Condo,1971,4 spaces,$330/mo,$338,"$294,215","$1,900/mo",https://www.zillow.com/homedetails/1178-Carlsbad-Pl-Ventura-CA-93003/16347602_zpid/
Condo for sale,"$309,990","27928 John F Kennedy Dr Unit C, Moreno Valley, CA 92555",27928 John F Kennedy Dr UNIT C,Moreno Valley,CA,92555,33.903926,-117.175074,"1,781",null,null,Condo,2005,2 spaces,$324/mo,$174,"$314,236","$1,950/mo",https://www.zillow.com/homedetails/27928-John-F-Kennedy-Dr-UNIT-C-Moreno-Valley-CA-92555/69282941_zpid/
Condo for sale,"$249,987","8839 Salmon Falls Dr, Sacramento, CA 95826",8839 Salmon Falls Dr,Sacramento,CA,95826,38.562531,-121.377705,"1,014",null,null,Condo,1971,4 spaces,$202/mo,$247,null,null,https://www.zillow.com/homedetails/8839-Salmon-Falls-Dr-Sacramento-CA-95826/2077657297_zpid/
