Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
House for sale,"$17,500,000","224 Sea Cliff Ave, San Francisco, CA 94121",224 Sea Cliff Ave,San Francisco,CA,94121,37.78894,-122.488456,"6,902","8,150 sqft",8150.0,Single Family,1926,2 spaces,null,"$2,535","$17,323,232","$15,000/mo",https://www.zillow.com/homedetails/224-Sea-Cliff-Ave-San-Francisco-CA-94121/15088697_zpid/
House for sale,"$519,900","37547 Drexell Dr, Palm Desert, CA 92211",37547 Drexell Dr,Palm Desert,CA,92211,33.775947,-116.379294,"1,724","6,970 sqft",6970.0,Single Family,1997,2 spaces,null,$302,"$519,900","$2,500/mo",https://www.zillow.com/homedetails/37547-Drexell-Dr-Palm-Desert-CA-92211/18110352_zpid/
House for sale,"$370,000","8822 Rowley St, Littlerock, CA 93543",8822 Rowley St,Littlerock,CA,93543,34.524004,-117.972358,"1,986",0.29 Acres,12632.4,Single Family,1979,2 spaces,null,$186,"$355,255","$2,330/mo",https://www.zillow.com/homedetails/8822-Rowley-St-Littlerock-CA-93543/20264228_zpid/
Foreclosure,"$295,000","9580 Capiland Rd, Desert Hot Springs, CA 92240",9580 Capiland Rd,Desert Hot Springs,CA,92240,33.979142,-116.537692,"1,883","7,405 sqft",7405.0,Single Family,1988,2 spaces,null,$157,"$271,049","$2,100/mo",https://www.zillow.com/homedetails/9580-Capiland-Rd-Desert-Hot-Springs-CA-92240/18114348_zpid/
House for sale,"$674,900","2600 Cold Springs Ln, Corona, CA 92882",2600 Cold Springs Ln,Corona,CA,92882,33.851042,-117.578486,"2,405","10,018 sqft",10018.0,Single Family,1994,3 spaces,null,$281,"$634,405","$3,092/mo",https://www.zillow.com/homedetails/2600-Cold-Springs-Ln-Corona-CA-92882/17776708_zpid/
House for sale,"$999,950","2411 Warren Ln, Walnut Creek, CA 94597",2411 Warren Ln,Walnut Creek,CA,94597,37.915155,-122.074917,"1,670",0.36 Acres,15681.6,Single Family,1971,2 spaces,null,$599,"$1,043,281","$3,800/mo",https://www.zillow.com/homedetails/2411-Warren-Ln-Walnut-Creek-CA-94597/18407973_zpid/
House for sale,"$685,000","10029 Silver Legend Dr, Sacramento, CA 95829",10029 Silver Legend Dr,Sacramento,CA,95829,38.456471,-121.319698,"3,052","8,398 sqft",8398.0,Single Family,2003,3 spaces,null,$224,"$679,315","$2,800/mo",https://www.zillow.com/homedetails/10029-Silver-Legend-Dr-Sacramento-CA-95829/54911535_zpid/
House for sale,"$418,000","6215 Rustic Ln, Jurupa Valley, CA 92509",6215 Rustic Ln,Jurupa Valley,CA,92509,34.003023,-117.424086,"1,638","7,405 sqft",7405.0,Single Family,1957,2 spaces,null,$255,"$429,399","$2,200/mo",https://www.zillow.com/homedetails/6215-Rustic-Ln-Jurupa-Valley-CA-92509/17826480_zpid/
House for sale,"$609,900","7226 Annapolis Way, Fontana, CA 92336",7226 Annapolis Way,Fontana,CA,92336,34.122823,-117.479516,"3,387","8,677 sqft",8677.0,Single Family,2009,3 spaces,null,$180,"$632,912","$2,876/mo",https://www.zillow.com/homedetails/7226-Annapolis-Way-Fontana-CA-92336/94690781_zpid/
House for sale,"$399,000","6092 Williams Dr, Paradise, CA 95969",6092 Williams Dr,Paradise,CA,95969,39.766953,-121.607177,"1,323",0.96 Acres,41817.6,Single Family,1947,2 spaces,null,$302,"$331,618","$1,950/mo",https://www.zillow.com/homedetails/6092-Williams-Dr-Paradise-CA-95969/18253181_zpid/
