Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Townhouse for sale,"$808,900","2110 Vanderbilt Ln Unit C, Redondo Beach, CA 90278",2110 Vanderbilt Ln UNIT C,Redondo Beach,CA,90278,33.871545,-118.373822,"1,471",1.03 Acres,44866.8,Townhouse,1984,2 spaces,null,$550,"$828,836","$3,600/mo",https://www.zillow.com/homedetails/2110-Vanderbilt-Ln-UNIT-C-Redondo-Beach-CA-90278/20406329_zpid/
Townhouse for sale,"$639,000","12788 Zurich Pl #4, Truckee, CA 96161",12788 Zurich Pl #4,Truckee,CA,96161,39.342477,-120.217767,"2,082",0.30 Acres,13068.0,Townhouse,2003,1 space,null,$307,"$663,078","$4,000/mo",https://www.zillow.com/homedetails/12788-Zurich-Pl-4-Truckee-CA-96161/82886843_zpid/
Townhouse for sale,"$829,000","70 Corte Oriental Way, Greenbrae, CA 94904",70 Corte Oriental Way,Greenbrae,CA,94904,37.946428,-122.534886,"1,400","1,015 sqft",1015.0,Townhouse,1978,1 space,null,$592,"$840,731","$4,500/mo",https://www.zillow.com/homedetails/70-Corte-Oriental-Way-Greenbrae-CA-94904/19251669_zpid/
Townhouse for sale,"$549,900","2026 Mountain Vista Way, Oceanside, CA 92054",2026 Mountain Vista Way,Oceanside,CA,92054,33.191707,-117.333143,"1,435",3.45 Acres,150282.0,Townhouse,1989,4 spaces,null,$383,"$550,698","$2,500/mo",https://www.zillow.com/homedetails/2026-Mountain-Vista-Way-Oceanside-CA-92054/16614754_zpid/
Townhouse for sale,"$699,000","392 S Marengo Ave Unit 103, Pasadena, CA 91101",392 S Marengo Ave UNIT 103,Pasadena,CA,91101,34.139052,-118.145342,"1,554",0.91 Acres,39639.6,Townhouse,1993,2 spaces,null,$450,"$699,933","$3,495/mo",https://www.zillow.com/homedetails/392-S-Marengo-Ave-UNIT-103-Pasadena-CA-91101/20862325_zpid/
Townhouse for sale,"$799,000","810 Amapola Ave, Torrance, CA 90501",810 Amapola Ave,Torrance,CA,90501,33.839078,-118.323439,"1,711","5,601 sqft",5601.0,Townhouse,2002,3 spaces,null,$467,"$799,006","$3,550/mo",https://www.zillow.com/homedetails/810-Amapola-Ave-Torrance-CA-90501/63093369_zpid/
Townhouse for sale,"$384,900","5305 Columbus Pl, Oxnard, CA 93033",5305 Columbus Pl,Oxnard,CA,93033,34.151881,-119.176739,"1,152","1,097 sqft",1097.0,Townhouse,1992,2 spaces,null,$334,"$384,902","$2,275/mo",https://www.zillow.com/homedetails/5305-Columbus-Pl-Oxnard-CA-93033/16408410_zpid/
Townhouse for sale,"$668,302","692 Gale Dr, Campbell, CA 95008",692 Gale Dr,Campbell,CA,95008,37.292216,-121.961156,"2,120","2,178 sqft",2178.0,Townhouse,2012,2 spaces,null,$315,"$676,369","$4,250/mo",https://www.zillow.com/homedetails/692-Gale-Dr-Campbell-CA-95008/121043366_zpid/
Townhouse for sale,"$529,777","1407 Calabria St, Santee, CA 92071",1407 Calabria St,Santee,CA,92071,32.837182,-116.958814,"1,741",0.49 Acres,21344.4,Townhouse,2010,3 spaces,null,$304,"$504,306","$2,800/mo",https://www.zillow.com/homedetails/1407-Calabria-St-Santee-CA-92071/95063746_zpid/
Townhouse for sale,"$359,900","30156 Yellow Feather Dr, Canyon Lake, CA 92587",30156 Yellow Feather Dr,Canyon Lake,CA,92587,33.683034,-117.250747,"1,600","1,742 sqft",1742.0,Townhouse,1983,3 spaces,null,$225,"$324,131","$2,000/mo",https://www.zillow.com/homedetails/30156-Yellow-Feather-Dr-Canyon-Lake-CA-92587/17931269_zpid/
Townhouse for sale,"$685,000","16626 Skislope Way #c, Truckee, CA 96161",16626 Skislope Way #C,Truckee,CA,96161,39.357884,-120.258983,"1,613","8,712 sqft",8712.0,Townhouse,2009,4 spaces,null,$425,"$654,682","$3,000/mo",https://www.zillow.com/homedetails/16626-Skislope-Way-C-Truckee-CA-96161/94640981_zpid/
Townhouse for sale,"$518,000","1901 S Victoria Ave Unit 218, Oxnard, CA 93035",1901 S Victoria Ave UNIT 218,Oxnard,CA,93035,34.182236,-119.22153,"1,969","1,306 sqft",1306.0,Townhouse,2008,2 spaces,null,$263,"$469,347","$2,700/mo",https://www.zillow.com/homedetails/1901-S-Victoria-Ave-UNIT-218-Oxnard-CA-93035/89133372_zpid/
Townhouse for sale,"$574,500","27931 Sirani Ct, Valencia, CA 91355",27931 Sirani Ct,Valencia,CA,91355,34.442946,-118.569266,"1,936",3.98 Acres,173368.8,Townhouse,2004,2 spaces,null,$297,"$579,690","$3,000/mo",https://www.zillow.com/homedetails/27931-Sirani-Ct-Valencia-CA-91355/63788334_zpid/
Townhouse for sale,"$450,000","642 Hatfield Dr, San Marcos, CA 92078",642 Hatfield Dr,San Marcos,CA,92078,33.120981,-117.164629,"1,209",1.32 Acres,57499.2,Townhouse,2005,2 spaces,null,$372,"$450,002","$2,300/mo",https://www.zillow.com/homedetails/642-Hatfield-Dr-San-Marcos-CA-92078/69021562_zpid/
Townhouse for sale,"$569,000","12826 Zurich Pl #4, Truckee, CA 96161",12826 Zurich Pl #4,Truckee,CA,96161,39.341771,-120.218527,"1,340","1,306 sqft",1306.0,Townhouse,2001,1 space,null,$425,"$496,033","$2,800/mo",https://www.zillow.com/homedetails/12826-Zurich-Pl-4-Truckee-CA-96161/82884419_zpid/
Townhouse for sale,"$529,900","10450 Zelzah Ave Unit A, Los Angeles, CA 91326",10450 Zelzah Ave UNIT A,Los Angeles,CA,91326,34.260203,-118.523174,"1,551",1.97 Acres,85813.2,Townhouse,1979,2 spaces,null,$342,"$535,561","$2,900/mo",https://www.zillow.com/homedetails/10450-Zelzah-Ave-UNIT-A-Los-Angeles-CA-91326/20168516_zpid/
Townhouse for sale,"$517,500","19929 Vermont Ln, Huntington Beach, CA 92646",19929 Vermont Ln,Huntington Beach,CA,92646,33.673039,-117.958746,"1,122",858 sqft,858.0,Townhouse,1963,2 spaces,null,$461,"$518,558","$2,549/mo",https://www.zillow.com/homedetails/19929-Vermont-Ln-Huntington-Beach-CA-92646/25278609_zpid/
Townhouse for sale,"$499,999","24846 Lakefield St, Lake Forest, CA 92630",24846 Lakefield St,Lake Forest,CA,92630,33.643263,-117.697278,"1,392","1,372 sqft",1372.0,Townhouse,1972,2 spaces,null,$359,"$542,879","$2,795/mo",https://www.zillow.com/homedetails/24846-Lakefield-St-Lake-Forest-CA-92630/25530882_zpid/
