Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Condo for sale,"$325,000","5046 Los Morros Way Unit 90, Oceanside, CA 92057",5046 Los Morros Way UNIT 90,Oceanside,CA,92057,33.255614,-117.297092,900,null,null,Condo,1986,1 space,$384/mo,$361,"$325,001","$1,895/mo",https://www.zillow.com/homedetails/5046-Los-Morros-Way-UNIT-90-Oceanside-CA-92057/65397551_zpid/
Condo for sale,"$479,000","427 9th Ave Unit 605, San Diego, CA 92101",427 9th Ave UNIT 605,San Diego,CA,92101,32.709781,-117.156173,855,null,null,Condo,2005,1 space,$557/mo,$560,"$479,542","$2,750/mo",https://www.zillow.com/homedetails/427-9th-Ave-UNIT-605-San-Diego-CA-92101/63777968_zpid/
Condo for sale,"$829,000","159 Excursion, Irvine, CA 92618",159 Excursion,Irvine,CA,92618,33.68801,-117.715421,"1,645",null,null,Condo,2016,2 spaces,$98/mo,$504,"$856,999","$3,400/mo",https://www.zillow.com/homedetails/159-Excursion-Irvine-CA-92618/2088064009_zpid/
Condo for sale,"$319,000","505 S Farrell Dr Unit O87, Palm Springs, CA 92264",505 S Farrell Dr UNIT O87,Palm Springs,CA,92264,33.812975,-116.51895,"1,175",null,null,Condo,1984,No Data,$420/mo,$271,"$313,020","$2,195/mo",https://www.zillow.com/homedetails/505-S-Farrell-Dr-UNIT-O87-Palm-Springs-CA-92264/18021984_zpid/
Condo for sale,"$174,990","44200 Kingtree Ave Unit 29, Lancaster, CA 93534",44200 Kingtree Ave UNIT 29,Lancaster,CA,93534,34.687189,-118.1511,"1,100",null,null,Condo,1980,2 spaces,$415/mo,$159,"$174,133","$2,295/mo",https://www.zillow.com/homedetails/44200-Kingtree-Ave-UNIT-29-Lancaster-CA-93534/20288673_zpid/
Condo for sale,"$389,000","22021 Rimhurst Dr Unit D, Lake Forest, CA 92630",22021 Rimhurst Dr UNIT D,Lake Forest,CA,92630,33.643494,-117.678715,829,null,null,Condo,1981,2 spaces,$367/mo,$469,null,null,https://www.zillow.com/homedetails/22021-Rimhurst-Dr-UNIT-D-Lake-Forest-CA-92630/2077719700_zpid/
Condo for sale,"$499,999","400 Beale St Apt 1105, San Francisco, CA 94105",400 Beale St APT 1105,San Francisco,CA,94105,37.786905,-122.39092,847,null,null,Condo,2002,No Data,$847/mo,$590,"$492,297","$3,750/mo",https://www.zillow.com/homedetails/400-Beale-St-APT-1105-San-Francisco-CA-94105/67090214_zpid/
Condo for sale,"$246,900","2279 Via Mariposa W Unit P, Laguna Woods, CA 92637",2279 Via Mariposa W UNIT P,Laguna Woods,CA,92637,33.619244,-117.719958,"1,009",null,null,Condo,1969,1 space,$652/mo,$245,"$244,321","$1,960/mo",https://www.zillow.com/homedetails/2279-Via-Mariposa-W-UNIT-P-Laguna-Woods-CA-92637/25672653_zpid/
Condo for sale,"$265,000","3535 Lake Tahoe Blvd #131, South Lake Tahoe, CA 96150",3535 Lake Tahoe Blvd #131,South Lake Tahoe,CA,96150,38.946839,-119.963206,448,null,null,Condo,1972,No Data,$390/mo,$592,"$276,041","$1,400/mo",https://www.zillow.com/homedetails/3535-Lake-Tahoe-Blvd-131-South-Lake-Tahoe-CA-96150/18578310_zpid/
Condo for sale,"$560,000","3812 Park Blvd Unit 504, San Diego, CA 92103",3812 Park Blvd UNIT 504,San Diego,CA,92103,32.74797,-117.146705,"1,130",null,null,Condo,2005,2 spaces,$597/mo,$496,"$560,003","$2,595/mo",https://www.zillow.com/homedetails/3812-Park-Blvd-UNIT-504-San-Diego-CA-92103/63659630_zpid/
Condo for sale,"$534,500","22340 Germain St Unit 3, Los Angeles, CA 91311",22340 Germain St UNIT 3,Los Angeles,CA,91311,34.262345,-118.614276,"1,773",null,null,Condo,1972,2 spaces,$475/mo,$301,"$518,368","$3,000/mo",https://www.zillow.com/homedetails/22340-Germain-St-UNIT-3-Los-Angeles-CA-91311/20163134_zpid/
Condo for sale,"$345,000","1956 Heywood St Apt I, Simi Valley, CA 93065",1956 Heywood St APT I,Simi Valley,CA,93065,34.267229,-118.760824,880,null,null,Condo,1981,1 space,$375/mo,$392,null,null,https://www.zillow.com/homedetails/1956-Heywood-St-APT-I-Simi-Valley-CA-93065/2077653366_zpid/
Condo for sale,"$399,888","1343 Brooktree Cir #196, West Covina, CA 91792",1343 Brooktree Cir #196,West Covina,CA,91792,34.039008,-117.917641,"1,152",null,null,Condo,1972,2 spaces,$265/mo,$347,"$411,180","$2,200/mo",https://www.zillow.com/homedetails/1343-Brooktree-Cir-196-West-Covina-CA-91792/21692657_zpid/
Condo for sale,"$540,000","35 Smokestone #33, Irvine, CA 92614",35 Smokestone #33,Irvine,CA,92614,33.675306,-117.807642,"1,117",null,null,Condo,1980,No Data,$327/mo,$483,"$533,358","$2,895/mo",https://www.zillow.com/homedetails/35-Smokestone-33-Irvine-CA-92614/25738203_zpid/
Condo for sale,"$449,000","44 N Kavenish Dr, Rancho Mirage, CA 92270",44 N Kavenish Dr,Rancho Mirage,CA,92270,33.770975,-116.405025,"2,372",null,null,Condo,1985,2 spaces,$675/mo,$189,null,null,https://www.zillow.com/homedetails/44-N-Kavenish-Dr-Rancho-Mirage-CA-92270/2077682371_zpid/
