Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
House for sale,"$199,999","171 Wylerhorn Dr, Crestline, CA 92325",171 Wylerhorn Dr,Crestline,CA,92325,34.250209,-117.271474,"1,080","7,222 sqft",7222.0,Single Family,1967,3 spaces,null,$185,"$205,848","$1,500/mo",https://www.zillow.com/homedetails/171-Wylerhorn-Dr-Crestline-CA-92325/17416734_zpid/
House for sale,"$469,999","17161 Mount Woodson Rd, Ramona, CA 92065",17161 Mount Woodson Rd,Ramona,CA,92065,33.005409,-116.957045,"1,893",0.98 Acres,42688.8,Single Family,1969,2 spaces,null,$248,"$478,116","$2,850/mo",https://www.zillow.com/homedetails/17161-Mount-Woodson-Rd-Ramona-CA-92065/16748763_zpid/
House for sale,"$829,900","380 S Poinsettia Ave, Brea, CA 92821",380 S Poinsettia Ave,Brea,CA,92821,33.914682,-117.913595,"2,031","9,347 sqft",9347.0,Single Family,1964,2 spaces,null,$409,"$850,048","$3,500/mo",https://www.zillow.com/homedetails/380-S-Poinsettia-Ave-Brea-CA-92821/25360492_zpid/
House for sale,"$419,900","9427 Tonkin Dr, Orangevale, CA 95662",9427 Tonkin Dr,Orangevale,CA,95662,38.672418,-121.201331,"1,610","9,147 sqft",9147.0,Single Family,1960,1 space,null,$261,"$418,141","$1,995/mo",https://www.zillow.com/homedetails/9427-Tonkin-Dr-Orangevale-CA-95662/26005985_zpid/
House for sale,"$609,000","698 Nivens Ln, Nevada City, CA 95959",698 Nivens Ln,Nevada City,CA,95959,39.267986,-121.02298,"1,900",1.12 Acres,48787.2,Single Family,1975,2 spaces,null,$321,"$613,381","$2,795/mo",https://www.zillow.com/homedetails/698-Nivens-Ln-Nevada-City-CA-95959/19425697_zpid/
House for sale,"$539,000","7050 Chicago Ct, Rancho Cucamonga, CA 91701",7050 Chicago Ct,Rancho Cucamonga,CA,91701,34.126105,-117.561388,"1,530","7,701 sqft",7701.0,Single Family,1988,3 spaces,null,$352,"$544,133","$2,505/mo",https://www.zillow.com/homedetails/7050-Chicago-Ct-Rancho-Cucamonga-CA-91701/17598699_zpid/
House for sale,"$370,000","226 Cherry St, Lodi, CA 95240",226 Cherry St,Lodi,CA,95240,38.123593,-121.26844,"1,719","6,873 sqft",6873.0,Single Family,1947,No Data,null,$215,"$374,743","$1,900/mo",https://www.zillow.com/homedetails/226-Cherry-St-Lodi-CA-95240/15268258_zpid/
House for sale,"$829,000","628 Gemstone Dr, San Marcos, CA 92078",628 Gemstone Dr,San Marcos,CA,92078,33.121901,-117.166952,"2,550",0.63 Acres,27442.8,Single Family,2018,2 spaces,null,$325,"$806,184","$3,500/mo",https://www.zillow.com/homedetails/628-Gemstone-Dr-San-Marcos-CA-92078/250194518_zpid/
House for sale,"$235,000","55 Quasar Cir, Sacramento, CA 95822",55 Quasar Cir,Sacramento,CA,95822,38.494426,-121.474874,"1,149","7,405 sqft",7405.0,Single Family,1982,2 spaces,null,$205,"$228,532","$1,599/mo",https://www.zillow.com/homedetails/55-Quasar-Cir-Sacramento-CA-95822/25849399_zpid/
Auction,$438K,"1960 Bridlewood Ct, Atwater, CA 95301",1960 Bridlewood Ct,Atwater,CA,95301,37.339518,-120.573441,"4,096","9,483 sqft",9483.0,Single Family,2007,2 spaces,null,$107,"$426,378","$2,450/mo",https://www.zillow.com/homedetails/1960-Bridlewood-Ct-Atwater-CA-95301/79815643_zpid/
