Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,2,LosAngeles,"6525 Woodman Ave UNIT 31, Los Angeles, CA 91401",$325/month,Townhouse,https://www.zillow.com/homedetails/6525-Woodman-Ave-UNIT-31-Los-Angeles-CA-91401/72106787_zpid/,Townhouse for sale,0.7 acres,30492.0,No Data,"$459,000","$2,295/mo","1,020",CA,6525 Woodman Ave UNIT 31,2001,"$468,570",$450,91401
3,2,MountainView,"2112 Wyandotte St APT D, Mountain View, CA 94043",$380/month,Townhouse,https://www.zillow.com/homedetails/2112-Wyandotte-St-APT-D-Mountain-View-CA-94043/19510400_zpid/,Townhouse for sale,823 sqft,823.0,1 space,"$1,199,000","$4,200/mo","1,325",CA,2112 Wyandotte St APT D,1984,"$1,281,337",$905,94043
3,3,Boulevard:Skyline,"RESIDENCE ONE Plan, Boulevard : Skyline",null,Townhouse,https://www.zillow.com/community/boulevard-skyline/2081893402_zpid/,New construction,No Data,null,2 spaces,"$793,000+",null,"1,563",null,RESIDENCE ONE Plan,2020,null,$507,null
4,4,Ashton,"Residence 2 Plan, Ashton",null,Townhouse,https://www.zillow.com/community/ashton/2087678095_zpid/,New construction,No Data,null,2 spaces,"$639,990+",null,"1,946",null,Residence 2 Plan,2020,null,$329,null
4,2,Suwerte,"Plan 4X Plan, Suwerte",$266/month,Townhouse,https://www.zillow.com/community/suwerte/2087663799_zpid/,New construction,No Data,null,2 spaces,"$464,900+",null,"2,139",null,Plan 4X Plan,2020,null,$217,null
3,3,Anaheim,"618 W Vermont Ave #31, Anaheim, CA 92805",$205/month,Townhouse,https://www.zillow.com/homedetails/618-W-Vermont-Ave-31-Anaheim-CA-92805/2080397543_zpid/,Townhouse for sale,No Data,null,1 space,"$500,000",null,"1,240",CA,618 W Vermont Ave #31,1998,null,$403,92805
4,3,EllisonPark,"Plan 1 Plan, Ellison Park",null,Townhouse,https://www.zillow.com/community/ellison-park/2083554467_zpid/,New construction,No Data,null,2 spaces,"$1,195,000+",null,"1,887",null,Plan 1 Plan,2020,null,$633,null
3,2,HarborCity,"26129 Frampton Ave, Harbor City, CA 90710",$270/month,Townhouse,https://www.zillow.com/homedetails/26129-Frampton-Ave-Harbor-City-CA-90710/21291084_zpid/,Townhouse for sale,1.53 acres,66646.8,2 spaces,"$500,000","$2,450/mo","1,008",CA,26129 Frampton Ave,1987,"$508,077",$496,90710
3,2,Solmar,"Plan 1 Plan, Solmar",$305/month,Townhouse,https://www.zillow.com/community/solmar/2080883568_zpid/,New construction,No Data,null,2 spaces,"$397,020+",null,"1,310",null,Plan 1 Plan,2020,null,$303,null
4,3,AvellaatCivita,"A-3 Plan, Avella at Civita",null,Townhouse,https://www.zillow.com/community/avella-at-civita/2084166509_zpid/,New construction,No Data,null,2 spaces,"$964,995+",null,"2,275",null,A-3 Plan,2020,null,$424,null
4,3,TheCollectionatStCloud,"Residence 4 Plan, The Collection at St Cloud",null,Townhouse,https://www.zillow.com/community/collection-at-st-cloud/2085176142_zpid/,New construction,No Data,null,2 spaces,"$545,900+",null,"1,702",null,Residence 4 Plan,2020,null,$321,null
3,3,BrisasatPacificRidge,"Residence 3 Plan, Brisas at Pacific Ridge",null,Townhouse,https://www.zillow.com/community/brisas-at-pacific-ridge/2087807512_zpid/,New construction,No Data,null,2 spaces,"$579,990+",null,"1,806",null,Residence 3 Plan,2020,null,$321,null
4,4,LaColinaEstates,"Residence 3 WLH Plan, La Colina Estates",null,Townhouse,https://www.zillow.com/community/la-colina-estates/2081115714_zpid/,New construction,No Data,null,3 spaces,"$1,224,000+",null,"4,147",null,Residence 3 WLH Plan,2020,null,$295,null
4,3,Oliva,"1A Plan, Oliva",null,Townhouse,https://www.zillow.com/community/oliva/2082264987_zpid/,New construction,No Data,null,2 spaces,"$703,002+",null,"1,773",null,1A Plan,2020,null,$397,null
3,2,SolHollywood,"Plan 1 Plan, Sol Hollywood",$200/month,Townhouse,https://www.zillow.com/community/sol-hollywood/2080945716_zpid/,New construction,No Data,null,2 spaces,"$1,135,000+",null,"1,647",null,Plan 1 Plan,2020,null,$689,null
4,3,OneLawrenceStation,"Hillsdale Plan, One Lawrence Station",null,Townhouse,https://www.zillow.com/community/one-lawrence-station/2082369564_zpid/,New construction,No Data,null,2 spaces,"$1,392,995+",null,"1,599",null,Hillsdale Plan,2020,null,$871,null
3,3,Santorini,"PLAN 1A Plan, Santorini",null,Townhouse,https://www.zillow.com/community/santorini/2081415622_zpid/,New construction,No Data,null,2 spaces,"$1,341,117+",null,"1,582",null,PLAN 1A Plan,2020,null,$848,null
3,3,SoHayFront,"Plan 7 WLH Plan, SoHay Front",null,Townhouse,https://www.zillow.com/community/sohay-front/2081115938_zpid/,New construction,No Data,null,2 spaces,"$705,990+",null,"1,684",null,Plan 7 WLH Plan,2020,null,$419,null
2,2,FosterSquare,"Residence A- Brixton 1 Plan, Foster Square",null,Townhouse,https://www.zillow.com/community/foster-square/2088246269_zpid/,New construction,No Data,null,No Data,"$1,271,880+",null,"1,627",null,Residence A- Brixton 1 Plan,2020,null,$782,null
4,4,BishopsRidge,"Residence 4 Plan, Bishops Ridge",null,Townhouse,https://www.zillow.com/community/bishops-ridge/2084737780_zpid/,New construction,No Data,null,2 spaces,"$805,950+",null,"1,930",null,Residence 4 Plan,2020,null,$418,null
