Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
3,4,Victorville,"13045 Norfolk Dr, Victorville, CA 92395",$83/month,Single Family,https://www.zillow.com/homedetails/13045-Norfolk-Dr-Victorville-CA-92395/55030153_zpid/,House for sale,"7,200 sqft",7200.0,2 spaces,"$338,000","$1,950/mo","2,438",CA,13045 Norfolk Dr,1991,"$337,865",$139,92395
2,4,Anaheim,"2668 W Baylor Ave, Anaheim, CA 92801",None,Single Family,https://www.zillow.com/homedetails/2668-W-Baylor-Ave-Anaheim-CA-92801/25151617_zpid/,House for sale,"6,176 sqft",6176.0,2 spaces,"$599,900","$3,100/mo","1,543",CA,2668 W Baylor Ave,1958,"$612,085",$389,92801
4,5,Roseville,"4941 Waterstone Dr, Roseville, CA 95747",$354/month,Single Family,https://www.zillow.com/homedetails/4941-Waterstone-Dr-Roseville-CA-95747/63466740_zpid/,House for sale,0.64 acres,27878.4,3 spaces,"$1,250,000","$3,975/mo","4,856",CA,4941 Waterstone Dr,2005,"$1,210,649",$257,95747
2,4,Bakersfield,"6438 New Dawn Ct, Bakersfield, CA 93308",null,Single Family,https://www.zillow.com/homedetails/6438-New-Dawn-Ct-Bakersfield-CA-93308/61356026_zpid/,House for sale,"8,712 sqft",8712.0,3 spaces,"$279,000","$1,650/mo","1,801",CA,6438 New Dawn Ct,2003,"$279,003",$155,93308
2,3,Felton,"339 Fall Creek Dr, Felton, CA 95018",null,Single Family,https://www.zillow.com/homedetails/339-Fall-Creek-Dr-Felton-CA-95018/16152478_zpid/,House for sale,"5,706 sqft",5706.0,Attached Garage,"$650,000","$2,650/mo","1,148",CA,339 Fall Creek Dr,1941,"$737,100",$566,95018
3,4,Riverside,"4073 Cedar St, Riverside, CA 92501",None,Single Family,https://www.zillow.com/homedetails/4073-Cedar-St-Riverside-CA-92501/17841235_zpid/,House for sale,"8,276 sqft",8276.0,On street,"$475,000","$2,195/mo","1,734",CA,4073 Cedar St,1900,"$475,000",$274,92501
3,4,CanyonLake,"31505 Emperor Dr, Canyon Lake, CA 92587",$261/month,Single Family,https://www.zillow.com/homedetails/31505-Emperor-Dr-Canyon-Lake-CA-92587/17931600_zpid/,House for sale,"7,840 sqft",7840.0,3 spaces,"$609,000","$2,500/mo","2,351",CA,31505 Emperor Dr,1989,"$594,766",$259,92587
7,5,Napa,"4227 Big Ranch Rd, Napa, CA",null,Single Family,https://www.zillow.com/homedetails/4227-Big-Ranch-Rd-Napa-CA-94558/19406291_zpid/,New construction,4 acres,174240.0,2 spaces,"$12,000,000","$7,000/mo","6,900",CA,4227 Big Ranch Rd,2020,"$10,958,566","$1,739",null
4,5,SanDiego,"4501 Rhode Island St, San Diego, CA",null,Single Family,https://www.zillow.com/homedetails/4501-Rhode-Island-St-San-Diego-CA-92116/16952623_zpid/,New construction,5.27 acres,229561.2,4 spaces,"$1,999,999","$8,037/mo","3,607",CA,4501 Rhode Island St,2020,"$1,918,382",$554,null
3,3,LosAngeles,"1202 Schick Ave, Los Angeles, CA 90063",null,Single Family,https://www.zillow.com/homedetails/1202-Schick-Ave-Los-Angeles-CA-90063/20647070_zpid/,House for sale,"5,841 sqft",5841.0,2 spaces,"$659,000","$2,963/mo","1,711",CA,1202 Schick Ave,1994,"$665,533",$385,90063
2,3,Oroville,"155 Feathervale Dr, Oroville, CA 95966",null,Single Family,https://www.zillow.com/homedetails/155-Feathervale-Dr-Oroville-CA-95966/66118538_zpid/,For sale by owner,0.94 acres,40946.4,2 spaces,"$249,000",$900/mo,"2,153",CA,155 Feathervale Dr,1977,"$279,121",$116,95966
3,4,DiamondBar,"24412 Rosegate Pl, Diamond Bar, CA 91765",None,Single Family,https://www.zillow.com/homedetails/24412-Rosegate-Pl-Diamond-Bar-CA-91765/21664018_zpid/,House for sale,"9,822 sqft",9822.0,2 spaces,"$799,000","$2,650/mo","2,307",CA,24412 Rosegate Pl,1985,"$747,488",$346,91765
4,4,LosAngeles,"3415 Bonnie Hill Dr, Los Angeles, CA 90068",null,Single Family,https://www.zillow.com/homedetails/3415-Bonnie-Hill-Dr-Los-Angeles-CA-90068/20045078_zpid/,House for sale,0.27 acres,11761.2,3 spaces,"$1,599,000","$6,704/mo","2,770",CA,3415 Bonnie Hill Dr,1950,"$1,599,002",$577,90068
11,6,Chatsworth,"22512 Zaltana St, Chatsworth, CA 91311",$528/month,Single Family,https://www.zillow.com/homedetails/22512-Zaltana-St-Chatsworth-CA-91311/60115131_zpid/,House for sale,2.03 acres,88426.8,5 spaces,"$2,675,000",null,"9,089",CA,22512 Zaltana St,2001,null,$294,91311
2,3,Ventura,"9956 Big Horn St, Ventura, CA 93004",$24/month,Single Family,https://www.zillow.com/homedetails/9956-Big-Horn-St-Ventura-CA-93004/16348811_zpid/,House for sale,"9,509 sqft",9509.0,2 spaces,"$610,000","$2,900/mo","1,223",CA,9956 Big Horn St,1985,"$610,002",$499,93004
2,3,Lenwood,"25667 3rd St, Lenwood, CA 92311",null,Single Family,https://www.zillow.com/homedetails/25667-3rd-St-Lenwood-CA-92311/17452267_zpid/,House for sale,"7,413 sqft",7413.0,2 spaces,"$189,900","$1,400/mo","1,469",CA,25667 3rd St,1992,"$198,160",$129,92311
3,4,PasoRobles,"414 Red River Dr, Paso Robles, CA 93446",None,Single Family,https://www.zillow.com/homedetails/414-Red-River-Dr-Paso-Robles-CA-93446/59396394_zpid/,House for sale,"7,000 sqft",7000.0,3 spaces,"$685,000","$2,900/mo","2,669",CA,414 Red River Dr,2004,"$679,106",$257,93446
2,4,PlumasLake,"2364 Independence Trl, Plumas Lake, CA 95961",null,Single Family,https://www.zillow.com/homedetails/2364-Independence-Trl-Plumas-Lake-CA-95961/63070091_zpid/,House for sale,0.25 acres,10890.0,2 spaces,"$329,900","$1,800/mo","1,621",CA,2364 Independence Trl,2004,"$326,604",$204,95961
2,4,Riverside,"183 Sir Bedivere Dr, Riverside, CA",null,Single Family,https://www.zillow.com/homedetails/183-Sir-Bedivere-Dr-Riverside-CA-92507/83133269_zpid/,New construction,15.32 acres,667339.2,Carport,"$137,400",null,"1,511",CA,183 Sir Bedivere Dr,2020,null,$91,null
2,4,Bakersfield,"9319 Birch Creek Ct, Bakersfield, CA 93312",None,Single Family,https://www.zillow.com/homedetails/9319-Birch-Creek-Ct-Bakersfield-CA-93312/19043755_zpid/,House for sale,0.25 acres,10890.0,2 spaces,"$339,900","$1,799/mo","1,934",CA,9319 Birch Creek Ct,1997,"$339,901",$176,93312
2,3,ElCerrito,"805 Seaview Dr, El Cerrito, CA 94530",null,Single Family,https://www.zillow.com/homedetails/805-Seaview-Dr-El-Cerrito-CA-94530/18527308_zpid/,House for sale,"5,998 sqft",5998.0,1 space,"$729,000","$3,400/mo","1,478",CA,805 Seaview Dr,1942,"$920,351",$493,94530
2,4,Hanford,"2329 Bryce Ct, Hanford, CA 93230",null,Single Family,https://www.zillow.com/homedetails/2329-Bryce-Ct-Hanford-CA-93230/95681829_zpid/,House for sale,"8,276 sqft",8276.0,2 spaces,"$299,000","$1,750/mo","1,711",CA,2329 Bryce Ct,2016,"$284,787",$175,93230
1,1,SanDiego,"3569 Wightman St, San Diego, CA 92104",$250/month,Single Family,https://www.zillow.com/homedetails/3569-Wightman-St-San-Diego-CA-92104/16959924_zpid/,House for sale,"2,178 sqft",2178.0,2 spaces,"$450,000","$2,350/mo",660,CA,3569 Wightman St,1925,"$449,427",$682,92104
2,3,Palmdale,"38368 Maureen St, Palmdale, CA 93550",null,Single Family,https://www.zillow.com/homedetails/38368-Maureen-St-Palmdale-CA-93550/20249100_zpid/,House for sale,"6,098 sqft",6098.0,Attached Garage,"$289,990","$2,100/mo","1,140",CA,38368 Maureen St,1952,"$289,991",$254,93550
3,4,Sacramento,"5024 Trouville Ln, Sacramento, CA 95835",$164/month,Single Family,https://www.zillow.com/homedetails/5024-Trouville-Ln-Sacramento-CA-95835/59376945_zpid/,House for sale,"4,029 sqft",4029.0,2 spaces,"$425,000","$2,200/mo","2,187",CA,5024 Trouville Ln,2003,"$435,967",$194,95835
2,3,Hesperia,"8229 Arcadia Ave, Hesperia, CA 92345",null,Single Family,https://www.zillow.com/homedetails/8229-Arcadia-Ave-Hesperia-CA-92345/17434869_zpid/,House for sale,0.41 acres,17859.6,2 spaces,"$265,400","$1,590/mo","1,789",CA,8229 Arcadia Ave,1980,"$265,400",$148,92345
4,4,Palmdale,"2013 Clearwater Ave, Palmdale, CA 93551",null,Single Family,https://www.zillow.com/homedetails/2013-Clearwater-Ave-Palmdale-CA-93551/20240284_zpid/,House for sale,"6,969 sqft",6969.0,3 spaces,"$379,900","$1,999/mo","1,280",CA,2013 Clearwater Ave,1988,"$379,902",$297,93551
2,3,Pittsburg,"2129 Sugartree Dr, Pittsburg, CA 94565",null,Single Family,https://www.zillow.com/homedetails/2129-Sugartree-Dr-Pittsburg-CA-94565/18330774_zpid/,House for sale,"6,172 sqft",6172.0,2 spaces,"$446,000",null,"1,386",CA,2129 Sugartree Dr,1978,null,$322,94565
3,4,Tustin,"15702 S Myrtle Ave, Tustin, CA 92780",None,Single Family,https://www.zillow.com/homedetails/15702-S-Myrtle-Ave-Tustin-CA-92780/25450091_zpid/,House for sale,"7,270 sqft",7270.0,2 spaces,"$735,000","$3,300/mo","1,775",CA,15702 S Myrtle Ave,1962,"$746,090",$414,92780
2,3,Redding,"21188 Keith Ct, Redding, CA 96003",null,Single Family,https://www.zillow.com/homedetails/21188-Keith-Ct-Redding-CA-96003/59678574_zpid/,House for sale,2.1 acres,91476.0,2 spaces,"$279,900","$1,495/mo","1,824",CA,21188 Keith Ct,2002,"$277,100",$153,96003
4,5,LosAngeles,"3467 Adina Dr, Los Angeles, CA 90068",null,Single Family,https://www.zillow.com/homedetails/3467-Adina-Dr-Los-Angeles-CA-90068/20045126_zpid/,House for sale,0.49 acres,21344.4,5 spaces,"$2,795,000","$9,866/mo","3,518",CA,3467 Adina Dr,1950,"$2,738,987",$794,90068
2,3,Newark,"7352 Birkdale Dr, Newark, CA 94560",null,Single Family,https://www.zillow.com/homedetails/7352-Birkdale-Dr-Newark-CA-94560/24922974_zpid/,House for sale,"8,816 sqft",8816.0,Attached Garage,"$799,000","$3,200/mo","1,196",CA,7352 Birkdale Dr,1963,"$837,047",$668,94560
2,3,Davis,"1215 Pine Ln, Davis, CA 95616",None,Single Family,https://www.zillow.com/homedetails/1215-Pine-Ln-Davis-CA-95616/16520283_zpid/,House for sale,"7,901 sqft",7901.0,3 spaces,"$779,900","$2,751/mo","1,622",CA,1215 Pine Ln,1965,"$716,628",$481,95616
2,3,TwentyninePalms,"73923 Joshua Dr, Twentynine Palms, CA 92277",None,Single Family,https://www.zillow.com/homedetails/73923-Joshua-Dr-Twentynine-Palms-CA-92277/17505557_zpid/,House for sale,"5,702 sqft",5702.0,1 space,"$139,000","$1,200/mo","1,092",CA,73923 Joshua Dr,1980,"$138,512",$127,92277
2,3,RanchoCordova,"2457 Aramon Dr, Rancho Cordova, CA 95670",None,Single Family,https://www.zillow.com/homedetails/2457-Aramon-Dr-Rancho-Cordova-CA-95670/25859523_zpid/,House for sale,"8,228 sqft",8228.0,2 spaces,"$339,000","$1,775/mo","1,172",CA,2457 Aramon Dr,1959,"$349,272",$289,95670
10,7,LaJolla,"1640 La Jolla Rancho Rd, La Jolla, CA 92037",$704/month,Single Family,https://www.zillow.com/homedetails/1640-La-Jolla-Rancho-Rd-La-Jolla-CA-92037/16856426_zpid/,House for sale,1.15 acres,50094.0,8 spaces,"$11,800,000","$43,727/mo","13,575",CA,1640 La Jolla Rancho Rd,2008,"$11,303,723",$869,92037
3,4,Menifee,"28801 Evening Passage Dr, Menifee, CA 92584",None,Single Family,https://www.zillow.com/homedetails/28801-Evening-Passage-Dr-Menifee-CA-92584/69273048_zpid/,House for sale,"8,712 sqft",8712.0,3 spaces,"$395,000","$2,450/mo","3,215",CA,28801 Evening Passage Dr,2006,"$392,799",$123,92584
2,4,Visalia,"2520 N Edison Ct, Visalia, CA 93292",null,Single Family,https://www.zillow.com/homedetails/2520-N-Edison-Ct-Visalia-CA-93292/16235619_zpid/,House for sale,"7,701 sqft",7701.0,2 spaces,"$237,000","$1,575/mo","1,765",CA,2520 N Edison Ct,1981,"$232,195",$134,93292
3,5,Murrieta,"30594 Lily Pond Ln, Murrieta, CA 92563",$49/month,Single Family,https://www.zillow.com/homedetails/30594-Lily-Pond-Ln-Murrieta-CA-92563/63319834_zpid/,House for sale,"7,405 sqft",7405.0,6 spaces,"$552,999","$2,640/mo","3,150",CA,30594 Lily Pond Ln,2002,"$492,137",$176,92563
3,4,ElDoradoHills,"4053 Harlington Cir, El Dorado Hills, CA 95762",$90/month,Single Family,https://www.zillow.com/homedetails/4053-Harlington-Cir-El-Dorado-Hills-CA-95762/18621354_zpid/,House for sale,0.31 acres,13503.6,3 spaces,"$619,500","$2,800/mo","2,334",CA,4053 Harlington Cir,1999,"$619,500",$265,95762
3,5,QuartzHill,"41404 Yancey Ln, Quartz Hill, CA 93536",null,Single Family,https://www.zillow.com/homedetails/41404-Yancey-Ln-Quartz-Hill-CA-93536/20277683_zpid/,House for sale,"9,147 sqft",9147.0,2 spaces,"$499,990","$2,700/mo","3,098",CA,41404 Yancey Ln,1990,"$500,215",$161,93536
4,5,Perris,"2226 Tinder Ct, Perris, CA 92571",None,Single Family,https://www.zillow.com/homedetails/2226-Tinder-Ct-Perris-CA-92571/61295897_zpid/,House for sale,"4,356 sqft",4356.0,2 spaces,"$359,900","$2,150/mo","2,285",CA,2226 Tinder Ct,2003,"$359,995",$158,92571
3,5,Menifee,"27580 Summit St, Menifee, CA 92585",None,Single Family,https://www.zillow.com/homedetails/27580-Summit-St-Menifee-CA-92585/17913882_zpid/,Foreclosure,"7,840 sqft",7840.0,Carport,"$225,000","$1,700/mo","1,755",CA,27580 Summit St,2003,"$221,866",$128,92585
2,4,Madera,"24971 Tropical Dr, Madera, CA 93638",null,Single Family,https://www.zillow.com/homedetails/24971-Tropical-Dr-Madera-CA-93638/2081490290_zpid/,House for sale,1 acre,43560.0,2 spaces,"$335,000",null,"1,664",CA,24971 Tropical Dr,No Data,null,$201,93638
3,5,Nipomo,"1325 La Quinta Dr, Nipomo, CA 93444",None,Single Family,https://www.zillow.com/homedetails/1325-La-Quinta-Dr-Nipomo-CA-93444/15455668_zpid/,House for sale,1 acre,43560.0,3 spaces,"$849,000","$2,550/mo","3,787",CA,1325 La Quinta Dr,1982,"$846,565",$224,93444
2,4,Bakersfield,"4507 Polo View Dr, Bakersfield, CA 93312",null,Single Family,https://www.zillow.com/homedetails/4507-Polo-View-Dr-Bakersfield-CA-93312/19042111_zpid/,House for sale,"10,454 sqft",10454.0,3 spaces,"$430,000","$2,379/mo","2,492",CA,4507 Polo View Dr,1996,"$430,001",$173,93312
2,3,VanNuys,"15948 Wyandotte St, Van Nuys, CA 91406",None,Single Family,https://www.zillow.com/homedetails/15948-Wyandotte-St-Van-Nuys-CA-91406/19954946_zpid/,House for sale,"6,638 sqft",6638.0,2 spaces,"$549,999","$2,800/mo","1,252",CA,15948 Wyandotte St,1953,"$560,099",$439,91406
3,4,LaVerne,"7338 Alta Vis, La Verne, CA 91750",None,Single Family,https://www.zillow.com/homedetails/7338-Alta-Vis-La-Verne-CA-91750/21657299_zpid/,House for sale,0.35 acres,15246.0,3 spaces,"$1,050,000","$3,100/mo","2,421",CA,7338 Alta Vis,1984,"$1,050,005",$434,91750
2,3,Shingletown,"31159 Woodridge Dr, Shingletown, CA 96088",$200/month,Single Family,https://www.zillow.com/homedetails/31159-Woodridge-Dr-Shingletown-CA-96088/15251527_zpid/,House for sale,3 acres,130680.0,2 spaces,"$354,000","$1,500/mo","1,862",CA,31159 Woodridge Dr,1989,"$389,913",$190,96088
3,4,PorterRanch,"18521 Dylan St, Porter Ranch, CA 91326",null,Single Family,https://www.zillow.com/homedetails/18521-Dylan-St-Porter-Ranch-CA-91326/20235682_zpid/,House for sale,0.26 acres,11325.6,2 spaces,"$767,000","$3,500/mo","1,942",CA,18521 Dylan St,1973,"$774,671",$395,91326
5,6,Sacramento,"3701 Clubside Ln, Sacramento, CA 95835",$135/month,Single Family,https://www.zillow.com/homedetails/3701-Clubside-Ln-Sacramento-CA-95835/54915619_zpid/,House for sale,"10,105 sqft",10105.0,3 spaces,"$1,198,000","$3,432/mo","5,389",CA,3701 Clubside Ln,2003,"$1,171,377",$222,95835
2,3,Helendale,"14534 Jamaica Ln, Helendale, CA 92342",$194/month,Single Family,https://www.zillow.com/homedetails/14534-Jamaica-Ln-Helendale-CA-92342/17473566_zpid/,House for sale,"10,001 sqft",10001.0,2 spaces,"$369,000","$1,750/mo","2,031",CA,14534 Jamaica Ln,1989,"$367,635",$182,92342
2,3,Sacramento,"2121 Edith St, Sacramento, CA 95864",None,Single Family,https://www.zillow.com/homedetails/2121-Edith-St-Sacramento-CA-95864/26093868_zpid/,House for sale,"7,000 sqft",7000.0,2 spaces,"$425,000","$2,095/mo","1,606",CA,2121 Edith St,1958,"$437,485",$265,95864
2,3,Rescue,"3681 Four Springs Dr, Rescue, CA 95672",$50/month,Single Family,https://www.zillow.com/homedetails/3681-Four-Springs-Dr-Rescue-CA-95672/54844093_zpid/,House for sale,6.05 acres,263538.0,2 spaces,"$649,000","$2,600/mo","1,855",CA,3681 Four Springs Dr,1989,"$542,544",$350,95672
4,3,Sacramento,"250 Ashwick Loop, Sacramento, CA 95823",$115/month,Single Family,https://www.zillow.com/homedetails/250-Ashwick-Loop-Sacramento-CA-95823/82818261_zpid/,House for sale,"1,598 sqft",1598.0,1 space,"$315,000","$1,800/mo","1,416",CA,250 Ashwick Loop,2008,"$320,422",$222,95823
