Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,2,SanMarcos,"1607 La Madera Ln, San Marcos, CA 92078",$340/month,Multi Family,https://www.zillow.com/homedetails/1607-La-Madera-Ln-San-Marcos-CA-92078/16671315_zpid/,Apartment for sale,null,null,2 spaces,"$410,000","$2,490/mo","1,152",CA,1607 La Madera Ln,1966,"$410,067",$356,92078
2,4,Torrance,"627-629 Sartori Ave, Torrance, CA 90501",null,Multi Family,https://www.zillow.com/homedetails/627-629-Sartori-Ave-Torrance-CA-90501/2080582539_zpid/,Apartment for sale,null,null,No Data,"$825,000",null,--,CA,627-629 Sartori Ave,1926,null,No Data,90501
2,2,Venice,"2316 Ocean Ave, Venice, CA 90291",null,Multi Family,https://www.zillow.com/homedetails/2316-Ocean-Ave-Venice-CA-90291/20444495_zpid/,Apartment for sale,null,null,No Data,"$1,500,000","$3,950/mo",864,CA,2316 Ocean Ave,1921,"$1,500,047","$1,736",90291
3.5,6,Coalinga,"240 E Cedar Ave, Coalinga, CA 93210",null,Multi Family,https://www.zillow.com/homedetails/240-E-Cedar-Ave-Coalinga-CA-93210/82853770_zpid/,Apartment for sale,null,null,3 spaces,"$310,000","$1,100/mo","2,592",CA,240 E Cedar Ave,1965,"$305,540",$120,93210
7,9,SanJose,"1960 Southwest Expy, San Jose, CA 95126",null,Multi Family,https://www.zillow.com/homedetails/1960-Southwest-Expy-San-Jose-CA-95126/153262483_zpid/,Apartment for sale,null,null,4 spaces,"$2,088,000","$2,500/mo","4,339",CA,1960 Southwest Expy,1973,"$2,106,783",$481,95126
--,Studio,Cupertino,"10327 Alpine Dr, Cupertino, CA 95014",null,Multi Family,https://www.zillow.com/homedetails/10327-Alpine-Dr-Cupertino-CA-95014/153300002_zpid/,Apartment for sale,null,null,4 spaces,"$2,868,000","$2,643/mo","5,049",CA,10327 Alpine Dr,1968,"$2,904,234",$568,95014
--,Studio,CastroValley,"2119 Regent Way, Castro Valley, CA 94546",null,Multi Family,https://www.zillow.com/homedetails/2119-Regent-Way-Castro-Valley-CA-94546/24905188_zpid/,Apartment for sale,null,null,No Data,"$899,000","$2,700/mo","1,368",CA,2119 Regent Way,1920,"$963,214",$657,94546
--,5,Porterville,"24 W Belleview Ave, Porterville, CA 93257",null,Multi Family,https://www.zillow.com/homedetails/24-W-Belleview-Ave-Porterville-CA-93257/16291700_zpid/,Apartment for sale,null,null,1 space,"$229,000","$1,109/mo","1,040",CA,24 W Belleview Ave,1920,"$223,862",$220,93257
2,4,SanDiego,"1532 Missouri St #1534, San Diego, CA 92109",null,Multi Family,https://www.zillow.com/homedetails/1532-Missouri-St-1534-San-Diego-CA-92109/2081037736_zpid/,Apartment for sale,null,null,No Data,"$992,900",null,--,CA,1532 Missouri St #1534,1960,null,No Data,92109
4,4,Hesperia,"16531 Vine St, Hesperia, CA 92345",null,Multi Family,https://www.zillow.com/homedetails/16531-Vine-St-Hesperia-CA-92345/17440268_zpid/,Apartment for sale,null,null,4 spaces,"$290,000","$1,150/mo","2,100",CA,16531 Vine St,1980,"$290,001",$138,92345
--,5,Tulare,"257 S H St, Tulare, CA 93274",null,Multi Family,https://www.zillow.com/homedetails/257-S-H-St-Tulare-CA-93274/2086722508_zpid/,Apartment for sale,null,null,No Data,"$375,000",null,"3,526",CA,257 S H St,1908,null,$106,93274
