Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,2,Inglewood,"613 W Queen St APT 1, Inglewood, CA 90301",$250/month,Condo,https://www.zillow.com/homedetails/613-W-Queen-St-APT-1-Inglewood-CA-90301/20334715_zpid/,Condo for sale,null,null,Carport,"$410,000","$2,515/mo","1,018",CA,613 W Queen St APT 1,1970,"$411,893",$403,90301
2,2,LongBeach,"2100 E 2nd St UNIT 503, Long Beach, CA 90803",$280/month,Condo,https://www.zillow.com/homedetails/2100-E-2nd-St-UNIT-503-Long-Beach-CA-90803/21230893_zpid/,Condo for sale,null,null,1 space,"$550,000","$2,450/mo","1,143",CA,2100 E 2nd St UNIT 503,1966,"$550,550",$481,90803
3,3,Blairsden,"108 Poplar Valley Rd, Blairsden, CA 96103",$28/month,Condo,https://www.zillow.com/homedetails/108-Poplar-Valley-Rd-Blairsden-CA-96103/112420445_zpid/,Condo for sale,null,null,2 spaces,"$309,000","$2,195/mo","2,140",CA,108 Poplar Valley Rd,1983,"$290,931",$144,96103
2,2,CathedralCity,"34893 Calle Trujillo, Cathedral City, CA 92234",$470/month,Condo,https://www.zillow.com/homedetails/34893-Calle-Trujillo-Cathedral-City-CA-92234/17746113_zpid/,Condo for sale,null,null,4 spaces,"$159,900","$1,700/mo","1,247",CA,34893 Calle Trujillo,1982,"$155,146",$128,92234
1,1,LongBeach,"3565 Linden Ave UNIT 109, Long Beach, CA 90807",$264/month,Condo,https://www.zillow.com/homedetails/3565-Linden-Ave-UNIT-109-Long-Beach-CA-90807/21162807_zpid/,Condo for sale,null,null,1 space,"$299,990","$1,895/mo",660,CA,3565 Linden Ave UNIT 109,1973,"$299,992",$455,90807
4,4,ChulaVista,"1319 Keck Rd, Chula Vista, CA 91913",$115/month,Condo,https://www.zillow.com/homedetails/1319-Keck-Rd-Chula-Vista-CA-91913/241608939_zpid/,Condo for sale,null,null,2 spaces,"$565,000","$3,100/mo","2,189",CA,1319 Keck Rd,2017,"$536,770",$258,91913
2,2,SantaMonica,"2016 Euclid St APT 6, Santa Monica, CA 90405",$465/month,Condo,https://www.zillow.com/homedetails/2016-Euclid-St-APT-6-Santa-Monica-CA-90405/20480415_zpid/,Condo for sale,null,null,2 spaces,"$869,000","$3,295/mo","1,082",CA,2016 Euclid St APT 6,1977,"$891,363",$803,90405
2,2,WestHollywood,"1411 N Hayworth Ave APT 1, West Hollywood, CA 90046",$322/month,Condo,https://www.zillow.com/homedetails/1411-N-Hayworth-Ave-APT-1-West-Hollywood-CA-90046/20795770_zpid/,Condo for sale,null,null,1 space,"$689,000","$2,650/mo",915,CA,1411 N Hayworth Ave APT 1,1958,"$692,412",$753,90046
2,2,Torrance,"22630 Nadine Cir UNIT B, Torrance, CA 90505",$400/month,Condo,https://www.zillow.com/homedetails/22630-Nadine-Cir-UNIT-B-Torrance-CA-90505/21277211_zpid/,Condo for sale,null,null,1 space,"$395,000","$2,250/mo",950,CA,22630 Nadine Cir UNIT B,1963,"$395,361",$416,90505
1,1,SanJuanCapistrano,"32221 Alipaz St, San Juan Capistrano, CA 92675",$333/month,Condo,https://www.zillow.com/homedetails/32221-Alipaz-St-San-Juan-Capistrano-CA-92675/2080437868_zpid/,Condo for sale,null,null,1 space,"$305,900",null,764,CA,32221 Alipaz St,1979,null,$400,92675
