Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,2,Bakersfield,"1021 Lake St, Bakersfield, CA 93305",null,Multi Family,https://www.zillow.com/homedetails/1021-Lake-St-Bakersfield-CA-93305/18889201_zpid/,Apartment for sale,null,null,No Data,"$325,000",$950/mo,"3,120",CA,1021 Lake St,1980,"$302,402",$104,93305
2,4,LosAngeles,"238 E 102nd St, Los Angeles, CA 90003",null,Multi Family,https://www.zillow.com/homedetails/238-E-102nd-St-Los-Angeles-CA-90003/20966187_zpid/,Apartment for sale,null,null,2 spaces,"$530,000","$2,800/mo","1,560",CA,238 E 102nd St,1950,"$493,068",$340,90003
3,6,Whittier,"6717 Painter Ave, Whittier, CA 90601",None,Multi Family,https://www.zillow.com/homedetails/6717-Painter-Ave-Whittier-CA-90601/50894782_zpid/,Apartment for sale,null,null,4 spaces,"$945,000","$2,000/mo","3,597",CA,6717 Painter Ave,1909,"$945,003",$263,90601
3,4,SanBernardino,"7185 Tippecanoe Ave, San Bernardino, CA 92404",None,Multi Family,https://www.zillow.com/homedetails/7185-Tippecanoe-Ave-San-Bernardino-CA-92404/17358358_zpid/,Apartment for sale,null,null,3 spaces,"$329,500","$1,325/mo","2,159",CA,7185 Tippecanoe Ave,1926,"$330,729",$153,92404
14,27,Fresno,"1305 N 8th St, Fresno, CA 93703",null,Multi Family,https://www.zillow.com/homedetails/1305-N-8th-St-Fresno-CA-93703/2080299352_zpid/,Apartment for sale,null,null,Carport,"$1,375,000",null,"11,728",CA,1305 N 8th St,1985,null,$117,93703
4,6,LongBeach,"28 Argonne Ave, Long Beach, CA 90803",null,Multi Family,https://www.zillow.com/homedetails/28-Argonne-Ave-Long-Beach-CA-90803/21219412_zpid/,Apartment for sale,null,null,2 spaces,"$1,469,000","$2,095/mo","2,646",CA,28 Argonne Ave,1928,"$1,469,011",$555,90803
4,6,Oakland,"933 Apgar St, Oakland, CA 94608",null,Multi Family,https://www.zillow.com/homedetails/933-Apgar-St-Oakland-CA-94608/24748418_zpid/,Apartment for sale,null,null,5 spaces,"$1,399,000",null,"3,312",CA,933 Apgar St,1908,null,$422,94608
--,Studio,SantaMonica,"153 San Vicente Blvd, Santa Monica, CA 90402",null,Multi Family,https://www.zillow.com/homedetails/153-San-Vicente-Blvd-Santa-Monica-CA-90402/2102163467_zpid/,Apartment for sale,null,null,Attached Garage,"$32,995,000","$2,295/mo","44,199",CA,153 San Vicente Blvd,1967,"$30,438,192",$747,90402
2,3,SanDiego,"2027 2029 Market St, San Diego, CA 92102",None,Multi Family,https://www.zillow.com/homedetails/2027-2029-Market-St-San-Diego-CA-92102/2080753232_zpid/,Apartment for sale,null,null,1 space,"$617,900",null,976,CA,2027 2029 Market St,1912,null,$633,92102
3,6,Lompoc,"517 N L St, Lompoc, CA 93436",null,Multi Family,https://www.zillow.com/homedetails/517-N-L-St-Lompoc-CA-93436/15922031_zpid/,Apartment for sale,null,null,5 spaces,"$479,000","$1,500/mo","2,700",CA,517 N L St,No Data,"$479,003",$177,93436
3,6,LosAngeles,"711 Euclid Ave, Los Angeles, CA 90023",None,Multi Family,https://www.zillow.com/homedetails/711-Euclid-Ave-Los-Angeles-CA-90023/20633225_zpid/,Apartment for sale,null,null,No Data,"$588,888","$2,400/mo","2,533",CA,711 Euclid Ave,1915,"$688,235",$232,90023
2,4,Newark,"7435 Wells Ave, Newark, CA 94560",null,Multi Family,https://www.zillow.com/homedetails/7435-Wells-Ave-Newark-CA-94560/24921819_zpid/,Apartment for sale,null,null,2 spaces,"$1,048,000","$2,995/mo","1,634",CA,7435 Wells Ave,1973,"$1,101,889",$641,94560
5,6,MidwayCity,"14931 Monroe St, Midway City, CA 92655",None,Multi Family,https://www.zillow.com/homedetails/14931-Monroe-St-Midway-City-CA-92655/25182531_zpid/,Apartment for sale,null,null,4 spaces,"$899,900","$3,500/mo","2,522",CA,14931 Monroe St,1956,"$899,907",$357,92655
--,4,Carmichael,"4219 Casa Blanca Ln, Carmichael, CA 95608",None,Multi Family,https://www.zillow.com/homedetails/4219-Casa-Blanca-Ln-Carmichael-CA-95608/26028974_zpid/,Apartment for sale,null,null,4 spaces,"$387,500","$1,585/mo","2,168",CA,4219 Casa Blanca Ln,1976,"$395,473",$179,95608
3,7,Ridgecrest,"209 W French Ave, Ridgecrest, CA 93555",null,Multi Family,https://www.zillow.com/homedetails/209-W-French-Ave-Ridgecrest-CA-93555/81862528_zpid/,Apartment for sale,null,null,No Data,"$235,000",$900/mo,"2,961",CA,209 W French Ave,1952,"$235,000",$79,93555
2,3,Beaumont,"684 Allegheny St, Beaumont, CA 92223",null,Multi Family,https://www.zillow.com/homedetails/684-Allegheny-St-Beaumont-CA-92223/17961323_zpid/,Apartment for sale,null,null,2 spaces,"$299,000","$1,350/mo","1,265",CA,684 Allegheny St,1950,"$299,002",$236,92223
3,3,Riverside,"3448 Fairmount Blvd, Riverside, CA 92501",null,Multi Family,https://www.zillow.com/homedetails/3448-Fairmount-Blvd-Riverside-CA-92501/2086585258_zpid/,Apartment for sale,null,null,Off street,"$500,000","$1,000/mo","1,344",CA,3448 Fairmount Blvd,1928,"$500,001",$372,92501
--,6,Inglewood,"9126 Crenshaw Blvd, Inglewood, CA 90305",null,Multi Family,https://www.zillow.com/homedetails/9126-Crenshaw-Blvd-Inglewood-CA-90305/20340911_zpid/,Apartment for sale,null,null,2 spaces,"$725,000","$2,895/mo","1,969",CA,9126 Crenshaw Blvd,1943,"$729,452",$368,90305
2,2,LosAngeles,"1617 5th Ave, Los Angeles, CA 90019",null,Multi Family,https://www.zillow.com/homedetails/1617-5th-Ave-Los-Angeles-CA-90019/20602388_zpid/,Apartment for sale,null,null,4 spaces,"$875,000","$3,250/mo","1,732",CA,1617 5th Ave,1922,"$900,391",$505,90019
--,Studio,Bakersfield,"1514 Mount Vernon Ave, Bakersfield, CA 93306",null,Multi Family,https://www.zillow.com/homedetails/1514-Mount-Vernon-Ave-Bakersfield-CA-93306/18936109_zpid/,Apartment for sale,null,null,No Data,"$250,000",$800/mo,"2,146",CA,1514 Mount Vernon Ave,1970,"$249,998",$116,93306
4,5,Pacoima,"13860 Daventry St, Pacoima, CA 91331",None,Multi Family,https://www.zillow.com/homedetails/13860-Daventry-St-Pacoima-CA-91331/20114754_zpid/,For sale by owner,null,null,4 spaces,"$749,900","$2,690/mo","1,924",CA,13860 Daventry St,1955,"$523,830",$390,91331
