City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,4 Beds,1 Bed,5 Beds
Sunnyvale,Townhomes,CA,94087,"[{'bedroom_type': '2 Beds', 'price': '$3,15'}]","Sunnyvale, CA 94087",https://www.apartments.com/689-crescent-ave-sunnyvale-ca/24dtbjc/,1½ BAs,"1,184 Sq Ft","1,184",12 Month Lease,Available Now,,"$3,15",,,
Los Gatos,Townhomes,CA,95032,"[{'bedroom_type': '4 Beds', 'price': '$4,25'}]","Los Gatos, CA 95032",https://www.apartments.com/116-pine-wood-ln-los-gatos-ca/j90x6h7/,2½ BAs,"1,831 Sq Ft","1,831",12 Month Lease,Available Now,,,"$4,25",,
San Francisco,Townhomes,CA,94107,"[{'bedroom_type': '3 Beds', 'price': '$3,90'}]","San Francisco, CA 94107",https://www.apartments.com/23-blair-ter-san-francisco-ca/g33q8qy/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$3,90",,,,
Los Angeles,Townhomes,CA,90046,"[{'bedroom_type': '1 Bed', 'price': '$3,00'}]","807 N Curson Ave, Los Angeles, CA 90046",https://www.apartments.com/807-n-curson-ave-los-angeles-ca/5gmhtzm/,1 BA,710 Sq Ft,710,12 Month Lease,Oct 14,,,,"$3,00",
Santa Clara,Townhomes,CA,95050,"[{'bedroom_type': '2 Beds', 'price': '$2,99'}]","Santa Clara, CA 95050",https://www.apartments.com/852-n-winchester-blvd-santa-clara-ca/9qnpgs7/,2 BAs,"1,100 Sq Ft","1,100",,Available Now,,"$2,99",,,
Palo Alto,Townhomes,CA,94301,"[{'bedroom_type': '3 Beds', 'price': '$5,65'}]","Palo Alto, CA 94301",https://www.apartments.com/223-ramona-st-palo-alto-ca/rxlyrc0/,3 BAs,"1,100 Sq Ft","1,100",,Available Now,"$5,65",,,,
Agoura Hills,Townhomes,CA,91377,"[{'bedroom_type': '2 Beds', 'price': '$2,80'}]","Agoura Hills, CA 91377",https://www.apartments.com/513-water-oak-ln-agoura-hills-ca/f00ld4r/,2½ BAs,"1,204 Sq Ft","1,204",12 Month Lease,Available Now,,"$2,80",,,
Los Angeles,Townhomes,CA,91331,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","Los Angeles, CA 91331",https://www.apartments.com/12411-osborne-st-los-angeles-ca/ps5f13r/,1½ BAs,"1,100 Sq Ft","1,100",18 Month Lease,Available Now,,"$2,20",,,
Milpitas,Townhomes,CA,95035,"[{'bedroom_type': '1 Bed', 'price': '$1,39'}]","Milpitas, CA 95035",https://www.apartments.com/1780-s-main-st-milpitas-ca/e1b4t2n/,1 BA,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,,"$1,39",
San Francisco,Townhomes,CA,94107,"[{'bedroom_type': '3 Beds', 'price': '$4,99'}]","San Francisco, CA 94107",https://www.apartments.com/26-jennifer-pl-san-francisco-ca/xr2byen/,2 BAs,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,"$4,99",,,,
