City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,4 Beds,1 Bed,5 Beds
South Gate,Townhomes,CA,90280,"[{'bedroom_type': '2 Beds', 'price': '$2,58'}]","South Gate, CA 90280",https://www.apartments.com/9552-karmont-ave-south-gate-ca/9ssn766/,2½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Nov 7,,"$2,58",,,
Sunnyvale,Townhomes,CA,94085,"[{'bedroom_type': '4 Beds', 'price': '$4,92'}]","Sunnyvale, CA 94085",https://www.apartments.com/308-santa-diana-ter-sunnyvale-ca/clp2pvf/,3½ BAs,"1,815 Sq Ft","1,815",12 Month Lease,Available Now,,,"$4,92",,
Buena Park,Townhomes,CA,90620,"[{'bedroom_type': '2 Beds', 'price': '$1,99'}]","Buena Park, CA 90620",https://www.apartments.com/6941-houston-st-buena-park-ca/bmg175c/,1½ BAs,"1,020 Sq Ft","1,020",12 Month Lease,Available Now,,"$1,99",,,
Lomita,Townhomes,CA,90717,"[{'bedroom_type': '3 Beds', 'price': '$3,40'}]","Lomita, CA 90717",https://www.apartments.com/2012-bella-ln-lomita-ca/jp1rjb5/,2½ BAs,"1,776 Sq Ft","1,776",12 Month Lease,Available Now,"$3,40",,,,
San Jose,Townhomes,CA,95121,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","San Jose, CA 95121",https://www.apartments.com/3545-squirecreek-cir-san-jose-ca/cmehytd/,2½ BAs,"1,400 Sq Ft","1,400",,Available Now,"$3,00",,,,
Los Angeles,Townhomes,CA,90022,"[{'bedroom_type': '4 Beds', 'price': '$3,19'}]","Los Angeles, CA 90022",https://www.apartments.com/459-s-ford-blvd-los-angeles-ca/scebj47/,3 BAs,"1,350 Sq Ft","1,350",12 Month Lease,Oct 15,,,"$3,19",,
Sunnyvale,Townhomes,CA,94085,"[{'bedroom_type': '2 Beds', 'price': '$2,35'}]","Sunnyvale, CA 94085",https://www.apartments.com/813-san-pier-ct-sunnyvale-ca/tlnmmdb/,1 BA,900 Sq Ft,900,9 Month Lease,Available Now,,"$2,35",,,
Los Angeles,Townhomes,CA,90029,"[{'bedroom_type': '3 Beds', 'price': '$3,20'}]","Los Angeles, CA 90029",https://www.apartments.com/972-n-normandie-ave-los-angeles-ca/2g2sxf8/,2 BAs,"1,070 Sq Ft","1,070",,Available Now,"$3,20",,,,
Milpitas,Townhomes,CA,95035,"[{'bedroom_type': '3 Beds', 'price': '$3,77'}]","Milpitas, CA 95035",https://www.apartments.com/370-montecito-way-milpitas-ca/745n3nx/,2½ BAs,"1,375 Sq Ft","1,375",12 Month Lease,Nov 3,"$3,77",,,,
Los Angeles,Townhomes,CA,90007,"[{'bedroom_type': '3 Beds', 'price': '$2,44'}]","Los Angeles, CA 90007",https://www.apartments.com/1967-raymond-ave-los-angeles-ca/660lmsv/,2 BAs,"1,163 Sq Ft","1,163",12 Month Lease,Available Now,"$2,44",,,,
Los Angeles,Townhomes,CA,90018,"[{'bedroom_type': '4 Beds', 'price': '$3,79'}]","Los Angeles, CA 90018",https://www.apartments.com/2631-s-la-salle-ave-los-angeles-ca/c472cqg/,3½ BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,,,"$3,79",,
Encino,Townhomes,CA,91436,"[{'bedroom_type': '2 Beds', 'price': '$2,77'}]","4735 Gloria Ave, Encino, CA 91436",https://www.apartments.com/4735-gloria-ave-encino-ca/8hrrpy2/,2½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Oct 5,,"$2,77",,,
Los Angeles,Townhomes,CA,90049,"[{'bedroom_type': '2 Beds', 'price': '$3,29'}]","11630 Chenault St, Los Angeles, CA 90049",https://www.apartments.com/11630-chenault-st-los-angeles-ca/02vq642/,2½ BAs,"1,000 Sq Ft","1,000",,Available Now,,"$3,29",,,
Los Angeles,Townhomes,CA,90037,"[{'bedroom_type': '3 Beds', 'price': '$3,29'}]","Los Angeles, CA 90037",https://www.apartments.com/1116-w-39th-pl-los-angeles-ca/fshx6bt/,3 BAs,"1,376 Sq Ft","1,376",12 Month Lease,Available Now,"$3,29",,,,
Los Angeles,Townhomes,CA,90037,"[{'bedroom_type': '3 Beds', 'price': '$3,19'}]","Los Angeles, CA 90037",https://www.apartments.com/1118-w-39th-pl-los-angeles-ca/k28j1x9/,3 BAs,"1,376 Sq Ft","1,376",,Available Now,"$3,19",,,,
Los Angeles,Townhomes,CA,90037,"[{'bedroom_type': '3 Beds', 'price': '$3,59'}]","Los Angeles, CA 90037",https://www.apartments.com/1197-browning-blvd-los-angeles-ca/0bpwr82/,3½ BAs,"1,400 Sq Ft","1,400",,Available Now,"$3,59",,,,
Pleasant Hill,Townhomes,CA,94523,"[{'bedroom_type': '3 Beds', 'price': '$3,35'}]","Pleasant Hill, CA 94523",https://www.apartments.com/371-scottsdale-rd-pleasant-hill-ca/vm23qqg/,2½ BAs,"1,365 Sq Ft","1,365",12 Month Lease,Available Now,"$3,35",,,,
Hermosa Beach,Townhomes,CA,90254,"[{'bedroom_type': '3 Beds', 'price': '$7,25'}]","Hermosa Beach, CA 90254",https://www.apartments.com/1107-loma-dr-hermosa-beach-ca/fphmg5r/,2½ BAs,"1,800 Sq Ft","1,800",1 Month Lease,Available Now,"$7,25",,,,
Hermosa Beach,Townhomes,CA,90254,"[{'bedroom_type': '3 Beds', 'price': '$10,50'}]","918 Monterey Blvd, Hermosa Beach, CA 90254",https://www.apartments.com/918-monterey-blvd-hermosa-beach-ca/pfldzhv/,3½ BAs,"2,000 Sq Ft","2,000",1 Month Lease,Available Now,"$10,50",,,,
San Jose,Townhomes,CA,95126,"[{'bedroom_type': '4 Beds', 'price': '$3,39'}]","San Jose, CA 95126",https://www.apartments.com/217-kentdale-pl-san-jose-ca/f899htr/,2½ BAs,"1,581 Sq Ft","1,581",12 Month Lease,Available Now,,,"$3,39",,
Milpitas,Townhomes,CA,95035,"[{'bedroom_type': '2 Beds', 'price': '$3,30'}]","Milpitas, CA 95035",https://www.apartments.com/398-expedition-ln-milpitas-ca/l7j2v4e/,2½ BAs,"1,510 Sq Ft","1,510",,Available Now,,"$3,30",,,
Saratoga,Townhomes,CA,95070,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","Saratoga, CA 95070",https://www.apartments.com/18875-biarritz-ln-saratoga-ca/y1g40yv/,2½ BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,"$4,50",,,,
Hermosa Beach,Townhomes,CA,90254,"[{'bedroom_type': '4 Beds', 'price': '$6,10'}]","654 9th St, Hermosa Beach, CA 90254",https://www.apartments.com/654-9th-st-hermosa-beach-ca/t0nd379/,3½ BAs,"2,500 Sq Ft","2,500",12 Month Lease,Available Now,,,"$6,10",,
Upland,Townhomes,CA,91786,"[{'bedroom_type': '3 Beds', 'price': '$2,40'}]","Upland, CA 91786",https://www.apartments.com/1488-amsterdam-ct-upland-ca/nrvb2kq/,2½ BAs,"1,670 Sq Ft","1,670",12 Month Lease,Available Now,"$2,40",,,,
Mountain View,Townhomes,CA,94041,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","Mountain View, CA 94041",https://www.apartments.com/482-kahlo-st-mountain-view-ca/6mx27qs/,3½ BAs,"1,637 Sq Ft","1,637",12 Month Lease,Available Now,"$4,50",,,,
San Diego,Townhomes,CA,92103,"[{'bedroom_type': '2 Beds', 'price': '$3,19'}]","San Diego, CA 92103",https://www.apartments.com/3785-dove-st-san-diego-ca/h1wncg1/,1½ BAs,"1,400 Sq Ft","1,400",12 Month Lease,Oct 31,,"$3,19",,,
San Pedro,Townhomes,CA,90731,"[{'bedroom_type': '3 Beds', 'price': '$2,95'}]","530 W 14th St, San Pedro, CA 90731",https://www.apartments.com/530-w-14th-st-san-pedro-ca/nvtj92q/,3 BAs,"2,000 Sq Ft","2,000",,Available Now,"$2,95",,,,
Los Angeles,Townhomes,CA,90005,"[{'bedroom_type': '1 Bed', 'price': '$2,50'}]","812 S Norton Ave, Los Angeles, CA 90005",https://www.apartments.com/812-s-norton-ave-los-angeles-ca/pdxvmrs/,1 BA,650 Sq Ft,650,3 Month Lease,Oct 31,,,,"$2,50",
Redondo Beach,Townhomes,CA,90278,"[{'bedroom_type': '4 Beds', 'price': '$3,25'}]","Redondo Beach, CA 90278",https://www.apartments.com/1821-armour-ln-redondo-beach-ca/hg6msf3/,2 BAs,"1,518 Sq Ft","1,518",,Available Now,,,"$3,25",,
Campbell,Townhomes,CA,95008,"[{'bedroom_type': '3 Beds', 'price': '$4,99'}]","Campbell, CA 95008",https://www.apartments.com/225-railway-ave-campbell-ca/v81fbhg/,2½ BAs,"2,009 Sq Ft","2,009",,Available Now,"$4,99",,,,
Beverly Hills,Townhomes,CA,90212,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","Beverly Hills, CA 90212",https://www.apartments.com/439-s-palm-dr-beverly-hills-ca/ss986r6/,1½ BAs,"2,000 Sq Ft","2,000",,Available Now,,"$3,50",,,
Walnut Creek,Townhomes,CA,94598,"[{'bedroom_type': '2 Beds', 'price': '$3,77'}]","Walnut Creek, CA 94598",https://www.apartments.com/1938-stratton-cir-walnut-creek-ca/9sx9b05/,2½ BAs,"1,780 Sq Ft","1,780",10 Month Lease,Oct 5,,"$3,77",,,
Westminster,Townhomes,CA,92683,"[{'bedroom_type': '4 Beds', 'price': '$4,00'}]","Westminster, CA 92683",https://www.apartments.com/5191-victoria-pl-westminster-ca/jcrd776/,2½ BAs,"1,799 Sq Ft","1,799",12 Month Lease,Available Now,,,"$4,00",,
Los Angeles,Townhomes,CA,90068,"[{'bedroom_type': '2 Beds', 'price': '$3,25'}]","2040 N Highland Ave, Los Angeles, CA 90068",https://www.apartments.com/2040-n-highland-ave-los-angeles-ca/3nfl7mg/,1½ BAs,100 Sq Ft,100,12 Month Lease,Available Now,,"$3,25",,,
Tarzana,Townhomes,CA,91356,"[{'bedroom_type': '3 Beds', 'price': '$2,89'}]","18319 Collins St, Tarzana, CA 91356",https://www.apartments.com/18319-collins-st-tarzana-ca/3g98fff/,2½ BAs,"1,650 Sq Ft","1,650",,Available Now,"$2,89",,,,
Los Angeles,Townhomes,CA,90024,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","10720 Ohio Ave, Los Angeles, CA 90024",https://www.apartments.com/10720-ohio-ave-los-angeles-ca/cd00nye/,3 BAs,"1,534 Sq Ft","1,534",,Nov 30,"$4,50",,,,
