City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,3 Beds,Studio,2 – 3 Beds,Studio – 2 Beds,1 – 2 Beds
West Hollywood,Condos,CA,90069,"[{'bedroom_type': '2 Beds', 'price': '$3,30'}]","West Hollywood, CA 90069",https://www.apartments.com/1203-n-sweetzer-ave-west-hollywood-ca-unit-302/f649e7r/,2 BAs,"1,150 Sq Ft","1,150",12 Month Lease,Available Now,"$3,30",,,,,,
Santa Monica,Condos,CA,90403,"[{'bedroom_type': '3 Beds', 'price': '$5,20'}]","Santa Monica, CA 90403",https://www.apartments.com/945-21st-st-santa-monica-ca/egbn1bm/,2½ BAs,"1,406 Sq Ft","1,406",12 Month Lease,Available Now,,,"$5,20",,,,
Santa Monica,Condos,CA,90404,"[{'bedroom_type': 'Studio', 'price': '$1,57'}]","Santa Monica, CA 90404",https://www.apartments.com/1434-santa-monica-blvd-santa-monica-ca/g3krwwy/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,,,"$1,57",,,
Santa Monica,Condos,CA,90405,"[{'bedroom_type': '2 Beds', 'price': '$3,79'}]","Santa Monica, CA 90405",https://www.apartments.com/2622-21st-st-santa-monica-ca/7evs3bz/,1 BA,800 Sq Ft,800,12 Month Lease,Oct 20,"$3,79",,,,,,
Los Angeles,Condos,CA,90012,"[{'bedroom_type': '1 Bed', 'price': '$3,73'}]","Los Angeles, CA 90012",https://www.apartments.com/950-e-3rd-st-los-angeles-ca/2dgpny8/,1 BA,780 Sq Ft,780,,Oct 14,,"$3,73",,,,,
San Francisco,Condos,CA,94102,"[{'bedroom_type': 'Studio', 'price': '$3,78'}]","San Francisco, CA 94102",https://www.apartments.com/325-octavia-st-san-francisco-ca/gxsbb7x/,1 BA,467 Sq Ft,467,,Oct 30,,,,"$3,78",,,
Buena Park,Condos,CA,90621,"[{'bedroom_type': '2 Beds', 'price': '$1,75'}]","7361 Artesia Blvd, Buena Park, CA 90621",https://www.apartments.com/7361-artesia-blvd-buena-park-ca/vcftedd/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,"$1,75",,,,,,
Los Angeles,Condos,CA,90014,"[{'bedroom_type': 'Studio', 'price': '$1,90'}]","738 S Los Angeles St, Los Angeles, CA 90014",https://www.apartments.com/738-s-los-angeles-st-los-angeles-ca-unit-202/c5n9c4d/,1 BA,820 Sq Ft,820,12 Month Lease,Available Now,,,,"$1,90",,,
Los Angeles,Condos,CA,90068,"[{'bedroom_type': '2 Beds', 'price': '$2,19'}]","Los Angeles, CA 90068",https://www.apartments.com/3325-primera-ave-los-angeles-ca/70bejzz/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,19",,,,,,
Los Angeles,Condos,CA,90042,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","Los Angeles, CA 90042",https://www.apartments.com/5818-fayette-st-los-angeles-ca/d48h8qh/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$2,30",,,,,,
Los Angeles,Condos,CA,90066,"[{'bedroom_type': '1 Bed', 'price': '$1,99'}]","Los Angeles, CA 90066",https://www.apartments.com/12621-mitchell-ave-los-angeles-ca/t7p21h8/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,"$1,99",,,,,
Glendale,Condos,CA,91202,"[{'bedroom_type': '2 Beds', 'price': '$2,10'}]","Glendale, CA 91202",https://www.apartments.com/420-w-stocker-st-glendale-ca/blde94b/,1 BA,750 Sq Ft,750,12 Month Lease,Oct 17,"$2,10",,,,,,
Santa Monica,Condos,CA,90405,"[{'bedroom_type': '1 Bed', 'price': '$2,49'}]","2725 4th St, Santa Monica, CA 90405",https://www.apartments.com/2725-4th-st-santa-monica-ca/t574c7c/,1 BA,650 Sq Ft,650,13 Month Lease,Oct 15,,"$2,49",,,,,
Santa Monica,Condos,CA,90403,"[{'bedroom_type': 'Studio – 2 Beds', 'price': '$2,095'}]","Santa Monica, CA 90403",https://www.apartments.com/807-3rd-st-santa-monica-ca/3xrf78f/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,,,,"$2,095",
Los Angeles,Condos,CA,91604,"[{'bedroom_type': '2 Beds', 'price': '$2,90'}]","Los Angeles, CA 91604",https://www.apartments.com/12115-valleyheart-dr-los-angeles-ca-unit-3/fb95ejr/,2½ BAs,"1,360 Sq Ft","1,360",12 Month Lease,Available Now,"$2,90",,,,,,
Beverly Hills,Condos,CA,90211,"[{'bedroom_type': '3 Beds', 'price': '$5,19'}]","244 N Almont Dr, Beverly Hills, CA 90211",https://www.apartments.com/244-n-almont-dr-beverly-hills-ca/yy074xs/,2½ BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,,"$5,19",,,,
Valley Village,Condos,CA,91607,"[{'bedroom_type': '1 – 2 Beds', 'price': '$1,675'}]","Valley Village, CA 91607",https://www.apartments.com/12127-la-maida-st-valley-village-ca/phcf6xt/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,,,,,,"$1,675"
Los Angeles,Condos,CA,90291,"[{'bedroom_type': '1 Bed', 'price': '$2,90'}]","413 Westminster Ave, Los Angeles, CA 90291",https://www.apartments.com/413-westminster-ave-los-angeles-ca/bdbydt8/,1 BA,550 Sq Ft,550,12 Month Lease,Oct 6,,"$2,90",,,,,
Los Angeles,Condos,CA,90272,"[{'bedroom_type': '2 Beds', 'price': '$5,95'}]","Los Angeles, CA 90272",https://www.apartments.com/17366-sunset-blvd-los-angeles-ca-unit-205b/cktj2hg/,2 BAs,"1,463 Sq Ft","1,463",12 Month Lease,Nov 1,"$5,95",,,,,,
Los Angeles,Condos,CA,90004,"[{'bedroom_type': '1 Bed', 'price': '$2,50'}]","532 N Rossmore Ave, Los Angeles, CA 90004",https://www.apartments.com/532-n-rossmore-ave-los-angeles-ca-unit-210/2001zrb/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,"$2,50",,,,,
Los Angeles,Condos,CA,90066,"[{'bedroom_type': '1 Bed', 'price': '$2,20'}]","11355 Washington Pl, Los Angeles, CA 90066",https://www.apartments.com/11355-washington-pl-los-angeles-ca/2hr7r48/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,"$2,20",,,,,
West Hollywood,Condos,CA,90069,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","West Hollywood, CA 90069",https://www.apartments.com/866-hilldale-ave-west-hollywood-ca/tyx95db/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$3,50",,,,,,
Los Angeles,Condos,CA,90026,"[{'bedroom_type': '1 Bed', 'price': '$1,29'}]","Los Angeles, CA 90026",https://www.apartments.com/323-n-coronado-st-los-angeles-ca/p2cj8nt/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,"$1,29",,,,,
Beverly Hills,Condos,CA,90212,"[{'bedroom_type': '2 Beds', 'price': '$2,65'}]","436 S Oakhurst Dr, Beverly Hills, CA 90212",https://www.apartments.com/436-s-oakhurst-dr-beverly-hills-ca/ky0qv79/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,65",,,,,,
Los Angeles,Condos,CA,90036,"[{'bedroom_type': '2 Beds', 'price': '$2,29'}]","Los Angeles, CA 90036",https://www.apartments.com/731-s-detroit-st-los-angeles-ca/4gp5l1l/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,29",,,,,,
Los Angeles,Condos,CA,90064,"[{'bedroom_type': '2 Beds', 'price': '$2,75'}]","10884 National Blvd, Los Angeles, CA 90064",https://www.apartments.com/10884-national-blvd-los-angeles-ca/9mmxfq4/,1½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Oct 11,"$2,75",,,,,,
Los Angeles,Condos,CA,90035,"[{'bedroom_type': '2 Beds', 'price': '$2,69'}]","Los Angeles, CA 90035",https://www.apartments.com/6064-cashio-st-los-angeles-ca/qv88qfz/,1 BA,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,"$2,69",,,,,,
Santa Monica,Condos,CA,90403,"[{'bedroom_type': '3 Beds', 'price': '$8,50'}]","Santa Monica, CA 90403",https://www.apartments.com/837-15th-st-santa-monica-ca-unit-a/bk1n8fb/,2½ BAs,"1,685 Sq Ft","1,685",12 Month Lease,Available Now,,,"$8,50",,,,
Los Angeles,Condos,CA,90024,"[{'bedroom_type': '2 Beds', 'price': '$2,89'}]","Los Angeles, CA 90024",https://www.apartments.com/1730-glendon-ave-los-angeles-ca/v1zfj9d/,2 BAs,"1,000 Sq Ft","1,000",9 Month Lease,Available Now,"$2,89",,,,,,
Santa Monica,Condos,CA,90404,"[{'bedroom_type': '3 Beds', 'price': '$3,950'}]","Santa Monica, CA 90404",https://www.apartments.com/1223-20th-st-santa-monica-ca/wwg4tsl/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,,"$3,950",,,,
Los Angeles,Condos,CA,90068,"[{'bedroom_type': '1 Bed', 'price': '$1,59'}]","Los Angeles, CA 90068",https://www.apartments.com/1950-argyle-ave-los-angeles-ca/52c8xfn/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,"$1,59",,,,,
Los Angeles,Condos,CA,90034,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","3747 Westwood Blvd, Los Angeles, CA 90034",https://www.apartments.com/3747-westwood-blvd-los-angeles-ca/cjy9bmf/,1½ BAs,800 Sq Ft,800,12 Month Lease,Nov 1,"$2,40",,,,,,
Los Angeles,Condos,CA,90036,"[{'bedroom_type': '2 Beds', 'price': '$2,75'}]","532 N Vista St, Los Angeles, CA 90036",https://www.apartments.com/532-n-vista-st-los-angeles-ca/96dhtx7/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,75",,,,,,
Santa Monica,Condos,CA,90405,"[{'bedroom_type': '1 Bed', 'price': '$2,90'}]","2233 4th St, Santa Monica, CA 90405",https://www.apartments.com/2233-4th-st-santa-monica-ca-unit-1/fehhq4v/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$2,90",,,,,
Santa Monica,Condos,CA,90404,"[{'bedroom_type': '2 Beds', 'price': '$2,85'}]","Santa Monica, CA 90404",https://www.apartments.com/1811-19th-st-santa-monica-ca/41rl1bk/,1 BA,890 Sq Ft,890,12 Month Lease,Available Now,"$2,85",,,,,,
West Hollywood,Condos,CA,90069,"[{'bedroom_type': '2 Beds', 'price': '$3,20'}]","812 N Alfred St, West Hollywood, CA 90069",https://www.apartments.com/812-n-alfred-st-west-hollywood-ca/22p6e09/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$3,20",,,,,,
Los Angeles,Condos,CA,90068,"[{'bedroom_type': '1 Bed', 'price': '$1,39'}]","Los Angeles, CA 90068",https://www.apartments.com/1930-cheremoya-ave-los-angeles-ca/3znrc5e/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,"$1,39",,,,,
Los Angeles,Condos,CA,90049,"[{'bedroom_type': '2 Beds', 'price': '$2,49'}]","Los Angeles, CA 90049",https://www.apartments.com/1221-amherst-ave-los-angeles-ca/s4fgj65/,2 BAs,900 Sq Ft,900,12 Month Lease,Available Now,"$2,49",,,,,,
Santa Monica,Condos,CA,90403,"[{'bedroom_type': '2 Beds', 'price': '$5,80'}]","Santa Monica, CA 90403",https://www.apartments.com/932-7th-st-santa-monica-ca/qbcs02w/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Oct 9,"$5,80",,,,,,
