City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,3 Beds,Studio,2 – 3 Beds,Studio – 2 Beds,1 – 2 Beds
Pasadena,Condos,CA,91101,"[{'bedroom_type': '2 Beds', 'price': '$2,65'}]","Pasadena, CA 91101",https://www.apartments.com/384-s-oakland-ave-pasadena-ca-unit-384/19vp9s7/,2 BAs,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,"$2,65",,,,,,
San Diego,Condos,CA,92101,"[{'bedroom_type': '2 Beds', 'price': '$5,45'}]","San Diego, CA 92101",https://www.apartments.com/1388-kettner-blvd-san-diego-ca-unit-501/5ffbe1m/,2 BAs,"1,445 Sq Ft","1,445",12 Month Lease,Available Now,"$5,45",,,,,,
Los Angeles,Condos,CA,90024,"[{'bedroom_type': '1 Bed', 'price': '$3,50'}]","Los Angeles, CA 90024",https://www.apartments.com/10501-wilshire-blvd-los-angeles-ca-unit-1/rgnfly3/,2 BAs,950 Sq Ft,950,12 Month Lease,Available Now,,"$3,50",,,,,
North Hollywood,Condos,CA,91605,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","North Hollywood, CA 91605",https://www.apartments.com/11912-hart-st-north-hollywood-ca/sh30z35/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$2,00",,,,,,
Burbank,Condos,CA,91502,"[{'bedroom_type': '2 Beds', 'price': '$1,95'}]","Burbank, CA 91502",https://www.apartments.com/233-e-alameda-ave-burbank-ca/8fcrjl1/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$1,95",,,,,,
Los Angeles,Condos,CA,90035,"[{'bedroom_type': '2 Beds', 'price': '$2,80'}]","Los Angeles, CA 90035",https://www.apartments.com/1129-s-sherbourne-dr-los-angeles-ca/z6hrs7z/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,80",,,,,,
El Segundo,Condos,CA,90245,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","El Segundo, CA 90245",https://www.apartments.com/413-richmond-st-el-segundo-ca/mnskk7k/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,"$2,50",,,,,,
Los Angeles,Condos,CA,91423,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","13947 Milbank St, Los Angeles, CA 91423",https://www.apartments.com/13947-milbank-st-los-angeles-ca/dg1jm7h/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$2,60",,,,,,
San Francisco,Condos,CA,94102,"[{'bedroom_type': '2 Beds', 'price': '$3,60'}]","San Francisco, CA 94102",https://www.apartments.com/155-buchanan-st-san-francisco-ca/7e5b29x/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$3,60",,,,,,
West Hollywood,Condos,CA,90069,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","1230 Horn Ave, West Hollywood, CA 90069",https://www.apartments.com/1230-horn-ave-west-hollywood-ca-unit-306/8k35md2/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,"$2,40",,,,,,
North Hollywood,Condos,CA,91601,"[{'bedroom_type': '2 Beds', 'price': '$1,99'}]","North Hollywood, CA 91601",https://www.apartments.com/5750-camellia-ave-north-hollywood-ca/q3mppvx/,1 BA,975 Sq Ft,975,12 Month Lease,Available Now,"$1,99",,,,,,
El Segundo,Condos,CA,90245,"[{'bedroom_type': '2 Beds', 'price': '$2,49'}]","El Segundo, CA 90245",https://www.apartments.com/836-e-grand-ave-el-segundo-ca/ygsdr5v/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,"$2,49",,,,,,
Burbank,Condos,CA,91501,"[{'bedroom_type': '2 Beds', 'price': '$1,90'}]","Burbank, CA 91501",https://www.apartments.com/627-e-tujunga-ave-burbank-ca/p58x6mv/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$1,90",,,,,,
Los Angeles,Condos,CA,90035,"[{'bedroom_type': '1 Bed', 'price': '$1,87'}]","1440 Hi Point St, Los Angeles, CA 90035",https://www.apartments.com/1440-hi-point-st-los-angeles-ca/jjwjb97/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$1,87",,,,,
Burbank,Condos,CA,91506,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","317 W Valencia Ave, Burbank, CA 91506",https://www.apartments.com/317-w-valencia-ave-burbank-ca/88x17f2/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,25",,,,,,
Burbank,Condos,CA,91505,"[{'bedroom_type': '1 Bed', 'price': '$2,15'}]","Burbank, CA 91505",https://www.apartments.com/355-n-maple-st-burbank-ca-unit-111/71e6nzw/,1 BA,862 Sq Ft,862,12 Month Lease,Available Now,,"$2,15",,,,,
Los Angeles,Condos,CA,91403,"[{'bedroom_type': '2 Beds', 'price': '$2,49'}]","4700 Natick Ave, Los Angeles, CA 91403",https://www.apartments.com/4700-natick-ave-los-angeles-ca-unit-205/fc2r1lr/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$2,49",,,,,,
Santa Monica,Condos,CA,90404,"[{'bedroom_type': '1 Bed', 'price': '$2,25'}]","Santa Monica, CA 90404",https://www.apartments.com/1317-19th-st-santa-monica-ca/l2gmrjd/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,"$2,25",,,,,
Los Angeles,Condos,CA,90004,"[{'bedroom_type': '1 Bed', 'price': '$1,70'}]","Los Angeles, CA 90004",https://www.apartments.com/257-s-manhattan-pl-los-angeles-ca/vdfge1g/,1 BA,675 Sq Ft,675,12 Month Lease,Available Now,,"$1,70",,,,,
Los Angeles,Condos,CA,90024,"[{'bedroom_type': '2 Beds', 'price': '$3,99'}]","Los Angeles, CA 90024",https://www.apartments.com/1250-s-beverly-glen-blvd-los-angeles-ca-unit-207/znsx9sy/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,"$3,99",,,,,,
San Francisco,Condos,CA,94111,"[{'bedroom_type': '2 Beds', 'price': '$3,95'}]","San Francisco, CA 94111",https://www.apartments.com/111-chestnut-st-san-francisco-ca-unit-spacious-great-location/d3e4b4h/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$3,95",,,,,,
Los Angeles,Condos,CA,90056,"[{'bedroom_type': '2 Beds', 'price': '$2,39'}]","Los Angeles, CA 90056",https://www.apartments.com/6707-s-springpark-ave-los-angeles-ca/exevtqp/,2 BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,"$2,39",,,,,,
Glendale,Condos,CA,91201,"[{'bedroom_type': '1 Bed', 'price': '$1,59'}]","Glendale, CA 91201",https://www.apartments.com/1831-riverside-dr-glendale-ca/ktnyl29/,1 BA,420 Sq Ft,420,12 Month Lease,Available Now,,"$1,59",,,,,
Culver City,Condos,CA,90230,"[{'bedroom_type': '1 Bed', 'price': '$2,50'}]","Culver City, CA 90230",https://www.apartments.com/5625-green-valley-cir-culver-city-ca/zj2hyly/,1 BA,890 Sq Ft,890,12 Month Lease,Available Now,,"$2,50",,,,,
Los Angeles,Condos,CA,90026,"[{'bedroom_type': '2 Beds', 'price': '$2,19'}]","Los Angeles, CA 90026",https://www.apartments.com/1072-laguna-ave-los-angeles-ca/nqdmt8q/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$2,19",,,,,,
Los Angeles,Condos,CA,90004,"[{'bedroom_type': '2 Beds', 'price': '$2,80'}]","Los Angeles, CA 90004",https://www.apartments.com/5037-rosewood-ave-los-angeles-ca-unit-108/cmqbh2f/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,80",,,,,,
Los Angeles,Condos,CA,90029,"[{'bedroom_type': '1 Bed', 'price': '$1,60'}]","Los Angeles, CA 90029",https://www.apartments.com/4351-normal-ave-los-angeles-ca/jklt894/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,"$1,60",,,,,
Culver City,Condos,CA,90230,"[{'bedroom_type': '1 Bed', 'price': '$3,22'}]","Culver City, CA 90230",https://www.apartments.com/4505-s-slauson-ave-culver-city-ca/ek9rgln/,1½ BAs,"1,000 Sq Ft","1,000",13 Month Lease,Available Now,,"$3,22",,,,,
San Francisco,Condos,CA,94107,"[{'bedroom_type': '1 Bed', 'price': '$3,20'}]","San Francisco, CA 94107",https://www.apartments.com/601-4th-st-san-francisco-ca-unit-206/y68p5qt/,1 BA,"1,125 Sq Ft","1,125",12 Month Lease,Oct 15,,"$3,20",,,,,
Los Angeles,Condos,CA,90004,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","310 N Van Ness Ave, Los Angeles, CA 90004",https://www.apartments.com/310-n-van-ness-ave-los-angeles-ca/rykbp10/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$2,30",,,,,,
Los Angeles,Condos,CA,90016,"[{'bedroom_type': '1 Bed', 'price': '$1,70'}]","5778 Clemson St, Los Angeles, CA 90016",https://www.apartments.com/5778-clemson-st-los-angeles-ca/t459749/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,"$1,70",,,,,
Los Angeles,Condos,CA,90025,"[{'bedroom_type': '2 Beds', 'price': '$3,65'}]","1840 Beverly Glen S Blvd, Los Angeles, CA 90025",https://www.apartments.com/1840-beverly-glen-s-blvd-los-angeles-ca-unit-307/kt6q839/,2½ BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,"$3,65",,,,,,
Beverly Hills,Condos,CA,90212,"[{'bedroom_type': '2 Beds', 'price': '$2,97'}]","Beverly Hills, CA 90212",https://www.apartments.com/442-s-oakhurst-dr-beverly-hills-ca/8v40m22/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,97",,,,,,
San Francisco,Condos,CA,94103,"[{'bedroom_type': '2 Beds', 'price': '$4,19'}]","San Francisco, CA 94103",https://www.apartments.com/1247-harrison-st-san-francisco-ca/nzckyrp/,3 BAs,"1,573 Sq Ft","1,573",12 Month Lease,Available Now,"$4,19",,,,,,
Culver City,Condos,CA,90232,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","3913 Prospect Ave, Culver City, CA 90232",https://www.apartments.com/3913-prospect-ave-culver-city-ca/0msgfz1/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Oct 30,"$2,60",,,,,,
Los Angeles,Condos,CA,90034,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","3737 Vinton Ave, Los Angeles, CA 90034",https://www.apartments.com/3737-vinton-ave-los-angeles-ca/7k414cz/,2 BAs,"1,050 Sq Ft","1,050",12 Month Lease,Oct 8,"$2,25",,,,,,
Culver City,Condos,CA,90230,"[{'bedroom_type': '2 Beds', 'price': '$2,85'}]","Culver City, CA 90230",https://www.apartments.com/4911-indian-wood-rd-culver-city-ca-unit-611/3rzv49g/,2 BAs,885 Sq Ft,885,12 Month Lease,Nov 1,"$2,85",,,,,,
Los Angeles,Condos,CA,90064,"[{'bedroom_type': '1 Bed', 'price': '$2,49'}]","10876 National Blvd, Los Angeles, CA 90064",https://www.apartments.com/10876-national-blvd-los-angeles-ca/jv5qn56/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,"$2,49",,,,,
Santa Monica,Condos,CA,90405,"[{'bedroom_type': '1 Bed', 'price': '$2,29'}]","Santa Monica, CA 90405",https://www.apartments.com/2202-ocean-park-blvd-santa-monica-ca/7e6986y/,1 BA,550 Sq Ft,550,12 Month Lease,Available Now,,"$2,29",,,,,
Santa Monica,Condos,CA,90404,"[{'bedroom_type': '1 Bed', 'price': '$2,40'}]","Santa Monica, CA 90404",https://www.apartments.com/1517-18th-st-santa-monica-ca/9z7yp25/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,"$2,40",,,,,
Santa Monica,Condos,CA,90404,"[{'bedroom_type': '2 Beds', 'price': '$3,75'}]","Santa Monica, CA 90404",https://www.apartments.com/1333-yale-st-santa-monica-ca-unit-3/pcg4qtv/,1½ BAs,"1,318 Sq Ft","1,318",12 Month Lease,Oct 7,"$3,75",,,,,,
Los Angeles,Condos,CA,90025,"[{'bedroom_type': '2 Beds', 'price': '$2,59'}]","1820 S Barrington Ave, Los Angeles, CA 90025",https://www.apartments.com/1820-s-barrington-ave-los-angeles-ca/5rhkd2n/,2 BAs,100 Sq Ft,100,12 Month Lease,Available Now,"$2,59",,,,,,
Los Angeles,Condos,CA,90049,"[{'bedroom_type': '3 Beds', 'price': '$3,87'}]","11661 Montana Ave, Los Angeles, CA 90049",https://www.apartments.com/11661-montana-ave-los-angeles-ca/v6tlbqd/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,"$3,87",,,,
