City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,4 Beds,1 Bed,Studio,6 Beds,5 Beds
Los Angeles,Houses,CA,90027,"[{'bedroom_type': '3 Beds', 'price': '$3,95'}]","Los Angeles, CA 90027",https://www.apartments.com/4431-sunset-dr-los-angeles-ca/b698scb/,2 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,"$3,95",,,,,,
Los Angeles,Houses,CA,90035,"[{'bedroom_type': '3 Beds', 'price': '$3,90'}]","Los Angeles, CA 90035",https://www.apartments.com/1627-s-bedford-st-los-angeles-ca/16d7ms7/,2 BAs,"1,450 Sq Ft","1,450",12 Month Lease,Available Now,"$3,90",,,,,,
Los Angeles,Houses,CA,91605,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","11938 Runnymede St, Los Angeles, CA 91605",https://www.apartments.com/11938-runnymede-st-los-angeles-ca/s9pfbe5/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,"$2,50",,,,,
Los Angeles,Houses,CA,90066,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","3632 Ashwood Ave, Los Angeles, CA 90066",https://www.apartments.com/3632-ashwood-ave-los-angeles-ca/qvcvj7w/,2 BAs,"1,000 Sq Ft","1,000",,Available Now,"$3,50",,,,,,
Los Angeles,Houses,CA,91344,"[{'bedroom_type': '3 Beds', 'price': '$4,80'}]","17219 Warrington Dr, Los Angeles, CA 91344",https://www.apartments.com/17219-warrington-dr-los-angeles-ca/28ydvzc/,4 BAs,"3,000 Sq Ft","3,000",12 Month Lease,Available Now,"$4,80",,,,,,
Sunnyvale,Houses,CA,94087,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","Sunnyvale, CA 94087",https://www.apartments.com/1329-bobolink-cir-sunnyvale-ca/6md390r/,2 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,"$4,50",,,,,,
West Sacramento,Houses,CA,95605,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","West Sacramento, CA 95605",https://www.apartments.com/629-water-st-west-sacramento-ca/s5k4vq5/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$2,00",,,,,
Los Angeles,Houses,CA,91325,"[{'bedroom_type': '3 Beds', 'price': '$4,75'}]","17544 Lorne St, Los Angeles, CA 91325",https://www.apartments.com/17544-lorne-st-los-angeles-ca/nxxxgqn/,3 BAs,"1,650 Sq Ft","1,650",12 Month Lease,Available Now,"$4,75",,,,,,
Los Angeles,Houses,CA,90062,"[{'bedroom_type': '3 Beds', 'price': '$2,75'}]","Los Angeles, CA 90062",https://www.apartments.com/1568-w-vernon-ave-los-angeles-ca/f1bqqzv/,1½ BAs,"2,150 Sq Ft","2,150",24 Month Lease,Available Now,"$2,75",,,,,,
Santa Ana,Houses,CA,92705,"[{'bedroom_type': '4 Beds', 'price': '$3,90'}]","Santa Ana, CA 92705",https://www.apartments.com/17796-e-santa-clara-ave-santa-ana-ca/5ekqrhm/,2½ BAs,"2,535 Sq Ft","2,535",,Oct 15,,,"$3,90",,,,
Los Angeles,Houses,CA,91356,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","Los Angeles, CA 91356",https://www.apartments.com/5643-shirley-ave-los-angeles-ca/1pwslx6/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$2,50",,,,,
Lancaster,Houses,CA,93535,"[{'bedroom_type': '3 Beds', 'price': '$2,10'}]","Lancaster, CA 93535",https://www.apartments.com/44726-6th-st-e-lancaster-ca/1evmyw5/,2 BAs,"1,331 Sq Ft","1,331",,Available Now,"$2,10",,,,,,
Fremont,Houses,CA,94536,"[{'bedroom_type': '3 Beds', 'price': '$3,60'}]","Fremont, CA 94536",https://www.apartments.com/2925-park-place-cmn-fremont-ca/25f0e5c/,2½ BAs,"1,663 Sq Ft","1,663",12 Month Lease,Available Now,"$3,60",,,,,,
Culver City,Houses,CA,90230,"[{'bedroom_type': '4 Beds', 'price': '$4,69'}]","Culver City, CA 90230",https://www.apartments.com/11234-hannum-ave-culver-city-ca/93djep5/,3 BAs,"1,770 Sq Ft","1,770",12 Month Lease,Available Now,,,"$4,69",,,,
Los Angeles,Houses,CA,91364,"[{'bedroom_type': '3 Beds', 'price': '$4,75'}]","Los Angeles, CA 91364",https://www.apartments.com/4798-regalo-rd-los-angeles-ca/k6kkgnc/,3 BAs,"2,626 Sq Ft","2,626",12 Month Lease,Available Now,"$4,75",,,,,,
Redlands,Houses,CA,92373,"[{'bedroom_type': '6 Beds', 'price': '$3,50'}]","Redlands, CA 92373",https://www.apartments.com/259-e-crescent-ave-redlands-ca/2f63h58/,3½ BAs,"3,602 Sq Ft","3,602",12 Month Lease,Available Now,,,,,,"$3,50",
San Francisco,Houses,CA,94127,"[{'bedroom_type': '3 Beds', 'price': '$6,50'}]","San Francisco, CA 94127",https://www.apartments.com/866-foerster-st-san-francisco-ca/j5gcyw4/,2 BAs,"1,500 Sq Ft","1,500",,Available Now,"$6,50",,,,,,
San Diego,Houses,CA,92104,"[{'bedroom_type': '3 Beds', 'price': '$3,75'}]","San Diego, CA 92104",https://www.apartments.com/2214-31st-st-san-diego-ca/x5p9kkn/,2 BAs,"1,300 Sq Ft","1,300",,Available Now,"$3,75",,,,,,
Los Angeles,Houses,CA,90043,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","Los Angeles, CA 90043",https://www.apartments.com/4620-northridge-dr-los-angeles-ca/e329ktp/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$2,60",,,,,
Torrance,Houses,CA,90503,"[{'bedroom_type': '2 Beds', 'price': '$10,30'}]","Torrance, CA 90503",https://www.apartments.com/20914-hawthorne-blvd-torrance-ca/hfzt0d0/,3 BAs,"5,100 Sq Ft","5,100",12 Month Lease,Available Now,,"$10,30",,,,,
Glendale,Houses,CA,91201,"[{'bedroom_type': '1 Bed', 'price': '$1,90'}]","1321 Elm Ave, Glendale, CA 91201",https://www.apartments.com/1321-elm-ave-glendale-ca/vvqnlqe/,1 BA,800 Sq Ft,800,24 Month Lease,Dec 15,,,,"$1,90",,,
Fremont,Houses,CA,94536,"[{'bedroom_type': '3 Beds', 'price': '$3,40'}]","Fremont, CA 94536",https://www.apartments.com/292-spetti-dr-fremont-ca/17470y4/,2 BAs,"1,290 Sq Ft","1,290",12 Month Lease,Available Now,"$3,40",,,,,,
Hawthorne,Houses,CA,90250,"[{'bedroom_type': '3 Beds', 'price': '$3,47'}]","Hawthorne, CA 90250",https://www.apartments.com/11655-s-wilton-pl-hawthorne-ca/8wdzjc1/,2 BAs,"1,557 Sq Ft","1,557",12 Month Lease,Available Now,"$3,47",,,,,,
Los Angeles,Houses,CA,90063,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","Los Angeles, CA 90063",https://www.apartments.com/3117-2nd-e-st-los-angeles-ca/1xl3hz4/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,"$2,50",,,,,
Oakland,Houses,CA,94605,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","Oakland, CA 94605",https://www.apartments.com/11260-kerrigan-dr-oakland-ca/wcg9p4j/,2½ BAs,"1,700 Sq Ft","1,700",6 Month Lease,Available Now,,"$3,50",,,,,
Los Angeles,Houses,CA,91342,"[{'bedroom_type': '1 Bed', 'price': '$80'}]","Los Angeles, CA 91342",https://www.apartments.com/15131-oro-grande-st-los-angeles-ca/xx91mjn/,1 BA,200 Sq Ft,200,9 Month Lease,Available Now,,,,$80,,,
Oakland,Houses,CA,94603,"[{'bedroom_type': '2 Beds', 'price': '$2,80'}]","Oakland, CA 94603",https://www.apartments.com/9702-plymouth-st-oakland-ca/hzvlnh3/,2 BAs,"1,050 Sq Ft","1,050",12 Month Lease,Available Now,,"$2,80",,,,,
Los Angeles,Houses,CA,90003,"[{'bedroom_type': '3 Beds', 'price': '$2,35'}]","111 W 73rd St, Los Angeles, CA 90003",https://www.apartments.com/111-w-73rd-st-los-angeles-ca/pk8xb9t/,2 BAs,"1,130 Sq Ft","1,130",12 Month Lease,Available Now,"$2,35",,,,,,
Santa Clara,Houses,CA,95054,"[{'bedroom_type': '3 Beds', 'price': '$3,39'}]","Santa Clara, CA 95054",https://www.apartments.com/4652-snead-dr-santa-clara-ca/xsc7cdp/,2 BAs,"1,200 Sq Ft","1,200",,Available Now,"$3,39",,,,,,
Los Angeles,Houses,CA,91605,"[{'bedroom_type': '1 Bed', 'price': '$3,50'}]","Los Angeles, CA 91605",https://www.apartments.com/12549-barbara-ann-st-los-angeles-ca/4yhr3zl/,1 BA,"1,377 Sq Ft","1,377",,Available Now,,,,"$3,50",,,
Glendale,Houses,CA,91206,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","Glendale, CA 91206",https://www.apartments.com/116-coventry-pl-glendale-ca/q1wfjkx/,3½ BAs,"2,100 Sq Ft","2,100",12 Month Lease,Available Now,"$4,50",,,,,,
Los Angeles,Houses,CA,91401,"[{'bedroom_type': '3 Beds', 'price': '$4,00'}]","Los Angeles, CA 91401",https://www.apartments.com/14347-martha-st-los-angeles-ca/1hksbs6/,1½ BAs,"1,300 Sq Ft","1,300",,Available Now,"$4,00",,,,,,
Glendale,Houses,CA,91203,"[{'bedroom_type': '4 Beds', 'price': '$4,65'}]","Glendale, CA 91203",https://www.apartments.com/452-salem-st-glendale-ca/4sgtv6h/,3 BAs,"1,988 Sq Ft","1,988",12 Month Lease,Available Now,,,"$4,65",,,,
Culver City,Houses,CA,90232,"[{'bedroom_type': '4 Beds', 'price': '$5,19'}]","Culver City, CA 90232",https://www.apartments.com/8902-krueger-st-culver-city-ca/zwmjbpy/,4 BAs,"2,250 Sq Ft","2,250",12 Month Lease,Available Now,,,"$5,19",,,,
