City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,4 Beds,1 Bed,Studio,3 Beds
Campbell,Condos,CA,95008,"[{'bedroom_type': '1 Bed', 'price': '$2,60'}]","Campbell, CA 95008",https://www.apartments.com/374-union-ave-campbell-ca-unit-e/63wrc3s/,1 BA,900 Sq Ft,900,12 Month Lease,Oct 15,,,"$2,60",,
Pasadena,Condos,CA,91104,"[{'bedroom_type': '2 Beds', 'price': '$3,00'}]","Pasadena, CA 91104",https://www.apartments.com/1331-n-holliston-ave-pasadena-ca/xcxp0dn/,1½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$3,00",,,,
Vallejo,Condos,CA,94590,"[{'bedroom_type': '3 Beds', 'price': '$2,35'}]","Vallejo, CA 94590",https://www.apartments.com/74-werden-st-vallejo-ca-unit-3/x3heypq/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,,,,,"$2,35"
Santa Barbara,Condos,CA,93101,"[{'bedroom_type': '1 Bed', 'price': '$4,90'}]","Santa Barbara, CA 93101",https://www.apartments.com/116-e-yanonali-st-santa-barbara-ca/fv4djpr/,2 BAs,"1,735 Sq Ft","1,735",12 Month Lease,Available Now,,,"$4,90",,
Menlo Park,Condos,CA,94025,"[{'bedroom_type': '2 Beds', 'price': '$2,65'}]","Menlo Park, CA 94025",https://www.apartments.com/7-coleman-pl-menlo-park-ca/yfgwrst/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,"$2,65",,,,
San Ramon,Condos,CA,94582,"[{'bedroom_type': '1 Bed', 'price': '$1,99'}]","San Ramon, CA 94582",https://www.apartments.com/298-eastridge-dr-san-ramon-ca-unit-298/651m0sv/,1 BA,730 Sq Ft,730,12 Month Lease,Nov 1,,,"$1,99",,
Oakland,Condos,CA,94609,"[{'bedroom_type': '4 Beds', 'price': '$4,08'}]","Oakland, CA 94609",https://www.apartments.com/3229-elm-st-oakland-ca/515jhhq/,2 BAs,"1,580 Sq Ft","1,580",12 Month Lease,Available Now,,"$4,08",,,
Granada Hills,Condos,CA,91344,"[{'bedroom_type': '2 Beds', 'price': '$1,99'}]","Granada Hills, CA 91344",https://www.apartments.com/10636-woodley-ave-granada-hills-ca-unit-17/pc2nzqt/,1 BA,812 Sq Ft,812,12 Month Lease,Available Now,"$1,99",,,,
Los Angeles,Condos,CA,90033,"[{'bedroom_type': '1 Bed', 'price': '$1,39'}]","Los Angeles, CA 90033",https://www.apartments.com/104-s-cummings-st-los-angeles-ca/dbcxlrk/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,"$1,39",,
Los Gatos,Condos,CA,95032,"[{'bedroom_type': '2 Beds', 'price': '$2,55'}]","Los Gatos, CA 95032",https://www.apartments.com/146-towne-ter-los-gatos-ca/wxwrqgk/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$2,55",,,,
Moraga,Condos,CA,94556,"[{'bedroom_type': '3 Beds', 'price': '$3,80'}]","Moraga, CA 94556",https://www.apartments.com/2027-ascot-dr-moraga-ca/m4qh0dk/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,,,"$3,80"
