City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,4 Beds,1 Bed,Studio,3 Beds
Solana Beach,Condos,CA,92075,"[{'bedroom_type': '2 Beds', 'price': '$3,80'}]","Solana Beach, CA 92075",https://www.apartments.com/544-via-de-la-valle-solana-beach-ca-unit-b/jdwq5r4/,2 BAs,"1,204 Sq Ft","1,204",12 Month Lease,Available Now,"$3,80",,,,
Culver City,Condos,CA,90230,"[{'bedroom_type': '1 Bed', 'price': '$2,27'}]","Culver City, CA 90230",https://www.apartments.com/6275-canterbury-dr-culver-city-ca-unit-210/ncqxdhm/,1 BA,807 Sq Ft,807,12 Month Lease,Available Now,,,"$2,27",,
Los Angeles,Condos,CA,91602,"[{'bedroom_type': '1 Bed', 'price': '$1,69'}]","Los Angeles, CA 91602",https://www.apartments.com/10907-camarillo-st-los-angeles-ca/erhr0rp/,1 BA,675 Sq Ft,675,12 Month Lease,Available Now,,,"$1,69",,
Mill Valley,Condos,CA,94941,"[{'bedroom_type': '1 Bed', 'price': '$2,00'}]","Mill Valley, CA 94941",https://www.apartments.com/205-morning-sun-ave-mill-valley-ca/6bz8hkt/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,"$2,00",,
Santa Monica,Condos,CA,90404,"[{'bedroom_type': '1 Bed', 'price': '$2,09'}]","Santa Monica, CA 90404",https://www.apartments.com/1233-14th-st-santa-monica-ca/qzmlm8y/,1 BA,574 Sq Ft,574,12 Month Lease,Available Now,,,"$2,09",,
Santa Barbara,Condos,CA,93101,"[{'bedroom_type': '1 Bed', 'price': '$3,95'}]","Santa Barbara, CA 93101",https://www.apartments.com/127-bath-st-santa-barbara-ca-unit-c3/kq9vffc/,1 BA,575 Sq Ft,575,12 Month Lease,Dec 21,,,"$3,95",,
El Monte,Condos,CA,91731,"[{'bedroom_type': '2 Beds', 'price': '$1,70'}]","3709 Gibson Rd, El Monte, CA 91731",https://www.apartments.com/3709-gibson-rd-el-monte-ca/9m8wle6/,1½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$1,70",,,,
San Diego,Condos,CA,92128,"[{'bedroom_type': '1 Bed', 'price': '$1,79'}]","San Diego, CA 92128",https://www.apartments.com/18650-caminito-cantilena-san-diego-ca-unit-294/mdd1ggk/,1 BA,738 Sq Ft,738,12 Month Lease,Available Now,,,"$1,79",,
West Sacramento,Condos,CA,95605,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","West Sacramento, CA 95605",https://www.apartments.com/289-3rd-st-west-sacramento-ca/wznnkjk/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$2,00",,,,
San Francisco,Condos,CA,94118,"[{'bedroom_type': '2 Beds', 'price': '$2,75'}]","San Francisco, CA 94118",https://www.apartments.com/303-5th-ave-san-francisco-ca/tjbcekb/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$2,75",,,,
Laguna Woods,Condos,CA,92637,"[{'bedroom_type': '2 Beds', 'price': '$1,85'}]","Laguna Woods, CA 92637",https://www.apartments.com/3366-punta-alta-laguna-woods-ca-unit-3f/nvjb0jn/,2 BAs,894 Sq Ft,894,12 Month Lease,Available Now,"$1,85",,,,
Monrovia,Condos,CA,91016,"[{'bedroom_type': '1 Bed', 'price': '$1,60'}]","Monrovia, CA 91016",https://www.apartments.com/315-violet-ave-monrovia-ca/q9wtnzw/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,"$1,60",,
Laguna Beach,Condos,CA,92651,"[{'bedroom_type': '2 Beds', 'price': '$2,85'}]","Laguna Beach, CA 92651",https://www.apartments.com/1570-via-capri-laguna-beach-ca-unit-5/cllgdqd/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,85",,,,
Long Beach,Condos,CA,90802,"[{'bedroom_type': '2 Beds', 'price': '$4,70'}]","1800 E Ocean Blvd, Long Beach, CA 90802",https://www.apartments.com/1800-e-ocean-blvd-long-beach-ca-unit-9/wp5k57k/,2 BAs,"2,600 Sq Ft","2,600",1 Month Lease,Available Now,"$4,70",,,,
San Diego,Condos,CA,92131,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","San Diego, CA 92131",https://www.apartments.com/9939-erma-rd-san-diego-ca-unit-101/en3ehfq/,2 BAs,990 Sq Ft,990,12 Month Lease,Available Now,"$2,20",,,,
Malibu,Condos,CA,90265,"[{'bedroom_type': '2 Beds', 'price': '$4,20'}]","Malibu, CA 90265",https://www.apartments.com/11956-oceanaire-ln-malibu-ca-unit-1/l93zqmf/,2 BAs,986 Sq Ft,986,12 Month Lease,Available Now,"$4,20",,,,
Irvine,Condos,CA,92612,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","Irvine, CA 92612",https://www.apartments.com/2233-martin-irvine-ca-unit-102/2c9dn2c/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Oct 20,"$2,50",,,,
La Crescenta,Condos,CA,91214,"[{'bedroom_type': '2 Beds', 'price': '$1,95'}]","La Crescenta, CA 91214",https://www.apartments.com/2521-foothill-blvd-la-crescenta-ca/zqesqdw/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$1,95",,,,
Los Angeles,Condos,CA,90731,"[{'bedroom_type': '2 Beds', 'price': '$2,15'}]","Los Angeles, CA 90731",https://www.apartments.com/2606-s-cabrillo-ave-los-angeles-ca/lmbpnrd/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,"$2,15",,,,
Corte Madera,Condos,CA,94925,"[{'bedroom_type': '2 Beds', 'price': '$3,97'}]","Corte Madera, CA 94925",https://www.apartments.com/126-sandpiper-cir-corte-madera-ca-unit-casa-madera/d0wjgzj/,2½ BAs,"1,480 Sq Ft","1,480",12 Month Lease,Available Now,"$3,97",,,,
Huntington Beach,Condos,CA,92648,"[{'bedroom_type': '2 Beds', 'price': '$3,75'}]","Huntington Beach, CA 92648",https://www.apartments.com/1042-13th-st-huntington-beach-ca/714xg1w/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,"$3,75",,,,
Santa Monica,Condos,CA,90403,"[{'bedroom_type': '2 Beds', 'price': '$4,90'}]","813 15th St, Santa Monica, CA 90403",https://www.apartments.com/813-15th-st-santa-monica-ca-unit-f/8cfnbf1/,2 BAs,"1,150 Sq Ft","1,150",1 Month Lease,Available Now,"$4,90",,,,
San Diego,Condos,CA,92128,"[{'bedroom_type': '2 Beds', 'price': '$2,15'}]","San Diego, CA 92128",https://www.apartments.com/11942-rancho-bernardo-rd-san-diego-ca-unit-t/1ktqmx7/,2 BAs,"1,040 Sq Ft","1,040",12 Month Lease,Available Now,"$2,15",,,,
Los Angeles,Condos,CA,90012,"[{'bedroom_type': '2 Beds', 'price': '$2,05'}]","Los Angeles, CA 90012",https://www.apartments.com/433-cottage-home-st-los-angeles-ca/y86p55s/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$2,05",,,,
Alhambra,Condos,CA,91801,"[{'bedroom_type': '3 Beds', 'price': '$2,50'}]","Alhambra, CA 91801",https://www.apartments.com/820-s-stoneman-ave-alhambra-ca-unit-5/pfjxt1s/,2½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,,,"$2,50"
Millbrae,Condos,CA,94030,"[{'bedroom_type': '3 Beds', 'price': '$4,45'}]","Millbrae, CA 94030",https://www.apartments.com/1388-broadway-millbrae-ca-unit-487/wpm336k/,2 BAs,"1,619 Sq Ft","1,619",12 Month Lease,Available Now,,,,,"$4,45"
Los Angeles,Condos,CA,90042,"[{'bedroom_type': '3 Beds', 'price': '$2,25'}]","Los Angeles, CA 90042",https://www.apartments.com/236-s-ave-55-ave-los-angeles-ca/3m0fw6d/,2 BAs,"1,070 Sq Ft","1,070",12 Month Lease,Available Now,,,,,"$2,25"
Los Angeles,Condos,CA,91316,"[{'bedroom_type': '3 Beds', 'price': '$2,89'}]","Los Angeles, CA 91316",https://www.apartments.com/17938-burbank-blvd-los-angeles-ca/4pzbtsj/,2 BAs,100 Sq Ft,100,12 Month Lease,Available Now,,,,,"$2,89"
Monrovia,Condos,CA,91016,"[{'bedroom_type': '1 Bed', 'price': '$1,60'}]","Monrovia, CA 91016",https://www.apartments.com/615-wildrose-ave-monrovia-ca/rbf9vg0/,1 BA,600 Sq Ft,600,10 Month Lease,Available Now,,,"$1,60",,
Sacramento,Condos,CA,95834,"[{'bedroom_type': '2 Beds', 'price': '$1,78'}]","Sacramento, CA 95834",https://www.apartments.com/4200-e-commerce-way-sacramento-ca-unit-2621/vvjs8pg/,2 BAs,"1,251 Sq Ft","1,251",12 Month Lease,Available Now,"$1,78",,,,
San Clemente,Condos,CA,92672,"[{'bedroom_type': '2 Beds', 'price': '$2,15'}]","San Clemente, CA 92672",https://www.apartments.com/312-avenida-cabrillo-san-clemente-ca/2jrbgt9/,1 BA,540 Sq Ft,540,6 Month Lease,Available Now,"$2,15",,,,
San Diego,Condos,CA,92128,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","San Diego, CA 92128",https://www.apartments.com/12178-rancho-bernardo-rd-san-diego-ca-unit-b/c80cw2d/,2 BAs,"1,091 Sq Ft","1,091",6 Month Lease,Available Now,"$2,40",,,,
Los Angeles,Condos,CA,91406,"[{'bedroom_type': '1 Bed', 'price': '$1,79'}]","Los Angeles, CA 91406",https://www.apartments.com/6535-haskell-ave-los-angeles-ca/jnb64n5/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,,"$1,79",,
Hermosa Beach,Condos,CA,90254,"[{'bedroom_type': '1 Bed', 'price': '$2,90'}]","Hermosa Beach, CA 90254",https://www.apartments.com/34-17th-st-hermosa-beach-ca/nbttdpn/,1 BA,825 Sq Ft,825,12 Month Lease,Available Now,,,"$2,90",,
Beverly Hills,Condos,CA,90212,"[{'bedroom_type': '3 Beds', 'price': '$3,90'}]","Beverly Hills, CA 90212",https://www.apartments.com/344-s-rexford-dr-beverly-hills-ca/sxer0g7/,2 BAs,"1,850 Sq Ft","1,850",12 Month Lease,Available Now,,,,,"$3,90"
San Rafael,Condos,CA,94903,"[{'bedroom_type': '2 Beds', 'price': '$2,75'}]","San Rafael, CA 94903",https://www.apartments.com/260-channing-way-san-rafael-ca-unit-8/sbsz2p7/,2 BAs,"1,220 Sq Ft","1,220",12 Month Lease,Available Now,"$2,75",,,,
Simi Valley,Condos,CA,93063,"[{'bedroom_type': '1 Bed', 'price': '$1,85'}]","Simi Valley, CA 93063",https://www.apartments.com/4561-alamo-st-simi-valley-ca-unit-c/mr1tm1j/,1 BA,531 Sq Ft,531,12 Month Lease,Oct 19,,,"$1,85",,
Los Angeles,Condos,CA,90012,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","Los Angeles, CA 90012",https://www.apartments.com/943-n-beaudry-ave-los-angeles-ca/httcj21/,1½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,00",,,,
National City,Condos,CA,91950,"[{'bedroom_type': '2 Beds', 'price': '$1,99'}]","National City, CA 91950",https://www.apartments.com/2209-e-8th-st-national-city-ca/h5yr713/,2 BAs,851 Sq Ft,851,12 Month Lease,Available Now,"$1,99",,,,
San Jose,Condos,CA,95126,"[{'bedroom_type': '1 Bed', 'price': '$1,90'}]","San Jose, CA 95126",https://www.apartments.com/340-gifford-ave-san-jose-ca/l4blm2f/,1 BA,450 Sq Ft,450,12 Month Lease,Available Now,,,"$1,90",,
Hayward,Condos,CA,94541,"[{'bedroom_type': '1 Bed', 'price': '$1,70'}]","Hayward, CA 94541",https://www.apartments.com/700-memorial-way-hayward-ca/jrqyk14/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,,"$1,70",,
San Rafael,Condos,CA,94903,"[{'bedroom_type': '1 Bed', 'price': '$2,00'}]","San Rafael, CA 94903",https://www.apartments.com/21-merrydale-rd-san-rafael-ca/lwtqf3g/,1 BA,650 Sq Ft,650,1 Month Lease,Available Now,,,"$2,00",,
Los Angeles,Condos,CA,90039,"[{'bedroom_type': '2 Beds', 'price': '$2,45'}]","Los Angeles, CA 90039",https://www.apartments.com/3344-glenhurst-ave-los-angeles-ca/x84c9sn/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,"$2,45",,,,
Westlake Village,Condos,CA,91361,"[{'bedroom_type': '3 Beds', 'price': '$2,90'}]","Westlake Village, CA 91361",https://www.apartments.com/1122-landsburn-cir-westlake-village-ca-unit-1122/vj2lzwd/,2 BAs,"1,030 Sq Ft","1,030",12 Month Lease,Available Now,,,,,"$2,90"
San Lorenzo,Condos,CA,94580,"[{'bedroom_type': '4 Beds', 'price': '$4,40'}]","San Lorenzo, CA 94580",https://www.apartments.com/1233-bockman-rd-san-lorenzo-ca-unit-49/2j552y8/,2½ BAs,"1,745 Sq Ft","1,745",6 Month Lease,Available Now,,"$4,40",,,
Riverside,Condos,CA,92507,"[{'bedroom_type': '2 Beds', 'price': '$1,50'}]","Riverside, CA 92507",https://www.apartments.com/1000-central-ave-riverside-ca-unit-18/wm9w8sh/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$1,50",,,,
San Clemente,Condos,CA,92672,"[{'bedroom_type': '2 Beds', 'price': '$2,19'}]","San Clemente, CA 92672",https://www.apartments.com/313-acebo-ln-san-clemente-ca/91v6sb4/,1 BA,650 Sq Ft,650,6 Month Lease,Available Now,"$2,19",,,,
San Jose,Condos,CA,95125,"[{'bedroom_type': '3 Beds', 'price': '$3,10'}]","San Jose, CA 95125",https://www.apartments.com/1191-brace-ave-san-jose-ca/9ldtw85/,2 BAs,"1,216 Sq Ft","1,216",12 Month Lease,Available Now,,,,,"$3,10"
San Francisco,Condos,CA,94131,"[{'bedroom_type': '3 Beds', 'price': '$5,80'}]","San Francisco, CA 94131",https://www.apartments.com/1416-church-st-san-francisco-ca-unit-1416/xb8q5vq/,2 BAs,"1,170 Sq Ft","1,170",12 Month Lease,Available Now,,,,,"$5,80"
Burbank,Condos,CA,91504,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","Burbank, CA 91504",https://www.apartments.com/2318-n-keystone-st-burbank-ca/e26lhnm/,1 BA,750 - 800 Sq Ft,750,12 Month Lease,Available Now,"$2,50",,,,
Irvine,Condos,CA,92612,"[{'bedroom_type': '1 Bed', 'price': '$2,90'}]","Irvine, CA 92612",https://www.apartments.com/3351-watermarke-pl-irvine-ca/31lbblf/,1 BA,868 Sq Ft,868,1 Month Lease,Nov 1,,,"$2,90",,
Irvine,Condos,CA,92620,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","Irvine, CA 92620",https://www.apartments.com/19-christamon-s-irvine-ca-unit-23/9kl46z5/,2½ BAs,"1,416 Sq Ft","1,416",12 Month Lease,Available Now,,,,,"$3,00"
Tustin,Condos,CA,92780,"[{'bedroom_type': '2 Beds', 'price': '$1,97'}]","Tustin, CA 92780",https://www.apartments.com/1716-nisson-rd-tustin-ca/60b748s/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$1,97",,,,
Whittier,Condos,CA,90601,"[{'bedroom_type': '3 Beds', 'price': '$2,40'}]","Whittier, CA 90601",https://www.apartments.com/5643-pickering-ave-whittier-ca/n5g2h2m/,1 BA,790 Sq Ft,790,6 Month Lease,Available Now,,,,,"$2,40"
San Fernando,Condos,CA,91340,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","San Fernando, CA 91340",https://www.apartments.com/1426-san-fernando-rd-san-fernando-ca/lk72b0d/,2½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,30",,,,
Sacramento,Condos,CA,95818,"[{'bedroom_type': '1 Bed', 'price': '$2,20'}]","Sacramento, CA 95818",https://www.apartments.com/1412-v-st-sacramento-ca/x6tll1p/,1 BA,600 Sq Ft,600,1 Month Lease,Available Now,,,"$2,20",,
Torrance,Condos,CA,90501,"[{'bedroom_type': '2 Beds', 'price': '$2,55'}]","Torrance, CA 90501",https://www.apartments.com/1614-w-226th-st-torrance-ca/hk3t8h2/,1 BA,912 Sq Ft,912,12 Month Lease,Available Now,"$2,55",,,,
Long Beach,Condos,CA,90804,"[{'bedroom_type': '3 Beds', 'price': '$1,95'}]","Long Beach, CA 90804",https://www.apartments.com/1111-orizaba-ave-long-beach-ca/kd6qzh8/,2 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,,,,"$1,95"
