Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
													1 Bed
															–
3 Beds											","
Studio																	–
4 Beds													","
2 																	–
5 Beds													","
Studio																	–
3 Beds													","
3 Beds													","
													Studio
											","
													Studio
															–
2 Beds											","
													Studio
															–
3 Beds											","
													1 Bed
															–
2 Beds											"
Aspire Apartments at CSUN,Northridge,Apartment,CA,91325,"[{'bedroom_type': '1 Bed', 'price': '$1,995'}, {'bedroom_type': '2 Beds', 'price': '$2,995'}, {'bedroom_type': '3 Beds', 'price': '$4,995'}]","9131 Darby Ave, Northridge, CA 91325",https://www.apartments.com/aspire-apartments-at-csun-northridge-ca/h5wvd83/,,"$1,995","$2,995","$4,995",,,,,,,,,,
Lido Apartments,Los Angeles,Apartment,CA,90004,"[{'bedroom_type': '2 Beds', 'price': '$2,895'}, {'bedroom_type': '3 Beds', 'price': '$3,750'}]","4847 Oakwood Ave, Los Angeles, CA 90004",https://www.apartments.com/lido-apartments-los-angeles-ca/9nkznr5/,,,"$2,895","$3,750",,,,,,,,,,
Lido Apartments,Los Angeles,Apartment,CA,90034,"[{'bedroom_type': '1 Bed', 'price': '$1,554'}, {'bedroom_type': '2 Beds', 'price': '$2,379'}, {'bedroom_type': '3 Beds', 'price': '$3,204'}]","3623 Jasmine Ave, Los Angeles, CA 90034",https://www.apartments.com/lido-apartments-los-angeles-ca/mp6l5sl/,,"$1,554","$2,379","$3,204",,,,,,,,,,
Prominence Luxury Apartments I,San Marcos,Apartment,CA,92078,"[{'bedroom_type': '2 Beds', 'price': '$1,998'}]","601 S Twin Oaks Valley Rd, San Marcos, CA 92078",https://www.apartments.com/prominence-luxury-apartments-i-san-marcos-ca/bqtz2q8/,,,"$1,998",,,,,,,,,,,
The Vineyards Apartments at Porter Ranch,Porter Ranch,Apartment,CA,91326,"[{'bedroom_type': 'Studio', 'price': '$1,915'}, {'bedroom_type': '1 Bed', 'price': '$1,936'}, {'bedroom_type': '2 Beds', 'price': '$2,700'}, {'bedroom_type': '3 Beds', 'price': '$3,130'}]","11401-11405 Porter Ranch Dr, Porter Ranch, CA 91326",https://www.apartments.com/the-vineyards-apartments-at-porter-ranch-porter-ranch-ca/cenr3td/,"$1,915","$1,936","$2,700","$3,130",,,,,,,,,,
The Crossings at Redlands,Redlands,Apartment,CA,92374,"[{'bedroom_type': 'Studio', 'price': '$1,500'}, {'bedroom_type': '1 Bed', 'price': '$1,750'}, {'bedroom_type': '2 Beds', 'price': '$2,190'}]","26000 W Lugonia Ave, Redlands, CA 92374",https://www.apartments.com/the-crossings-at-redlands-redlands-ca/zl42wsx/,"$1,500","$1,750","$2,190",,,,,,,,,,,
Anton Ladera,Mountain View,Apartment,CA,94040,"[{'bedroom_type': 'Studio', 'price': '$2,860'}, {'bedroom_type': '1 Bed', 'price': '$3,435'}, {'bedroom_type': '2 Beds', 'price': '$4,275'}]","394 Ortega Ave, Mountain View, CA 94040",https://www.apartments.com/anton-ladera-mountain-view-ca/fjs69kv/,"$2,860","$3,435","$4,275",,,,,,,,,,,
105 Doheny,Los Angeles,Apartment,CA,90048,"[{'bedroom_type': '1 Bed', 'price': '$3,900'}, {'bedroom_type': '2 Beds', 'price': '$6,400'}]","105 S Doheny Dr, Los Angeles, CA 90048",https://www.apartments.com/105-doheny-los-angeles-ca/3msf6ff/,,"$3,900","$6,400",,,,,,,,,,,
The Press at Midtown Quarter,Sacramento,Apartment,CA,95811,"[{'bedroom_type': 'Studio', 'price': '$1,680'}, {'bedroom_type': '1 Bed', 'price': '$2,095'}, {'bedroom_type': '2 Beds', 'price': '$2,910'}, {'bedroom_type': '3 Beds', 'price': '$4,515'}]","1714 21st St, Sacramento, CA 95811",https://www.apartments.com/the-press-at-midtown-quarter-sacramento-ca/8k68em0/,"$1,680","$2,095","$2,910","$4,515",,,,,,,,,,
The Lucky,Los Angeles,Apartment,CA,90066,"[{'bedroom_type': '2 Beds', 'price': '$3,495'}]","12821 Washington Blvd, Los Angeles, CA 90066",https://www.apartments.com/the-lucky-los-angeles-ca/ne884hn/,,,"$3,495",,,,,,,,,,,
The Woods,San Jose,Apartment,CA,95136,"[{'bedroom_type': 'Studio', 'price': '$1,755'}, {'bedroom_type': '1 Bed', 'price': '$1,795'}, {'bedroom_type': '2 Beds', 'price': '$2,495'}, {'bedroom_type': '3 Beds', 'price': '$2,955'}]","4300 The Woods Dr, San Jose, CA 95136",https://www.apartments.com/the-woods-san-jose-ca/75d8npw/,"$1,755","$1,795","$2,495","$2,955",,,,,,,,,,
The Plaza Apartments,Los Angeles,Apartment,CA,90024,"[{'bedroom_type': '1 Bed', 'price': '$2,100'}, {'bedroom_type': '2 Beds', 'price': '$2,995'}]","10983-10983 Wellworth Ave, Los Angeles, CA 90024",https://www.apartments.com/the-plaza-apartments-los-angeles-ca/z4dd9jy/,,"$2,100","$2,995",,,,,,,,,,,
NEMA,San Francisco,Apartment,CA,94103,"[{'bedroom_type': 'Studio', 'price': '$2,700'}, {'bedroom_type': '1 Bed', 'price': '$3,500'}, {'bedroom_type': '2 Beds', 'price': '$5,000'}]","8 10th St, San Francisco, CA 94103",https://www.apartments.com/nema-san-francisco-ca/8z5g891/,"$2,700","$3,500","$5,000",,,,,,,,,,,
