Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
													1 Bed
															–
3 Beds											","
Studio																	–
4 Beds													","
2 																	–
5 Beds													","
Studio																	–
3 Beds													","
3 Beds													","
													Studio
											","
													Studio
															–
2 Beds											","
													Studio
															–
3 Beds											","
													1 Bed
															–
2 Beds											"
Hampshire Place,Los Angeles,Apartment,CA,90020,"[{'bedroom_type': 'Studio', 'price': '$1,598'}, {'bedroom_type': '1 Bed', 'price': '$1,725'}, {'bedroom_type': '2 Beds', 'price': '$2,262'}]","501 S New Hampshire Ave, Los Angeles, CA 90020",https://www.apartments.com/hampshire-place-los-angeles-ca/dr58z7k/,"$1,598","$1,725","$2,262",,,,,,,,,,,
Empire Landing,Burbank,Apartment,CA,91504,"[{'bedroom_type': '1 Bed', 'price': '$2,210'}, {'bedroom_type': '2 Beds', 'price': '$2,476'}, {'bedroom_type': '3 Beds', 'price': '$3,521'}, {'bedroom_type': '4 Beds', 'price': '$3,846'}]","1901 N Buena Vista St, Burbank, CA 91504",https://www.apartments.com/empire-landing-burbank-ca/g9zjb3x/,,"$2,210","$2,476","$3,521","$3,846",,,,,,,,,
Wood Creek,Pleasant Hill,Apartment,CA,94523,"[{'bedroom_type': '1 Bed', 'price': '$2,532'}, {'bedroom_type': '2 Beds', 'price': '$2,410'}]","637 Stonebridge Way, Pleasant Hill, CA 94523",https://www.apartments.com/wood-creek-pleasant-hill-ca/hyntz90/,,"$2,532","$2,410",,,,,,,,,,,
Mosaic Hayward,Hayward,Apartment,CA,94541,"[{'bedroom_type': '1 Bed', 'price': '$1,787'}, {'bedroom_type': '2 Beds', 'price': '$2,332'}]","816-822 W A St, Hayward, CA 94541",https://www.apartments.com/mosaic-hayward-hayward-ca/mkqydgk/,,"$1,787","$2,332",,,,,,,,,,,
Allegria,Roseville,Apartment,CA,95747,"[{'bedroom_type': '1 Bed', 'price': '$1,684'}, {'bedroom_type': '2 Beds', 'price': ''}, {'bedroom_type': '3 Beds', 'price': ''}]","5 Marcia Way, Roseville, CA 95747",https://www.apartments.com/allegria-roseville-ca/gb43qsz/,,"$1,684",,,,,,,,,,,,
Wilshire Vermont,Los Angeles,Apartment,CA,90010,"[{'bedroom_type': 'Studio', 'price': '$1,801'}, {'bedroom_type': '1 Bed', 'price': '$2,216'}, {'bedroom_type': '2 Beds', 'price': '$2,885'}]","3183 Wilshire Blvd, Los Angeles, CA 90010",https://www.apartments.com/wilshire-vermont-los-angeles-ca/1kzq096/,"$1,801","$2,216","$2,885",,,,,,,,,,,
HIDDEN CREEK,Vacaville,Apartment,CA,95687,"[{'bedroom_type': '1 Bed', 'price': '$1,735'}, {'bedroom_type': '2 Beds', 'price': '$2,000'}]","1701 Marshall Rd, Vacaville, CA 95687",https://www.apartments.com/hidden-creek-vacaville-ca/qfj1nzw/,,"$1,735","$2,000",,,,,,,,,,,
The Triton,Foster City,Apartment,CA,94404,"[{'bedroom_type': '1 Bed', 'price': '$2,690'}, {'bedroom_type': '2 Beds', 'price': '$4,230'}, {'bedroom_type': '3 Beds', 'price': ''}]","55 Triton Park Ln, Foster City, CA 94404",https://www.apartments.com/the-triton-foster-city-ca/5ndw2xp/,,"$2,690","$4,230",,,,,,,,,,,
The Oaks,Santa Clarita,Apartment,CA,91387,"[{'bedroom_type': '1 Bed', 'price': '$1,980'}, {'bedroom_type': '2 Beds', 'price': '$2,245'}, {'bedroom_type': '3 Beds', 'price': '$3,157'}]","27105 Silver Oak Ln, Santa Clarita, CA 91387",https://www.apartments.com/the-oaks-santa-clarita-ca/j3qt204/,,"$1,980","$2,245","$3,157",,,,,,,,,,
SUNDANCE AT VALLEJO RANCH,Vallejo,Apartment,CA,94591,"[{'bedroom_type': '1 Bed', 'price': '$1,655'}, {'bedroom_type': '2 Beds', 'price': '$1,700'}]","60 Rotary Way, Vallejo, CA 94591",https://www.apartments.com/sundance-at-vallejo-ranch-vallejo-ca/vntb5yg/,,"$1,655","$1,700",,,,,,,,,,,
Teresina,Chula Vista,Apartment,CA,91913,"[{'bedroom_type': '1 Bed', 'price': '$1,944'}, {'bedroom_type': '2 Beds', 'price': '$2,119'}, {'bedroom_type': '3 Beds', 'price': '$2,557'}]","1250-1251 Santa Cora Ave, Chula Vista, CA 91913",https://www.apartments.com/teresina-chula-vista-ca/87p2jf2/,,"$1,944","$2,119","$2,557",,,,,,,,,,
Marea,Dana Point,Apartment,CA,92629,"[{'bedroom_type': '1 Bed', 'price': '$2,240'}, {'bedroom_type': '2 Beds', 'price': '$2,655'}]","32400-32478 Crown Valley Pky, Dana Point, CA 92629",https://www.apartments.com/marea-dana-point-ca/y7rgksr/,,"$2,240","$2,655",,,,,,,,,,,
College Park Apartment Homes,Upland,Apartment,CA,91786,"[{'bedroom_type': '1 Bed', 'price': '$1,910'}, {'bedroom_type': '2 Beds', 'price': '$2,194'}, {'bedroom_type': '3 Beds', 'price': '$2,945'}]","250 N College Park Dr, Upland, CA 91786",https://www.apartments.com/college-park-apartment-homes-upland-ca/g440fsy/,,"$1,910","$2,194","$2,945",,,,,,,,,,
Nova Pointe Apartments,Colton,Apartment,CA,92324,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t1 Bed\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n2 Beds\t\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","800 E Washington St, Colton, CA 92324",https://www.apartments.com/nova-pointe-apartments-colton-ca/qhfs50y/,,,,,,,,,,,,,,
Summerwood,Hayward,Apartment,CA,94541,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}, {'bedroom_type': '2 Beds', 'price': '$2,149'}, {'bedroom_type': '3 Beds', 'price': ''}]","21701 Foothill Blvd, Hayward, CA 94541",https://www.apartments.com/summerwood-hayward-ca/zt04krx/,,"$1,850","$2,149",,,,,,,,,,,
RIVER TERRACE,Sacramento,Apartment,CA,95833,"[{'bedroom_type': '1 Bed', 'price': '$863'}, {'bedroom_type': '2 Beds', 'price': '$1,305'}]","2593 Millcreek Dr, Sacramento, CA 95833",https://www.apartments.com/river-terrace-sacramento-ca/2bfezg8/,,$863,"$1,305",,,,,,,,,,,
Riva Terra Apartments at Redwood Shores,Redwood City,Apartment,CA,94065,"[{'bedroom_type': '1 Bed', 'price': '$2,337'}, {'bedroom_type': '2 Beds', 'price': '$2,697'}]","850 Davit Ln, Redwood City, CA 94065",https://www.apartments.com/riva-terra-apartments-at-redwood-shores-redwood-city-ca/zqcdrtw/,,"$2,337","$2,697",,,,,,,,,,,
Topaz,Los Angeles,Apartment,CA,90013,"[{'bedroom_type': 'Studio', 'price': '$1,659'}, {'bedroom_type': '1 Bed', 'price': '$1,965'}, {'bedroom_type': '2 Beds', 'price': '$2,449'}, {'bedroom_type': '3 Beds', 'price': '$3,160'}]","550 S Main St, Los Angeles, CA 90013",https://www.apartments.com/topaz-los-angeles-ca/be62jc9/,"$1,659","$1,965","$2,449","$3,160",,,,,,,,,,
Windridge,Laguna Niguel,Apartment,CA,92677,"[{'bedroom_type': '2 Beds', 'price': '$2,037'}, {'bedroom_type': '3 Beds', 'price': '$3,096'}]","24922 Hidden Hills Rd, Laguna Niguel, CA 92677",https://www.apartments.com/windridge-laguna-niguel-ca/38f85gg/,,,"$2,037","$3,096",,,,,,,,,,
Park West,Los Angeles,Apartment,CA,90045,"[{'bedroom_type': 'Studio', 'price': '$1,688'}, {'bedroom_type': '1 Bed', 'price': '$1,820'}, {'bedroom_type': '2 Beds', 'price': '$2,194'}]","9400 La Tijera Blvd, Los Angeles, CA 90045",https://www.apartments.com/park-west-los-angeles-ca/r9jynd2/,"$1,688","$1,820","$2,194",,,,,,,,,,,
Serramonte Ridge,Daly City,Apartment,CA,94015,"[{'bedroom_type': 'Studio', 'price': '$1,991'}, {'bedroom_type': '1 Bed', 'price': '$2,250'}, {'bedroom_type': '2 Beds', 'price': '$2,537'}]","862 Campus Dr, Daly City, CA 94015",https://www.apartments.com/serramonte-ridge-daly-city-ca/jhd8y37/,"$1,991","$2,250","$2,537",,,,,,,,,,,
Allure,Orange,Apartment,CA,92868,"[{'bedroom_type': 'Studio', 'price': '$2,035'}, {'bedroom_type': '1 Bed', 'price': '$1,937'}, {'bedroom_type': '2 Beds', 'price': '$2,406'}]","3099 W Chapman Ave, Orange, CA 92868",https://www.apartments.com/allure-orange-ca/0w52hs1/,"$2,035","$1,937","$2,406",,,,,,,,,,,
Deerwood,San Diego,Apartment,CA,92127,"[{'bedroom_type': '2 Beds', 'price': '$2,206'}, {'bedroom_type': '3 Beds', 'price': '$2,755'}]","15640 Bernardo Center Dr, San Diego, CA 92127",https://www.apartments.com/deerwood-san-diego-ca/j05xxh5/,,,"$2,206","$2,755",,,,,,,,,,
River Oaks,Oceanside,Apartment,CA,92057,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,865'}]","3880 San Ramon Dr, Oceanside, CA 92057",https://www.apartments.com/river-oaks-oceanside-ca/szpnd37/,,,"$1,865",,,,,,,,,,,
The Terrace Apartments,Orange,Apartment,CA,92868,"[{'bedroom_type': 'Studio', 'price': '$1,568'}, {'bedroom_type': '1 Bed', 'price': '$1,816'}, {'bedroom_type': '2 Beds', 'price': '$2,261'}]","200 City Blvd W, Orange, CA 92868",https://www.apartments.com/the-terrace-apartments-orange-ca/g1c1p6x/,"$1,568","$1,816","$2,261",,,,,,,,,,,
Fountain Plaza,San Jose,Apartment,CA,95110,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$1,772'}, {'bedroom_type': '2 Beds', 'price': '$2,500'}, {'bedroom_type': '3 Beds', 'price': '$3,195'}]","190 Ryland St, San Jose, CA 95110",https://www.apartments.com/fountain-plaza-san-jose-ca/0bmxsg1/,,"$1,772","$2,500","$3,195",,,,,,,,,,
Southwood,Palo Alto,Apartment,CA,94306,"[{'bedroom_type': '1 Bed', 'price': '$2,386'}, {'bedroom_type': '2 Beds', 'price': '$2,985'}]","2850 Middlefield Rd, Palo Alto, CA 94306",https://www.apartments.com/southwood-palo-alto-ca/6f8zpmt/,,"$2,386","$2,985",,,,,,,,,,,
Casa De Vida,Los Angeles,Apartment,CA,90034,"[{'bedroom_type': 'Studio', 'price': '$1,695'}, {'bedroom_type': '1 Bed', 'price': '$2,000'}, {'bedroom_type': '2 Beds', 'price': '$2,650'}]","3230 Overland Ave, Los Angeles, CA 90034",https://www.apartments.com/casa-de-vida-los-angeles-ca/js1rfw7/,"$1,695","$2,000","$2,650",,,,,,,,,,,
210 Third Lofts,Long Beach,Apartment,CA,90802,"[{'bedroom_type': '1 Bed', 'price': '$2,095'}, {'bedroom_type': '2 Beds', 'price': '$2,895'}]","225 Long Beach Blvd, Long Beach, CA 90802",https://www.apartments.com/210-third-lofts-long-beach-ca/4xx1zfk/,,"$2,095","$2,895",,,,,,,,,,,
UCE,Fullerton,Apartment,CA,92831,"[{'bedroom_type': '1 Bed', 'price': '$1,450'}, {'bedroom_type': '2 Beds', 'price': '$2,315'}]","600 Langsdorf Dr, Fullerton, CA 92831",https://www.apartments.com/uce-fullerton-ca/kl874g8/,,"$1,450","$2,315",,,,,,,,,,,
Solana at Grand,Escondido,Apartment,CA,92027,"[{'bedroom_type': 'Studio', 'price': '$1,309'}, {'bedroom_type': '1 Bed', 'price': '$1,585'}, {'bedroom_type': '2 Beds', 'price': '$1,525'}]","1501 E Grand Ave, Escondido, CA 92027",https://www.apartments.com/solana-at-grand-escondido-ca/gp0gp1y/,"$1,309","$1,585","$1,525",,,,,,,,,,,
Citrus Grove Apartments,Redlands,Apartment,CA,92374,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,709'}]","1230 E Lugonia Ave, Redlands, CA 92374",https://www.apartments.com/citrus-grove-apartments-redlands-ca/6yw7txv/,,,"$1,709",,,,,,,,,,,
Calypso Apartments and Lofts,Irvine,Apartment,CA,92606,"[{'bedroom_type': 'Studio', 'price': '$1,953'}, {'bedroom_type': '1 Bed', 'price': '$1,990'}, {'bedroom_type': '2 Beds', 'price': '$2,497'}]","2801 Alton Pky, Irvine, CA 92606",https://www.apartments.com/calypso-apartments-and-lofts-irvine-ca/f0pxedr/,"$1,953","$1,990","$2,497",,,,,,,,,,,
Hollypark Knolls,Inglewood,Apartment,CA,90305,"[{'bedroom_type': 'Studio', 'price': '$1,630'}, {'bedroom_type': '1 Bed', 'price': '$1,584'}, {'bedroom_type': '2 Beds', 'price': '$2,032'}]","3120 Hollypark Dr, Inglewood, CA 90305",https://www.apartments.com/hollypark-knolls-inglewood-ca/3k3yh1f/,"$1,630","$1,584","$2,032",,,,,,,,,,,
Carmel Terrace,San Diego,Apartment,CA,92128,"[{'bedroom_type': '1 Bed', 'price': '$1,901'}, {'bedroom_type': '2 Beds', 'price': '$2,204'}]","11540 Windcrest Ln, San Diego, CA 92128",https://www.apartments.com/carmel-terrace-san-diego-ca/mrwkymk/,,"$1,901","$2,204",,,,,,,,,,,
The Village Mission Valley,San Diego,Apartment,CA,92124,"[{'bedroom_type': '1 Bed', 'price': '$1,955'}, {'bedroom_type': '2 Beds', 'price': '$2,405'}, {'bedroom_type': '3 Beds', 'price': '$3,335'}]","6555 Ambrosia Dr, San Diego, CA 92124",https://www.apartments.com/the-village-mission-valley-san-diego-ca/4pt04hj/,,"$1,955","$2,405","$3,335",,,,,,,,,,
Avana Springs,Corona,Apartment,CA,92880,"[{'bedroom_type': '1 Bed', 'price': '$1,380'}, {'bedroom_type': '2 Beds', 'price': '$1,426'}]","650 Ebbcreek Dr, Corona, CA 92880",https://www.apartments.com/avana-springs-corona-ca/8lg12d0/,,"$1,380","$1,426",,,,,,,,,,,
Windsong Apartments,Chula Vista,Apartment,CA,91910,"[{'bedroom_type': '1 Bed', 'price': '$1,595'}, {'bedroom_type': '2 Beds', 'price': '$1,875'}]","601-645 Sea Vale St, Chula Vista, CA 91910",https://www.apartments.com/windsong-apartments-chula-vista-ca/d6s1bll/,,"$1,595","$1,875",,,,,,,,,,,
Brittany Apartment Homes,Irvine,Apartment,CA,92618,"[{'bedroom_type': '1 Bed', 'price': '$1,895'}, {'bedroom_type': '2 Beds', 'price': '$2,280'}, {'bedroom_type': '3 Beds', 'price': '$2,825'}]","100 Saint Vincent, Irvine, CA 92618",https://www.apartments.com/brittany-apartment-homes-irvine-ca/fdrvrht/,,"$1,895","$2,280","$2,825",,,,,,,,,,
The Village at Irvine Spectrum,Irvine,Apartment,CA,92618,"[{'bedroom_type': 'Studio', 'price': '$1,850'}, {'bedroom_type': '1 Bed', 'price': '$1,990'}, {'bedroom_type': '2 Beds', 'price': '$2,440'}]","25 Pacifica, Irvine, CA 92618",https://www.apartments.com/the-village-at-irvine-spectrum-irvine-ca/9vd52b4/,"$1,850","$1,990","$2,440",,,,,,,,,,,
Artisan at Main Street Metro,Corona,Apartment,CA,92880,"[{'bedroom_type': '1 Bed', 'price': '$1,815'}, {'bedroom_type': '2 Beds', 'price': '$2,085'}, {'bedroom_type': '3 Beds', 'price': ''}]","211 W Rincon St, Corona, CA 92880",https://www.apartments.com/artisan-at-main-street-metro-corona-ca/4xpeq2l/,,"$1,815","$2,085",,,,,,,,,,,
Ridgewood Village,San Diego,Apartment,CA,92128,"[{'bedroom_type': '1 Bed', 'price': '$1,758'}, {'bedroom_type': '2 Beds', 'price': '$2,096'}]","12435 Heatherton Ct, San Diego, CA 92128",https://www.apartments.com/ridgewood-village-san-diego-ca/ge6y56w/,,"$1,758","$2,096",,,,,,,,,,,
Regency Palms,Huntington Beach,Apartment,CA,92647,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,962'}]","6762 Warner Ave, Huntington Beach, CA 92647",https://www.apartments.com/regency-palms-huntington-beach-ca/6e2bybr/,,,"$1,962",,,,,,,,,,,
Waterstone,Chatsworth,Apartment,CA,91311,"[{'bedroom_type': 'Studio', 'price': '$1,657'}, {'bedroom_type': '1 Bed', 'price': '$1,751'}, {'bedroom_type': '2 Beds', 'price': '$2,033'}]","9901 Lurline Ave, Chatsworth, CA 91311",https://www.apartments.com/waterstone-chatsworth-ca/vymngsf/,"$1,657","$1,751","$2,033",,,,,,,,,,,
Merrick Apartments,Placentia,Apartment,CA,92870,"[{'bedroom_type': '1 Bed', 'price': '$1,930'}, {'bedroom_type': '2 Beds', 'price': '$1,855'}]","310 S Jefferson St, Placentia, CA 92870",https://www.apartments.com/merrick-apartments-placentia-ca/wfc8p5j/,,"$1,930","$1,855",,,,,,,,,,,
The Modern Cactus,Palm Springs,Apartment,CA,92262,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,600'}]","311 S Sunrise Way, Palm Springs, CA 92262",https://www.apartments.com/the-modern-cactus-palm-springs-ca/gyqpbpw/,,,"$1,600",,,,,,,,,,,
Sierra Heights,Rancho Cucamonga,Apartment,CA,91737,"[{'bedroom_type': '1 Bed', 'price': '$1,725'}, {'bedroom_type': '2 Beds', 'price': '$2,251'}, {'bedroom_type': '3 Beds', 'price': '$2,683'}]","10801 Lemon Ave, Rancho Cucamonga, CA 91737",https://www.apartments.com/sierra-heights-rancho-cucamonga-ca/0dx3h43/,,"$1,725","$2,251","$2,683",,,,,,,,,,
Highlander Pointe Apartments,Riverside,Apartment,CA,92507,"[{'bedroom_type': '2 Beds', 'price': '$1,775'}]","1055 W Blaine St, Riverside, CA 92507",https://www.apartments.com/highlander-pointe-apartments-riverside-ca/vhqqnwe/,,,"$1,775",,,,,,,,,,,
