Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
													1 Bed
															–
2 Beds											","
													1 Bed
															–
3 Beds											"
Canyon Crest,Santa Clarita,Apartment,CA,91321,"[{'bedroom_type': '1 Bed', 'price': '$1,915'}, {'bedroom_type': '2 Beds', 'price': '$2,255'}, {'bedroom_type': '3 Beds', 'price': '$2,655'}]","23639 Newhall Ave, Santa Clarita, CA 91321",https://www.apartments.com/canyon-crest-santa-clarita-ca/tmdj1vc/,,"$1,915","$2,255","$2,655",,,
Harborview,San Pedro,Apartment,CA,90732,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t1 Bed\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n3 Beds\t\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","1286 W Capitol Dr, San Pedro, CA 90732",https://www.apartments.com/harborview-san-pedro-ca/1e0b8z5/,,,,,,,
Canyon Ridge,Santa Clarita,Apartment,CA,91321,"[{'bedroom_type': '1 Bed', 'price': '$1,800'}, {'bedroom_type': '2 Beds', 'price': '$2,100'}]","23645 Meadow Ridge Dr, Santa Clarita, CA 91321",https://www.apartments.com/canyon-ridge-santa-clarita-ca/374k0pg/,,"$1,800","$2,100",,,,
Tam Ridge,Corte Madera,Apartment,CA,94925,"[{'bedroom_type': '1 Bed', 'price': '$2,758'}, {'bedroom_type': '2 Beds', 'price': '$3,655'}, {'bedroom_type': '3 Beds', 'price': '$4,604'}]","195-205 Tamal Vista Blvd, Corte Madera, CA 94925",https://www.apartments.com/tam-ridge-corte-madera-ca/mmx3dzl/,,"$2,758","$3,655","$4,604",,,
Franklin 299,Redwood City,Apartment,CA,94063,"[{'bedroom_type': 'Studio', 'price': '$2,311'}, {'bedroom_type': '1 Bed', 'price': '$2,405'}, {'bedroom_type': '2 Beds', 'price': '$3,525'}]","299 Franklin St, Redwood City, CA 94063",https://www.apartments.com/franklin-299-redwood-city-ca/lpr5ejg/,"$2,311","$2,405","$3,525",,,,
Ridgeview,Moreno Valley,Apartment,CA,92553,"[{'bedroom_type': '1 Bed', 'price': '$2,015'}, {'bedroom_type': '2 Beds', 'price': '$2,564'}, {'bedroom_type': '3 Beds', 'price': '$2,876'}]","25335 Alessandro Blvd, Moreno Valley, CA 92553",https://www.apartments.com/ridgeview-moreno-valley-ca/5v3m1kp/,,"$2,015","$2,564","$2,876",,,
Heritage Park,Sunnyvale,Apartment,CA,94086,"[{'bedroom_type': '1 Bed', 'price': '$2,135'}, {'bedroom_type': '2 Beds', 'price': '$2,605'}]","555 E Washington Ave, Sunnyvale, CA 94086",https://www.apartments.com/heritage-park-sunnyvale-ca/h2ctem3/,,"$2,135","$2,605",,,,
Apex Apartments,Laguna Niguel,Apartment,CA,92677,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$1,845'}, {'bedroom_type': '2 Beds', 'price': '$2,490'}]","27960 Cabot Rd, Laguna Niguel, CA 92677",https://www.apartments.com/apex-apartments-laguna-niguel-ca/rccjv41/,,"$1,845","$2,490",,,,
Mission Grove Park,Riverside,Apartment,CA,92508,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}, {'bedroom_type': '2 Beds', 'price': '$2,015'}, {'bedroom_type': '3 Beds', 'price': '$2,645'}]","7450 Northrop Dr, Riverside, CA 92508",https://www.apartments.com/mission-grove-park-riverside-ca/tee7leb/,,"$1,850","$2,015","$2,645",,,
THE LANDING AT LONG BEACH,Long Beach,Apartment,CA,90804,"[{'bedroom_type': '1 Bed', 'price': '$1,999'}, {'bedroom_type': '2 Beds', 'price': '$2,350'}]","1613 Ximeno Ave, Long Beach, CA 90804",https://www.apartments.com/the-landing-at-long-beach-long-beach-ca/4thrt4l/,,"$1,999","$2,350",,,,
Stone Canyon (California),Riverside,Apartment,CA,92507,"[{'bedroom_type': '1 Bed', 'price': '$1,790'}, {'bedroom_type': '2 Beds', 'price': '$2,005'}]","5100 Quail Run Rd, Riverside, CA 92507",https://www.apartments.com/stone-canyon-california-riverside-ca/drtdz1k/,,"$1,790","$2,005",,,,
Bixby,Santa Monica,Apartment,CA,90404,"[{'bedroom_type': 'Studio', 'price': '$1,999'}, {'bedroom_type': '1 Bed', 'price': '$2,759'}]","1502 Broadway St, Santa Monica, CA 90404",https://www.apartments.com/bixby-santa-monica-ca/r9x0m12/,"$1,999","$2,759",,,,,
The Summit at Chino Hills,Chino Hills,Apartment,CA,91709,"[{'bedroom_type': '1 Bed', 'price': '$2,030'}, {'bedroom_type': '2 Beds', 'price': '$2,295'}]","2400 Ridgeview Dr, Chino Hills, CA 91709",https://www.apartments.com/the-summit-at-chino-hills-chino-hills-ca/m9e7x7j/,,"$2,030","$2,295",,,,
Shadow Canyon,Hemet,Apartment,CA,92545,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,665'}, {'bedroom_type': '3 Beds', 'price': ''}]","3030 W Acacia Ave, Hemet, CA 92545",https://www.apartments.com/shadow-canyon-hemet-ca/q2hwzpy/,,,"$1,665",,,,
Vesada,Riverside,Apartment,CA,92509,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$1,805'}, {'bedroom_type': '2 Beds', 'price': '$1,975'}, {'bedroom_type': '3 Beds', 'price': '$2,540'}]","3390 Country Village Rd, Riverside, CA 92509",https://www.apartments.com/vesada-riverside-ca/xj6yymq/,,"$1,805","$1,975","$2,540",,,
Summerhill Terrace Apartments,San Leandro,Apartment,CA,94578,"[{'bedroom_type': 'Studio', 'price': '$1,725'}, {'bedroom_type': '1 Bed', 'price': '$2,049'}, {'bedroom_type': '2 Beds', 'price': '$2,534'}]","15267 Hesperian Blvd, San Leandro, CA 94578",https://www.apartments.com/summerhill-terrace-apartments-san-leandro-ca/nhc3jtn/,"$1,725","$2,049","$2,534",,,,
Rancho Del Mar,San Clemente,Apartment,CA,92672,"[{'bedroom_type': '1 Bed', 'price': '$1,618'}, {'bedroom_type': '2 Beds', 'price': '$2,219'}]","1100 Calle Del Cerro, San Clemente, CA 92672",https://www.apartments.com/rancho-del-mar-san-clemente-ca/twmqmh8/,,"$1,618","$2,219",,,,
MODA at Monrovia Station,Monrovia,Apartment,CA,91016,"[{'bedroom_type': 'Studio', 'price': '$2,134'}, {'bedroom_type': '1 Bed', 'price': '$2,192'}, {'bedroom_type': '2 Beds', 'price': '$2,514'}]","228 W Pomona Ave, Monrovia, CA 91016",https://www.apartments.com/moda-at-monrovia-station-monrovia-ca/fj1e0ls/,"$2,134","$2,192","$2,514",,,,
