Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
													1 Bed
															–
2 Beds											","
													1 Bed
															–
3 Beds											"
BROADSTONE VILARA,Laguna Niguel,Apartment,CA,92677,"[{'bedroom_type': 'Studio', 'price': '$2,125'}, {'bedroom_type': '1 Bed', 'price': '$2,050'}, {'bedroom_type': '2 Beds', 'price': '$2,750'}, {'bedroom_type': '3 Beds', 'price': '$3,750'}]","26033 Getty Dr, Laguna Niguel, CA 92677",https://www.apartments.com/broadstone-vilara-laguna-niguel-ca/tc5zfv8/,"$2,125","$2,050","$2,750","$3,750",,,
The Residences at Bella Terra,Huntington Beach,Apartment,CA,92647,"[{'bedroom_type': 'Studio', 'price': '$1,725'}, {'bedroom_type': '1 Bed', 'price': '$2,044'}, {'bedroom_type': '2 Beds', 'price': '$2,598'}, {'bedroom_type': '3 Beds', 'price': '$3,294'}]","7521 Edinger Ave, Huntington Beach, CA 92647",https://www.apartments.com/the-residences-at-bella-terra-huntington-beach-ca/0j895w0/,"$1,725","$2,044","$2,598","$3,294",,,
Channel Mission Bay,San Francisco,Apartment,CA,94158,"[{'bedroom_type': 'Studio', 'price': '$2,458'}, {'bedroom_type': '1 Bed', 'price': '$2,424'}, {'bedroom_type': '2 Beds', 'price': '$3,814'}]","185 Channel St, San Francisco, CA 94158",https://www.apartments.com/channel-mission-bay-san-francisco-ca/7l08vty/,"$2,458","$2,424","$3,814",,,,
River Terrace,Santa Clara,Apartment,CA,95054,"[{'bedroom_type': '1 Bed', 'price': '$1,869'}, {'bedroom_type': '2 Beds', 'price': '$2,238'}, {'bedroom_type': '3 Beds', 'price': '$3,319'}]","730-730 Agnew Rd, Santa Clara, CA 95054",https://www.apartments.com/river-terrace-santa-clara-ca/dcr4v1l/,,"$1,869","$2,238","$3,319",,,
Highlands of Marin,San Rafael,Apartment,CA,94903,"[{'bedroom_type': '1 Bed', 'price': '$2,294'}, {'bedroom_type': '2 Beds', 'price': '$3,163'}, {'bedroom_type': '3 Beds', 'price': '$4,385'}]","1001 Cresta Way, San Rafael, CA 94903",https://www.apartments.com/highlands-of-marin-san-rafael-ca/gs3mgxz/,,"$2,294","$3,163","$4,385",,,
Pierside South,Oceanside,Apartment,CA,92054,"[{'bedroom_type': 'Studio', 'price': '$2,205'}, {'bedroom_type': '1 Bed', 'price': '$2,716'}, {'bedroom_type': '2 Beds', 'price': '$3,318'}]","115 N Cleveland St, Oceanside, CA 92054",https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,"$2,205","$2,716","$3,318",,,,
Refugio,Santa Maria,Apartment,CA,93455,"[{'bedroom_type': '3 Beds', 'price': '$2,450'}]","2299 Carrasco Way, Santa Maria, CA 93455",https://www.apartments.com/refugio-santa-maria-ca/2yrrvrb/,,,,"$2,450",,,
Andorra Apartments,Camarillo,Apartment,CA,93012,"[{'bedroom_type': '1 Bed', 'price': '$2,280'}, {'bedroom_type': '2 Beds', 'price': '$2,560'}, {'bedroom_type': '3 Beds', 'price': ''}]","341 Mike Loza Dr, Camarillo, CA 93012",https://www.apartments.com/andorra-apartments-camarillo-ca/bmpjm7b/,,"$2,280","$2,560",,,,
CitySouth,San Mateo,Apartment,CA,94403,"[{'bedroom_type': '1 Bed', 'price': '$2,116'}, {'bedroom_type': '2 Beds', 'price': '$2,703'}, {'bedroom_type': '3 Beds', 'price': ''}]","3055 La Selva Ln, San Mateo, CA 94403",https://www.apartments.com/citysouth-san-mateo-ca/nlphw5q/,,"$2,116","$2,703",,,,
27 Seventy Five Mesa Verde,Costa Mesa,Apartment,CA,92626,"[{'bedroom_type': 'Studio', 'price': '$1,744'}, {'bedroom_type': '1 Bed', 'price': '$1,913'}, {'bedroom_type': '2 Beds', 'price': '$2,343'}, {'bedroom_type': '3 Beds', 'price': '$3,553'}]","2775 Mesa Verde Dr E, Costa Mesa, CA 92626",https://www.apartments.com/27-seventy-five-mesa-verde-costa-mesa-ca/xfs7dvq/,"$1,744","$1,913","$2,343","$3,553",,,
Almaden Lake Village,San Jose,Apartment,CA,95123,"[{'bedroom_type': '1 Bed', 'price': '$1,969'}, {'bedroom_type': '2 Beds', 'price': '$2,365'}, {'bedroom_type': '3 Beds', 'price': '$3,466'}]","1045 Coleman Rd, San Jose, CA 95123",https://www.apartments.com/almaden-lake-village-san-jose-ca/wg4vqjk/,,"$1,969","$2,365","$3,466",,,
Marina Playa,Santa Clara,Apartment,CA,95051,"[{'bedroom_type': '1 Bed', 'price': '$1,707'}, {'bedroom_type': '2 Beds', 'price': '$2,494'}, {'bedroom_type': '3 Beds', 'price': '$2,799'}]","3500 Granada Ave, Santa Clara, CA 95051",https://www.apartments.com/marina-playa-santa-clara-ca/d6tg4dk/,,"$1,707","$2,494","$2,799",,,
Hollis Oak,Oakland,Apartment,CA,94608,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$2,884'}, {'bedroom_type': '2 Beds', 'price': '$2,924'}, {'bedroom_type': '3 Beds', 'price': ''}]","3250 Hollis St, Oakland, CA 94608",https://www.apartments.com/hollis-oak-oakland-ca/d29wfnl/,,"$2,884","$2,924",,,,
Portside Ventura Harbor,Ventura,Apartment,CA,93001,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$6,025'}, {'bedroom_type': '2 Beds', 'price': '$3,990'}, {'bedroom_type': '3 Beds', 'price': '$4,950'}]","1196 Portside Dr, Ventura, CA 93001",https://www.apartments.com/portside-ventura-harbor-ventura-ca/en9vvgn/,,"$6,025","$3,990","$4,950",,,
The Landing,San Francisco,Apartment,CA,94107,"[{'bedroom_type': '1 Bed', 'price': '$2,815'}, {'bedroom_type': '2 Beds', 'price': '$3,297'}, {'bedroom_type': '3 Beds', 'price': ''}]","1395 22nd St, San Francisco, CA 94107",https://www.apartments.com/the-landing-san-francisco-ca/3gg6h5e/,,"$2,815","$3,297",,,,
The Madison at Town Center,Valencia,Apartment,CA,91355,"[{'bedroom_type': '1 Bed', 'price': '$2,284'}, {'bedroom_type': '2 Beds', 'price': '$2,855'}, {'bedroom_type': '3 Beds', 'price': '$3,486'}]","24555 Town Center Dr, Valencia, CA 91355",https://www.apartments.com/the-madison-at-town-center-valencia-ca/svrhnj6/,,"$2,284","$2,855","$3,486",,,
Luma,San Diego,Apartment,CA,92101,"[{'bedroom_type': 'Studio', 'price': '$2,209'}, {'bedroom_type': '1 Bed', 'price': '$3,050'}, {'bedroom_type': '2 Beds', 'price': '$3,899'}, {'bedroom_type': '3 Beds', 'price': '$4,545'}]","1440 Columbia St, San Diego, CA 92101",https://www.apartments.com/luma-san-diego-ca/cn99d1e/,"$2,209","$3,050","$3,899","$4,545",,,
