City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,3 Beds,4 Beds,4+ Beds,1 Bed,Studio
Beverly Hills,Townhomes,CA,90212,"[{'bedroom_type': '2 Beds', 'price': '$5,50'}]","9936 Durant Dr, Beverly Hills, CA 90212",https://www.apartments.com/9936-durant-dr-beverly-hills-ca/zg0sqty/,2½ BAs,"2,000 Sq Ft","2,000",,Available Now,"$5,50",,,,,
Gilroy,Townhomes,CA,95020,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","Gilroy, CA 95020",https://www.apartments.com/9050-kern-ave-gilroy-ca/sss0kd6/,1½ BAs,"1,088 Sq Ft","1,088",12 Month Lease,Oct 26,"$2,60",,,,,
Santa Monica,Townhomes,CA,90402,"[{'bedroom_type': '2 Beds', 'price': '$5,00'}]","129 Alta Ave, Santa Monica, CA 90402",https://www.apartments.com/129-alta-ave-santa-monica-ca/tjtsh9c/,3 BAs,"1,420 Sq Ft","1,420",12 Month Lease,Available Now,"$5,00",,,,,
Covina,Townhomes,CA,91723,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","224 E Dexter St, Covina, CA 91723",https://www.apartments.com/224-e-dexter-st-covina-ca/x6q12mq/,2½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Oct 5,"$2,20",,,,,
San Jose,Townhomes,CA,95131,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","San Jose, CA 95131",https://www.apartments.com/1223-westbury-dr-san-jose-ca/v4wkhgg/,2½ BAs,"1,376 Sq Ft","1,376",12 Month Lease,Available Now,,"$3,50",,,,
Costa Mesa,Townhomes,CA,92627,"[{'bedroom_type': '3 Beds', 'price': '$3,45'}]","2558 Orange Ave, Costa Mesa, CA 92627",https://www.apartments.com/2558-orange-ave-costa-mesa-ca/gd292nw/,2½ BAs,"1,450 Sq Ft","1,450",12 Month Lease,Oct 15,,"$3,45",,,,
Menlo Park,Townhomes,CA,94025,"[{'bedroom_type': '2 Beds', 'price': '$10,00'}]","Menlo Park, CA 94025",https://www.apartments.com/1285-el-camino-real-menlo-park-ca/z6jm6cy/,2½ BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,"$10,00",,,,,
Menlo Park,Townhomes,CA,94025,"[{'bedroom_type': '2 Beds', 'price': '$9,80'}]","Menlo Park, CA 94025",https://www.apartments.com/1285-el-camino-real-menlo-park-ca/z85xr3y/,2½ BAs,"1,446 Sq Ft","1,446",12 Month Lease,Available Now,"$9,80",,,,,
Santa Cruz,Townhomes,CA,95060,"[{'bedroom_type': '3 Beds', 'price': '$3,80'}]","Santa Cruz, CA 95060",https://www.apartments.com/127-peach-ter-santa-cruz-ca/8p3mqc2/,2 BAs,"1,194 Sq Ft","1,194",10 Month Lease,Available Now,,"$3,80",,,,
Northridge,Townhomes,CA,91324,"[{'bedroom_type': '4 Beds', 'price': '$3,10'}]","18532 Mayall St, Northridge, CA 91324",https://www.apartments.com/18532-mayall-st-northridge-ca/xzxpwyn/,3 BAs,"1,379 Sq Ft","1,379",,Oct 15,,,"$3,10",,,
Los Angeles,Townhomes,CA,90027,"[{'bedroom_type': '3 Beds', 'price': '$3,99'}]","5009 Franklin Ave, Los Angeles, CA 90027",https://www.apartments.com/5009-franklin-ave-los-angeles-ca/jgmqw65/,2 BAs,"2,500 Sq Ft","2,500",12 Month Lease,Available Now,,"$3,99",,,,
Santa Cruz,Townhomes,CA,95060,"[{'bedroom_type': '2 Beds', 'price': '$3,30'}]","Santa Cruz, CA 95060",https://www.apartments.com/876-nobel-dr-santa-cruz-ca/4qty54h/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$3,30",,,,,
Bellflower,Townhomes,CA,90706,"[{'bedroom_type': '2 Beds', 'price': '$1,55'}]","Bellflower, CA 90706",https://www.apartments.com/16812-ardmore-ave-bellflower-ca/h96ejv0/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,"$1,55",,,,,
Mountain View,Townhomes,CA,94043,"[{'bedroom_type': '3 Beds', 'price': '$4,20'}]","Mountain View, CA 94043",https://www.apartments.com/111-huntington-ct-mountain-view-ca/3zvn97f/,2½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,"$4,20",,,,
Santa Clara,Townhomes,CA,95054,"[{'bedroom_type': '3 Beds', 'price': '$4,10'}]","Santa Clara, CA 95054",https://www.apartments.com/4029-crandall-cir-santa-clara-ca/tj0z4x8/,2½ BAs,"1,756 Sq Ft","1,756",12 Month Lease,Available Now,,"$4,10",,,,
Santa Clarita,Townhomes,CA,91354,"[{'bedroom_type': '3 Beds', 'price': '$2,74'}]","Santa Clarita, CA 91354",https://www.apartments.com/24063-avocado-ln-santa-clarita-ca/p3p5dpr/,2½ BAs,"1,330 Sq Ft","1,330",12 Month Lease,Dec 1,,"$2,74",,,,
Long Beach,Townhomes,CA,90803,"[{'bedroom_type': '2 Beds', 'price': '$2,80'}]","Long Beach, CA 90803",https://www.apartments.com/5655-e-2nd-st-long-beach-ca/28pjsd9/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,80",,,,,
Redwood City,Townhomes,CA,94061,"[{'bedroom_type': '2 Beds', 'price': '$3,40'}]","Redwood City, CA 94061",https://www.apartments.com/503-fox-ct-w-redwood-city-ca/kn13dvb/,1½ BAs,"1,550 Sq Ft","1,550",12 Month Lease,Available Now,"$3,40",,,,,
Rohnert Park,Townhomes,CA,94928,"[{'bedroom_type': '3 Beds', 'price': '$2,20'}]","Rohnert Park, CA 94928",https://www.apartments.com/1565-parkway-dr-rohnert-park-ca/kvtqwe8/,1½ BAs,"1,450 Sq Ft","1,450",1 Month Lease,Oct 15,,"$2,20",,,,
Pittsburg,Townhomes,CA,94565,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","Pittsburg, CA 94565",https://www.apartments.com/348-gull-pl-pittsburg-ca/1cy7347/,3 BAs,200 Sq Ft,200,12 Month Lease,Available Now,,"$3,00",,,,
Pittsburg,Townhomes,CA,94565,"[{'bedroom_type': '4 Beds', 'price': '$3,20'}]","Pittsburg, CA 94565",https://www.apartments.com/16-pelican-ct-pittsburg-ca/4hcx7xl/,3 BAs,300 Sq Ft,300,12 Month Lease,Available Now,,,"$3,20",,,
South El Monte,Townhomes,CA,91733,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","South El Monte, CA 91733",https://www.apartments.com/9336-mabel-ave-south-el-monte-ca/7n61npx/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,20",,,,,
Palo Alto,Townhomes,CA,94303,"[{'bedroom_type': '3 Beds', 'price': '$4,60'}]","Palo Alto, CA 94303",https://www.apartments.com/3186-berryessa-st-palo-alto-ca/qx10ehz/,3½ BAs,"1,715 Sq Ft","1,715",12 Month Lease,Available Now,,"$4,60",,,,
Sonoma,Townhomes,CA,95476,"[{'bedroom_type': '2 Beds', 'price': '$2,185'}]","Sonoma, CA 95476",https://www.apartments.com/790-2nd-st-w-sonoma-ca/5pktz4m/,1½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,185",,,,,
Palm Springs,Townhomes,CA,92264,"[{'bedroom_type': '3 Beds', 'price': '$2,40'}]","Palm Springs, CA 92264",https://www.apartments.com/3027-regency-dr-n-palm-springs-ca/pb4cn0s/,2 BAs,"1,856 Sq Ft","1,856",12 Month Lease,Nov 1,,"$2,40",,,,
Sunnyvale,Townhomes,CA,94086,"[{'bedroom_type': '3 Beds', 'price': '$3,99'}]","Sunnyvale, CA 94086",https://www.apartments.com/491-sweetwood-ter-sunnyvale-ca/h89n481/,2½ BAs,"1,677 Sq Ft","1,677",12 Month Lease,Available Now,,"$3,99",,,,
LOS ANGELES,Townhomes,CA,90004,"[{'bedroom_type': '4 Beds', 'price': '$5,75'}]","LOS ANGELES, CA 90004",https://www.apartments.com/611-n-beachwood-dr-los-angeles-ca/97gkpk7/,3 BAs,"2,150 Sq Ft","2,150",,Available Now,,,"$5,75",,,
Pomona,Townhomes,CA,91768,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","Pomona, CA 91768",https://www.apartments.com/521-erie-n-st-pomona-ca/7vw9w2z/,2½ BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,"$2,30",,,,,
Castro Valley,Townhomes,CA,94546,"[{'bedroom_type': '4 Beds', 'price': '$5,00'}]","Castro Valley, CA 94546",https://www.apartments.com/4101-toddika-ln-castro-valley-ca/nnl8tyn/,2½ BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,,"$5,00",,,
Del Mar,Townhomes,CA,92014,"[{'bedroom_type': '2 Beds', 'price': '$7,00'}]","Del Mar, CA 92014",https://www.apartments.com/290-surfview-ct-del-mar-ca/rerlbr2/,2 BAs,"1,112 Sq Ft","1,112",1 Month Lease,Available Now,"$7,00",,,,,
Redondo Beach,Townhomes,CA,90277,"[{'bedroom_type': '3 Beds', 'price': '$4,25'}]","103 Calle Mayor, Redondo Beach, CA 90277",https://www.apartments.com/103-calle-mayor-redondo-beach-ca/7byeesz/,2½ BAs,"1,554 Sq Ft","1,554",12 Month Lease,Available Now,,"$4,25",,,,
San Diego,Townhomes,CA,92127,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","San Diego, CA 92127",https://www.apartments.com/17338-ruette-abeto-san-diego-ca/00h9g11/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Oct 6,"$2,60",,,,,
San Jose,Townhomes,CA,95112,"[{'bedroom_type': '4 Beds', 'price': '$3,29'}]","San Jose, CA 95112",https://www.apartments.com/75-s-7th-st-san-jose-ca/cpgz20g/,1 BA,840 Sq Ft,840,,Available Now,,,"$3,29",,,
Marina,Townhomes,CA,93933,"[{'bedroom_type': '2 Beds', 'price': '$1,85'}]","Marina, CA 93933",https://www.apartments.com/205-cosky-dr-marina-ca/gh7g1tw/,1½ BAs,980 Sq Ft,980,12 Month Lease,Available Now,"$1,85",,,,,
Mountain View,Townhomes,CA,94043,"[{'bedroom_type': '3 Beds', 'price': '$5,00'}]","Mountain View, CA 94043",https://www.apartments.com/166-owens-ct-mountain-view-ca/xykxjgp/,2½ BAs,"1,288 Sq Ft","1,288",,Available Now,,"$5,00",,,,
Los Angeles,Townhomes,CA,90037,"[{'bedroom_type': '3 Beds', 'price': '$3,59'}]","Los Angeles, CA 90037",https://www.apartments.com/1129-browning-blvd-los-angeles-ca/8khj4z2/,3½ BAs,"1,500 Sq Ft","1,500",,Available Now,,"$3,59",,,,
Santa Rosa,Townhomes,CA,95405,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","Santa Rosa, CA 95405",https://www.apartments.com/2946-yulupa-ave-santa-rosa-ca/nt9h5fq/,1½ BAs,"1,200 Sq Ft","1,200",,Available Now,"$2,25",,,,,
Palm Desert,Townhomes,CA,92260,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","Palm Desert, CA 92260",https://www.apartments.com/73490-foxtail-ln-palm-desert-ca/eyhs4rq/,2 BAs,"1,275 Sq Ft","1,275",1 Month Lease,Available Now,"$2,00",,,,,
Sacramento,Townhomes,CA,95814,"[{'bedroom_type': '1 Bed', 'price': '$2,20'}]","Sacramento, CA 95814",https://www.apartments.com/1323-g-st-sacramento-ca/kktnzz9/,1½ BAs,"1,350 Sq Ft","1,350",11 Month Lease,Oct 20,,,,,"$2,20",
Costa Mesa,Townhomes,CA,92627,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","Costa Mesa, CA 92627",https://www.apartments.com/2043-charle-st-costa-mesa-ca/zmsqhbw/,2½ BAs,965 Sq Ft,965,12 Month Lease,Oct 14,"$2,20",,,,,
Walnut Creek,Townhomes,CA,94598,"[{'bedroom_type': '2 Beds', 'price': '$3,59'}]","Walnut Creek, CA 94598",https://www.apartments.com/1935-stratton-cir-walnut-creek-ca/r56bjd3/,2½ BAs,"1,790 Sq Ft","1,790",12 Month Lease,Available Now,"$3,59",,,,,
Fremont,Townhomes,CA,94536,"[{'bedroom_type': '3 Beds', 'price': '$3,30'}]","Fremont, CA 94536",https://www.apartments.com/3394-manchester-cmn-fremont-ca/172fph5/,2½ BAs,"1,586 Sq Ft","1,586",12 Month Lease,Nov 1,,"$3,30",,,,
San Mateo,Townhomes,CA,94401,"[{'bedroom_type': '2 Beds', 'price': '$3,00'}]","San Mateo, CA 94401",https://www.apartments.com/22-tidal-way-san-mateo-ca/k49x2l9/,2½ BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,"$3,00",,,,,
Sonoma,Townhomes,CA,95476,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","Sonoma, CA 95476",https://www.apartments.com/356-arbor-ave-sonoma-ca/r8kmp40/,2 BAs,"1,122 Sq Ft","1,122",,Available Now,"$2,25",,,,,
Redondo Beach,Townhomes,CA,90277,"[{'bedroom_type': '3 Beds', 'price': '$4,95'}]","602 N Juanita Ave, Redondo Beach, CA 90277",https://www.apartments.com/602-n-juanita-ave-redondo-beach-ca/jktsrb7/,3 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,,"$4,95",,,,
Santa Clara,Townhomes,CA,95054,"[{'bedroom_type': '3 Beds', 'price': '$4,10'}]","Santa Clara, CA 95054",https://www.apartments.com/4029-crandall-cir-santa-clara-ca/m95y5xk/,2½ BAs,"1,716 Sq Ft","1,716",12 Month Lease,Available Now,,"$4,10",,,,
Sylmar,Townhomes,CA,91342,"[{'bedroom_type': '3 Beds', 'price': '$2,50'}]","Sylmar, CA 91342",https://www.apartments.com/11300-foothill-blvd-sylmar-ca/3fnp0bd/,2½ BAs,"1,360 Sq Ft","1,360",12 Month Lease,Oct 11,,"$2,50",,,,
Yorba Linda,Townhomes,CA,92886,"[{'bedroom_type': '3 Beds', 'price': '$2,20'}]","Yorba Linda, CA 92886",https://www.apartments.com/18002-yorba-linda-blvd-yorba-linda-ca/wg90hej/,1 BA,"1,742 Sq Ft","1,742",12 Month Lease,Available Now,,"$2,20",,,,
Van Nuys,Townhomes,CA,91406,"[{'bedroom_type': '2 Beds', 'price': '$2,01'}]","7349 Balboa Blvd, Van Nuys, CA 91406",https://www.apartments.com/7349-balboa-blvd-van-nuys-ca/ezyh7eq/,3 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,01",,,,,
Downey,Townhomes,CA,90241,"[{'bedroom_type': '2 Beds', 'price': '$1,95'}]","Downey, CA 90241",https://www.apartments.com/11717-lakewood-blvd-downey-ca/ktw800c/,1½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$1,95",,,,,
San Mateo,Townhomes,CA,94401,"[{'bedroom_type': '3 Beds', 'price': '$4,10'}]","San Mateo, CA 94401",https://www.apartments.com/358-e-bellevue-ave-san-mateo-ca/xprzn7m/,2½ BAs,"1,500 Sq Ft","1,500",,Available Now,,"$4,10",,,,
Ventura,Townhomes,CA,93001,"[{'bedroom_type': '4 Beds', 'price': '$3,10'}]","Ventura, CA 93001",https://www.apartments.com/274-el-medio-st-ventura-ca/hrcxwq3/,2 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,,"$3,10",,,
Aliso Viejo,Townhomes,CA,92656,"[{'bedroom_type': '2 Beds', 'price': '$2,90'}]","Aliso Viejo, CA 92656",https://www.apartments.com/14-hillgate-pl-aliso-viejo-ca/3qywj8d/,2½ BAs,"1,300 Sq Ft","1,300",,Available Now,"$2,90",,,,,
Thousand Oaks,Townhomes,CA,91320,"[{'bedroom_type': '2 Beds', 'price': '$2,02'}]","Thousand Oaks, CA 91320",https://www.apartments.com/210-deerpath-ln-thousand-oaks-ca/cx988se/,1½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,02",,,,,
Los Angeles,Townhomes,CA,90019,"[{'bedroom_type': '3 Beds', 'price': '$5,50'}]","Los Angeles, CA 90019",https://www.apartments.com/1018-s-stanley-ave-los-angeles-ca/gwfkbkz/,2 BAs,"2,121 Sq Ft","2,121",12 Month Lease,Available Now,,"$5,50",,,,
