City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,3 Beds,4 Beds,4+ Beds,1 Bed,Studio
108 Ferne Ave,Townhomes,Palo Alto,CA,"[{'bedroom_type': '2 Beds', 'price': '$4,100'}]","Palo Alto, CA 94306",https://www.apartments.com/108-ferne-ave-palo-alto-ca/ew8g0pp/,2 BAs,"1,038 Sq Ft","1,038",,Available Now,"$4,100",,,,,
557 Alberta Ave,Townhomes,Sunnyvale,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,750'}]","Sunnyvale, CA 94087",https://www.apartments.com/557-alberta-ave-sunnyvale-ca/v100yyf/,2 BAs,"1,250 Sq Ft","1,250",,Available Now,,"$3,750",,,,
218 Winfield St,Townhomes,San Francisco,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]","San Francisco, CA 94110",https://www.apartments.com/218-winfield-st-san-francisco-ca/w0tz4vj/,1 BA,600 Sq Ft,600,,Available Now,"$2,800",,,,,
96 Freedom Ln,Townhomes,Mountain View,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,200'}]","Mountain View, CA 94040",https://www.apartments.com/96-freedom-ln-mountain-view-ca/d2y245l/,3 BAs,"1,292 Sq Ft","1,292",,Available Now,,"$4,200",,,,
38533 Nasturtium Way,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,150'}]","Palm Desert, CA 92211",https://www.apartments.com/38533-nasturtium-way-palm-desert-ca/g7cm3xy/,2 BAs,,,,Available Now,"$2,150",,,,,
34001 Emily Way,Townhomes,Rancho Mirage,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,700'}]","Rancho Mirage, CA 92270",https://www.apartments.com/34001-emily-way-rancho-mirage-ca/5wvwjlp/,2 BAs,,,,Available Now,"$1,700",,,,,
52430 Hawthorn Ct,Townhomes,La Quinta,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","La Quinta, CA 92253",https://www.apartments.com/52430-hawthorn-ct-la-quinta-ca/veb55hf/,2 BAs,,,,Available Now,"$2,500",,,,,
52439 Hawthorn Ct,Townhomes,La Quinta,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,650'}]","La Quinta, CA 92253",https://www.apartments.com/52439-hawthorn-ct-la-quinta-ca/rnd2bb0/,2½ BAs,,,,Available Now,"$3,650",,,,,
34073 Emily Way,Townhomes,Rancho Mirage,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,700'}]","Rancho Mirage, CA 92270",https://www.apartments.com/34073-emily-way-rancho-mirage-ca/x243n5n/,2 BAs,,,,Available Now,"$1,700",,,,,
68 El Toro Dr,Townhomes,Rancho Mirage,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]","Rancho Mirage, CA 92270",https://www.apartments.com/68-el-toro-dr-rancho-mirage-ca/rcfgpy1/,2 BAs,,,,Available Now,"$3,300",,,,,
431 Copper Canyon Rd,Townhomes,Palm Springs,CA,"[{'bedroom_type': '2 Beds', 'price': '$4,000'}]","Palm Springs, CA 92262",https://www.apartments.com/431-copper-canyon-rd-palm-springs-ca/f7s4y7r/,1½ BAs,,,,Available Now,"$4,000",,,,,
3232 Vinifera Dr,Townhomes,San Jose,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,250'}]","San Jose, CA 95135",https://www.apartments.com/3232-vinifera-dr-san-jose-ca/7qdvd8z/,2½ BAs,"1,398 Sq Ft","1,398",,Oct 4,"$3,250",,,,,
421 Sierra Vista Ave,Townhomes,Mountain View,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,737'}]","Mountain View, CA 94043",https://www.apartments.com/421-sierra-vista-ave-mountain-view-ca/6jynxkt/,2½ BAs,"1,560 Sq Ft","1,560",,Oct 4,,"$3,737",,,,
209 Cypress Point Dr,Townhomes,Mountain View,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]","Mountain View, CA 94043",https://www.apartments.com/209-cypress-point-dr-mountain-view-ca/j1nxxx5/,2 BAs,"1,526 Sq Ft","1,526",,Oct 4,,"$3,000",,,,
142 Margarido Dr,Townhomes,Walnut Creek,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,750'}]","Walnut Creek, CA 94596",https://www.apartments.com/142-margarido-dr-walnut-creek-ca/3b5c38e/,1 BA,890 Sq Ft,890,,Available Now,"$2,750",,,,,
22 S Lake Dr,Townhomes,Antioch,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,895'}]","Antioch, CA 94509",https://www.apartments.com/22-s-lake-dr-antioch-ca/9cflgc5/,1 BA,800 Sq Ft,800,,Available Now,"$1,895",,,,,
3401 Bermuda Ave,Townhomes,Davis,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,000'}]","Davis, CA 95616",https://www.apartments.com/3401-bermuda-ave-davis-ca/qftmgww/,2 BAs,"1,523 Sq Ft","1,523",,Available Now,,"$1,000",,,,
7708 Hillmont Dr,Townhomes,Oakland,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,000'}]","Oakland, CA 94605",https://www.apartments.com/7708-hillmont-dr-oakland-ca/d0j1v0j/,1 BA,630 Sq Ft,630,,Available Now,,,,,"$2,000",
504 McLaughlin St,Townhomes,Richmond,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,150'}]","Richmond, CA 94805",https://www.apartments.com/504-mclaughlin-st-richmond-ca/8bshc12/,1 BA,898 Sq Ft,898,,Available Now,"$2,150",,,,,
833 Arlington Ave,Townhomes,Oakland,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,900'}]","Oakland, CA 94608",https://www.apartments.com/833-arlington-ave-oakland-ca/bwq7tfc/,1 BA,500 Sq Ft,500,,Available Now,,,,,"$1,900",
