City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,Studio,2 Beds,3 Beds,5 Beds,4 Beds
San Francisco,Condos,CA,94109,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","San Francisco, CA 94109",https://www.apartments.com/1250-jackson-st-san-francisco-ca/87s7vn3/,1 BA,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,,,"$4,50",,
Los Angeles,Condos,CA,91042,"[{'bedroom_type': '2 Beds', 'price': '$1,90'}]","Los Angeles, CA 91042",https://www.apartments.com/10097-tujunga-canyon-blvd-los-angeles-ca/gj5t6rz/,2 BAs,850 Sq Ft,850,12 Month Lease,Available Now,,,"$1,90",,,
Long Beach,Condos,CA,90803,"[{'bedroom_type': '1 Bed', 'price': '$1,89'}]","Long Beach, CA 90803",https://www.apartments.com/3700-e-ocean-blvd-long-beach-ca/bkg6yyb/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$1,89",,,,,
Los Angeles,Condos,CA,90028,"[{'bedroom_type': '1 Bed', 'price': '$1,89'}]","Los Angeles, CA 90028",https://www.apartments.com/5825-harold-way-los-angeles-ca/c4d8lwd/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,"$1,89",,,,,
Santa Clarita,Condos,CA,91321,"[{'bedroom_type': '1 Bed', 'price': '$1,55'}]","Santa Clarita, CA 91321",https://www.apartments.com/24370-newhall-ave-santa-clarita-ca/zqd059y/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$1,55",,,,,
Alhambra,Condos,CA,91801,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","1215 S Granada Ave, Alhambra, CA 91801",https://www.apartments.com/1215-s-granada-ave-alhambra-ca-unit-0/hwmzps1/,2 BAs,"1,103 Sq Ft","1,103",12 Month Lease,Available Now,,,"$2,25",,,
Stockton,Condos,CA,95207,"[{'bedroom_type': '3 Beds', 'price': '$2,00'}]","Stockton, CA 95207",https://www.apartments.com/942-porter-ave-stockton-ca-unit-2/t6k2gdb/,1½ BAs,"1,320 Sq Ft","1,320",12 Month Lease,Available Now,,,,"$2,00",,
San Mateo,Condos,CA,94401,"[{'bedroom_type': '2 Beds', 'price': '$2,85'}]","San Mateo, CA 94401",https://www.apartments.com/1250-rogell-ave-san-mateo-ca/hmvt5m3/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,,"$2,85",,,
Palm Springs,Condos,CA,92264,"[{'bedroom_type': '1 Bed', 'price': '$1,39'}]","Palm Springs, CA 92264",https://www.apartments.com/1680-e-palm-canyon-dr-palm-springs-ca/9rnrdc7/,1 BA,581 Sq Ft,581,11 Month Lease,Available Now,"$1,39",,,,,
San Ramon,Condos,CA,94582,"[{'bedroom_type': '1 Bed', 'price': '$2,05'}]","San Ramon, CA 94582",https://www.apartments.com/735-watson-canyon-ct-san-ramon-ca-unit-122/vq50mne/,1 BA,657 Sq Ft,657,12 Month Lease,Nov 2,"$2,05",,,,,
Sunnyvale,Condos,CA,94086,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","Sunnyvale, CA 94086",https://www.apartments.com/977-mangrove-ave-sunnyvale-ca/4ytrwgk/,1 BA,950 Sq Ft,950,12 Month Lease,Available Now,,,"$2,40",,,
