City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,4 Beds,2 Beds,3 Beds,1 Bed,Studio,5 Beds,1 – 3 Beds,6 Beds
Los Angeles,Houses,CA,90011,"[{'bedroom_type': '3 Beds', 'price': '$2,65'}]","Los Angeles, CA 90011",https://www.apartments.com/1231-e-45th-st-los-angeles-ca/v7l6tzd/,2 BAs,"1,190 Sq Ft","1,190",12 Month Lease,Available Now,,,"$2,65",,,,,
Los Angeles,Houses,CA,90025,"[{'bedroom_type': '3 Beds', 'price': '$7,20'}]","Los Angeles, CA 90025",https://www.apartments.com/1928-s-bentley-ave-los-angeles-ca/j7bntg7/,3½ BAs,"2,000 Sq Ft","2,000",12 Month Lease,Oct 19,,,"$7,20",,,,,
Los Angeles,Houses,CA,91423,"[{'bedroom_type': '3 Beds', 'price': '$5,80'}]","Los Angeles, CA 91423",https://www.apartments.com/3570-de-la-cumbre-pl-los-angeles-ca/f8mspbv/,2 BAs,"1,402 Sq Ft","1,402",12 Month Lease,Available Now,,,"$5,80",,,,,
Los Angeles,Houses,CA,90272,"[{'bedroom_type': '3 Beds', 'price': '$8,95'}]","1029 Chautauqua Blvd, Los Angeles, CA 90272",https://www.apartments.com/1029-chautauqua-blvd-los-angeles-ca/5lh5chm/,2 BAs,"2,100 Sq Ft","2,100",12 Month Lease,Available Now,,,"$8,95",,,,,
Van Nuys,Houses,CA,91401,"[{'bedroom_type': '3 Beds', 'price': '$3,40'}]","13840 Bessemer St, Van Nuys, CA 91401",https://www.apartments.com/13840-bessemer-st-van-nuys-ca/3ljhq5e/,1½ BAs,"1,200 Sq Ft","1,200",36 Month Lease,Oct 14,,,"$3,40",,,,,
Hermosa Beach,Houses,CA,90254,"[{'bedroom_type': '3 Beds', 'price': '$4,30'}]","1506 Bayview Dr, Hermosa Beach, CA 90254",https://www.apartments.com/1506-bayview-dr-hermosa-beach-ca/lb2k45g/,1½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Nov 8,,,"$4,30",,,,,
San Juan Capistrano,Houses,CA,92675,"[{'bedroom_type': '4 Beds', 'price': '$4,20'}]","San Juan Capistrano, CA 92675",https://www.apartments.com/27438-via-petra-san-juan-capistrano-ca/9xxxf07/,3 BAs,"2,124 Sq Ft","2,124",12 Month Lease,Nov 1,"$4,20",,,,,,,
Beaumont,Houses,CA,92223,"[{'bedroom_type': '4 Beds', 'price': '$2,50'}]","Beaumont, CA 92223",https://www.apartments.com/1375-burham-ct-beaumont-ca/d835q5k/,3 BAs,"2,300 Sq Ft","2,300",12 Month Lease,Nov 1,"$2,50",,,,,,,
San Jose,Houses,CA,95124,"[{'bedroom_type': '2 Beds', 'price': '$2,99'}]","San Jose, CA 95124",https://www.apartments.com/15074-woodard-rd-san-jose-ca/xjvltbn/,1 BA,"1,003 Sq Ft","1,003",12 Month Lease,Available Now,,"$2,99",,,,,,
San Pedro,Houses,CA,90731,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","2837 S Denison Ave, San Pedro, CA 90731",https://www.apartments.com/2837-s-denison-ave-san-pedro-ca/m8992lj/,1 BA,"1,300 Sq Ft","1,300",,Nov 1,,,"$3,00",,,,,
