City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,4 Beds,2 Beds,3 Beds,1 Bed,Studio,5 Beds,1 – 3 Beds,6 Beds
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '2 Beds', 'price': '$2,80'}]","1213 Palms Blvd, Los Angeles, CA 90291",https://www.apartments.com/1213-palms-blvd-los-angeles-ca/mwxcwpj/,1 BA,525 Sq Ft,525,12 Month Lease,Available Now,,"$2,80",,,,,,
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '1 Bed', 'price': '$2,00'}]","Manhattan Beach, CA 90266",https://www.apartments.com/1211-tennyson-st-manhattan-beach-ca/w435gck/,1 BA,550 Sq Ft,550,12 Month Lease,Available Now,,,,"$2,00",,,,
Studio City,Houses,CA,91604,"[{'bedroom_type': '4 Beds', 'price': '$8,49'}]","Studio City, CA 91604",https://www.apartments.com/4101-goodland-ave-studio-city-ca/d2915qj/,3 BAs,"2,625 Sq Ft","2,625",12 Month Lease,Available Now,"$8,49",,,,,,,
Los Angeles,Houses,CA,90011,"[{'bedroom_type': '3 Beds', 'price': '$2,80'}]","Los Angeles, CA 90011",https://www.apartments.com/233-e-28th-st-los-angeles-ca/7q84h6x/,2 BAs,"1,112 Sq Ft","1,112",,Available Now,,,"$2,80",,,,,
Burbank,Houses,CA,91504,"[{'bedroom_type': '3 Beds', 'price': '$3,99'}]","Burbank, CA 91504",https://www.apartments.com/525-groton-dr-burbank-ca/kvqlrn8/,1½ BAs,"1,150 Sq Ft","1,150",6 Month Lease,Available Now,,,"$3,99",,,,,
Los Angeles,Houses,CA,90004,"[{'bedroom_type': '1 Bed', 'price': '$1,65'}]","339 Hobart N Blvd, Los Angeles, CA 90004",https://www.apartments.com/339-hobart-n-blvd-los-angeles-ca/lz8s4fd/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,,,"$1,65",,,,
Los Angeles,Houses,CA,90004,"[{'bedroom_type': '3 Beds', 'price': '$4,80'}]","Los Angeles, CA 90004",https://www.apartments.com/339-n-hobart-blvd-los-angeles-ca/fretszt/,2 BAs,"2,150 Sq Ft","2,150",12 Month Lease,Available Now,,,"$4,80",,,,,
San Jose,Houses,CA,95124,"[{'bedroom_type': '3 Beds', 'price': '$3,60'}]","San Jose, CA 95124",https://www.apartments.com/2269-sunrise-dr-san-jose-ca/x19jhgm/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,"$3,60",,,,,
Irvine,Houses,CA,92602,"[{'bedroom_type': '6 Beds', 'price': '$4,20'}]","2 Tyler Ct, Irvine, CA 92602",https://www.apartments.com/2-tyler-ct-irvine-ca/hbdw8r0/,3 BAs,"2,668 Sq Ft","2,668",12 Month Lease,Available Now,,,,,,,,"$4,20"
Stockton,Houses,CA,95204,"[{'bedroom_type': '5 Beds', 'price': '$3,30'}]","Stockton, CA 95204",https://www.apartments.com/1106-w-mendocino-ave-stockton-ca/1rgxch4/,3 BAs,"1,884 Sq Ft","1,884",12 Month Lease,Available Now,,,,,,"$3,30",,
Los Angeles,Houses,CA,90033,"[{'bedroom_type': '2 Beds', 'price': '$2,49'}]","Los Angeles, CA 90033",https://www.apartments.com/2025-sheridan-st-los-angeles-ca/f3ncs1v/,1 BA,720 Sq Ft,720,12 Month Lease,Available Now,,"$2,49",,,,,,
Santa Barbara,Houses,CA,93101,"[{'bedroom_type': '2 Beds', 'price': '$3,00'}]","Santa Barbara, CA 93101",https://www.apartments.com/126-de-la-guerra-w-st-santa-barbara-ca/6x74w7v/,1 BA,800 Sq Ft,800,1 Month Lease,Feb 1,,"$3,00",,,,,,
El Segundo,Houses,CA,90245,"[{'bedroom_type': '4 Beds', 'price': '$5,60'}]","315 E Sycamore Ave, El Segundo, CA 90245",https://www.apartments.com/315-e-sycamore-ave-el-segundo-ca/mcqf4dj/,3 BAs,"2,300 Sq Ft","2,300",12 Month Lease,Available Now,"$5,60",,,,,,,
Lake Arrowhead,Houses,CA,92352,"[{'bedroom_type': '4 Beds', 'price': '$2,70'}]","428 Old Toll Rd, Lake Arrowhead, CA 92352",https://www.apartments.com/428-old-toll-rd-lake-arrowhead-ca/s09q6e5/,2 BAs,"1,950 Sq Ft","1,950",12 Month Lease,Available Now,"$2,70",,,,,,,
Los Angeles,Houses,CA,91601,"[{'bedroom_type': '2 Beds', 'price': '$2,85'}]","Los Angeles, CA 91601",https://www.apartments.com/5803-cartwright-ave-los-angeles-ca/xwhq0tp/,1 BA,846 Sq Ft,846,12 Month Lease,Available Now,,"$2,85",,,,,,
Los Angeles,Houses,CA,91423,"[{'bedroom_type': '2 Beds', 'price': '$3,15'}]","4528 Mammoth Ave, Los Angeles, CA 91423",https://www.apartments.com/4528-mammoth-ave-los-angeles-ca/4zjmd9j/,1½ BAs,"1,175 Sq Ft","1,175",12 Month Lease,Available Now,,"$3,15",,,,,,
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '2 Beds', 'price': '$4,50'}]","2501 Elm Ave, Manhattan Beach, CA 90266",https://www.apartments.com/2501-elm-ave-manhattan-beach-ca/78zqbjz/,1 BA,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,,"$4,50",,,,,,
Valencia,Houses,CA,91355,"[{'bedroom_type': '3 Beds', 'price': '$2,80'}]","25619 Ramada Dr, Valencia, CA 91355",https://www.apartments.com/25619-ramada-dr-valencia-ca/ksgtmc9/,2 BAs,"1,128 Sq Ft","1,128",12 Month Lease,Oct 10,,,"$2,80",,,,,
