City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,4 Beds,2 Beds,5 Beds,6 Beds,1 – 2 Beds,Studio,2 – 3 Beds
Northridge,Houses,CA,91325,"[{'bedroom_type': '4 Beds', 'price': '$3,50'}]","Northridge, CA 91325",https://www.apartments.com/18108-acre-st-northridge-ca/2l3e0q9/,2 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,,"$3,50",,,,,,
Inglewood,Houses,CA,90303,"[{'bedroom_type': '3 Beds', 'price': '$4,30'}]","Inglewood, CA 90303",https://www.apartments.com/3133-w-108th-st-inglewood-ca/v40qvdf/,2 BAs,"1,600 Sq Ft","1,600",6 Month Lease,Available Now,,"$4,30",,,,,,,
Campbell,Houses,CA,95008,"[{'bedroom_type': '2 Beds', 'price': '$2,78'}]","Campbell, CA 95008",https://www.apartments.com/2084-la-miel-ct-campbell-ca/2rv5sq9/,1 BA,950 Sq Ft,950,12 Month Lease,Available Now,,,,"$2,78",,,,,
Palo Alto,Houses,CA,94301,"[{'bedroom_type': '3 Beds', 'price': '$6,80'}]","Palo Alto, CA 94301",https://www.apartments.com/750-hamilton-ave-palo-alto-ca/s8segz5/,3 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,"$6,80",,,,,,,
Los Angeles,Houses,CA,90001,"[{'bedroom_type': '2 Beds', 'price': '$1,80'}]","Los Angeles, CA 90001",https://www.apartments.com/1209-e-80th-st-los-angeles-ca/hp7e963/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,,,"$1,80",,,,,
Los Angeles,Houses,CA,90066,"[{'bedroom_type': '3 Beds', 'price': '$4,00'}]","Los Angeles, CA 90066",https://www.apartments.com/4313-mcconnell-blvd-los-angeles-ca/9lf1p85/,2 BAs,"1,063 Sq Ft","1,063",12 Month Lease,Available Now,,"$4,00",,,,,,,
Los Angeles,Houses,CA,90069,"[{'bedroom_type': '4 Beds', 'price': '$9,50'}]","Los Angeles, CA 90069",https://www.apartments.com/8714-st-ives-dr-los-angeles-ca/pv8jpcs/,4 BAs,"6,710 Sq Ft","6,710",12 Month Lease,Available Now,,,"$9,50",,,,,,
Los Angeles,Houses,CA,90068,"[{'bedroom_type': '4 Beds', 'price': '$11,00'}]","Los Angeles, CA 90068",https://www.apartments.com/2150-outpost-dr-los-angeles-ca/48lmt5l/,4½ BAs,"2,665 Sq Ft","2,665",12 Month Lease,Oct 10,,,"$11,00",,,,,,
Los Angeles,Houses,CA,90068,"[{'bedroom_type': '4 Beds', 'price': '$11,00'}]","Los Angeles, CA 90068",https://www.apartments.com/2150-outpost-dr-los-angeles-ca/48lmt5l/,4½ BAs,"2,665 Sq Ft","2,665",12 Month Lease,Oct 10,,,"$11,00",,,,,,
Los Angeles,Houses,CA,90068,"[{'bedroom_type': '2 Beds', 'price': '$4,50'}]","Los Angeles, CA 90068",https://www.apartments.com/6882-camrose-dr-los-angeles-ca/wkkk5bk/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,,,"$4,50",,,,,
Santa Monica,Houses,CA,90405,"[{'bedroom_type': '1 Bed', 'price': '$2,60'}]","Santa Monica, CA 90405",https://www.apartments.com/118-fraser-ave-santa-monica-ca/x00nngm/,0½ BAs,450 Sq Ft,450,1 Month Lease,Available Now,"$2,60",,,,,,,,
San Jose,Houses,CA,95112,"[{'bedroom_type': '3 Beds', 'price': '$3,40'}]","San Jose, CA 95112",https://www.apartments.com/332-n-13th-st-san-jose-ca/ry67m03/,2 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,"$3,40",,,,,,,
Venice,Houses,CA,90291,"[{'bedroom_type': '2 Beds', 'price': '$4,80'}]","Venice, CA 90291",https://www.apartments.com/359-5th-ave-venice-ca/r4g56l2/,1 BA,915 Sq Ft,915,12 Month Lease,Available Now,,,,"$4,80",,,,,
Venice,Houses,CA,90291,"[{'bedroom_type': '4 Beds', 'price': '$8,99'}]","Venice, CA 90291",https://www.apartments.com/38-19th-ave-venice-ca/pstmvgv/,3 BAs,"1,974 Sq Ft","1,974",12 Month Lease,Available Now,,,"$8,99",,,,,,
West Hollywood,Houses,CA,90046,"[{'bedroom_type': '4 Beds', 'price': '$5,10'}]","West Hollywood, CA 90046",https://www.apartments.com/1225-n-detroit-st-west-hollywood-ca/elgtl8q/,2 BAs,"1,850 Sq Ft","1,850",12 Month Lease,Oct 11,,,"$5,10",,,,,,
Irvine,Houses,CA,92606,"[{'bedroom_type': '4 Beds', 'price': '$4,30'}]","Irvine, CA 92606",https://www.apartments.com/14611-seron-ave-irvine-ca/pn3jbxt/,3 BAs,"2,650 Sq Ft","2,650",12 Month Lease,Available Now,,,"$4,30",,,,,,
Fremont,Houses,CA,94538,"[{'bedroom_type': '3 Beds', 'price': '$3,55'}]","Fremont, CA 94538",https://www.apartments.com/2630-tamalpais-ter-fremont-ca/6wbyrqr/,3½ BAs,"1,644 Sq Ft","1,644",12 Month Lease,Available Now,,"$3,55",,,,,,,
Woodland Hills,Houses,CA,91367,"[{'bedroom_type': '1 Bed', 'price': '$1,35'}]","Woodland Hills, CA 91367",https://www.apartments.com/5520-mason-ave-woodland-hills-ca/pkfq7qs/,1 BA,220 Sq Ft,220,3 Month Lease,Available Now,"$1,35",,,,,,,,
Los Angeles,Houses,CA,90026,"[{'bedroom_type': '2 Beds', 'price': '$3,60'}]","Los Angeles, CA 90026",https://www.apartments.com/1426-cerro-gordo-st-los-angeles-ca/7x2t2qw/,1 BA,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,,,"$3,60",,,,,
Burbank,Houses,CA,91505,"[{'bedroom_type': '2 – 3 Beds', 'price': '$6,90'}]","Burbank, CA 91505",https://www.apartments.com/927-n-lima-st-burbank-ca/snxpr65/,1 BA,550 Sq Ft,550,12 Month Lease,Available Now,,,,,,,,,"$6,90"
Oakland,Houses,CA,94607,"[{'bedroom_type': '2 Beds', 'price': '$2,95'}]","Oakland, CA 94607",https://www.apartments.com/1661-14th-st-oakland-ca/x9ks3vn/,1 BA,850 Sq Ft,850,3 Month Lease,Available Now,,,,"$2,95",,,,,
Northridge,Houses,CA,91343,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","Northridge, CA 91343",https://www.apartments.com/9549-forbes-ave-northridge-ca/we8rkgh/,2 BAs,"1,764 Sq Ft","1,764",12 Month Lease,Available Now,,"$3,50",,,,,,,
Glendale,Houses,CA,91202,"[{'bedroom_type': '2 Beds', 'price': '$2,59'}]","Glendale, CA 91202",https://www.apartments.com/724-w-dryden-st-glendale-ca/p39l68s/,1½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,,"$2,59",,,,,
Culver City,Houses,CA,90230,"[{'bedroom_type': '4 Beds', 'price': '$4,25'}]","Culver City, CA 90230",https://www.apartments.com/4423-corinth-ave-culver-city-ca/4z04hkj/,2 BAs,"1,010 Sq Ft","1,010",12 Month Lease,Available Now,,,"$4,25",,,,,,
Hayward,Houses,CA,94541,"[{'bedroom_type': 'Studio', 'price': '$1,97'}]","Hayward, CA 94541",https://www.apartments.com/1360-c-st-hayward-ca/zpsnlxy/,0½ BAs,800 Sq Ft,800,6 Month Lease,Available Now,,,,,,,,"$1,97",
Irvine,Houses,CA,92606,"[{'bedroom_type': '3 Beds', 'price': '$3,15'}]","Irvine, CA 92606",https://www.apartments.com/3536-carmel-ave-irvine-ca/wvdnp6j/,2 BAs,"1,235 Sq Ft","1,235",12 Month Lease,Available Now,,"$3,15",,,,,,,
San Diego,Houses,CA,92123,"[{'bedroom_type': 'Studio', 'price': '$1,27'}]","San Diego, CA 92123",https://www.apartments.com/8638-glenhaven-st-san-diego-ca/xc7c6jn/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,,,,,,"$1,27",
Los Angeles,Houses,CA,90045,"[{'bedroom_type': '1 Bed', 'price': '$2,20'}]","Los Angeles, CA 90045",https://www.apartments.com/6335-w-85th-pl-los-angeles-ca/k6h338b/,1 BA,450 Sq Ft,450,12 Month Lease,Available Now,"$2,20",,,,,,,,
Los Angeles,Houses,CA,90024,"[{'bedroom_type': '1 Bed', 'price': '$1,35'}]","Los Angeles, CA 90024",https://www.apartments.com/10490-holman-ave-los-angeles-ca/kmn8939/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$1,35",,,,,,,,
Solana Beach,Houses,CA,92075,"[{'bedroom_type': 'Studio', 'price': '$2,09'}]","Solana Beach, CA 92075",https://www.apartments.com/558-ford-ave-solana-beach-ca/8x5pxq3/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,,,,,,"$2,09",
Los Angeles,Houses,CA,90044,"[{'bedroom_type': '1 Bed', 'price': '$975'}]","Los Angeles, CA 90044",https://www.apartments.com/527-w-colden-ave-los-angeles-ca/4735dwh/,0½ BAs,100 Sq Ft,100,12 Month Lease,Available Now,$975,,,,,,,,
Los Angeles,Houses,CA,90037,"[{'bedroom_type': '3 Beds', 'price': '$2,60'}]","Los Angeles, CA 90037",https://www.apartments.com/912-w-50th-pl-los-angeles-ca/ye6gyvs/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$2,60",,,,,,,
Los Angeles,Houses,CA,90011,"[{'bedroom_type': '2 Beds', 'price': '$2,10'}]","Los Angeles, CA 90011",https://www.apartments.com/205-e-56th-st-los-angeles-ca/d7dxd6h/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,,"$2,10",,,,,
