Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
House for sale,"$749,000","15873 Bitney Springs Rd, Nevada City, CA 95959",15873 Bitney Springs Rd,NevadaCity,CA,95959,3,2,"2,224",14.98 Acres,652528.8,Single Family,2003,"Garage - Attached, Covered",null,"$754,388","$4,500/mo",$337,https://www.zillow.com/homedetails/15873-Bitney-Springs-Rd-Nevada-City-CA-95959/19444497_zpid/
House for sale,"$455,900","10777 Bellone Way, Rancho Cordova, CA 95670",10777 Bellone Way,RanchoCordova,CA,95670,3,2,"1,468","8,394 sqft",8394.0,Single Family,2003,"Garage, Garage - Attached, Covered",null,"$461,714","$2,195/mo",$311,https://www.zillow.com/homedetails/10777-Bellone-Way-Rancho-Cordova-CA-95670/61195532_zpid/
House for sale,"$335,000","27147 Little Bear Rd, Blue Jay, CA 92317",27147 Little Bear Rd,BlueJay,CA,92317,1,2,764,0.39 Acres,16988.4,Single Family,1925,"Garage, Off-street, Covered",$100/mo,"$335,024","$1,700/mo",$438,https://www.zillow.com/homedetails/27147-Little-Bear-Rd-Blue-Jay-CA-92317/17415663_zpid/
House for sale,"$419,000","315 N Main St, Jackson, CA 95642",315 N Main St,Jackson,CA,95642,7,2,"3,132","5,575 sqft",5575.0,Single Family,1906,0 spaces,null,"$411,850","$2,300/mo",$134,https://www.zillow.com/homedetails/315-N-Main-St-Jackson-CA-95642/18202140_zpid/
House for sale,"$449,000","1100 Folsom St, Coalinga, CA 93210",1100 Folsom St,Coalinga,CA,93210,4,3.75,"2,477",0.53 Acres,23086.8,Single Family,1996,"Garage, Garage - Attached, Covered",null,"$443,168","$1,995/mo",$181,https://www.zillow.com/homedetails/1100-Folsom-St-Coalinga-CA-93210/18636430_zpid/
House for sale,"$209,900","21327 Klassette St, Mojave, CA 93501",21327 Klassette St,Mojave,CA,93501,3,2,"1,372",2.50 Acres,108900.0,Single Family,1970,"Garage - Attached, Covered",null,"$205,865",null,$153,https://www.zillow.com/homedetails/21327-Klassette-St-Mojave-CA-93501/325789648_zpid/
House for sale,"$499,900","3570 S G St, Oxnard, CA 93033",3570 S G St,Oxnard,CA,93033,3,2,"1,553","5,998 sqft",5998.0,Single Family,1959,"Garage, Garage - Attached, Covered",null,"$508,826","$2,700/mo",$322,https://www.zillow.com/homedetails/3570-S-G-St-Oxnard-CA-93033/16397060_zpid/
House for sale,"$295,000","5772 E Ashlan Ave, Fresno, CA 93727",5772 E Ashlan Ave,Fresno,CA,93727,3,2,"1,578","7,501 sqft",7501.0,Single Family,1956,"Garage, Garage - Attached, Covered",null,"$299,682","$1,550/mo",$187,https://www.zillow.com/homedetails/5772-E-Ashlan-Ave-Fresno-CA-93727/18776654_zpid/
House for sale,"$580,000","10366 Elmdale Dr, Spring Valley, CA 91977",10366 Elmdale Dr,SpringValley,CA,91977,4,2,"1,630","7,405 sqft",7405.0,Single Family,1970,"Garage, Covered",null,"$588,034","$2,895/mo",$356,https://www.zillow.com/homedetails/10366-Elmdale-Dr-Spring-Valley-CA-91977/17118169_zpid/
House for sale,"$799,000","2627 Brookshire St, Brentwood, CA 94513",2627 Brookshire St,Brentwood,CA,94513,4,4,"3,235","5,998 sqft",5998.0,Single Family,2013,"Garage, Garage - Attached, Covered",null,"$812,665",null,$247,https://www.zillow.com/homedetails/2627-Brookshire-St-Brentwood-CA-94513/95455604_zpid/
