Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
Multi-family home for sale,"$469,900","762 S Currier St #2, Pomona, CA 91766",762 S Currier St #2,Pomona,CA,91766,2,2,"1,022",null,null,Multiple Occupancy,1948,Covered,null,"$488,969",null,$460,https://www.zillow.com/homedetails/762-S-Currier-St-2-Pomona-CA-91766/2076787964_zpid/
Multi-family home for sale,"$445,000","1257 B St, Walnut Grove, CA 95690",1257 B St,WalnutGrove,CA,95690,4,4,"2,618",null,null,Multiple Occupancy,1915,0 spaces,$28/mo,"$450,675","$1,900/mo",$170,https://www.zillow.com/homedetails/1257-B-St-Walnut-Grove-CA-95690/25951813_zpid/
Multi-family home for sale,"$359,900","1278 A St, Walnut Grove, CA 95690",1278 A St,WalnutGrove,CA,95690,5,--,"2,100",null,null,Multiple Occupancy,1950,0 spaces,$24/mo,"$364,489","$1,850/mo",$171,https://www.zillow.com/homedetails/1278-A-St-Walnut-Grove-CA-95690/25951810_zpid/
Multi-family home for sale,"$175,000","5778 Bagley Ave, Twentynine Palms, CA 92277",5778 Bagley Ave,TwentyninePalms,CA,92277,3,--,"1,341",null,null,Multiple Occupancy,1942,"Garage, Garage - Attached, Covered",null,"$173,742","$1,015/mo",$130,https://www.zillow.com/homedetails/5778-Bagley-Ave-Twentynine-Palms-CA-92277/17504856_zpid/
Multi-family home for sale,"$450,000","655 N Towne Ave, Pomona, CA 91767",655 N Towne Ave,Pomona,CA,91767,3,2,"1,398",null,null,Multiple Occupancy,1914,"Garage, Covered",null,"$469,566","$2,500/mo",$322,https://www.zillow.com/homedetails/655-N-Towne-Ave-Pomona-CA-91767/21512397_zpid/
Multi-family home for sale,"$142,000","316 Portola Ave, Portola, CA 96122",316 Portola Ave,Portola,CA,96122,4,2,"1,650",null,null,Multiple Occupancy,1978,0 spaces,null,"$138,536","$1,800/mo",$86,https://www.zillow.com/homedetails/316-Portola-Ave-Portola-CA-96122/2112547061_zpid/
Multi-family home for sale,"$350,000","13686 Us Highway 50, Kyburz, CA 95720",13686 Us Highway 50,Kyburz,CA,95720,--,--,--,null,null,Multiple Occupancy,No Data,0 spaces,null,"$346,502",null,null,https://www.zillow.com/homedetails/13686-Us-Highway-50-Kyburz-CA-95720/2077347885_zpid/
Multi-family home for sale,"$195,000","373 S Davis St, Reedley, CA 93654",373 S Davis St,Reedley,CA,93654,4,2,"1,170",null,null,Multiple Occupancy,1982,"Garage - Attached, Covered",null,"$195,722",null,$167,https://www.zillow.com/homedetails/373-S-Davis-St-Reedley-CA-93654/2078105644_zpid/
Multi-family home for sale,"$249,000","12828 Broyles Trl, Oregon House, CA 95962",12828 Broyles Trl,OregonHouse,CA,95962,3,--,520,null,null,Multiple Occupancy,1948,"Carport, Garage - Attached, Covered",null,"$246,920","$1,975/mo",$479,https://www.zillow.com/homedetails/12828-Broyles-Trl-Oregon-House-CA-95962/94705265_zpid/
Multi-family home for sale,"$140,000","3778 Myers St, Oroville, CA 95966",3778 Myers St,Oroville,CA,95966,2,2,"1,244",null,null,Multiple Occupancy,1934,"Garage - Attached, Covered",null,"$140,000","$1,100/mo",$113,https://www.zillow.com/homedetails/3778-Myers-St-Oroville-CA-95966/18234411_zpid/
