Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Zillow_price/sqft,House_website
Townhouse for sale,"$800,000","803 Terrace Ln E UNIT 1, Diamond Bar, CA 91765",803 Terrace Ln E UNIT 1,DiamondBar,CA,91765,3,3,"1,819",0.49 Acres,21344.4,Townhouse,2008,"Garage - Attached, Covered",$135/mo,"$800,076",$440,https://www.zillow.com/homedetails/803-Terrace-Ln-E-UNIT-1-Diamond-Bar-CA-91765/82870108_zpid/
Townhouse for sale,"$374,900","9540 Sepulveda Blvd UNIT 13, Los Angeles, CA 91343",9540 Sepulveda Blvd UNIT 13,LosAngeles,CA,91343,2,3,"1,015",0.54 Acres,23522.4,Townhouse,1985,"Garage - Attached, Covered",$360/mo,"$378,968",$369,https://www.zillow.com/homedetails/9540-Sepulveda-Blvd-UNIT-13-Los-Angeles-CA-91343/20136743_zpid/
Townhouse for sale,"$438,300","11300 Foothill Blvd UNIT 30, Los Angeles, CA 91342",11300 Foothill Blvd UNIT 30,LosAngeles,CA,91342,3,2,"1,200",4.78 Acres,208216.8,Townhouse,1985,"Garage - Attached, Covered",$390/mo,"$443,778",$365,https://www.zillow.com/homedetails/11300-Foothill-Blvd-UNIT-30-Los-Angeles-CA-91342/20083147_zpid/
Townhouse for sale,"$749,900","2110 Vanderbilt Ln UNIT C, Redondo Beach, CA 90278",2110 Vanderbilt Ln UNIT C,RedondoBeach,CA,90278,2,3,"1,471",1.03 Acres,44866.8,Townhouse,1984,"Garage - Attached, Covered",$375/mo,"$749,907",$510,https://www.zillow.com/homedetails/2110-Vanderbilt-Ln-UNIT-C-Redondo-Beach-CA-90278/20406329_zpid/
Townhouse for sale,"$469,000","7560 Corbin Ave UNIT 3, Los Angeles, CA 91335",7560 Corbin Ave UNIT 3,LosAngeles,CA,91335,3,2,"1,075",6.56 Acres,285753.6,Townhouse,1973,Covered,$285/mo,"$473,178",$436,https://www.zillow.com/homedetails/7560-Corbin-Ave-UNIT-3-Los-Angeles-CA-91335/19913935_zpid/
Townhouse for sale,"$563,000","18083 Monterey Rd, Morgan Hill, CA 95037",18083 Monterey Rd,MorganHill,CA,95037,3,3,"1,682","1,115 sqft",1115.0,Townhouse,2017,"Garage, Garage - Attached, Covered",$249/mo,"$568,973",$335,https://www.zillow.com/homedetails/18083-Monterey-Rd-Morgan-Hill-CA-95037/243212332_zpid/
Townhouse for sale,"$445,000","1830 Crimson Ct UNIT 9, Chula Vista, CA 91913",1830 Crimson Ct UNIT 9,ChulaVista,CA,91913,2,3,"1,243",10 Acres,435600.0,Townhouse,2012,"Garage, Covered",$275/mo,"$450,493",$358,https://www.zillow.com/homedetails/1830-Crimson-Ct-UNIT-9-Chula-Vista-CA-91913/97863744_zpid/
Townhouse for sale,"$718,900","441 Fairview Ave UNIT 9, Arcadia, CA 91007",441 Fairview Ave UNIT 9,Arcadia,CA,91007,3,2,"1,662",1.55 Acres,67518.0,Townhouse,1974,"Garage - Attached, Covered",$307/mo,"$722,841",$433,https://www.zillow.com/homedetails/441-Fairview-Ave-UNIT-9-Arcadia-CA-91007/20891031_zpid/
Townhouse for sale,"$896,900","2810 Heritage Dr, Pasadena, CA 91107",2810 Heritage Dr,Pasadena,CA,91107,3,3,"1,660","2,543 sqft",2543.0,Townhouse,1989,"Garage - Attached, Covered",$165/mo,"$905,736",$540,https://www.zillow.com/homedetails/2810-Heritage-Dr-Pasadena-CA-91107/20877706_zpid/
Townhouse for sale,"$481,800","2370 Sentinel Ln, San Marcos, CA 92078",2370 Sentinel Ln,SanMarcos,CA,92078,3,4,"1,649",0.39 Acres,16988.4,Townhouse,2014,"Garage - Attached, Covered",$295/mo,"$483,217",$292,https://www.zillow.com/homedetails/2370-Sentinel-Ln-San-Marcos-CA-92078/123847861_zpid/
Townhouse for sale,"$550,000","1901 Vista Del Oro, Fullerton, CA 92831",1901 Vista Del Oro,Fullerton,CA,92831,3,3,"1,926","1,846 sqft",1846.0,Townhouse,1974,"Garage, Garage - Attached, Covered",$450/mo,"$550,555",$286,https://www.zillow.com/homedetails/1901-Vista-Del-Oro-Fullerton-CA-92831/25353471_zpid/
Townhouse for sale,"$439,000","622 W Regent St APT 18, Inglewood, CA 90301",622 W Regent St APT 18,Inglewood,CA,90301,2,2,983,0.46 Acres,20037.6,Townhouse,1981,"Garage - Attached, Covered",$240/mo,"$442,457",$447,https://www.zillow.com/homedetails/622-W-Regent-St-APT-18-Inglewood-CA-90301/20334722_zpid/
Townhouse for sale,"$474,999","18991 Gault St, Reseda, CA 91335",18991 Gault St,Reseda,CA,91335,3,3,"1,494",0.91 Acres,39639.6,Townhouse,1990,"Garage - Attached, Covered",$275/mo,"$482,759",$318,https://www.zillow.com/homedetails/18991-Gault-St-Reseda-CA-91335/19922979_zpid/
Townhouse for sale,"$450,000","13637 Foster Ave UNIT 2, Baldwin Park, CA 91706",13637 Foster Ave UNIT 2,BaldwinPark,CA,91706,3,4,"1,762",879 sqft,879.0,Townhouse,2013,"Garage - Attached, Covered",$215/mo,"$450,003",$255,https://www.zillow.com/homedetails/13637-Foster-Ave-UNIT-2-Baldwin-Park-CA-91706/111909695_zpid/
Townhouse for sale,"$398,000","5443 Villas Dr, Bonsall, CA 92003",5443 Villas Dr,Bonsall,CA,92003,2,3,"1,514","1,742 sqft",1742.0,Townhouse,1980,"Garage, Garage - Attached, Covered",$425/mo,"$398,002",$263,https://www.zillow.com/homedetails/5443-Villas-Dr-Bonsall-CA-92003/16573734_zpid/
