Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
Multi-family home for sale,"$689,000","2793-95 Citronella St, Lemon Grove, CA 91945",2793-95 Citronella St,LemonGrove,CA,91945,6,2,"2,080",null,null,Multiple Occupancy,1958,0 spaces,null,"$691,650","$2,900/mo",$331,https://www.zillow.com/homedetails/2793-95-Citronella-St-Lemon-Grove-CA-91945/17017197_zpid/
Multi-family home for sale,"$1,075,000","2644 Broadway, Huntington Park, CA 90255",2644 Broadway,HuntingtonPark,CA,90255,8,6,"3,917",null,null,Multiple Occupancy,1946,Covered,null,null,null,$274,https://www.zillow.com/homedetails/2644-Broadway-Huntington-Park-CA-90255/250340182_zpid/
Multi-family home for sale,"$618,000","2755 Conejo Dr, San Bernardino, CA 92404",2755 Conejo Dr,SanBernardino,CA,92404,9,6,"3,336",null,null,Multiple Occupancy,1964,"Garage, Garage - Attached, Covered",null,"$618,003","$1,400/mo",$185,https://www.zillow.com/homedetails/2755-Conejo-Dr-San-Bernardino-CA-92404/17356659_zpid/
Multi-family home for sale,"$699,900","1873 Carter Way, Atwater, CA 95301",1873 Carter Way,Atwater,CA,95301,12,--,--,null,null,Multiple Occupancy,1974,0 spaces,null,null,"$1,050/mo",null,https://www.zillow.com/homedetails/1873-Carter-Way-Atwater-CA-95301/299946067_zpid/
Multi-family home for sale,"$549,900","15360 Broken Bow Rd APT 1-4, Apple Valley, CA 92307",15360 Broken Bow Rd APT 1-4,AppleValley,CA,92307,8,4,"3,660",null,null,Multiple Occupancy,1987,Covered,null,"$549,900",null,$150,https://www.zillow.com/homedetails/15360-Broken-Bow-Rd-APT-1-4-Apple-Valley-CA-92307/2080231511_zpid/
Multi-family home for sale,"$305,950","547 Lindsay Ave, Sacramento, CA 95838",547 Lindsay Ave,Sacramento,CA,95838,4,--,"1,344",null,null,Multiple Occupancy,1947,"Garage, Garage - Attached, Covered",null,"$314,422","$1,575/mo",$228,https://www.zillow.com/homedetails/547-Lindsay-Ave-Sacramento-CA-95838/26056136_zpid/
For sale by owner,"$550,000","98800 Surfside Ave, Mecca, CA 92254",98800 Surfside Ave,Mecca,CA,92254,3,1,"1,000",null,null,Multiple Occupancy,2010,"Carport, Garage - Attached, On-street, Covered",null,null,"$2,950/mo",$550,https://www.zillow.com/homedetails/98800-Surfside-Ave-Mecca-CA-92254/94684979_zpid/
Contingent,"$595,000","2711 Wabash Ave, Los Angeles, CA 90033",2711 Wabash Ave,LosAngeles,CA,90033,5,3,"1,500",null,null,Multiple Occupancy,1923,Covered,null,"$596,045",null,$397,https://www.zillow.com/homedetails/2711-Wabash-Ave-Los-Angeles-CA-90033/20629967_zpid/
Contingent,"$529,500","141 Fairmont Ave, Vallejo, CA 94590",141 Fairmont Ave,Vallejo,CA,94590,2,2,"1,393",null,null,Multiple Occupancy,1938,0 spaces,null,"$452,101",null,$380,https://www.zillow.com/homedetails/141-Fairmont-Ave-Vallejo-CA-94590/2132308154_zpid/
Multi-family home for sale,"$1,595,000","107 Park Pl, Capitola, CA 95010",107 Park Pl,Capitola,CA,95010,--,--,"1,775",null,null,Multiple Occupancy,1967,"Garage, Carport, Covered",null,"$1,664,232","$3,900/mo",$899,https://www.zillow.com/homedetails/107-Park-Pl-Capitola-CA-95010/16132278_zpid/
Multi-family home for sale,"$1,375,000","5402 Clinton St, Los Angeles, CA 90004",5402 Clinton St,LosAngeles,CA,90004,3,3,"2,176",null,null,Multiple Occupancy,1923,"Garage - Detached, Covered",null,"$1,383,461","$3,400/mo",$632,https://www.zillow.com/homedetails/5402-Clinton-St-Los-Angeles-CA-90004/20783061_zpid/
Multi-family home for sale,"$675,000","13447 Filmore St, Pacoima, CA 91331",13447 Filmore St,Pacoima,CA,91331,3,3,"1,838",null,null,Multiple Occupancy,1996,"Garage, Garage - Attached, Covered",null,"$685,032","$2,745/mo",$367,https://www.zillow.com/homedetails/13447-Filmore-St-Pacoima-CA-91331/20115488_zpid/
Multi-family home for sale,"$449,900","2704 W Caldwell Ave, Visalia, CA 93277",2704 W Caldwell Ave,Visalia,CA,93277,7,7,"3,700",null,null,Multiple Occupancy,1978,"Garage, Carport, Covered",null,"$442,556","$1,250/mo",$122,https://www.zillow.com/homedetails/2704-W-Caldwell-Ave-Visalia-CA-93277/16253366_zpid/
Multi-family home for sale,"$300,000","7880 Old Auburn Rd, Citrus Heights, CA 95610",7880 Old Auburn Rd,CitrusHeights,CA,95610,--,--,"1,124",null,null,Multiple Occupancy,1946,0 spaces,null,"$313,772","$1,775/mo",$267,https://www.zillow.com/homedetails/7880-Old-Auburn-Rd-Citrus-Heights-CA-95610/2086322297_zpid/
