Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Zillow_price/sqft,House_website
,"$549,900","10800 Peach Grove St APT 5, Los Angeles, CA 91601",10800 Peach Grove St APT 5,LosAngeles,CA,91601,2,2,955,0.29 Acres,12632.4,Townhouse,1984,Covered,$28/mo,"$603,843",$576,https://www.zillow.com/homedetails/10800-Peach-Grove-St-APT-5-Los-Angeles-CA-91601/20042876_zpid/
,"$235,000","4053 Dale Rd #C, Modesto, CA 95356",4053 Dale Rd #C,Modesto,CA,95356,2,3,"1,192",866 sqft,866.0,Townhouse,2008,"Carport, Covered",$365/mo,"$237,043",$197,https://www.zillow.com/homedetails/4053-Dale-Rd-C-Modesto-CA-95356/2076777398_zpid/
,"$1,670,000","9102 Heartwood Dr, Truckee, CA 96161",9102 Heartwood Dr,Truckee,CA,96161,3,3.5,"2,530","6,022 sqft",6022.0,Townhouse,2018,"Garage, Garage - Attached, Covered",null,"$1,670,003",$660,https://www.zillow.com/homedetails/9102-Heartwood-Dr-Truckee-CA-96161/122010768_zpid/
,"$575,000","850 Tucson Ct, San Dimas, CA 91773",850 Tucson Ct,SanDimas,CA,91773,3,3,"1,525","2,613 sqft",2613.0,Townhouse,1980,"Garage, Covered",$185/mo,"$583,846",$377,https://www.zillow.com/homedetails/850-Tucson-Ct-San-Dimas-CA-91773/21532747_zpid/
,"$1,500,000","12648 Biarritz Ln, Saratoga, CA 95070",12648 Biarritz Ln,Saratoga,CA,95070,3,3,"1,991","2,940 sqft",2940.0,Townhouse,1986,"Garage, Garage - Attached, Covered",$500/mo,"$1,526,153",$753,https://www.zillow.com/homedetails/12648-Biarritz-Ln-Saratoga-CA-95070/19654000_zpid/
,"$1,348,000","847 Vespucci Ln, Foster City, CA 94404",847 Vespucci Ln,FosterCity,CA,94404,3,3,"1,340","1,772 sqft",1772.0,Townhouse,1974,"Garage, Garage - Attached, Covered",$405/mo,"$1,348,215","$1,006",https://www.zillow.com/homedetails/847-Vespucci-Ln-Foster-City-CA-94404/15615269_zpid/
,"$694,000","428 W Central Ave, Brea, CA 92821",428 W Central Ave,Brea,CA,92821,4,4,"2,200",No Data,null,Townhouse,2020,"Garage - Attached, Covered",null,null,$315,https://www.zillow.com/homedetails/428-W-Central-Ave-Brea-CA-92821/2077492932_zpid/
,"$615,000","941 W Hawthorn St APT 1, San Diego, CA 92101",941 W Hawthorn St APT 1,SanDiego,CA,92101,1,1,"1,068",0.75 Acres,32670.0,Townhouse,2001,"Carport, Off-street, Covered",$354/mo,"$612,081",$576,https://www.zillow.com/homedetails/941-W-Hawthorn-St-APT-1-San-Diego-CA-92101/67712325_zpid/
,"$399,000","1909 Manzana Way, San Diego, CA 92139",1909 Manzana Way,SanDiego,CA,92139,3,2,"1,293",1 Acres,43560.0,Townhouse,1986,Covered,$270/mo,"$410,107",$309,https://www.zillow.com/homedetails/1909-Manzana-Way-San-Diego-CA-92139/17128898_zpid/
,"$689,500","11 Bloomington St, Mission Viejo, CA 92694",11 Bloomington St,MissionViejo,CA,92694,3,3,"1,939",No Data,null,Townhouse,2001,"Garage, Garage - Attached, Covered",$310/mo,"$689,500",$356,https://www.zillow.com/homedetails/11-Bloomington-St-Mission-Viejo-CA-92694/59729638_zpid/
,"$425,100","22040 Gault St UNIT 13, Los Angeles, CA 91303",22040 Gault St UNIT 13,LosAngeles,CA,91303,1,2,946,3.01 Acres,131115.6,Townhouse,1982,"Garage - Attached, Covered",null,"$425,103",$449,https://www.zillow.com/homedetails/22040-Gault-St-UNIT-13-Los-Angeles-CA-91303/19867617_zpid/
,"$1,895,000","323 San Vicente Blvd UNIT 9, Santa Monica, CA 90402",323 San Vicente Blvd UNIT 9,SantaMonica,CA,90402,2,3,"1,964",1.02 Acres,44431.2,Townhouse,1977,"Garage - Attached, Covered",$750/mo,"$1,817,803",$965,https://www.zillow.com/homedetails/323-San-Vicente-Blvd-UNIT-9-Santa-Monica-CA-90402/20485960_zpid/
,"$748,999","6073 E Butterfield Ln, Anaheim, CA 92807",6073 E Butterfield Ln,Anaheim,CA,92807,3,3,"1,538","3,214 sqft",3214.0,Townhouse,1986,"Garage, Garage - Attached, Covered",$240/mo,"$749,006",$487,https://www.zillow.com/homedetails/6073-E-Butterfield-Ln-Anaheim-CA-92807/25165275_zpid/
,"$650,000","9557 Via Entrada, Cypress, CA 90630",9557 Via Entrada,Cypress,CA,90630,4,3,"1,748","2,117 sqft",2117.0,Townhouse,1968,"Garage, Garage - Attached, Covered",$285/mo,"$657,182",$372,https://www.zillow.com/homedetails/9557-Via-Entrada-Cypress-CA-90630/25328519_zpid/
,"$574,999","4434 Rosoli Ter, Fremont, CA 94536",4434 Rosoli Ter,Fremont,CA,94536,2,1,884,"1,450 sqft",1450.0,Townhouse,1971,"Carport, Covered",$323/mo,"$596,386",$650,https://www.zillow.com/homedetails/4434-Rosoli-Ter-Fremont-CA-94536/25005720_zpid/
,"$405,000+","Residence 1 Plan, Hazel at The Preserve in Chino",Residence 1 Plan,HazelatThePreserveinChino,null,null,2,2,"1,229",No Data,null,Townhouse,2021,Covered,null,null,$330,https://www.zillow.com/community/hazel-at-preserve-in-chino/2080511504_zpid/
,"$589,000","5246 Eagle Dale Ave #10, Los Angeles, CA 90041",5246 Eagle Dale Ave #10,LosAngeles,CA,90041,2,2,"1,280",0.52 Acres,22651.2,Townhouse,1984,"Garage - Attached, Covered",$330/mo,"$592,052",$460,https://www.zillow.com/homedetails/5246-Eagle-Dale-Ave-10-Los-Angeles-CA-90041/20849488_zpid/
,"$1,949,000","194 Solana Point Cir, Solana Beach, CA 92075",194 Solana Point Cir,SolanaBeach,CA,92075,3,3,"2,213",2.80 Acres,121968.0,Townhouse,1986,"Garage, Garage - Attached, Covered",$577/mo,"$1,911,025",$881,https://www.zillow.com/homedetails/194-Solana-Point-Cir-Solana-Beach-CA-92075/16726222_zpid/
,"$389,000","20159 Cohasset St UNIT 3, Winnetka, CA 91306",20159 Cohasset St UNIT 3,Winnetka,CA,91306,3,2,"1,370",1.89 Acres,82328.4,Townhouse,1971,"Carport, Covered",$350/mo,"$392,533",$284,https://www.zillow.com/homedetails/20159-Cohasset-St-UNIT-3-Winnetka-CA-91306/68992277_zpid/
,"$879,000","10365 Almayo Ave APT 2, Los Angeles, CA 90064",10365 Almayo Ave APT 2,LosAngeles,CA,90064,2,2,"1,400","6,503 sqft",6503.0,Townhouse,1980,Covered,$460/mo,"$879,014",$628,https://www.zillow.com/homedetails/10365-Almayo-Ave-APT-2-Los-Angeles-CA-90064/20497256_zpid/
,"$949,000","38261 Eggers Cmn, Fremont, CA 94536",38261 Eggers Cmn,Fremont,CA,94536,3,3,"1,655","1,511 sqft",1511.0,Townhouse,2005,"Garage, Garage - Attached, Covered",$125/mo,"$999,266",$573,https://www.zillow.com/homedetails/38261-Eggers-Cmn-Fremont-CA-94536/68022908_zpid/
,"$879,950","2214 Fazeli Ct, Campbell, CA 95008",2214 Fazeli Ct,Campbell,CA,95008,3,3,"1,359",953 sqft,953.0,Townhouse,1984,"Garage, Garage - Attached, Covered",$350/mo,"$892,064",$647,https://www.zillow.com/homedetails/2214-Fazeli-Ct-Campbell-CA-95008/19670880_zpid/
,"$349,000","1137 S 41st St UNIT 22, San Diego, CA 92113",1137 S 41st St UNIT 22,SanDiego,CA,92113,3,2,"1,240",1.91 Acres,83199.6,Townhouse,1980,Covered,$230/mo,"$352,258",$281,https://www.zillow.com/homedetails/1137-S-41st-St-UNIT-22-San-Diego-CA-92113/62578158_zpid/
,"$379,800","12914 Via Napoi, Riverside, CA 92503",12914 Via Napoi,Riverside,CA,92503,2,3,"1,300","1,698 sqft",1698.0,Townhouse,1992,"Garage - Attached, Covered",$229/mo,"$383,925",$292,https://www.zillow.com/homedetails/12914-Via-Napoi-Riverside-CA-92503/17795791_zpid/
,"$950,000","16087 Veridian Cir, San Diego, CA 92127",16087 Veridian Cir,SanDiego,CA,92127,4,3,"2,542",19.00 Acres,827640.0,Townhouse,2017,"Garage - Attached, Covered",$252/mo,"$951,292",$374,https://www.zillow.com/homedetails/16087-Veridian-Cir-San-Diego-CA-92127/250193592_zpid/
,"$547,000","8380 El Arroyo Dr #59, Huntington Beach, CA 92647",8380 El Arroyo Dr #59,HuntingtonBeach,CA,92647,3,2,"1,048","1,001 sqft",1001.0,Townhouse,1971,"Garage, Carport, Covered",$245/mo,"$549,605",$522,https://www.zillow.com/homedetails/8380-El-Arroyo-Dr-59-Huntington-Beach-CA-92647/25682231_zpid/
,"$639,000","21901 Burbank Blvd UNIT 199, Los Angeles, CA 91367",21901 Burbank Blvd UNIT 199,LosAngeles,CA,91367,2,3,"1,666",11.34 Acres,493970.4,Townhouse,1979,"Garage - Attached, Covered",$690/mo,"$639,337",$384,https://www.zillow.com/homedetails/21901-Burbank-Blvd-UNIT-199-Los-Angeles-CA-91367/19930290_zpid/
,"$599,000","4339 Bel Estos Way, Union City, CA 94587",4339 Bel Estos Way,UnionCity,CA,94587,3,2,"1,298","1,598 sqft",1598.0,Townhouse,1971,"Garage, Garage - Detached, Covered",$254/mo,"$622,072",$461,https://www.zillow.com/homedetails/4339-Bel-Estos-Way-Union-City-CA-94587/24999269_zpid/
,"$614,990+","Residence 4 WLH Plan, Hideaway at St. Cloud",Residence 4 WLH Plan,HideawayatSt.Cloud,null,null,4,4,"1,844",No Data,null,Townhouse,2020,Covered,null,null,$334,https://www.zillow.com/community/hideaway-at-st-cloud/2077403699_zpid/
,"$849,000","631 Brocton Ct UNIT 101, Long Beach, CA 90803",631 Brocton Ct UNIT 101,LongBeach,CA,90803,3,3,"2,090","2,975 sqft",2975.0,Townhouse,1989,"Garage - Attached, Covered",$440/mo,"$849,004",$406,https://www.zillow.com/homedetails/631-Brocton-Ct-UNIT-101-Long-Beach-CA-90803/21210920_zpid/
,"$669,000","1015 Carmel Cir, Fullerton, CA 92833",1015 Carmel Cir,Fullerton,CA,92833,3,3,"1,904","1,611 sqft",1611.0,Townhouse,1983,"Garage, Garage - Attached, Covered",$345/mo,"$676,756",$351,https://www.zillow.com/homedetails/1015-Carmel-Cir-Fullerton-CA-92833/25348096_zpid/
,"$825,000","3538 Torrance Blvd UNIT 148, Torrance, CA 90503",3538 Torrance Blvd UNIT 148,Torrance,CA,90503,3,3,"1,761",1.06 Acres,46173.6,Townhouse,2005,"Garage - Attached, Covered",$400/mo,"$829,526",$468,https://www.zillow.com/homedetails/3538-Torrance-Blvd-UNIT-148-Torrance-CA-90503/66113309_zpid/
,"$719,000","2231 Montrose Ave APT 2, Montrose, CA 91020",2231 Montrose Ave APT 2,Montrose,CA,91020,3,3,"1,560",0.45 Acres,19602.0,Townhouse,1987,"Garage - Attached, Covered",$270/mo,"$725,972",$461,https://www.zillow.com/homedetails/2231-Montrose-Ave-APT-2-Montrose-CA-91020/20901185_zpid/
