Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Zillow_price/sqft,House_website
,"$549,000","5647 Gazania Ct, Orcutt, CA 93455",5647 Gazania Ct,Orcutt,CA,93455,2,3,"1,884","3,920 sqft",3920.0,Townhouse,2020,"Garage - Attached, Covered",$105/mo,"$550,226",$291,https://www.zillow.com/homedetails/5647-Gazania-Ct-Orcutt-CA-93455/248138154_zpid/
,"$759,000","1224 S Alta Vista Ave #A, Monrovia, CA 91016",1224 S Alta Vista Ave #A,Monrovia,CA,91016,4,4,"1,731","10,001 sqft",10001.0,Townhouse,2020,"Garage - Attached, Covered",$273/mo,"$761,379",$438,https://www.zillow.com/homedetails/1224-S-Alta-Vista-Ave-A-Monrovia-CA-91016/21579473_zpid/
,"$619,000","1133 S Hoover St APT 105, Los Angeles, CA 90006",1133 S Hoover St APT 105,LosAngeles,CA,90006,2,3,"1,200",0.50 Acres,21780.0,Townhouse,2006,0 spaces,$400/mo,"$619,003",$516,https://www.zillow.com/homedetails/1133-S-Hoover-St-APT-105-Los-Angeles-CA-90006/82801056_zpid/
,"$719,000","121 Stoney Creek Rd, Santa Cruz, CA 95060",121 Stoney Creek Rd,SantaCruz,CA,95060,3,3,"1,675","1,481 sqft",1481.0,Townhouse,1985,"Garage, Garage - Attached",$462/mo,"$720,143",$429,https://www.zillow.com/homedetails/121-Stoney-Creek-Rd-Santa-Cruz-CA-95060/16109140_zpid/
,"$619,000","26009 Alizia Canyon Dr UNIT D, Calabasas, CA 91302",26009 Alizia Canyon Dr UNIT D,Calabasas,CA,91302,3,3,"1,499",2.07 Acres,90169.2,Townhouse,1981,"Garage - Attached, Covered",$370/mo,"$624,351",$413,https://www.zillow.com/homedetails/26009-Alizia-Canyon-Dr-UNIT-D-Calabasas-CA-91302/19885384_zpid/
,"$724,000+","Mason 1 Plan, Lewis+Mason",Mason 1 Plan,Lewis+Mason,null,null,3,3,"1,858",No Data,null,Townhouse,2021,"Garage - Attached, Covered",null,null,$390,https://www.zillow.com/community/lewis-mason/2090604960_zpid/
,"$1,175,000","8611 Burton Way APT 2, Los Angeles, CA 90048",8611 Burton Way APT 2,LosAngeles,CA,90048,3,3,"1,861",0.49 Acres,21344.4,Townhouse,1975,"Garage - Attached, Covered",$395/mo,"$1,175,007",$631,https://www.zillow.com/homedetails/8611-Burton-Way-APT-2-Los-Angeles-CA-90048/20514451_zpid/
,"$1,239,000","2425 Michele Jean Way, Santa Clara, CA 95050",2425 Michele Jean Way,SantaClara,CA,95050,2,2,"1,573","2,739 sqft",2739.0,Townhouse,1981,"Garage, Garage - Attached, Covered",$550/mo,"$1,250,265",$788,https://www.zillow.com/homedetails/2425-Michele-Jean-Way-Santa-Clara-CA-95050/19600844_zpid/
,"$625,000","348 Sydney Ln #348, Costa Mesa, CA 92627",348 Sydney Ln #348,CostaMesa,CA,92627,2,3,"1,294",No Data,null,Townhouse,1977,"Garage - Attached, Covered",$315/mo,"$637,303",$483,https://www.zillow.com/homedetails/348-Sydney-Ln-348-Costa-Mesa-CA-92627/2076853724_zpid/
,"$774,950","5521 Kester Ave UNIT 20, Sherman Oaks, CA 91411",5521 Kester Ave UNIT 20,ShermanOaks,CA,91411,3,4,"1,703",0.72 Acres,31363.2,Townhouse,2008,"Garage - Attached, Covered",$320/mo,"$775,862",$455,https://www.zillow.com/homedetails/5521-Kester-Ave-UNIT-20-Sherman-Oaks-CA-91411/111918422_zpid/
,"$649,900","619 E Santa Anita Ave APT B, Burbank, CA 91501",619 E Santa Anita Ave APT B,Burbank,CA,91501,2,3,"1,406","7,352 sqft",7352.0,Townhouse,1979,Covered,$250/mo,"$659,898",$462,https://www.zillow.com/homedetails/619-E-Santa-Anita-Ave-APT-B-Burbank-CA-91501/20053119_zpid/
,"$491,900+","Residence 1 Plan, Millenia : Vibe",Residence 1 Plan,Millenia:Vibe,null,null,4,3,"1,681",No Data,null,Townhouse,2021,Covered,null,null,$293,https://www.zillow.com/community/millenia-vibe/2078171759_zpid/
,"$1,499,000","6466 Lunita Rd, Malibu, CA 90265",6466 Lunita Rd,Malibu,CA,90265,2,3,"1,831",0.37 Acres,16117.2,Townhouse,2000,"Garage - Attached, Covered",$795/mo,"$1,499,072",$819,https://www.zillow.com/homedetails/6466-Lunita-Rd-Malibu-CA-90265/51583095_zpid/
,"$429,900","7715 El Cajon Blvd UNIT 8, La Mesa, CA 91942",7715 El Cajon Blvd UNIT 8,LaMesa,CA,91942,2,3,"1,052",1.43 Acres,62290.8,Townhouse,2006,"Garage, Garage - Attached, Covered",$330/mo,"$440,385",$409,https://www.zillow.com/homedetails/7715-El-Cajon-Blvd-UNIT-8-La-Mesa-CA-91942/63659858_zpid/
,"$750,000","2224 Crespi Ln, Westlake Village, CA 91361",2224 Crespi Ln,WestlakeVillage,CA,91361,2,2,"1,508","6,534 sqft",6534.0,Townhouse,1975,"Garage, Garage - Attached, Covered",$423/mo,"$750,002",$497,https://www.zillow.com/homedetails/2224-Crespi-Ln-Westlake-Village-CA-91361/16492887_zpid/
,"$1,260,000","448 S Oakland Ave UNIT 11, Pasadena, CA 91101",448 S Oakland Ave UNIT 11,Pasadena,CA,91101,4,5,"2,480",0.40 Acres,17424.0,Townhouse,2004,"Garage - Attached, Covered",$455/mo,"$1,260,008",$508,https://www.zillow.com/homedetails/448-S-Oakland-Ave-UNIT-11-Pasadena-CA-91101/79800460_zpid/
,"$445,000","9901 Independence Ave UNIT A, Los Angeles, CA 91311",9901 Independence Ave UNIT A,LosAngeles,CA,91311,2,3,"1,079",1.15 Acres,50094.0,Townhouse,1985,"Garage - Attached, Covered",$380/mo,"$451,276",$412,https://www.zillow.com/homedetails/9901-Independence-Ave-UNIT-A-Los-Angeles-CA-91311/20171405_zpid/
,"$460,000","120 W 223rd St UNIT 16, Carson, CA 90745",120 W 223rd St UNIT 16,Carson,CA,90745,3,3,"1,194",0.80 Acres,34848.0,Townhouse,1985,"Garage - Attached, Covered",$250/mo,"$469,293",$385,https://www.zillow.com/homedetails/120-W-223rd-St-UNIT-16-Carson-CA-90745/21261919_zpid/
,"$579,000","2018 Liberia Cir, San Jose, CA 95116",2018 Liberia Cir,SanJose,CA,95116,3,2,"1,180",851 sqft,851.0,Townhouse,1977,"Carport, Covered, Garage",$340/mo,"$583,288",$491,https://www.zillow.com/homedetails/2018-Liberia-Cir-San-Jose-CA-95116/19720832_zpid/
,"$489,999","14181 Paddock St #6, Sylmar, CA 91342",14181 Paddock St #6,Sylmar,CA,91342,4,2,"1,506",2.48 Acres,108028.8,Townhouse,1980,"Carport, Garage - Attached, Covered",$230/mo,"$498,908",$325,https://www.zillow.com/homedetails/14181-Paddock-St-6-Sylmar-CA-91342/2077539238_zpid/
,"$1,395,000","925 14th St APT 6, Santa Monica, CA 90403",925 14th St APT 6,SantaMonica,CA,90403,3,3,"1,332",0.86 Acres,37461.6,Townhouse,1974,"Carport, Covered",$525/mo,"$1,398,576","$1,047",https://www.zillow.com/homedetails/925-14th-St-APT-6-Santa-Monica-CA-90403/20478354_zpid/
,"$880,000","713 S Old Ranch Rd #A, Arcadia, CA 91007",713 S Old Ranch Rd #A,Arcadia,CA,91007,3,4,"1,570",0.60 Acres,26136.0,Townhouse,2013,"Garage - Attached, Covered",$213/mo,"$885,028",$561,https://www.zillow.com/homedetails/713-S-Old-Ranch-Rd-A-Arcadia-CA-91007/119367932_zpid/
,"$1,000,000","2111 Mathews Ave UNIT B, Redondo Beach, CA 90278",2111 Mathews Ave UNIT B,RedondoBeach,CA,90278,4,3,"1,752","7,348 sqft",7348.0,Townhouse,2003,"Garage - Attached, Covered",$200/mo,"$1,002,380",$571,https://www.zillow.com/homedetails/2111-Mathews-Ave-UNIT-B-Redondo-Beach-CA-90278/63090193_zpid/
,"$475,000","1414 Nevin Plz, Richmond, CA 94801",1414 Nevin Plz,Richmond,CA,94801,3,3,"1,482",859 sqft,859.0,Townhouse,2004,"Garage, Garage - Attached, Covered",$285/mo,"$475,002",$321,https://www.zillow.com/homedetails/1414-Nevin-Plz-Richmond-CA-94801/82853818_zpid/
